id,list_name,party,session,date,value,category,description,claim_number
172,"Abbott, Diane",Labour,12_13,2013-03-22,1012,staffing,Professional Services (Staff.),0000257504
172,"Abbott, Diane",Labour,10_11,2010-07-29,8.55,general admin,Stationery Purchase,19706
172,"Abbott, Diane",Labour,10_11,2011-03-16,35.07,general admin,Telephone/Mobile Hire,76918
172,"Abbott, Diane",Labour,10_11,2010-12-02,350,general admin,Computer SW Purchase,52660
172,"Abbott, Diane",Labour,10_11,2011-01-28,30.76,general admin,Payment Telephone/Mobile,65090
172,"Abbott, Diane",Labour,10_11,2010-10-07,16.84,general admin,Stationery Purchase,38370
172,"Abbott, Diane",Labour,10_11,2010-10-07,205.67,general admin,Stationery Purchase,38370
172,"Abbott, Diane",Labour,10_11,2010-10-07,271.68,general admin,Stationery Purchase,38370
172,"Abbott, Diane",Labour,10_11,2010-10-07,148.88,general admin,Stationery Purchase,38370
172,"Abbott, Diane",Labour,10_11,2010-05-26,132.19,general admin,Removal Costs,689
172,"Abbott, Diane",Labour,10_11,2010-10-12,34.5,general admin,Stationery Purchase,39130
172,"Abbott, Diane",Labour,10_11,2010-12-02,124.1,general admin,Printer Purchase,52660
172,"Abbott, Diane",Labour,10_11,2010-12-02,240.83,general admin,Stationery Purchase,52660
172,"Abbott, Diane",Labour,10_11,2010-12-20,352.5,general admin,Website - Hosting,57500
172,"Abbott, Diane",Labour,10_11,2010-12-02,632.23,general admin,Stationery Purchase,52660
172,"Abbott, Diane",Labour,10_11,2010-09-24,57.23,general admin,Payment Telephone/Mobile,38370
172,"Abbott, Diane",Labour,10_11,2010-12-02,258.97,general admin,Stationery Purchase,52660
172,"Abbott, Diane",Labour,10_11,2010-06-22,8.55,general admin,Stationery Purchase,6762
172,"Abbott, Diane",Labour,10_11,2010-06-22,741.57,general admin,Printer Purchase,6757
172,"Abbott, Diane",Labour,10_11,2010-09-24,44.1,general admin,Payment Telephone/Mobile,38370
172,"Abbott, Diane",Labour,10_11,2010-12-20,355.97,general admin,Shredder Purchase,57500
172,"Abbott, Diane",Labour,10_11,2010-12-02,764.88,general admin,Stationery Purchase,52660
172,"Abbott, Diane",Labour,10_11,2010-10-07,61.1,general admin,Stationery Purchase,38370
172,"Abbott, Diane",Labour,10_11,2011-02-20,55.84,general admin,Mobile Usage/Rental,84598
172,"Abbott, Diane",Labour,10_11,2010-12-02,414.69,general admin,Shredder Purchase,52660
172,"Abbott, Diane",Labour,10_11,2011-02-16,144.66,general admin,Stationery Purchase,70105
