id,list_name,party,session,date,value,category,description,claim_number
4069,"Aldous, Peter",Conservative,12_13,2013-03-18,1581.67,accommodation,Accommodation Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-09-16,87.17,general admin,Office Furniture Purchase,31165
4069,"Aldous, Peter",Conservative,10_11,2010-10-13,328.41,general admin,Training MP Staff,39543
4069,"Aldous, Peter",Conservative,10_11,2010-10-19,99.76,accommodation,Electricity,41008
4069,"Aldous, Peter",Conservative,10_11,2010-09-08,299.05,accommodation,Water,23628
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,46.63,general admin,Stationery Purchase,30016
4069,"Aldous, Peter",Conservative,10_11,2011-03-29,515.71,accommodation,Council Tax,79283
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,307.74,general admin,Stationery Purchase,23294
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,123.86,general admin,Stationery Purchase,23306
4069,"Aldous, Peter",Conservative,10_11,2011-03-28,750,constituency rental,Const Office Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,59,accommodation,Interim Hotel London Area,30024
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,40.23,general admin,Stationery Purchase,60346
4069,"Aldous, Peter",Conservative,10_11,2010-12-08,922.37,general admin,Install/Maint Office Equip.,55150
4069,"Aldous, Peter",Conservative,10_11,2010-12-21,1374.97,accommodation,Accommodation Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,652.13,general admin,Website - Design/Production,23344
4069,"Aldous, Peter",Conservative,10_11,2010-08-05,1374.97,accommodation,Accommodation Rent,21334
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,20,general admin,Venue Hire,60345
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,472.35,general admin,Advertising,60294
4069,"Aldous, Peter",Conservative,10_11,2010-08-17,279.5,general admin,Training MP Staff,23556
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,90.48,general admin,Contact Cards,23320
4069,"Aldous, Peter",Conservative,10_11,2011-01-13,55.89,general admin,Office Furniture Purchase,61290
4069,"Aldous, Peter",Conservative,10_11,2010-12-16,237,accommodation,Council Tax,56851
4069,"Aldous, Peter",Conservative,10_11,2010-11-23,60,general admin,Venue Hire,50157
4069,"Aldous, Peter",Conservative,10_11,2010-12-09,171.55,general admin,Stationery Purchase,55436
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,366.5,general admin,Stationery Purchase,30012
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,188.8,constituency rental,Const Office Electricity,60341
4069,"Aldous, Peter",Conservative,10_11,2010-11-16,750,constituency rental,Const Office Rent,48645
4069,"Aldous, Peter",Conservative,10_11,2010-10-28,293.37,general admin,Stationery Purchase,43135
4069,"Aldous, Peter",Conservative,10_11,2010-12-15,547,constituency rental,Contents Insurance,56686
4069,"Aldous, Peter",Conservative,10_11,2010-12-15,655.51,general admin,Professional Services,56543
4069,"Aldous, Peter",Conservative,10_11,2011-03-10,415.9,accommodation,Water,75742
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,243,accommodation,Interim Hotel London Area,30026
4069,"Aldous, Peter",Conservative,10_11,2011-02-25,750,constituency rental,Const Office Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-08-17,779.86,general admin,Advertising,23640
4069,"Aldous, Peter",Conservative,10_11,2011-03-29,350,general admin,Contact Cards,79530
4069,"Aldous, Peter",Conservative,10_11,2011-01-21,1374.97,accommodation,Accommodation Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,94,general admin,Stationery Purchase,60343
4069,"Aldous, Peter",Conservative,10_11,2011-01-26,750,constituency rental,Const Office Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2011-01-11,652.13,general admin,Website - Hosting,60324
4069,"Aldous, Peter",Conservative,10_11,2010-10-01,136,general admin,Stationery Purchase,36256
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,69.95,general admin,Telephone/Mobile Purchase,30108
4069,"Aldous, Peter",Conservative,10_11,2011-02-21,1374.97,accommodation,Accommodation Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-11-16,750,constituency rental,Const Office Rent,48638
4069,"Aldous, Peter",Conservative,10_11,2011-03-10,70,general admin,Venue Hire,75745
4069,"Aldous, Peter",Conservative,10_11,2010-11-23,176.56,general admin,Office Furniture Purchase,50186
4069,"Aldous, Peter",Conservative,10_11,2011-03-29,118.96,constituency rental,Const Office Tel. Usage/Rental,79342
4069,"Aldous, Peter",Conservative,10_11,2010-10-01,1374.97,accommodation,Accommodation Rent,36251
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,1374.97,accommodation,Accommodation Rent,23328
4069,"Aldous, Peter",Conservative,10_11,2010-10-14,158.33,accommodation,Council Tax,39990
4069,"Aldous, Peter",Conservative,10_11,2010-08-05,1374.97,accommodation,Accommodation Rent,21338
4069,"Aldous, Peter",Conservative,10_11,2010-12-15,470,general admin,Professional Services,56530
4069,"Aldous, Peter",Conservative,10_11,2010-12-15,341.43,general admin,Stationery Purchase,56536
4069,"Aldous, Peter",Conservative,10_11,2010-09-14,59,accommodation,Interim Hotel London Area,30022
4069,"Aldous, Peter",Conservative,10_11,2010-11-23,652.13,general admin,Website - Hosting,50133
4069,"Aldous, Peter",Conservative,10_11,2011-03-21,1374.97,accommodation,Accommodation Rent,Payment to Supplier
4069,"Aldous, Peter",Conservative,10_11,2010-10-28,1374.97,accommodation,Accommodation Rent,43631
4069,"Aldous, Peter",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,7221
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,4.94,general admin,Stationery Purchase,23316
4069,"Aldous, Peter",Conservative,10_11,2011-03-09,144.37,constituency rental,Const Office Tel. Usage/Rental,75458
4069,"Aldous, Peter",Conservative,10_11,2010-08-16,951.9,accommodation,Accommodation Rent,23284
4069,"Aldous, Peter",Conservative,10_11,2011-03-10,606.3,general admin,Professional Services,75473
4069,"Aldous, Peter",Conservative,10_11,2011-03-10,24,general admin,Venue Hire,75751
4069,"Aldous, Peter",Conservative,11_12,2011-10-04,79.75,travel,Hotel London Area MP Staff,0000130629
4069,"Aldous, Peter",Conservative,11_12,2011-09-20,4.85,staffing,Food & Drink Intern/Volunteer,125816
