id,list_name,party,session,date,value,category,description,claim_number
44,"Amess, David",Conservative,11_12,2011-11-04,4.5,travel,Own Car MP,0000134722
44,"Amess, David",Conservative,12_13,2012-05-29,1570.83,accommodation,Accommodation Rent,Payment to Supplier
44,"Amess, David",Conservative,12_13,2012-09-26,15.3,travel,Public Tr RAIL - RTN,0000219361
44,"Amess, David",Conservative,12_13,2013-02-21,10,travel,Congestion Zone/Toll,0000248262
44,"Amess, David",Conservative,12_13,2013-03-10,7.01,office costs,Stationery Purchase,Payment to Supplier
44,"Amess, David",Conservative,12_13,2013-01-14,18.9,travel,Own Vehicle Car,0000242083
44,"Amess, David",Conservative,12_13,2012-11-24,4.5,travel,Own Vehicle Car,0000225402
44,"Amess, David",Conservative,12_13,2013-02-23,19.84,office costs,Stationery Purchase,Payment to Supplier
44,"Amess, David",Conservative,12_13,2012-05-04,2.7,travel,Own Vehicle Car,0000183351
44,"Amess, David",Conservative,12_13,2012-08-24,2.7,travel,Own Vehicle Car,0000204290
44,"Amess, David",Conservative,12_13,2013-02-28,84,office costs,Newspapers/Journals,0000249377
44,"Amess, David",Conservative,12_13,2012-06-25,18.9,travel,Own Vehicle Car,0000194476
44,"Amess, David",Conservative,12_13,2012-11-14,4.85,staffing,Food & Drink Int/Volntr,0000229549
44,"Amess, David",Conservative,10_11,2010-09-24,2.4,travel,Own Car MP,41416
44,"Amess, David",Conservative,10_11,2011-02-25,545.84,constituency rental,Const Office Rent,Payment to Supplier
44,"Amess, David",Conservative,10_11,2010-09-01,273.84,accommodation,Electricity,113215
44,"Amess, David",Conservative,10_11,2010-12-30,12.4,travel,Public Tr RAIL - SGL,66843
44,"Amess, David",Conservative,10_11,2010-10-06,16.84,travel,Own Car MP,47988
44,"Amess, David",Conservative,10_11,2010-09-03,16.8,travel,Own Car MP,41408
44,"Amess, David",Conservative,10_11,2011-01-17,90,accommodation,Council Tax,58543
44,"Amess, David",Conservative,10_11,2010-10-11,16.84,travel,Own Car MP,47988
44,"Amess, David",Conservative,10_11,2011-03-24,16.8,travel,Own Car MP,81052
44,"Amess, David",Conservative,10_11,2011-02-12,1.6,travel,Own Car MP,76070
44,"Amess, David",Conservative,10_11,2010-09-17,16.8,travel,Own Car MP,41408
44,"Amess, David",Conservative,10_11,2010-11-15,2.4,travel,Own Car MP,56727
44,"Amess, David",Conservative,10_11,2010-06-09,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2010-11-08,16.8,travel,Own Car MP,56729
44,"Amess, David",Conservative,10_11,2010-07-02,4,travel,Own Car MP,29444
44,"Amess, David",Conservative,10_11,2010-09-16,5,travel,Taxi MP,41802
44,"Amess, David",Conservative,10_11,2010-10-30,2.4,travel,Own Car MP,47990
44,"Amess, David",Conservative,10_11,2010-11-29,16.8,travel,Own Car MP,56729
44,"Amess, David",Conservative,10_11,2011-02-02,26.57,general admin,Stationery Purchase,81101
44,"Amess, David",Conservative,10_11,2011-02-15,163.2,general admin,Stationery Purchase,81101
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-07-23,8,travel,Own Car MP,29444
44,"Amess, David",Conservative,10_11,2010-07-17,2.4,travel,Own Car MP,29444
44,"Amess, David",Conservative,10_11,2010-09-16,55,travel,Hotel NOT London Area (Travel),41802
44,"Amess, David",Conservative,10_11,2011-01-05,19.1,travel,Public Tr RAIL - RTN,66843
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2011-02-17,88.8,travel,Parking MP,74151
44,"Amess, David",Conservative,10_11,2011-01-17,72.58,accommodation,Council Tax,58543
44,"Amess, David",Conservative,10_11,2010-11-25,16.8,travel,Own Car MP,56729
44,"Amess, David",Conservative,10_11,2010-10-21,68.61,general admin,Telephone/Mobile Hire,23274
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-12-05,16,travel,Own Car MP,56731
44,"Amess, David",Conservative,10_11,2010-11-01,90,accommodation,Council Tax,58543
44,"Amess, David",Conservative,10_11,2011-02-17,16.8,travel,Own Car MP,76070
44,"Amess, David",Conservative,10_11,2011-03-24,10,travel,Congestion Zone/Toll MP,81035
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2011-01-31,16.8,travel,Own Car MP,67734
44,"Amess, David",Conservative,10_11,2010-09-13,16.8,travel,Own Car MP,41408
44,"Amess, David",Conservative,10_11,2010-07-31,16.84,travel,Own Car MP,28990
44,"Amess, David",Conservative,10_11,2010-11-15,16.8,travel,Own Car MP,56729
44,"Amess, David",Conservative,10_11,2011-02-07,16.8,travel,Own Car MP,76070
44,"Amess, David",Conservative,10_11,2010-07-22,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2010-09-06,16.8,travel,Own Car MP,41408
44,"Amess, David",Conservative,10_11,2010-12-04,2.4,travel,Own Car MP,56731
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-11-17,545.84,constituency rental,Const Office Hire of Premises,47963
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-08-10,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-11-17,545.84,constituency rental,Const Office Hire of Premises,47963
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2011-01-28,16.8,travel,Own Car MP,67734
44,"Amess, David",Conservative,10_11,2011-03-14,10,travel,Congestion Zone/Toll MP,81035
44,"Amess, David",Conservative,10_11,2011-01-29,2.4,travel,Own Car MP,67734
44,"Amess, David",Conservative,10_11,2010-07-08,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2011-03-03,16.8,travel,Own Car MP,81052
44,"Amess, David",Conservative,10_11,2011-01-21,3.2,travel,Own Car MP,67734
44,"Amess, David",Conservative,10_11,2010-08-12,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2010-07-29,16.84,travel,Own Car MP,29331
44,"Amess, David",Conservative,10_11,2011-03-12,1.6,travel,Own Car MP,81052
44,"Amess, David",Conservative,10_11,2011-02-18,4,travel,Own Car MP,76070
44,"Amess, David",Conservative,10_11,2010-06-07,16.84,travel,Own Car MP,28990
44,"Amess, David",Conservative,10_11,2010-12-12,8,travel,Congestion Zone/Toll MP,71799
44,"Amess, David",Conservative,10_11,2010-10-17,94.59,general admin,Stationery Purchase,47936
44,"Amess, David",Conservative,10_11,2010-11-01,90,accommodation,Council Tax,58543
44,"Amess, David",Conservative,10_11,2011-01-01,90,accommodation,Council Tax,58543
44,"Amess, David",Conservative,10_11,2011-01-13,16.8,travel,Own Car MP,67734
44,"Amess, David",Conservative,10_11,2011-03-28,545.84,constituency rental,Const Office Rent,Payment to Supplier
44,"Amess, David",Conservative,10_11,2010-11-02,62.9,travel,Parking MP,47981
