id,list_name,party,session,date,value,category,description,claim_number
1486,"Anderson, David",Labour,12_13,2012-07-01,13,accommodation,Water,0000189294
1486,"Anderson, David",Labour,10_11,2010-05-07,68.59,accommodation,Service Charges,21337
1486,"Anderson, David",Labour,10_11,2011-01-26,261,travel,Public Tr RAIL - RTN,74195
1486,"Anderson, David",Labour,10_11,2010-08-30,11,accommodation,Gas,38277
1486,"Anderson, David",Labour,10_11,2010-11-01,61,accommodation,Council Tax,52643
1486,"Anderson, David",Labour,10_11,2010-10-17,211.43,general admin,Payment Telephone/Mobile,43661
1486,"Anderson, David",Labour,10_11,2010-07-01,85.06,accommodation,Service Charges,21337
1486,"Anderson, David",Labour,10_11,2011-01-01,968.65,accommodation,Mortgage Interest,63710
1486,"Anderson, David",Labour,10_11,2010-11-30,2277.58,constituency rental,Const Office Rent,54969
1486,"Anderson, David",Labour,10_11,2010-06-27,115.2,travel,Own Car MP,14898
1486,"Anderson, David",Labour,10_11,2010-11-16,214.29,constituency rental,Const Office Electricity,69072
1486,"Anderson, David",Labour,10_11,2010-07-15,20,travel,Taxi MP,38607
1486,"Anderson, David",Labour,10_11,2010-07-22,235,travel,Public Tr RAIL - RTN,19588
1486,"Anderson, David",Labour,10_11,2010-09-27,5.82,general admin,Photocopier Hire,43661
1486,"Anderson, David",Labour,10_11,2011-01-17,127.75,general admin,Telephone/Mobile Hire,63732
1486,"Anderson, David",Labour,10_11,2010-07-13,14.1,travel,Food & Drink @ Parliament,14901
1486,"Anderson, David",Labour,10_11,2010-05-17,6.3,travel,Public Tr UND MP Staff,14883
1486,"Anderson, David",Labour,10_11,2010-08-05,2,travel,Parking MP,43658
1486,"Anderson, David",Labour,10_11,2010-07-16,3.3,travel,Parking MP,38607
1486,"Anderson, David",Labour,10_11,2010-06-14,17,travel,Taxi MP,14903
1486,"Anderson, David",Labour,10_11,2010-05-13,1.8,travel,Public Tr Underground MP,7426
1486,"Anderson, David",Labour,10_11,2010-10-21,5,travel,Taxi MP,43658
1486,"Anderson, David",Labour,10_11,2011-03-21,7.5,travel,Food & Drink @ Parliament,80969
1486,"Anderson, David",Labour,10_11,2010-05-13,6.3,travel,Public Tr UND MP Staff,14881
1486,"Anderson, David",Labour,10_11,2010-10-13,240,travel,Public Tr RAIL - RTN,44571
1486,"Anderson, David",Labour,10_11,2010-09-05,115.2,travel,Own Car MP,38282
1486,"Anderson, David",Labour,10_11,2011-02-28,261,travel,Public Tr RAIL - RTN,82206
1486,"Anderson, David",Labour,10_11,2010-07-07,10,travel,Taxi After Late Sitting,14903
1486,"Anderson, David",Labour,10_11,2010-08-02,59.01,accommodation,Gas,38277
1486,"Anderson, David",Labour,10_11,2010-08-01,968.65,accommodation,Mortgage Interest,7399
1486,"Anderson, David",Labour,10_11,2010-09-28,-32.23,travel,Public Tr AIR,44571
1486,"Anderson, David",Labour,10_11,2010-05-11,1.8,travel,Public Tr Underground MP,7426
1486,"Anderson, David",Labour,10_11,2011-01-12,17,travel,Taxi MP,80897
1486,"Anderson, David",Labour,10_11,2010-06-04,235,travel,Public Tr RAIL - RTN,11340
1486,"Anderson, David",Labour,10_11,2010-12-01,13,accommodation,Water,52643
1486,"Anderson, David",Labour,10_11,2010-06-21,130.5,travel,Public Tr RAIL - SGL,11340
1486,"Anderson, David",Labour,10_11,2010-08-17,6,travel,Own Car MP,43822
1486,"Anderson, David",Labour,10_11,2010-05-12,104.5,travel,Public Tr RAIL MP Staff - RTN,14881
1486,"Anderson, David",Labour,10_11,2010-05-07,49.19,accommodation,Council Tax,21337
1486,"Anderson, David",Labour,10_11,2010-07-17,125.63,general admin,Telephone/Mobile Hire,21495
1486,"Anderson, David",Labour,10_11,2010-08-01,13,accommodation,Water,21337
