id,list_name,party,session,date,value,category,description,claim_number
1511,"Austin, Ian",Labour,11_12,2011-10-24,117,travel,Own Car MP,128929
1511,"Austin, Ian",Labour,12_13,2013-03-12,189.13,office costs,Stationery Purchase,0000251266
1511,"Austin, Ian",Labour,12_13,2012-12-06,567,office costs,Software Purchase,0000228852
1511,"Austin, Ian",Labour,12_13,2013-03-12,59.49,office costs,Other,0000251268
1511,"Austin, Ian",Labour,12_13,2012-07-06,28.8,travel,Own Vehicle Car,0000197827
1511,"Austin, Ian",Labour,12_13,2012-07-27,159.9,office costs,Install/Maint Office Equip.,0000194226
1511,"Austin, Ian",Labour,12_13,2012-11-12,58.5,travel,Own Vehicle Car,0000229277
1511,"Austin, Ian",Labour,12_13,2013-02-08,3.6,travel,Own Vehicle Car MP Staff,0000246957
1511,"Austin, Ian",Labour,10_11,2010-11-18,8,travel,Congestion Zone/Toll MP,49143
1511,"Austin, Ian",Labour,10_11,2011-03-11,87.71,accommodation,Electricity,84873
1511,"Austin, Ian",Labour,10_11,2011-03-21,52,travel,Own Car MP,105213
1511,"Austin, Ian",Labour,10_11,2010-09-18,130,accommodation,Hotel London Area,31541
1511,"Austin, Ian",Labour,10_11,2011-01-25,235,accommodation,Accommodation Rent,64234
1511,"Austin, Ian",Labour,10_11,2011-03-10,49.79,general admin,Office Furniture Purchase,84884
1511,"Austin, Ian",Labour,10_11,2010-08-01,38,travel,Own Car MP Staff,20148
1511,"Austin, Ian",Labour,10_11,2010-11-29,123.32,general admin,Payment Telephone/Mobile,51237
1511,"Austin, Ian",Labour,10_11,2011-03-14,10,travel,Congestion Zone/Toll MP,76218
1511,"Austin, Ian",Labour,10_11,2010-11-29,7.6,travel,Own Car MP Staff,51241
1511,"Austin, Ian",Labour,10_11,2011-01-06,125.35,constituency rental,Const Office Electricity,59163
1511,"Austin, Ian",Labour,10_11,2011-03-15,52,travel,Own Car MP,76637
1511,"Austin, Ian",Labour,10_11,2010-11-05,4,travel,Own Car MP Staff,46118
1511,"Austin, Ian",Labour,10_11,2010-12-08,850,general admin,Advertising,55129
