id,list_name,party,session,date,value,category,description,claim_number
1451,"Bacon, Richard",Conservative,12_13,2012-07-16,149,accommodation,Hotel London Area,0000199087
1451,"Bacon, Richard",Conservative,12_13,2012-11-23,115,office costs,Const Office Rent,Payment to Supplier
1451,"Bacon, Richard",Conservative,12_13,2012-08-13,48.1,travel,Public Tr RAIL - SGL,0000199150
1451,"Bacon, Richard",Conservative,12_13,2013-02-08,26.05,office costs,Newspapers/Journals,0000243615
1451,"Bacon, Richard",Conservative,12_13,2013-02-04,49.95,travel,Own Vehicle Car,0000245119
1451,"Bacon, Richard",Conservative,12_13,2012-12-07,26.4,office costs,Newspapers/Journals,0000228241
1451,"Bacon, Richard",Conservative,10_11,2010-09-30,843.57,accommodation,Council Tax,35495
1451,"Bacon, Richard",Conservative,10_11,2010-08-04,39,travel,Public Tr RAIL MP Staff - RTN,27172
1451,"Bacon, Richard",Conservative,10_11,2011-01-31,44.4,travel,Own Car MP,79577
1451,"Bacon, Richard",Conservative,10_11,2010-08-19,11.36,travel,Own Car MP,35511
1451,"Bacon, Richard",Conservative,10_11,2011-02-18,28.21,general admin,Stationery Purchase,70608
1451,"Bacon, Richard",Conservative,10_11,2011-02-18,15.24,general admin,Stationery Purchase,70608
1451,"Bacon, Richard",Conservative,10_11,2011-03-10,44.4,travel,Own Car MP,79577
1451,"Bacon, Richard",Conservative,10_11,2011-03-29,4.08,travel,Own Car MP Staff,79494
1451,"Bacon, Richard",Conservative,10_11,2011-03-29,208.8,general admin,Stationery Purchase,79472
1451,"Bacon, Richard",Conservative,10_11,2011-03-29,63.22,general admin,Payment Telephone/Mobile,79450
1451,"Bacon, Richard",Conservative,10_11,2010-07-08,1.88,travel,Own Car MP Staff,33862
1451,"Bacon, Richard",Conservative,10_11,2010-12-01,14.4,travel,Own Car MP Staff,62953
1451,"Bacon, Richard",Conservative,10_11,2011-02-28,1487.93,constituency rental,Const Office Rent 2,80662
1451,"Bacon, Richard",Conservative,10_11,2011-03-29,72.07,general admin,Payment Telephone/Mobile,79450
1451,"Bacon, Richard",Conservative,10_11,2010-05-20,44.32,travel,Own Car MP,11874
1451,"Bacon, Richard",Conservative,10_11,2010-05-13,5.8,travel,Own Car MP Staff,33862
1451,"Bacon, Richard",Conservative,10_11,2011-02-18,12.99,general admin,Computer HW Purchase,70612
1451,"Bacon, Richard",Conservative,10_11,2010-09-08,63.81,general admin,Payment Telephone/Mobile,31620
1451,"Bacon, Richard",Conservative,10_11,2010-07-12,44.4,travel,Own Car MP,35511
1451,"Bacon, Richard",Conservative,10_11,2010-06-07,44.32,travel,Own Car MP,12115
1451,"Bacon, Richard",Conservative,10_11,2010-07-08,3.4,travel,Own Car MP Staff,33862
1451,"Bacon, Richard",Conservative,10_11,2010-09-20,44.4,travel,Own Car MP,35517
1451,"Bacon, Richard",Conservative,10_11,2010-10-19,42.9,travel,Public Tr RAIL - SGL,44322
1451,"Bacon, Richard",Conservative,10_11,2010-10-14,44.4,travel,Own Car MP,57536
1451,"Bacon, Richard",Conservative,10_11,2011-03-29,44,general admin,Other,79472
1451,"Bacon, Richard",Conservative,10_11,2010-09-08,109.21,general admin,Payment Telephone/Mobile,31620
1451,"Bacon, Richard",Conservative,10_11,2010-06-08,56.07,general admin,Payment Telephone/Mobile,19799
1451,"Bacon, Richard",Conservative,10_11,2011-02-18,26.72,general admin,Other,70608
1451,"Bacon, Richard",Conservative,10_11,2010-06-23,23.5,general admin,Website - Hosting,19799
1451,"Bacon, Richard",Conservative,10_11,2011-02-18,0.9,general admin,Stationery Purchase,70612
1451,"Bacon, Richard",Conservative,10_11,2010-07-05,44.4,travel,Own Car MP,35511
