id,list_name,party,session,date,value,category,description,claim_number
320,"Bailey, Adrian",Labour,11_12,2011-05-09,58.82,office costs,Mobile Usage/Rental,88886
320,"Bailey, Adrian",Labour,12_13,2012-09-11,5.45,travel,Food & Drink @ Parliament,0000204860
320,"Bailey, Adrian",Labour,12_13,2012-05-18,49.5,travel,Own Vehicle Car,0000181798
320,"Bailey, Adrian",Labour,12_13,2013-01-08,33.65,travel,Public Tr RAIL - SGL,0000240560
320,"Bailey, Adrian",Labour,10_11,2011-02-17,129.5,travel,Public Tr RAIL MP Staff - RTN,74164
320,"Bailey, Adrian",Labour,10_11,2010-12-13,2.38,staffing,Food & Drink Intern/Volunteer,57602
320,"Bailey, Adrian",Labour,10_11,2011-02-10,16.5,travel,Public Tr RAIL - SGL,74164
320,"Bailey, Adrian",Labour,10_11,2010-10-01,4.3,travel,Parking MP,41298
320,"Bailey, Adrian",Labour,10_11,2010-11-20,3.2,travel,Own Car MP,51855
320,"Bailey, Adrian",Labour,10_11,2010-12-01,2.34,staffing,Food & Drink Intern/Volunteer,57602
320,"Bailey, Adrian",Labour,10_11,2010-07-10,56.58,general admin,Payment Telephone/Mobile,23609
320,"Bailey, Adrian",Labour,10_11,2010-07-23,5.6,travel,Own Car MP,18538
320,"Bailey, Adrian",Labour,10_11,2010-12-21,4.15,staffing,Food & Drink Intern/Volunteer,62947
320,"Bailey, Adrian",Labour,10_11,2010-10-22,45.6,travel,Own Car MP,42245
320,"Bailey, Adrian",Labour,10_11,2011-02-07,1.55,travel,Food & Drink @ Parliament,68278
320,"Bailey, Adrian",Labour,10_11,2010-06-17,45.6,travel,Own Car MP,8966
320,"Bailey, Adrian",Labour,10_11,2010-10-20,385.64,accommodation,Service Charges,41277
320,"Bailey, Adrian",Labour,10_11,2010-06-04,4.8,travel,Own Car MP,8966
320,"Bailey, Adrian",Labour,10_11,2010-07-28,45.6,travel,Own Car MP,18538
320,"Bailey, Adrian",Labour,10_11,2010-07-21,27,travel,Public Tr RAIL - SGL,18492
320,"Bailey, Adrian",Labour,10_11,2010-11-01,134,accommodation,Council Tax,45102
320,"Bailey, Adrian",Labour,10_11,2010-12-04,3.2,travel,Own Car MP,55208
320,"Bailey, Adrian",Labour,10_11,2011-03-22,4.7,staffing,Food & Drink Intern/Volunteer,78916
320,"Bailey, Adrian",Labour,10_11,2010-07-12,1.2,travel,Food & Drink @ Parliament,31798
320,"Bailey, Adrian",Labour,10_11,2010-06-14,45.6,travel,Own Car MP,8966
320,"Bailey, Adrian",Labour,10_11,2010-12-08,2.2,staffing,Food & Drink Intern/Volunteer,57602
320,"Bailey, Adrian",Labour,10_11,2010-07-18,3.2,travel,Own Car MP,18538
320,"Bailey, Adrian",Labour,10_11,2011-03-09,2.35,staffing,Food & Drink Intern/Volunteer,78916
320,"Bailey, Adrian",Labour,10_11,2010-05-31,143.11,accommodation,Television Licence,20797
320,"Bailey, Adrian",Labour,10_11,2010-10-07,134,accommodation,Council Tax,38684
320,"Bailey, Adrian",Labour,10_11,2010-11-12,0.8,travel,Own Car MP,50346
320,"Bailey, Adrian",Labour,10_11,2010-10-06,45.6,travel,Own Car MP,41288
320,"Bailey, Adrian",Labour,10_11,2010-12-14,1.2,staffing,Food & Drink Intern/Volunteer,57602
320,"Bailey, Adrian",Labour,10_11,2010-07-12,4.05,travel,Food & Drink @ Parliament,31798
320,"Bailey, Adrian",Labour,10_11,2010-11-13,1.2,travel,Own Car MP,50346
320,"Bailey, Adrian",Labour,10_11,2010-12-02,27,travel,Public Tr RAIL - SGL,62225
320,"Bailey, Adrian",Labour,10_11,2010-06-30,407.28,accommodation,Service Charges,20797
320,"Bailey, Adrian",Labour,10_11,2010-09-06,45.6,travel,Own Car MP,29338
320,"Bailey, Adrian",Labour,10_11,2010-12-10,27,travel,Public Tr RAIL - SGL,62225
320,"Bailey, Adrian",Labour,10_11,2010-09-16,56.28,general admin,Payment Telephone/Mobile,31084
320,"Bailey, Adrian",Labour,10_11,2011-03-02,4.85,staffing,Food & Drink Intern/Volunteer,73377
320,"Bailey, Adrian",Labour,10_11,2011-03-14,45.6,travel,Own Car MP,76810
320,"Bailey, Adrian",Labour,10_11,2011-02-04,32.35,travel,Public Tr RAIL - SGL,74164
320,"Bailey, Adrian",Labour,10_11,2010-11-29,126.18,accommodation,Electricity,62225
320,"Bailey, Adrian",Labour,10_11,2011-03-22,0.6,staffing,Food & Drink Intern/Volunteer,78916
320,"Bailey, Adrian",Labour,10_11,2011-03-30,8668.65,constituency rental,Const Office Rent,79841
320,"Bailey, Adrian",Labour,10_11,2010-12-20,63.45,general admin,Advertising,57765
320,"Bailey, Adrian",Labour,10_11,2011-03-31,4.55,staffing,Food & Drink Intern/Volunteer,84318
320,"Bailey, Adrian",Labour,10_11,2010-10-18,95,general admin,Advertising,38490
320,"Bailey, Adrian",Labour,10_11,2010-07-16,41.9,travel,Public Tr RAIL MP Staff - RTN,18508
320,"Bailey, Adrian",Labour,10_11,2010-11-14,2,travel,Own Car MP,50346
