id,list_name,party,session,date,value,category,description,claim_number
4064,"Baker, Steve",Conservative,11_12,2011-07-20,4.15,staffing,Food & Drink Intern/Volunteer,110623
4064,"Baker, Steve",Conservative,11_12,2011-07-21,4.35,staffing,Food & Drink Intern/Volunteer,110623
4064,"Baker, Steve",Conservative,12_13,2012-05-23,4.85,staffing,Food & Drink Int/Volntr,0000181967
4064,"Baker, Steve",Conservative,12_13,2012-07-12,4.8,staffing,Food & Drink Int/Volntr,0000197716
4064,"Baker, Steve",Conservative,10_11,2010-11-23,233.22,general admin,Stationery Purchase,50130
4064,"Baker, Steve",Conservative,10_11,2010-12-01,34.57,general admin,Stationery Purchase,52436
4064,"Baker, Steve",Conservative,10_11,2010-07-28,96.24,general admin,Computer HW Purchase,20576
4064,"Baker, Steve",Conservative,10_11,2010-12-08,16.95,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-01-11,17.8,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-02-02,17.8,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2010-11-15,82.9,general admin,Stationery Purchase,48345
4064,"Baker, Steve",Conservative,10_11,2010-08-27,94.59,general admin,Stationery Purchase,25663
4064,"Baker, Steve",Conservative,10_11,2011-03-08,1.65,staffing,Public Tr Bus Int/Volntr,79594
4064,"Baker, Steve",Conservative,10_11,2010-07-02,378.35,general admin,Stationery Purchase,9676
4064,"Baker, Steve",Conservative,10_11,2011-02-08,13,travel,Public Tr RAIL MP Staff - RTN,75548
4064,"Baker, Steve",Conservative,10_11,2010-12-13,16.95,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2010-12-01,799,general admin,Office Furniture Purchase,52455
4064,"Baker, Steve",Conservative,10_11,2010-07-28,2406.06,staffing,Professional Services (Staff.),34485
4064,"Baker, Steve",Conservative,10_11,2011-02-15,0.37,general admin,Stationery Purchase,69771
4064,"Baker, Steve",Conservative,10_11,2010-10-26,1000,staffing,Pooled Staffing Services,42835
4064,"Baker, Steve",Conservative,10_11,2011-03-08,5.1,staffing,Food & Drink Intern/Volunteer,79600
4064,"Baker, Steve",Conservative,10_11,2011-02-15,16.25,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-03-22,16.25,staffing,Public Tr RAIL Int/Volntr - RT,83828
4064,"Baker, Steve",Conservative,10_11,2010-12-14,16.95,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-03-02,7,staffing,Food & Drink Intern/Volunteer,79600
4064,"Baker, Steve",Conservative,10_11,2010-12-01,2.7,travel,Public Tr BUS Int/Volntr,71486
4064,"Baker, Steve",Conservative,10_11,2010-12-02,2000,constituency rental,Const Office Rent,52746
4064,"Baker, Steve",Conservative,10_11,2010-08-27,168,general admin,Payment Telephone/Mobile,25650
4064,"Baker, Steve",Conservative,10_11,2010-10-27,23.97,general admin,Stationery Purchase,42851
4064,"Baker, Steve",Conservative,10_11,2011-03-15,6.25,staffing,Food & Drink Intern/Volunteer,79600
4064,"Baker, Steve",Conservative,10_11,2010-12-21,2.8,staffing,Professional Services (Staff.),60276
4064,"Baker, Steve",Conservative,10_11,2011-01-25,17.8,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-01-17,1.7,travel,Public Tr BUS Int/Volntr,71486
4064,"Baker, Steve",Conservative,10_11,2010-12-13,26.64,staffing,Professional Services (Staff.),60276
4064,"Baker, Steve",Conservative,10_11,2010-09-10,1743.76,staffing,Professional Services (Staff.),34454
4064,"Baker, Steve",Conservative,10_11,2010-08-27,6.99,general admin,Stationery Purchase,25652
4064,"Baker, Steve",Conservative,10_11,2011-02-15,78.85,general admin,Payment Telephone/Mobile,69781
4064,"Baker, Steve",Conservative,10_11,2011-03-09,16.25,staffing,Public Tr RAIL Int/Volntr - RT,79596
4064,"Baker, Steve",Conservative,10_11,2010-10-27,70.84,general admin,Telephone/Mobile Hire,42842
4064,"Baker, Steve",Conservative,10_11,2010-12-07,2.7,travel,Public Tr BUS Int/Volntr,71486
4064,"Baker, Steve",Conservative,10_11,2011-03-01,1.65,staffing,Public Tr Bus Int/Volntr,79594
4064,"Baker, Steve",Conservative,10_11,2011-03-16,7,staffing,Food & Drink Intern/Volunteer,83832
4064,"Baker, Steve",Conservative,10_11,2011-02-15,66.84,general admin,Stationery Purchase,69783
4064,"Baker, Steve",Conservative,10_11,2011-01-18,17.8,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-02-07,16.25,staffing,Public Tr RAIL Int/Volntr - RT,71484
4064,"Baker, Steve",Conservative,10_11,2011-03-22,1.65,staffing,Public Tr Bus Int/Volntr,83825
4064,"Baker, Steve",Conservative,10_11,2011-01-25,2.7,travel,Public Tr BUS Int/Volntr,71486
4064,"Baker, Steve",Conservative,10_11,2010-11-15,294.53,general admin,Computer HW Purchase,48350
4064,"Baker, Steve",Conservative,10_11,2010-12-04,2.5,travel,Public Tr BUS Int/Volntr,73169
4064,"Baker, Steve",Conservative,10_11,2010-10-27,177.14,general admin,Stationery Purchase,42849
4064,"Baker, Steve",Conservative,10_11,2011-03-08,16.25,staffing,Public Tr RAIL Int/Volntr - RT,79596
4064,"Baker, Steve",Conservative,10_11,2011-03-23,16.25,staffing,Public Tr RAIL Int/Volntr - RT,83828
4064,"Baker, Steve",Conservative,10_11,2011-03-02,1.65,staffing,Public Tr Bus Int/Volntr,79594
