id,list_name,party,session,date,value,category,description,claim_number
1549,"Balls, Ed",Labour,12_13,2012-07-23,15.16,travel,Own Vehicle Car,0000207806
1549,"Balls, Ed",Labour,12_13,2012-07-19,31,travel,Public Tr RAIL MP Staff - RTN,0000196326
1549,"Balls, Ed",Labour,10_11,2010-12-04,20,travel,Own Car MP,70632
1549,"Balls, Ed",Labour,10_11,2011-01-16,25,travel,Public Tr OTHER,66665
1549,"Balls, Ed",Labour,10_11,2011-03-13,87.6,travel,Public Tr RAIL - SGL,81975
1549,"Balls, Ed",Labour,10_11,2010-09-10,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2011-03-18,24.7,travel,Public Tr RAIL Dependant - RTN,79137
1549,"Balls, Ed",Labour,10_11,2011-01-06,94.6,travel,Public Tr RAIL MP Staff - RTN,66665
1549,"Balls, Ed",Labour,10_11,2010-07-11,97.15,general admin,Other,19728
1549,"Balls, Ed",Labour,10_11,2010-10-20,82.84,general admin,Stationery Purchase,42186
1549,"Balls, Ed",Labour,10_11,2010-12-02,50.8,travel,Public Tr RAIL MP Staff - SGL,62022
1549,"Balls, Ed",Labour,10_11,2010-10-10,179,travel,Public Tr OTHER,47090
1549,"Balls, Ed",Labour,10_11,2011-01-17,341.92,general admin,Other,67500
1549,"Balls, Ed",Labour,10_11,2011-01-06,94.6,travel,Public Tr RAIL MP Staff - RTN,66665
1549,"Balls, Ed",Labour,10_11,2010-09-23,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2011-03-24,716.21,general admin,Stationery Purchase,79073
1549,"Balls, Ed",Labour,10_11,2010-12-14,8.6,travel,Public Tr RAIL - RTN,62022
1549,"Balls, Ed",Labour,10_11,2010-11-08,46.05,general admin,Other,47282
1549,"Balls, Ed",Labour,10_11,2010-08-10,219.72,general admin,Office Furniture Purchase,39834
1549,"Balls, Ed",Labour,10_11,2010-09-17,145.5,travel,Public Tr RAIL - RTN,37619
1549,"Balls, Ed",Labour,10_11,2010-10-10,25,travel,Public Tr OTHER Dependant,44359
1549,"Balls, Ed",Labour,10_11,2011-03-04,24.7,travel,Public Tr RAIL Dependant - RTN,79137
1549,"Balls, Ed",Labour,10_11,2010-11-12,50,travel,Parking MP,56292
1549,"Balls, Ed",Labour,10_11,2010-09-23,111.5,travel,Public Tr RAIL - SGL,37619
1549,"Balls, Ed",Labour,10_11,2010-07-09,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2011-03-30,1375,constituency rental,Const Office Rent,Payment to Supplier
1549,"Balls, Ed",Labour,10_11,2011-02-10,181.5,travel,Public Tr RAIL - RTN,73963
1549,"Balls, Ed",Labour,10_11,2011-03-11,24.7,travel,Public Tr RAIL Dependant - RTN,79137
1549,"Balls, Ed",Labour,10_11,2011-01-17,65,travel,Public Tr RAIL Dependant - RTN,66665
1549,"Balls, Ed",Labour,10_11,2010-11-09,114.07,constituency rental,Business Rates,48286
1549,"Balls, Ed",Labour,10_11,2010-12-10,20,travel,Own Car MP,70632
1549,"Balls, Ed",Labour,10_11,2010-10-22,1375,constituency rental,Const Office Rent,44812
1549,"Balls, Ed",Labour,10_11,2011-01-04,76,travel,Own Car MP,70639
1549,"Balls, Ed",Labour,10_11,2010-12-02,97,travel,Public Tr RAIL - SGL,62022
1549,"Balls, Ed",Labour,10_11,2010-07-21,325.6,constituency rental,Business Rates,30933
1549,"Balls, Ed",Labour,10_11,2011-02-17,116,travel,Public Tr RAIL - SGL,73963
1549,"Balls, Ed",Labour,10_11,2011-03-30,88.6,travel,Public Tr RAIL MP Staff - RTN,90844
1549,"Balls, Ed",Labour,10_11,2011-01-31,25.9,general admin,Stationery Purchase,83976
1549,"Balls, Ed",Labour,10_11,2010-07-30,1449.39,general admin,Security,30309
1549,"Balls, Ed",Labour,10_11,2010-07-11,74.4,travel,Own Car MP,38260
1549,"Balls, Ed",Labour,10_11,2011-01-28,100,travel,Parking MP,73963
1549,"Balls, Ed",Labour,10_11,2010-06-04,32.89,general admin,Payment Telephone/Mobile,30309
1549,"Balls, Ed",Labour,10_11,2010-11-20,25,travel,Public Tr OTHER,54566
1549,"Balls, Ed",Labour,10_11,2010-10-17,185,travel,Public Tr RAIL - RTN,44359
1549,"Balls, Ed",Labour,10_11,2011-01-25,16.77,general admin,Payment Telephone/Mobile,74795
1549,"Balls, Ed",Labour,10_11,2010-10-03,25,travel,Public Tr OTHER,44359
1549,"Balls, Ed",Labour,10_11,2011-01-17,37.15,general admin,Other,67500
1549,"Balls, Ed",Labour,10_11,2010-10-10,25,travel,Public Tr OTHER Dependant,44359
1549,"Balls, Ed",Labour,10_11,2011-02-06,50,travel,Public Tr OTHER,73963
1549,"Balls, Ed",Labour,10_11,2011-01-16,25,travel,Public Tr OTHER,66665
1549,"Balls, Ed",Labour,10_11,2011-03-11,119.5,travel,Public Tr RAIL - SGL,81975
1549,"Balls, Ed",Labour,10_11,2011-02-11,66.01,accommodation,Television Licence,86215
1549,"Balls, Ed",Labour,10_11,2011-02-11,69.7,accommodation,Telephone Usage/Rental,86215
1549,"Balls, Ed",Labour,10_11,2011-02-24,-61.66,travel,Public Tr RAIL Dependant - RTN,73963
1549,"Balls, Ed",Labour,10_11,2010-11-21,20,travel,Own Car MP,67423
1549,"Balls, Ed",Labour,10_11,2010-05-24,83.7,travel,Public Tr RAIL MP Staff - RTN,18440
1549,"Balls, Ed",Labour,10_11,2011-01-14,65,travel,Public Tr RAIL Dependant - RTN,66665
1549,"Balls, Ed",Labour,10_11,2010-09-17,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2011-01-17,65,travel,Public Tr RAIL Dependant - RTN,66665
1549,"Balls, Ed",Labour,10_11,2011-02-01,109.33,general admin,Other,74790
1549,"Balls, Ed",Labour,10_11,2011-02-11,320.62,accommodation,Electricity,86215
1549,"Balls, Ed",Labour,10_11,2011-03-25,16.77,general admin,Payment Telephone/Mobile,85758
1549,"Balls, Ed",Labour,10_11,2010-07-29,70,travel,Public Tr RAIL - SGL,27198
1549,"Balls, Ed",Labour,10_11,2011-03-18,99,travel,Public Tr RAIL - SGL,81975
1549,"Balls, Ed",Labour,10_11,2010-10-13,83.7,travel,Public Tr RAIL MP Staff - RTN,44359
1549,"Balls, Ed",Labour,10_11,2010-11-08,400.17,general admin,Stationery Purchase,46630
1549,"Balls, Ed",Labour,10_11,2010-07-17,20,travel,Public Tr OTHER,19372
1549,"Balls, Ed",Labour,10_11,2010-11-20,82.7,travel,Public Tr RAIL - SGL,56292
1549,"Balls, Ed",Labour,10_11,2010-09-19,74.4,travel,Own Car MP,44980
1549,"Balls, Ed",Labour,10_11,2011-02-11,851.68,accommodation,Council Tax,86215
1549,"Balls, Ed",Labour,10_11,2010-10-10,25,travel,Public Tr OTHER Dependant,44359
1549,"Balls, Ed",Labour,10_11,2010-12-09,979.15,staffing,Professional Services (Staff.),48692
1549,"Balls, Ed",Labour,10_11,2010-07-13,402.7,constituency rental,Const Office Electricity,30308
1549,"Balls, Ed",Labour,10_11,2010-07-26,83.7,travel,Public Tr RAIL MP Staff - RTN,27198
1549,"Balls, Ed",Labour,10_11,2011-03-21,61.5,general admin,Install/Maint Office Equip.,79073
1549,"Balls, Ed",Labour,10_11,2010-07-09,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2010-08-01,335,general admin,Computer SW Purchase,32791
1549,"Balls, Ed",Labour,10_11,2010-11-26,76.8,travel,Own Car MP Staff,52337
1549,"Balls, Ed",Labour,10_11,2010-11-14,145.5,travel,Public Tr RAIL - RTN,56292
1549,"Balls, Ed",Labour,10_11,2011-01-14,165.68,general admin,Stationery Purchase,67500
1549,"Balls, Ed",Labour,10_11,2010-11-21,20,travel,Own Car MP,67423
1549,"Balls, Ed",Labour,10_11,2011-02-25,16.77,general admin,Payment Telephone/Mobile,79073
1549,"Balls, Ed",Labour,10_11,2010-07-09,20,travel,Own Car MP,38245
1549,"Balls, Ed",Labour,10_11,2010-05-07,29.81,general admin,Payment Telephone/Mobile,30309
1549,"Balls, Ed",Labour,10_11,2011-01-14,20,travel,Own Car MP,70639
1549,"Balls, Ed",Labour,10_11,2010-12-08,282,general admin,Contact Cards,55515
1549,"Balls, Ed",Labour,10_11,2010-12-17,78.5,travel,Public Tr RAIL - SGL,62022
1549,"Balls, Ed",Labour,10_11,2011-01-17,65,travel,Public Tr RAIL Dependant - RTN,66665
1549,"Balls, Ed",Labour,10_11,2011-03-21,499.99,staffing,Professional Services (Staff.),79075
1549,"Balls, Ed",Labour,10_11,2010-11-07,25,travel,Public Tr OTHER,54566
1549,"Balls, Ed",Labour,10_11,2010-08-10,170.5,general admin,Other,30925
1549,"Balls, Ed",Labour,10_11,2010-10-04,74.4,travel,Own Car MP,45563
1549,"Balls, Ed",Labour,10_11,2010-10-10,25,travel,Public Tr OTHER,44359
1549,"Balls, Ed",Labour,10_11,2010-11-08,4.37,general admin,Payment Telephone/Mobile,46630
1549,"Balls, Ed",Labour,10_11,2011-02-01,54.16,constituency rental,Const Office Electricity,74786
1549,"Balls, Ed",Labour,10_11,2011-03-21,308.4,general admin,Other,79073
1549,"Balls, Ed",Labour,10_11,2010-07-21,125.28,constituency rental,Const Office Tel. Usage/Rental,30246
1549,"Balls, Ed",Labour,10_11,2010-12-11,20,travel,Own Car MP,70632
1549,"Balls, Ed",Labour,10_11,2010-07-09,74.4,travel,Own Car MP,38260
1549,"Balls, Ed",Labour,10_11,2010-12-10,52.5,travel,Public Tr RAIL - SGL,62022
1549,"Balls, Ed",Labour,10_11,2010-09-09,99.45,general admin,Other,30925
1549,"Balls, Ed",Labour,10_11,2010-07-03,114.5,travel,Public Tr RAIL - RTN,19372
1549,"Balls, Ed",Labour,10_11,2011-01-28,65,travel,Public Tr RAIL Dependant - RTN,73963
