id,list_name,party,session,date,value,category,description,claim_number
3910,"Bebb, Guto",Conservative,11_12,2011-07-01,50.4,travel,Own Car MP,108527
3910,"Bebb, Guto",Conservative,12_13,2012-05-01,13.05,travel,Own Vehicle Car,0000179526
3910,"Bebb, Guto",Conservative,12_13,2012-05-05,108.74,accommodation,Electricity,0000174594
3910,"Bebb, Guto",Conservative,12_13,2012-04-04,1129.34,accommodation,Council Tax,0000172245
3910,"Bebb, Guto",Conservative,12_13,2012-10-22,564.5,office costs,Const Office Rent,0000214058
3910,"Bebb, Guto",Conservative,12_13,2012-05-02,4.5,travel,Own Car MP Staff,0000174610
3910,"Bebb, Guto",Conservative,12_13,2012-05-10,79.3,travel,Public Tr RAIL MP Staff - RTN,0000174615
3910,"Bebb, Guto",Conservative,12_13,2012-09-19,166.15,office costs,Advertising,0000206163
3910,"Bebb, Guto",Conservative,12_13,2012-12-07,43.65,travel,Own Vehicle Car,0000232329
3910,"Bebb, Guto",Conservative,12_13,2013-02-11,6,office costs,Professional Services,0000244834
3910,"Bebb, Guto",Conservative,12_13,2012-12-05,19,travel,Public Tr RAIL Dependant - SGL,0000235268
3910,"Bebb, Guto",Conservative,10_11,2010-07-16,28.4,travel,Own Car MP,24368
3910,"Bebb, Guto",Conservative,10_11,2010-05-24,10.5,travel,Taxi MP,8599
3910,"Bebb, Guto",Conservative,10_11,2010-11-12,23.19,general admin,Stationery Purchase,53755
3910,"Bebb, Guto",Conservative,10_11,2010-05-24,10,travel,Own Car MP,5024
3910,"Bebb, Guto",Conservative,10_11,2010-07-08,7.2,travel,Own Car MP,24240
3910,"Bebb, Guto",Conservative,10_11,2011-01-08,77,travel,Public Tr RAIL - SGL,66696
3910,"Bebb, Guto",Conservative,10_11,2010-09-30,497.79,general admin,Stationery Purchase,39065
3910,"Bebb, Guto",Conservative,10_11,2011-02-22,4.8,travel,Own Car MP Staff,78081
3910,"Bebb, Guto",Conservative,10_11,2011-01-07,392.46,general admin,Stationery Purchase,64482
3910,"Bebb, Guto",Conservative,10_11,2010-06-28,57,travel,Public Tr RAIL - SGL,8665
3910,"Bebb, Guto",Conservative,10_11,2010-07-25,1350,accommodation,Accommodation Rent,17006
3910,"Bebb, Guto",Conservative,10_11,2011-03-26,11,travel,Own Car MP,81004
3910,"Bebb, Guto",Conservative,10_11,2010-09-17,1.32,general admin,Postage Purchase,32523
3910,"Bebb, Guto",Conservative,10_11,2010-06-15,7.65,travel,Food & Drink @ Parliament,8671
3910,"Bebb, Guto",Conservative,10_11,2010-06-17,28.4,travel,Own Car MP,8264
3910,"Bebb, Guto",Conservative,10_11,2011-03-07,17.75,travel,Own Car MP,81004
3910,"Bebb, Guto",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,7098
3910,"Bebb, Guto",Conservative,10_11,2010-11-15,509.16,constituency rental,Const Office Rent,50019
3910,"Bebb, Guto",Conservative,10_11,2010-05-19,15.2,travel,Taxi MP,8599
3910,"Bebb, Guto",Conservative,10_11,2010-11-02,42.4,accommodation,Electricity,48951
3910,"Bebb, Guto",Conservative,10_11,2010-05-25,96,travel,Public Tr RAIL MP Staff - SGL,8574
3910,"Bebb, Guto",Conservative,10_11,2010-07-12,10.7,travel,Food & Drink @ Parliament,24633
3910,"Bebb, Guto",Conservative,10_11,2010-06-16,1350,accommodation,Accommodation Rent,8236
3910,"Bebb, Guto",Conservative,10_11,2011-01-10,16.1,travel,Parking MP,66696
3910,"Bebb, Guto",Conservative,10_11,2011-03-24,46,travel,Public Tr RAIL - SGL,82010
3910,"Bebb, Guto",Conservative,10_11,2010-12-15,99,travel,Public Tr RAIL - SGL,62055
3910,"Bebb, Guto",Conservative,10_11,2010-10-27,165,travel,Hotel NOT London Area MP Staff,47265
3910,"Bebb, Guto",Conservative,10_11,2010-11-26,0.8,travel,Own Car MP Staff,54469
3910,"Bebb, Guto",Conservative,10_11,2010-09-01,12.3,accommodation,Television Licence,30794
3910,"Bebb, Guto",Conservative,10_11,2011-02-01,110,accommodation,Council Tax,72826
3910,"Bebb, Guto",Conservative,10_11,2010-07-13,63,travel,Public Tr RAIL - SGL,24371
3910,"Bebb, Guto",Conservative,10_11,2011-02-20,20.5,travel,Own Car MP,72897
3910,"Bebb, Guto",Conservative,10_11,2010-06-30,27.91,constituency rental,Const Office Electricity,9315
3910,"Bebb, Guto",Conservative,10_11,2010-06-30,61.1,general admin,Payment Telephone/Mobile,24634
3910,"Bebb, Guto",Conservative,10_11,2011-03-01,46,travel,Public Tr RAIL - SGL,82010
3910,"Bebb, Guto",Conservative,10_11,2010-10-22,4,travel,Own Car MP Staff,48854
3910,"Bebb, Guto",Conservative,10_11,2011-02-18,24,travel,Own Car MP,72897
3910,"Bebb, Guto",Conservative,10_11,2010-05-12,38.4,travel,Own Car MP,5024
3910,"Bebb, Guto",Conservative,10_11,2011-03-24,8.8,travel,Own Car MP Staff,86845
3910,"Bebb, Guto",Conservative,10_11,2010-07-11,11.2,travel,Own Car MP,24240
3910,"Bebb, Guto",Conservative,10_11,2010-11-10,78.26,general admin,Payment Telephone/Mobile,50016
3910,"Bebb, Guto",Conservative,10_11,2011-03-03,8.8,travel,Own Car MP Staff,78081
3910,"Bebb, Guto",Conservative,10_11,2010-07-08,9.2,travel,Own Car MP,24240
3910,"Bebb, Guto",Conservative,10_11,2010-06-29,9,travel,Taxi MP,8671
3910,"Bebb, Guto",Conservative,10_11,2010-11-29,15,travel,Food & Drink @ Parlmnt OFF Est,57049
3910,"Bebb, Guto",Conservative,10_11,2010-05-27,370.14,accommodation,Interim Hotel London Area,5056
3910,"Bebb, Guto",Conservative,10_11,2011-03-04,2.4,travel,Own Car MP Staff,78081
3910,"Bebb, Guto",Conservative,10_11,2011-03-17,46,travel,Public Tr RAIL - SGL,82010
3910,"Bebb, Guto",Conservative,10_11,2010-10-25,28.4,travel,Own Car MP,45075
3910,"Bebb, Guto",Conservative,10_11,2011-01-27,8.8,travel,Own Car MP Staff,68204
3910,"Bebb, Guto",Conservative,10_11,2010-09-01,21.6,travel,Own Car MP,29149
3910,"Bebb, Guto",Conservative,10_11,2010-10-01,110,accommodation,Council Tax,36275
3910,"Bebb, Guto",Conservative,10_11,2010-11-19,24.8,travel,Own Car MP,53760
3910,"Bebb, Guto",Conservative,10_11,2010-09-21,34.4,travel,Own Car MP,36157
3910,"Bebb, Guto",Conservative,10_11,2010-11-01,108.8,travel,Own Car MP,45083
3910,"Bebb, Guto",Conservative,10_11,2010-12-02,4,travel,Public Tr UND MP Staff,57933
3910,"Bebb, Guto",Conservative,10_11,2010-09-10,91.15,general admin,Payment Telephone/Mobile,32523
3910,"Bebb, Guto",Conservative,10_11,2010-09-06,3,travel,Parking MP,31724
3910,"Bebb, Guto",Conservative,10_11,2010-11-06,47.2,travel,Own Car MP,53760
3910,"Bebb, Guto",Conservative,10_11,2011-02-21,16.8,travel,Own Car MP Staff,78303
3910,"Bebb, Guto",Conservative,10_11,2010-09-23,44.8,travel,Own Car MP,36157
3910,"Bebb, Guto",Conservative,10_11,2011-01-12,4,travel,Own Car MP Staff,68202
3910,"Bebb, Guto",Conservative,10_11,2011-02-28,63,travel,Public Tr RAIL MP Staff - SGL,78305
3910,"Bebb, Guto",Conservative,10_11,2010-05-24,96,travel,Public Tr RAIL - SGL,8574
