id,list_name,party,session,date,value,category,description,claim_number
1441,"Bellingham, Henry",Conservative,11_12,2011-06-21,12.3,travel,Food & Drink @ Parliament,109409
1441,"Bellingham, Henry",Conservative,12_13,2013-02-11,4.5,travel,Public Tr UND,0000248154
1441,"Bellingham, Henry",Conservative,12_13,2012-12-19,1.2,office costs,Postage Purchase,0000243799
1441,"Bellingham, Henry",Conservative,12_13,2013-03-08,55.43,office costs,Stationery Purchase,Payment to Supplier
1441,"Bellingham, Henry",Conservative,12_13,2012-12-13,20,office costs,Postage Purchase,0000243799
1441,"Bellingham, Henry",Conservative,12_13,2012-06-26,3.44,staffing,Food & Drink Int/Volntr,0000201261
1441,"Bellingham, Henry",Conservative,12_13,2012-05-17,9.3,staffing,Food & Drink Int/Volntr,0000184002
1441,"Bellingham, Henry",Conservative,10_11,2010-08-12,96.71,general admin,Stationery Purchase,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,102.28,accommodation,Electricity,77080
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,8.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,7.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-05-14,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2010-07-26,91.25,general admin,Payment Telephone/Mobile,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,25.51,constituency rental,Const Office Tel. Usage/Rental,83391
1441,"Bellingham, Henry",Conservative,10_11,2011-01-25,5.05,general admin,Postage Purchase,81142
1441,"Bellingham, Henry",Conservative,10_11,2010-11-20,46.46,general admin,Stationery Purchase,68800
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,24.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,16.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-11-19,9.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-01-19,1.51,general admin,Postage Purchase,81142
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,17.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-11-20,10.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-11-01,27.2,travel,Public Tr RAIL - SGL,54648
1441,"Bellingham, Henry",Conservative,10_11,2011-01-26,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-03-04,48.4,travel,Own Car MP,93779
1441,"Bellingham, Henry",Conservative,10_11,2011-02-18,16.84,general admin,Payment Telephone/Mobile,84021
1441,"Bellingham, Henry",Conservative,10_11,2011-02-17,2.85,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-01-17,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-03-18,16.6,general admin,Payment Telephone/Mobile,84021
1441,"Bellingham, Henry",Conservative,10_11,2011-02-03,4.55,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-08-12,12.07,general admin,Stationery Purchase,33653
1441,"Bellingham, Henry",Conservative,10_11,2010-11-25,149.31,general admin,Payment Telephone/Mobile,71225
1441,"Bellingham, Henry",Conservative,10_11,2011-01-17,3.5,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,87.06,general admin,Payment Telephone/Mobile,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-02-07,4.25,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-01-21,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-01-27,3.55,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-03-18,38.4,travel,Own Car MP,93779
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,35.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-02-02,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-03,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,4074.03,constituency rental,Const Office Rent 2,83391
1441,"Bellingham, Henry",Conservative,10_11,2010-08-12,157.7,general admin,Stationery Purchase,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,154.5,accommodation,Council Tax,77080
1441,"Bellingham, Henry",Conservative,10_11,2010-11-19,45.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,13.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-03-24,114.68,general admin,Payment Telephone/Mobile,81149
1441,"Bellingham, Henry",Conservative,10_11,2010-07-04,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2011-02-21,1.45,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,11.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-01-18,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-01-28,3.5,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-01-31,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-16,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-15,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,22.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-03-19,7.6,travel,Own Car MP,93779
1441,"Bellingham, Henry",Conservative,10_11,2010-08-12,157.7,general admin,Stationery Purchase,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-01-29,109.16,general admin,Payment Telephone/Mobile,86311
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,206,accommodation,Council Tax,77080
1441,"Bellingham, Henry",Conservative,10_11,2011-02-22,7.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,1405.74,accommodation,Home Contents Insurance,77080
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,16.8,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-10-02,5.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,24,constituency rental,Const Office Tel. Usage/Rental,83391
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,5.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-08-24,174.86,general admin,Payment Telephone/Mobile,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-03-25,45.2,travel,Own Car MP,93779
1441,"Bellingham, Henry",Conservative,10_11,2010-11-20,48.77,general admin,Stationery Purchase,68800
1441,"Bellingham, Henry",Conservative,10_11,2010-10-03,45.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-03-28,88.43,constituency rental,Const Office Electricity,98809
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,45.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-01-24,2.1,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-03-24,97.59,general admin,Payment Telephone/Mobile,98809
1441,"Bellingham, Henry",Conservative,10_11,2010-10-22,7.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-02-14,4.55,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-02-10,5.3,staffing,Public Tr UND Int/Volntr,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-10-21,45.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-05-21,32.78,general admin,Stationery Purchase,33653
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,206,accommodation,Council Tax,77080
1441,"Bellingham, Henry",Conservative,10_11,2011-02-11,22.57,general admin,Stationery Purchase,84021
1441,"Bellingham, Henry",Conservative,10_11,2010-06-17,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,24.4,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,12.8,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2011-03-31,73.73,general admin,Other,93776
1441,"Bellingham, Henry",Conservative,10_11,2010-12-28,81.6,general admin,Other,68796
1441,"Bellingham, Henry",Conservative,10_11,2011-03-06,45.2,travel,Own Car MP,93779
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,13.6,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-10-09,14.8,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-08-05,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2011-03-31,82.84,general admin,Stationery Purchase,93776
1441,"Bellingham, Henry",Conservative,10_11,2011-02-02,4.35,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2010-11-12,45.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-09-24,15.2,travel,Own Car MP,55887
1441,"Bellingham, Henry",Conservative,10_11,2010-11-24,73.38,general admin,Payment Telephone/Mobile,68793
1441,"Bellingham, Henry",Conservative,10_11,2010-06-03,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2010-06-10,48.4,travel,Own Car MP,34962
1441,"Bellingham, Henry",Conservative,10_11,2011-01-17,15.55,general admin,Payment Telephone/Mobile,84021
1441,"Bellingham, Henry",Conservative,10_11,2011-02-12,23.69,constituency rental,Const Office Tel. Usage/Rental,83391
1441,"Bellingham, Henry",Conservative,10_11,2011-02-01,4.25,staffing,Food & Drink Intern/Volunteer,77409
1441,"Bellingham, Henry",Conservative,10_11,2011-03-31,233.22,general admin,Stationery Purchase,93776
