id,list_name,party,session,date,value,category,description,claim_number
413,"Benn, Hilary",Labour,12_13,2012-05-06,25,travel,Public Tr RAIL - SGL,0000179817
413,"Benn, Hilary",Labour,12_13,2012-05-17,17.16,office costs,Other,0000179845
413,"Benn, Hilary",Labour,10_11,2011-03-04,2.24,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2010-05-11,60.52,general admin,Telephone/Mobile Hire,3238
413,"Benn, Hilary",Labour,10_11,2010-07-02,62.96,general admin,Telephone/Mobile Purchase,22136
413,"Benn, Hilary",Labour,10_11,2010-06-10,142,travel,Public Tr RAIL - RTN,11377
413,"Benn, Hilary",Labour,10_11,2010-09-01,1265.42,general admin,Photocopier Hire,26360
413,"Benn, Hilary",Labour,10_11,2011-02-05,10.4,travel,Own Car MP Staff,74575
413,"Benn, Hilary",Labour,10_11,2011-01-09,13.62,general admin,Photocopier Hire,62644
413,"Benn, Hilary",Labour,10_11,2010-08-11,1265.42,general admin,Photocopier Hire,22618
413,"Benn, Hilary",Labour,10_11,2011-02-27,87.6,travel,Public Tr RAIL - SGL,82261
413,"Benn, Hilary",Labour,10_11,2011-01-07,3.2,travel,Own Car MP,65891
413,"Benn, Hilary",Labour,10_11,2010-09-20,223,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2011-02-25,4.72,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2011-02-20,118,accommodation,Council Tax,70806
413,"Benn, Hilary",Labour,10_11,2010-11-13,123,travel,Public Tr RAIL - RTN,54845
413,"Benn, Hilary",Labour,10_11,2010-07-14,89.4,general admin,Telephone/Mobile Hire,22136
413,"Benn, Hilary",Labour,10_11,2010-09-18,83.74,general admin,Payment Telephone/Mobile,31563
413,"Benn, Hilary",Labour,10_11,2011-01-10,27.4,general admin,Computer HW Purchase,62644
413,"Benn, Hilary",Labour,10_11,2010-07-15,82.14,general admin,Payment Telephone/Mobile,14423
413,"Benn, Hilary",Labour,10_11,2011-01-17,70.87,general admin,Telephone/Mobile Hire,62635
413,"Benn, Hilary",Labour,10_11,2010-07-20,69.21,accommodation,Electricity,31559
413,"Benn, Hilary",Labour,10_11,2011-01-04,5.45,constituency rental,Const Office Rent,58818
413,"Benn, Hilary",Labour,10_11,2011-01-04,81.31,constituency rental,Const Office Gas,58818
413,"Benn, Hilary",Labour,10_11,2011-01-19,10.4,travel,Own Car MP Staff,58828
413,"Benn, Hilary",Labour,10_11,2010-06-18,110.73,general admin,Security,6912
413,"Benn, Hilary",Labour,10_11,2010-09-19,148.03,general admin,Stationery Purchase,40397
413,"Benn, Hilary",Labour,10_11,2010-10-22,82.7,travel,Public Tr RAIL - RTN,44621
413,"Benn, Hilary",Labour,10_11,2010-11-16,21.23,constituency rental,Const Office Gas,48806
413,"Benn, Hilary",Labour,10_11,2011-02-12,25,travel,Public Tr RAIL - SGL,74250
413,"Benn, Hilary",Labour,10_11,2011-03-25,87.6,travel,Public Tr RAIL - SGL,91129
413,"Benn, Hilary",Labour,10_11,2010-12-11,2.08,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2010-07-06,36.5,general admin,Postage Purchase,12097
413,"Benn, Hilary",Labour,10_11,2011-01-19,10.4,travel,Own Car MP Staff,58828
413,"Benn, Hilary",Labour,10_11,2010-05-17,89,general admin,Payment Telephone/Mobile,106
413,"Benn, Hilary",Labour,10_11,2011-02-11,1.44,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2010-11-12,123,travel,Public Tr RAIL - RTN,54845
413,"Benn, Hilary",Labour,10_11,2011-03-06,172.55,constituency rental,Const Office Electricity,74579
413,"Benn, Hilary",Labour,10_11,2010-12-04,4.8,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2011-01-28,130,travel,Public Tr RAIL - RTN,74250
413,"Benn, Hilary",Labour,10_11,2010-08-31,142,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2010-09-09,82.81,general admin,Telephone/Mobile Hire,29136
413,"Benn, Hilary",Labour,10_11,2011-03-05,10.4,travel,Own Car MP Staff,74575
413,"Benn, Hilary",Labour,10_11,2010-08-11,46.51,general admin,Payment Telephone/Mobile,22618
413,"Benn, Hilary",Labour,10_11,2010-09-18,53.91,accommodation,Ground Rent,31559
413,"Benn, Hilary",Labour,10_11,2010-05-21,55.52,general admin,Photocopier Hire,105
413,"Benn, Hilary",Labour,10_11,2010-09-22,223,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2010-09-18,701.62,accommodation,Service Charges,31559
413,"Benn, Hilary",Labour,10_11,2011-03-07,61.19,general admin,Install/Maint Office Equip.,74582
413,"Benn, Hilary",Labour,10_11,2010-06-12,120,travel,Public Tr RAIL - RTN,11377
413,"Benn, Hilary",Labour,10_11,2011-03-18,239,travel,Public Tr RAIL - RTN,82261
413,"Benn, Hilary",Labour,10_11,2010-11-26,223,travel,Public Tr RAIL - RTN,62305
413,"Benn, Hilary",Labour,10_11,2011-02-20,11.33,accommodation,Home Contents Insurance,70807
413,"Benn, Hilary",Labour,10_11,2010-11-16,91.88,accommodation,Telephone Usage/Rental,48810
413,"Benn, Hilary",Labour,10_11,2010-11-16,21.81,constituency rental,Const Office Rent,48806
413,"Benn, Hilary",Labour,10_11,2010-12-20,145.98,accommodation,Service Charges,57574
413,"Benn, Hilary",Labour,10_11,2011-02-18,239,travel,Public Tr RAIL - RTN,74250
413,"Benn, Hilary",Labour,10_11,2011-02-05,26.91,general admin,Stationery Purchase,70811
413,"Benn, Hilary",Labour,10_11,2011-02-20,36.7,accommodation,Electricity,70808
413,"Benn, Hilary",Labour,10_11,2011-02-20,145.98,accommodation,Service Charges,70807
413,"Benn, Hilary",Labour,10_11,2010-06-10,142,travel,Public Tr RAIL - RTN,5065
413,"Benn, Hilary",Labour,10_11,2010-05-28,223,travel,Public Tr RAIL - RTN,11377
413,"Benn, Hilary",Labour,10_11,2011-01-21,130,travel,Public Tr RAIL - RTN,66935
413,"Benn, Hilary",Labour,10_11,2010-10-31,82.81,general admin,Payment Telephone/Mobile,40397
413,"Benn, Hilary",Labour,10_11,2010-05-11,58.22,general admin,Telephone/Mobile Hire,3236
413,"Benn, Hilary",Labour,10_11,2011-01-17,90.83,accommodation,Telephone Usage/Rental,62678
413,"Benn, Hilary",Labour,10_11,2010-11-16,44.1,constituency rental,Const Office Rent,48806
413,"Benn, Hilary",Labour,10_11,2010-07-28,103.39,general admin,Install/Maint Office Equip.,18292
413,"Benn, Hilary",Labour,10_11,2010-07-01,145.5,accommodation,Television Licence,31559
413,"Benn, Hilary",Labour,10_11,2010-06-06,1209.9,general admin,Photocopier Hire,3234
413,"Benn, Hilary",Labour,10_11,2010-10-14,145.5,travel,Public Tr RAIL - RTN,44621
413,"Benn, Hilary",Labour,10_11,2010-11-01,118,accommodation,Council Tax,44899
413,"Benn, Hilary",Labour,10_11,2011-03-06,13.59,constituency rental,Const Office Water,74579
413,"Benn, Hilary",Labour,10_11,2010-07-09,120,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-11-01,1265.42,general admin,Photocopier Hire,44898
413,"Benn, Hilary",Labour,10_11,2010-06-22,260.67,general admin,Photocopier Hire,6912
413,"Benn, Hilary",Labour,10_11,2011-01-28,2.4,travel,Own Car MP,65891
413,"Benn, Hilary",Labour,10_11,2010-10-30,58.58,general admin,Telephone/Mobile Hire,62635
413,"Benn, Hilary",Labour,10_11,2010-09-02,142,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2010-06-04,223,travel,Public Tr RAIL - RTN,11377
413,"Benn, Hilary",Labour,10_11,2010-10-30,63.83,general admin,Telephone/Mobile Hire,62635
413,"Benn, Hilary",Labour,10_11,2011-01-04,48.29,general admin,Telephone/Mobile Hire,58820
413,"Benn, Hilary",Labour,10_11,2010-09-17,223,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2010-11-16,25.43,constituency rental,Const Office Water,48806
413,"Benn, Hilary",Labour,10_11,2010-12-30,42.86,general admin,Telephone/Mobile Hire,70810
413,"Benn, Hilary",Labour,10_11,2011-03-02,145.98,accommodation,Service Charges,82804
413,"Benn, Hilary",Labour,10_11,2011-01-14,239,travel,Public Tr RAIL - RTN,66935
413,"Benn, Hilary",Labour,10_11,2011-03-05,3.6,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2011-01-21,2.8,travel,Own Car MP,65891
413,"Benn, Hilary",Labour,10_11,2010-11-16,26.43,constituency rental,Const Office Electricity,48806
413,"Benn, Hilary",Labour,10_11,2011-03-07,1538.5,constituency rental,Const Office Rent,74889
413,"Benn, Hilary",Labour,10_11,2010-05-29,265.92,general admin,Printer Purchase,5067
413,"Benn, Hilary",Labour,10_11,2011-02-05,35,general admin,Other,71003
413,"Benn, Hilary",Labour,10_11,2010-07-09,83.7,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-07-06,33,travel,Taxi After Late Sitting,12100
413,"Benn, Hilary",Labour,10_11,2010-09-18,567.16,accommodation,Council Tax,31559
413,"Benn, Hilary",Labour,10_11,2011-03-11,130,travel,Public Tr RAIL - RTN,82261
413,"Benn, Hilary",Labour,10_11,2010-12-10,123,travel,Public Tr RAIL - RTN,62305
413,"Benn, Hilary",Labour,10_11,2011-03-07,42.74,general admin,Stationery Purchase,74582
413,"Benn, Hilary",Labour,10_11,2011-02-23,96.79,general admin,Stationery Purchase,82797
413,"Benn, Hilary",Labour,10_11,2011-03-26,25,travel,Public Tr RAIL - SGL,91129
413,"Benn, Hilary",Labour,10_11,2010-10-10,88.11,general admin,Telephone/Mobile Hire,44897
413,"Benn, Hilary",Labour,10_11,2010-07-25,1538.5,constituency rental,Const Office Rent,18202
413,"Benn, Hilary",Labour,10_11,2010-10-08,223,travel,Public Tr RAIL - RTN,44621
413,"Benn, Hilary",Labour,10_11,2011-01-04,20.85,constituency rental,Const Office Electricity,58818
413,"Benn, Hilary",Labour,10_11,2010-11-16,122.22,constituency rental,Const Office Electricity,48806
413,"Benn, Hilary",Labour,10_11,2010-05-13,223,travel,Public Tr RAIL - RTN,100
413,"Benn, Hilary",Labour,10_11,2010-10-05,747.86,general admin,Stationery Purchase,40397
413,"Benn, Hilary",Labour,10_11,2010-05-11,290.58,constituency rental,Contents Insurance,7410
413,"Benn, Hilary",Labour,10_11,2010-12-17,223,travel,Public Tr RAIL - RTN,62305
413,"Benn, Hilary",Labour,10_11,2010-09-10,123,travel,Public Tr RAIL - RTN,37876
413,"Benn, Hilary",Labour,10_11,2010-12-20,1538.5,constituency rental,Const Office Rent,57548
413,"Benn, Hilary",Labour,10_11,2010-11-01,11.33,accommodation,Home Contents Insurance,44899
413,"Benn, Hilary",Labour,10_11,2010-11-26,7.2,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2010-07-07,83.7,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-07-16,120,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-09-18,34.28,accommodation,Home Contents Insurance,31559
413,"Benn, Hilary",Labour,10_11,2010-11-01,44.88,general admin,Other,44421
413,"Benn, Hilary",Labour,10_11,2010-06-17,49.99,general admin,Computer HW Purchase,7520
413,"Benn, Hilary",Labour,10_11,2011-01-14,5.6,travel,Own Car MP,65891
413,"Benn, Hilary",Labour,10_11,2010-11-01,145.98,accommodation,Service Charges,44899
413,"Benn, Hilary",Labour,10_11,2011-02-05,87.6,travel,Public Tr RAIL - SGL,74250
413,"Benn, Hilary",Labour,10_11,2010-12-03,123,travel,Public Tr RAIL - RTN,62305
413,"Benn, Hilary",Labour,10_11,2011-01-17,86.04,general admin,Telephone/Mobile Hire,62635
413,"Benn, Hilary",Labour,10_11,2010-11-09,46.42,general admin,Telephone/Mobile Hire,58798
413,"Benn, Hilary",Labour,10_11,2010-09-01,87.87,general admin,Stationery Purchase,26360
413,"Benn, Hilary",Labour,10_11,2011-03-01,15.76,general admin,Professional Services,86378
413,"Benn, Hilary",Labour,10_11,2011-03-28,125,general admin,Stationery Purchase,82797
413,"Benn, Hilary",Labour,10_11,2010-10-29,223,travel,Public Tr RAIL - RTN,54845
413,"Benn, Hilary",Labour,10_11,2011-01-17,89.06,general admin,Telephone/Mobile Hire,62635
413,"Benn, Hilary",Labour,10_11,2010-07-25,83.7,travel,Public Tr RAIL - RTN,27421
413,"Benn, Hilary",Labour,10_11,2010-07-25,2411.57,constituency rental,Business Rates,18202
413,"Benn, Hilary",Labour,10_11,2010-11-05,123,travel,Public Tr RAIL - RTN,54845
413,"Benn, Hilary",Labour,10_11,2010-12-10,3.12,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2010-06-06,165.24,general admin,Stationery Purchase,3233
413,"Benn, Hilary",Labour,10_11,2011-03-24,284.12,general admin,Stationery Purchase,82797
413,"Benn, Hilary",Labour,10_11,2010-06-24,46.31,general admin,Telephone/Mobile Hire,7473
413,"Benn, Hilary",Labour,10_11,2010-08-11,55.2,travel,Own Car MP,22662
413,"Benn, Hilary",Labour,10_11,2010-06-18,120,travel,Public Tr RAIL - RTN,11377
413,"Benn, Hilary",Labour,10_11,2010-07-15,79.83,general admin,Payment Telephone/Mobile,14423
413,"Benn, Hilary",Labour,10_11,2010-12-17,1.8,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2010-12-20,11.33,accommodation,Home Contents Insurance,57574
413,"Benn, Hilary",Labour,10_11,2010-12-20,145.98,accommodation,Service Charges,57557
413,"Benn, Hilary",Labour,10_11,2011-03-31,157,travel,Public Tr RAIL - RTN,91129
413,"Benn, Hilary",Labour,10_11,2010-07-24,82.7,travel,Public Tr RAIL - SGL,27421
413,"Benn, Hilary",Labour,10_11,2011-02-05,3.2,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2010-10-02,83.7,travel,Public Tr RAIL - RTN,44621
413,"Benn, Hilary",Labour,10_11,2010-07-30,223,travel,Public Tr RAIL - RTN,27421
413,"Benn, Hilary",Labour,10_11,2010-05-21,111.5,travel,Public Tr RAIL - SGL,102
413,"Benn, Hilary",Labour,10_11,2010-10-17,52.73,general admin,Stationery Purchase,40397
413,"Benn, Hilary",Labour,10_11,2010-11-16,72.48,accommodation,Electricity,48810
413,"Benn, Hilary",Labour,10_11,2010-09-18,49.4,general admin,Computer HW Purchase,31561
413,"Benn, Hilary",Labour,10_11,2011-02-26,1.04,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2011-03-04,130,travel,Public Tr RAIL - RTN,82261
413,"Benn, Hilary",Labour,10_11,2010-07-25,85.66,constituency rental,Contents Insurance,18202
413,"Benn, Hilary",Labour,10_11,2010-07-02,120,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-07-28,37.5,general admin,Other,22136
413,"Benn, Hilary",Labour,10_11,2011-02-20,145.98,accommodation,Service Charges,70806
413,"Benn, Hilary",Labour,10_11,2011-01-19,10.4,travel,Own Car MP Staff,58828
413,"Benn, Hilary",Labour,10_11,2010-09-18,95.04,accommodation,Telephone Usage/Rental,31559
413,"Benn, Hilary",Labour,10_11,2010-12-20,74.39,general admin,Stationery Purchase,57580
413,"Benn, Hilary",Labour,10_11,2011-02-20,11.33,accommodation,Home Contents Insurance,70806
413,"Benn, Hilary",Labour,10_11,2010-12-10,50.85,general admin,Telephone/Mobile Hire,58798
413,"Benn, Hilary",Labour,10_11,2011-03-11,50.97,general admin,Mobile Usage/Rental,82809
413,"Benn, Hilary",Labour,10_11,2011-03-08,4.82,general admin,Photocopier Hire,82797
413,"Benn, Hilary",Labour,10_11,2010-11-19,223,travel,Public Tr RAIL - RTN,54845
413,"Benn, Hilary",Labour,10_11,2010-05-28,223,travel,Public Tr RAIL - RTN,3231
413,"Benn, Hilary",Labour,10_11,2010-08-11,87.87,general admin,Stationery Purchase,22618
413,"Benn, Hilary",Labour,10_11,2011-03-05,25,travel,Public Tr RAIL - SGL,82261
413,"Benn, Hilary",Labour,10_11,2010-09-18,42.87,general admin,Payment Telephone/Mobile,31561
413,"Benn, Hilary",Labour,10_11,2011-03-15,11.33,accommodation,Home Contents Insurance,82804
413,"Benn, Hilary",Labour,10_11,2010-06-25,120,travel,Public Tr RAIL - RTN,19634
413,"Benn, Hilary",Labour,10_11,2010-11-22,119.2,travel,Own Car MP,49900
413,"Benn, Hilary",Labour,10_11,2010-12-20,11.33,accommodation,Home Contents Insurance,57557
413,"Benn, Hilary",Labour,10_11,2010-07-01,75,general admin,Telephone/Mobile Purchase,9491
413,"Benn, Hilary",Labour,10_11,2011-02-05,25,travel,Public Tr RAIL - SGL,74250
413,"Benn, Hilary",Labour,10_11,2011-03-07,165.12,general admin,Install/Maint Office Equip.,74582
413,"Benn, Hilary",Labour,10_11,2011-01-06,78,travel,Own Car MP,65891
413,"Benn, Hilary",Labour,10_11,2011-01-04,44.1,constituency rental,Const Office Rent,58818
413,"Benn, Hilary",Labour,10_11,2010-12-20,118,accommodation,Council Tax,57557
413,"Benn, Hilary",Labour,10_11,2011-03-07,200,general admin,Stationery Purchase,74582
413,"Benn, Hilary",Labour,10_11,2011-02-18,8.4,travel,Own Car MP,74572
413,"Benn, Hilary",Labour,10_11,2011-01-04,113.53,constituency rental,Const Office Electricity,58818
413,"Benn, Hilary",Labour,10_11,2011-02-11,130,travel,Public Tr RAIL - RTN,74250
413,"Benn, Hilary",Labour,10_11,2010-12-17,78,travel,Own Car MP,57530
413,"Benn, Hilary",Labour,10_11,2010-12-20,118,accommodation,Council Tax,57574
413,"Benn, Hilary",Labour,10_11,2011-03-06,42.03,constituency rental,Const Office Electricity,74579
413,"Benn, Hilary",Labour,10_11,2010-06-10,145.5,general admin,Television Licence Purchase,5061
413,"Benn, Hilary",Labour,10_11,2011-01-26,42.68,general admin,Telephone/Mobile Hire,70810
413,"Benn, Hilary",Labour,10_11,2010-05-11,27.03,general admin,Telephone/Mobile Hire,3237
413,"Benn, Hilary",Labour,10_11,2010-11-22,8,travel,Own Car MP,49900
413,"Benn, Hilary",Labour,10_11,2011-02-27,25,travel,Public Tr RAIL - SGL,82261
413,"Benn, Hilary",Labour,10_11,2010-10-31,1538.5,constituency rental,Const Office Rent,40405
413,"Benn, Hilary",Labour,11_12,2011-06-09,77,office costs,Stationery Purchase,106174
413,"Benn, Hilary",Labour,11_12,2012-02-04,11.7,travel,Own Car MP Staff,0000151247
413,"Benn, Hilary",Labour,11_12,2011-04-21,87.6,travel,Public Tr RAIL - SGL,91129
413,"Benn, Hilary",Labour,11_12,2012-02-10,0.9,travel,Own Car MP,0000155565
413,"Benn, Hilary",Labour,11_12,2011-05-12,52.87,office costs,Mobile Usage/Rental,89887
413,"Benn, Hilary",Labour,11_12,2011-05-13,4.05,travel,Own Car MP,94121
413,"Benn, Hilary",Labour,11_12,2011-11-18,9,travel,Own Car MP,0000133870
413,"Benn, Hilary",Labour,11_12,2011-07-01,111.43,general admin,Install/Maint Office Equip.,101436
413,"Benn, Hilary",Labour,11_12,2011-04-02,149.63,accommodation,Service Charges,94127
413,"Benn, Hilary",Labour,11_12,2011-08-10,52.11,office costs,Mobile Usage/Rental,112024
413,"Benn, Hilary",Labour,11_12,2012-02-14,67.5,travel,Public Tr RAIL - SGL,0000157742
413,"Benn, Hilary",Labour,11_12,2012-02-29,55.3,travel,Public Tr RAIL - SGL,0000164364
413,"Benn, Hilary",Labour,11_12,2011-10-21,16.51,office costs,Photocopier Hire,126691
413,"Benn, Hilary",Labour,11_12,2011-10-01,6.75,travel,Own Car MP,125812
413,"Benn, Hilary",Labour,11_12,2011-11-15,3.67,office costs,Other,0000131981
413,"Benn, Hilary",Labour,11_12,2011-11-13,25,travel,Public Tr RAIL - SGL,0000137321
413,"Benn, Hilary",Labour,11_12,2011-05-27,5.63,travel,Own Car MP,94121
413,"Benn, Hilary",Labour,11_12,2011-09-03,25,travel,Public Tr RAIL - SGL,124295
413,"Benn, Hilary",Labour,11_12,2011-06-06,458.64,office costs,Stationery Purchase,104623
413,"Benn, Hilary",Labour,11_12,2012-02-29,55.3,travel,Public Tr RAIL - SGL,0000164364
413,"Benn, Hilary",Labour,11_12,2011-11-10,118,accommodation,Council Tax,132393
413,"Benn, Hilary",Labour,11_12,2012-01-03,149.63,accommodation,Service Charges,0000145133
413,"Benn, Hilary",Labour,11_12,2011-06-26,25,travel,Public Tr RAIL - SGL,111075
413,"Benn, Hilary",Labour,11_12,2011-07-16,25,travel,Public Tr RAIL - SGL,111075
413,"Benn, Hilary",Labour,11_12,2011-11-17,2.25,travel,Own Car MP,0000133870
413,"Benn, Hilary",Labour,11_12,2011-06-02,149.63,accommodation,Service Charges,101496
413,"Benn, Hilary",Labour,11_12,2011-11-25,6.3,travel,Own Car MP,0000133870
413,"Benn, Hilary",Labour,11_12,2012-01-16,11.8,accommodation,Home Contents Insurance,0000145133
413,"Benn, Hilary",Labour,11_12,2011-12-09,2.34,travel,Own Car MP,0000145119
413,"Benn, Hilary",Labour,11_12,2011-08-10,58.73,accommodation,Electricity,112026
413,"Benn, Hilary",Labour,11_12,2011-10-14,239,travel,Public Tr RAIL - RTN,0000130848
413,"Benn, Hilary",Labour,11_12,2012-02-13,129,office costs,Mobile Usage/Rental,0000152015
413,"Benn, Hilary",Labour,11_12,2011-08-02,149.63,accommodation,Service Charges,112026
413,"Benn, Hilary",Labour,11_12,2011-08-03,1292.17,office costs,Photocopier Hire,109955
413,"Benn, Hilary",Labour,11_12,2011-06-11,8.1,travel,Own Car MP,101488
413,"Benn, Hilary",Labour,11_12,2012-02-14,93.1,travel,Public Tr RAIL - SGL,0000157742
413,"Benn, Hilary",Labour,11_12,2012-02-04,5.4,travel,Own Car MP,0000155565
413,"Benn, Hilary",Labour,11_12,2011-07-02,4.05,travel,Own Car MP,101488
413,"Benn, Hilary",Labour,11_12,2011-05-21,6.3,travel,Own Car MP,94121
413,"Benn, Hilary",Labour,11_12,2011-11-11,136.5,travel,Public Tr RAIL - RTN,0000137321
413,"Benn, Hilary",Labour,11_12,2012-02-07,112.7,office costs,Stationery Purchase,0000157742
413,"Benn, Hilary",Labour,11_12,2011-07-19,102.93,accommodation,Telephone Usage/Rental,110167
413,"Benn, Hilary",Labour,11_12,2011-12-03,87.6,travel,Public Tr RAIL - SGL,0000144878
413,"Benn, Hilary",Labour,11_12,2012-01-13,21,office costs,Other,0000144504
413,"Benn, Hilary",Labour,11_12,2011-10-14,18.2,office costs,Stationery Purchase,0000132903
413,"Benn, Hilary",Labour,11_12,2011-12-03,11.7,travel,Own Car MP Staff,0000144431
