id,list_name,party,session,date,value,category,description,claim_number
3994,"Bingham, Andrew",Conservative,11_12,2011-10-21,53.1,travel,Own Car MP,126652
3994,"Bingham, Andrew",Conservative,11_12,2011-11-06,22.46,accommodation,Telephone Usage/Rental,130444
3994,"Bingham, Andrew",Conservative,11_12,2012-01-16,103,travel,Public Tr RAIL - RTN,0000150238
3994,"Bingham, Andrew",Conservative,12_13,2012-08-20,5.99,office costs,Stationery Purchase,0000199544
3994,"Bingham, Andrew",Conservative,12_13,2012-05-01,134.2,office costs,Stationery Purchase,0000179213
3994,"Bingham, Andrew",Conservative,12_13,2013-03-12,1625,accommodation,Accommodation Rent,Payment to Supplier
3994,"Bingham, Andrew",Conservative,12_13,2012-11-30,134.2,office costs,Stationery Purchase,Payment to Supplier
3994,"Bingham, Andrew",Conservative,12_13,2012-04-18,47.9,office costs,Const Office Electricity,0000166509
3994,"Bingham, Andrew",Conservative,12_13,2013-01-09,3.71,office costs,Stationery Purchase,Payment to Supplier
3994,"Bingham, Andrew",Conservative,10_11,2011-03-17,19.2,travel,Own Car MP,78507
3994,"Bingham, Andrew",Conservative,10_11,2010-09-16,66.7,travel,Public Tr RAIL MP Staff - RTN,37775
3994,"Bingham, Andrew",Conservative,10_11,2010-11-24,19.2,travel,Own Car MP,50311
3994,"Bingham, Andrew",Conservative,10_11,2010-08-09,350,general admin,Office Furniture Purchase,21835
3994,"Bingham, Andrew",Conservative,10_11,2010-12-07,600,constituency rental,Const Office Rent,53803
3994,"Bingham, Andrew",Conservative,10_11,2010-11-12,11.19,accommodation,Telephone Usage/Rental,47723
3994,"Bingham, Andrew",Conservative,10_11,2010-08-27,84,travel,Public Tr RAIL - RTN,37775
3994,"Bingham, Andrew",Conservative,10_11,2011-02-06,254.21,general admin,Stationery Purchase,73285
3994,"Bingham, Andrew",Conservative,10_11,2010-05-13,50,travel,Public Tr RAIL - RTN,727
3994,"Bingham, Andrew",Conservative,10_11,2010-11-02,11.88,general admin,Stationery Purchase,47701
3994,"Bingham, Andrew",Conservative,10_11,2010-06-07,258.06,accommodation,Interim Hotel London Area,3002
3994,"Bingham, Andrew",Conservative,10_11,2010-11-12,22.8,accommodation,Telephone Usage/Rental,47729
3994,"Bingham, Andrew",Conservative,10_11,2011-01-27,190,travel,Public Tr RAIL - RTN,74142
3994,"Bingham, Andrew",Conservative,10_11,2011-01-02,34.2,constituency rental,Const Office Electricity,61439
