id,list_name,party,session,date,value,category,description,claim_number
1501,"Blackman-Woods, Roberta",Labour,11_12,2011-11-29,8.58,office costs,Hospitality,0000135109
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-05-23,267,travel,Public Tr RAIL - RTN,0000179004
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-09-10,153.5,travel,Public Tr RAIL - SGL,0000209598
1501,"Blackman-Woods, Roberta",Labour,12_13,2013-02-23,4.05,travel,Own Vehicle Car,0000252916
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-08-03,6.75,travel,Own Vehicle Car,0000215242
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-11-08,7,travel,Taxi,0000236069
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-12-10,5.4,travel,Own Vehicle Car,0000235899
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-05-04,12.15,travel,Own Vehicle Car,0000185090
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-10-15,15,travel,Food & Drink @ Parliament,0000215684
1501,"Blackman-Woods, Roberta",Labour,12_13,2012-07-15,25,travel,Public Tr RAIL - RTN,0000196329
1501,"Blackman-Woods, Roberta",Labour,10_11,2010-07-23,235,travel,Public Tr RAIL - RTN,27199
1501,"Blackman-Woods, Roberta",Labour,10_11,2011-03-07,4,travel,Food & Drink @ Parliament,82830
1501,"Blackman-Woods, Roberta",Labour,10_11,2010-12-14,-265.5,travel,Public Tr OTHER,62025
1501,"Blackman-Woods, Roberta",Labour,10_11,2010-07-02,235,travel,Public Tr RAIL - RTN,19373
1501,"Blackman-Woods, Roberta",Labour,10_11,2011-03-29,495.7,general admin,Office Furniture Purchase,85691
1501,"Blackman-Woods, Roberta",Labour,10_11,2010-06-18,4,travel,Public Tr RAIL Other MP Staff,8049
1501,"Blackman-Woods, Roberta",Labour,10_11,2011-01-14,368.25,general admin,Stationery Purchase,69146
1501,"Blackman-Woods, Roberta",Labour,10_11,2010-11-04,90,general admin,Professional Services,45798
