id,list_name,party,session,date,value,category,description,claim_number
4019,"Blackwood, Nicola",Conservative,11_12,2011-05-09,1083.33,accommodation,Accommodation Rent,105131
4019,"Blackwood, Nicola",Conservative,12_13,2013-02-25,2.04,office costs,Stationery Purchase,Payment to Supplier
4019,"Blackwood, Nicola",Conservative,12_13,2013-01-09,29.10,travel,Public Tr RAIL MP Staff - RTN,0000290266
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-28,13,travel,Public Tr BUS MP Staff,67834
4019,"Blackwood, Nicola",Conservative,10_11,2011-02-10,3.4,staffing,Public Tr UND Int/Volntr,76308
4019,"Blackwood, Nicola",Conservative,10_11,2011-02-16,3.4,staffing,Public Tr UND Int/Volntr,76308
4019,"Blackwood, Nicola",Conservative,10_11,2010-12-15,1083.33,accommodation,Accommodation Rent,59391
4019,"Blackwood, Nicola",Conservative,10_11,2011-02-02,3.4,staffing,Public Tr UND Int/Volntr,76308
4019,"Blackwood, Nicola",Conservative,10_11,2010-11-16,20.64,general admin,Payment Telephone/Mobile,56312
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-25,13,travel,Public Tr BUS MP Staff,64960
4019,"Blackwood, Nicola",Conservative,10_11,2010-07-16,1083.33,accommodation,Accommodation Rent,30872
4019,"Blackwood, Nicola",Conservative,10_11,2010-11-08,3.1,staffing,Public Tr UND Int/Volntr,56012
4019,"Blackwood, Nicola",Conservative,10_11,2011-03-17,57.6,general admin,Other,78293
4019,"Blackwood, Nicola",Conservative,10_11,2010-12-06,3.1,staffing,Public Tr UND Int/Volntr,56012
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-21,3.4,staffing,Public Tr UND Int/Volntr,67131
4019,"Blackwood, Nicola",Conservative,10_11,2010-12-16,2.6,staffing,Public Tr UND Int/Volntr,67131
4019,"Blackwood, Nicola",Conservative,10_11,2010-11-16,3.1,staffing,Public Tr UND Int/Volntr,56012
4019,"Blackwood, Nicola",Conservative,10_11,2010-09-16,20.64,general admin,Payment Telephone/Mobile,33499
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-10,3.4,staffing,Public Tr UND Int/Volntr,67131
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-11,3.15,staffing,Public Tr UND Int/Volntr,67131
4019,"Blackwood, Nicola",Conservative,10_11,2010-09-16,94.59,general admin,Stationery Purchase,33501
4019,"Blackwood, Nicola",Conservative,10_11,2010-07-01,344.28,general admin,Other,22465
4019,"Blackwood, Nicola",Conservative,10_11,2011-01-19,3.4,staffing,Public Tr UND Int/Volntr,67131
4019,"Blackwood, Nicola",Conservative,10_11,2011-03-14,0,accommodation,Water,0000076717
4019,"Blackwood, Nicola",Conservative,10_11,2011-03-16,35.54,general admin,Payment Telephone/Mobile,78295
4019,"Blackwood, Nicola",Conservative,10_11,2011-02-08,3.4,staffing,Public Tr UND Int/Volntr,76308
4019,"Blackwood, Nicola",Conservative,10_11,2011-02-21,3.4,staffing,Public Tr UND Int/Volntr,76308
