id,list_name,party,session,date,value,category,description,claim_number
4133,"Bridgen, Andrew",Conservative,11_12,2011-09-14,13.85,travel,Public Tr RAIL MP Staff - SGL,117077
4133,"Bridgen, Andrew",Conservative,12_13,2012-10-30,22.45,travel,Public Tr RAIL MP Staff - SGL,0000219922
4133,"Bridgen, Andrew",Conservative,12_13,2012-10-22,280,accommodation,Hotel London Area,0000215069
4133,"Bridgen, Andrew",Conservative,12_13,2012-08-28,3.36,office costs,Stationery Purchase,0000201268
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-17,34,travel,Public Tr RAIL - SGL,70360
4133,"Bridgen, Andrew",Conservative,10_11,2010-08-26,4,travel,Own Car MP,44702
4133,"Bridgen, Andrew",Conservative,10_11,2010-09-22,1015.25,general admin,Professional Services,32390
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-08,229.55,accommodation,Electricity,78542
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-11,17.85,general admin,Other,71120
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-24,1.9,travel,Public Tr Underground MP,81020
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-13,18,travel,Taxi MP,70368
4133,"Bridgen, Andrew",Conservative,10_11,2010-08-24,8,travel,Own Car MP,44702
4133,"Bridgen, Andrew",Conservative,10_11,2010-11-29,13.49,general admin,Stationery Purchase,56908
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-31,583,constituency rental,Const Office Rent,46484
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-31,583,constituency rental,Const Office Rent,67736
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-14,14,general admin,Venue Hire,78545
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-13,4,travel,Own Car MP Staff,70604
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-06,92.39,accommodation,Electricity,44764
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-14,10,general admin,Office Furniture Purchase,71120
4133,"Bridgen, Andrew",Conservative,10_11,2010-06-06,45.5,travel,Public Tr OTHER,0000011343
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-11,70,travel,Public Tr RAIL - SGL,70385
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-13,8,travel,Own Car MP Staff,70604
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-11,18,travel,Taxi MP,70385
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-13,51.5,travel,Public Tr RAIL - SGL,70368
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-10,1.9,travel,Public Tr Underground MP,81020
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-31,1450,accommodation,Accommodation Rent,58947
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-20,342.6,constituency rental,Const Office Tel. Usage/Rental,57550
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-28,70,travel,Public Tr RAIL - SGL,70368
4133,"Bridgen, Andrew",Conservative,10_11,2010-09-22,670.03,accommodation,Council Tax,52330
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-23,22,travel,Public Tr RAIL MP Staff - SGL,93087
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-29,22,travel,Public Tr RAIL MP Staff - SGL,93087
4133,"Bridgen, Andrew",Conservative,10_11,2010-11-02,70.5,general admin,Other,57603
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-19,22,travel,Public Tr RAIL MP Staff - SGL,70580
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-16,30,travel,Public Tr RAIL MP Staff - SGL,93087
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-08,27,travel,Public Tr RAIL MP Staff - SGL,57615
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-28,38,travel,Public Tr RAIL - SGL,81005
4133,"Bridgen, Andrew",Conservative,10_11,2010-08-20,9.6,travel,Own Car MP,44702
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-21,199.75,general admin,Contact Cards,56908
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-21,47,travel,Public Tr RAIL - SGL,70360
4133,"Bridgen, Andrew",Conservative,10_11,2010-09-30,1450,accommodation,Accommodation Rent,38289
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-01,26,travel,Public Tr RAIL MP Staff - SGL,70580
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-25,26,travel,Public Tr RAIL MP Staff - SGL,70580
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-24,652.13,general admin,Website - Design/Production,64646
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-31,1450,accommodation,Accommodation Rent,80991
4133,"Bridgen, Andrew",Conservative,10_11,2010-07-15,1950,staffing,Pooled Staffing Services,23604
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-03,51.5,travel,Public Tr RAIL - SGL,81005
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-31,1450,accommodation,Accommodation Rent,46482
4133,"Bridgen, Andrew",Conservative,10_11,2011-02-10,36,general admin,Venue Hire,70401
4133,"Bridgen, Andrew",Conservative,10_11,2010-11-12,99.64,general admin,Stationery Purchase,56908
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-28,17.99,general admin,Stationery Purchase,56908
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-07,46,travel,Public Tr RAIL - SGL,81005
4133,"Bridgen, Andrew",Conservative,10_11,2011-01-11,26,travel,Public Tr RAIL MP Staff - SGL,70580
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-25,99.76,general admin,Shredder Purchase,44767
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-03,49.3,travel,Public Tr RAIL - SGL,56962
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-10,51.5,travel,Public Tr RAIL - SGL,81005
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-20,112.96,general admin,Payment Telephone/Mobile,64646
4133,"Bridgen, Andrew",Conservative,10_11,2010-10-11,63,travel,Public Tr RAIL - RTN,47868
4133,"Bridgen, Andrew",Conservative,10_11,2010-12-20,180.08,general admin,Stationery Purchase,64646
4133,"Bridgen, Andrew",Conservative,10_11,2011-03-29,10,travel,Parking MP Staff,93838
4133,"Bridgen, Andrew",Conservative,10_11,2010-09-16,49.3,travel,Public Tr RAIL - SGL,44736
4133,"Bridgen, Andrew",Conservative,10_11,2010-11-15,34,travel,Public Tr RAIL - SGL,56962
4133,"Bridgen, Andrew",Conservative,10_11,2010-11-25,66,travel,Public Tr RAIL - SGL,56962
