id,list_name,party,session,date,value,category,description,claim_number
591,"Brown, Gordon",Labour,11_12,2011-09-20,27.09,office costs,Const Office Electricity,115550
591,"Brown, Gordon",Labour,12_13,2012-11-21,720.51,office costs,Const Office Rent,0000222154
591,"Brown, Gordon",Labour,12_13,2012-12-10,0.75,travel,Public Tr AIR,0000235276
591,"Brown, Gordon",Labour,12_13,2013-01-11,1.5,travel,Public Tr AIR,0000240388
591,"Brown, Gordon",Labour,10_11,2010-11-16,181.75,constituency rental,Contents Insurance,47423
591,"Brown, Gordon",Labour,10_11,2010-06-21,79.5,travel,Public Tr AIR Dependant,17825
591,"Brown, Gordon",Labour,10_11,2011-03-11,476.75,general admin,Stationery Purchase,76469
591,"Brown, Gordon",Labour,10_11,2010-06-07,68,travel,Public Tr AIR Dependant,17829
591,"Brown, Gordon",Labour,10_11,2010-08-31,392.46,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2010-11-05,357.5,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2011-01-21,496.46,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2011-01-04,357.5,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2011-02-03,357.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-11-16,1687.5,constituency rental,Const Office Rent,47423
591,"Brown, Gordon",Labour,10_11,2011-03-14,1.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-07-26,113.63,travel,Public Tr OTHER,27230
591,"Brown, Gordon",Labour,10_11,2010-08-06,60,travel,Public Tr OTHER,27230
591,"Brown, Gordon",Labour,10_11,2010-06-21,35,general admin,Other,33069
591,"Brown, Gordon",Labour,10_11,2011-03-09,1.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-10-15,1,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-09-06,259.8,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2011-02-21,396.66,general admin,Computer HW Purchase,68994
591,"Brown, Gordon",Labour,10_11,2010-11-16,108.61,constituency rental,Const Office Other Fuel,47423
591,"Brown, Gordon",Labour,10_11,2010-11-04,290.06,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2011-02-09,301.15,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2011-01-14,0.75,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2010-10-27,1,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-06-24,58.76,general admin,Install/Maint Office Equip.,27718
591,"Brown, Gordon",Labour,10_11,2010-10-14,74.8,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2010-06-08,20.38,general admin,Stationery Purchase,27713
591,"Brown, Gordon",Labour,10_11,2010-12-23,-81.7,travel,Public Tr AIR Dependant,66703
591,"Brown, Gordon",Labour,10_11,2010-11-01,-35.3,travel,Public Tr AIR Dependant,54603
591,"Brown, Gordon",Labour,10_11,2011-03-13,359.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2011-03-15,216,general admin,Install/Maint Office Equip.,77152
591,"Brown, Gordon",Labour,10_11,2010-12-20,94,travel,Public Tr RAIL Dependant - RTN,75646
591,"Brown, Gordon",Labour,10_11,2011-02-07,357.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2011-02-14,-357.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-11-22,415.46,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-12-23,692.09,general admin,Computer HW Purchase,77152
591,"Brown, Gordon",Labour,10_11,2010-12-20,188,travel,Public Tr RAIL - RTN,75646
591,"Brown, Gordon",Labour,10_11,2010-05-07,114.58,constituency rental,Const Office Rent,34064
591,"Brown, Gordon",Labour,10_11,2010-11-30,-415.46,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-11-24,35,general admin,Other,54312
591,"Brown, Gordon",Labour,10_11,2010-10-19,1,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-06-15,113.5,travel,Public Tr RAIL Dependant - SGL,17860
591,"Brown, Gordon",Labour,10_11,2010-06-01,197.94,general admin,Photocopier Hire,33009
591,"Brown, Gordon",Labour,10_11,2010-06-22,243.7,travel,Public Tr AIR,11213
591,"Brown, Gordon",Labour,10_11,2011-01-17,96.08,general admin,Stationery Purchase,68270
591,"Brown, Gordon",Labour,10_11,2011-03-11,326.15,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2011-01-01,274.21,general admin,Stationery Purchase,50803
591,"Brown, Gordon",Labour,10_11,2010-08-27,60,travel,Public Tr OTHER,37653
591,"Brown, Gordon",Labour,10_11,2011-01-17,273.07,general admin,Stationery Purchase,68270
591,"Brown, Gordon",Labour,10_11,2010-11-01,-35.3,travel,Public Tr AIR Dependant,54603
591,"Brown, Gordon",Labour,10_11,2010-12-01,1,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2011-01-05,1.5,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2010-05-26,92,travel,Public Tr RAIL - SGL,16577
591,"Brown, Gordon",Labour,10_11,2010-09-02,54.83,constituency rental,Const Office Tel. Usage/Rental,33018
591,"Brown, Gordon",Labour,10_11,2010-12-06,164.46,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2011-03-23,359.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2011-02-13,107.3,travel,Public Tr RAIL - SGL,76471
591,"Brown, Gordon",Labour,10_11,2010-06-25,135.5,travel,Public Tr RAIL - SGL,51052
591,"Brown, Gordon",Labour,10_11,2010-12-03,1,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-07-01,181.75,constituency rental,Contents Insurance,34064
591,"Brown, Gordon",Labour,10_11,2010-10-15,1,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2011-02-11,262.8,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-08-02,-1,travel,Public Tr OTHER,27230
591,"Brown, Gordon",Labour,10_11,2010-08-09,286.06,travel,Public Tr AIR,27230
591,"Brown, Gordon",Labour,10_11,2011-02-11,-156.9,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-12-14,632.23,general admin,Stationery Purchase,68270
591,"Brown, Gordon",Labour,10_11,2010-06-14,158.63,general admin,Install/Maint Office Equip.,27719
591,"Brown, Gordon",Labour,10_11,2011-02-21,132.93,general admin,Computer SW Purchase,68994
591,"Brown, Gordon",Labour,10_11,2010-09-09,355.5,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2010-11-23,357.5,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-05-07,45,constituency rental,Const Office Other Fuel,34064
591,"Brown, Gordon",Labour,10_11,2010-12-23,-164.46,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2011-03-15,378,general admin,Install/Maint Office Equip.,77152
591,"Brown, Gordon",Labour,10_11,2010-06-29,145.6,travel,Public Tr AIR,51052
591,"Brown, Gordon",Labour,10_11,2010-05-07,1031.25,constituency rental,Const Office Rent,34064
591,"Brown, Gordon",Labour,10_11,2010-10-08,0.5,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-11-16,187.5,constituency rental,Const Office Rent,47423
591,"Brown, Gordon",Labour,10_11,2011-03-27,69.51,general admin,Computer HW Purchase,99883
591,"Brown, Gordon",Labour,10_11,2011-02-09,159.04,general admin,Stationery Purchase,76469
591,"Brown, Gordon",Labour,10_11,2010-06-21,74.98,general admin,Stationery Purchase,27716
591,"Brown, Gordon",Labour,10_11,2011-02-15,116.5,travel,Public Tr RAIL - SGL,74006
591,"Brown, Gordon",Labour,10_11,2010-10-22,1,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-06-23,1,travel,Public Tr AIR,11213
591,"Brown, Gordon",Labour,10_11,2010-05-07,111.07,constituency rental,Contents Insurance,34064
591,"Brown, Gordon",Labour,10_11,2010-12-02,81.7,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2011-01-28,1.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-09-05,78.23,constituency rental,Const Office Tel. Usage/Rental,33018
591,"Brown, Gordon",Labour,10_11,2010-12-02,81.7,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2011-02-09,299.22,general admin,Stationery Purchase,76469
591,"Brown, Gordon",Labour,10_11,2010-10-19,1,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-12-23,158.63,general admin,Install/Maint Office Equip.,76466
591,"Brown, Gordon",Labour,10_11,2011-01-17,326.85,general admin,Stationery Purchase,68270
591,"Brown, Gordon",Labour,10_11,2011-03-24,-246.7,travel,Public Tr AIR,90886
591,"Brown, Gordon",Labour,10_11,2011-03-27,52.95,general admin,Computer HW Purchase,99883
591,"Brown, Gordon",Labour,10_11,2011-01-27,67.57,constituency rental,Const Office Tel. Usage/Rental,27704
591,"Brown, Gordon",Labour,10_11,2010-11-08,1,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-05-17,142,travel,Public Tr AIR Dependant,17151
591,"Brown, Gordon",Labour,10_11,2011-02-15,0.75,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-11-30,357.5,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-12-07,0.5,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-12-02,135.5,travel,Public Tr RAIL - SGL,62062
591,"Brown, Gordon",Labour,10_11,2010-12-15,110.1,travel,Public Tr RAIL - SGL,62062
591,"Brown, Gordon",Labour,10_11,2011-02-08,1.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2011-03-08,359.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-12-23,-81.7,travel,Public Tr AIR Dependant,66703
591,"Brown, Gordon",Labour,10_11,2011-01-06,105.75,general admin,Install/Maint Office Equip.,76466
591,"Brown, Gordon",Labour,10_11,2010-07-13,344.63,travel,Public Tr AIR,51052
591,"Brown, Gordon",Labour,10_11,2010-10-07,446.5,general admin,Computer HW Purchase,54312
591,"Brown, Gordon",Labour,10_11,2010-06-18,356.5,travel,Public Tr AIR,8392
591,"Brown, Gordon",Labour,10_11,2011-03-08,246.7,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-10-08,154.85,constituency rental,Const Office Water,47423
591,"Brown, Gordon",Labour,10_11,2010-10-14,74.8,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-05-26,30.48,constituency rental,Const Office Water,32984
591,"Brown, Gordon",Labour,10_11,2011-03-14,1.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-07-16,1,travel,Public Tr OTHER,51052
591,"Brown, Gordon",Labour,10_11,2010-06-30,95,travel,Public Tr OTHER,51052
591,"Brown, Gordon",Labour,10_11,2010-07-14,1,travel,Public Tr AIR,51052
591,"Brown, Gordon",Labour,10_11,2010-07-14,344.63,travel,Public Tr OTHER,51052
591,"Brown, Gordon",Labour,10_11,2010-10-05,815.45,general admin,Computer HW Purchase,54312
591,"Brown, Gordon",Labour,10_11,2010-10-21,357.5,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-12-16,-357.5,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-08-06,82,travel,Public Tr OTHER,27230
591,"Brown, Gordon",Labour,10_11,2010-11-24,394.46,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-12-01,-156.9,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2010-12-03,220.2,travel,Public Tr RAIL - RTN,62062
591,"Brown, Gordon",Labour,10_11,2010-12-18,-244.7,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-09-15,-204.26,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2010-07-01,1687.5,constituency rental,Const Office Rent,34064
591,"Brown, Gordon",Labour,10_11,2010-11-23,147.6,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-12-23,-81.7,travel,Public Tr AIR Dependant,66703
591,"Brown, Gordon",Labour,10_11,2011-03-29,1.5,travel,Public Tr AIR,90886
591,"Brown, Gordon",Labour,10_11,2010-07-15,1,travel,Public Tr OTHER,51052
591,"Brown, Gordon",Labour,10_11,2011-02-02,-100.1,travel,Public Tr RAIL - SGL,74006
591,"Brown, Gordon",Labour,10_11,2011-01-27,106.64,constituency rental,Const Office Tel. Usage/Rental,27704
591,"Brown, Gordon",Labour,10_11,2010-10-11,309.06,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-06-22,355.5,travel,Public Tr AIR,11213
591,"Brown, Gordon",Labour,10_11,2010-12-20,188,travel,Public Tr RAIL Dependant - RTN,75646
591,"Brown, Gordon",Labour,10_11,2011-03-11,246.7,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2011-03-24,-326.15,travel,Public Tr AIR,90886
591,"Brown, Gordon",Labour,10_11,2010-12-23,-244.7,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2010-05-17,142,travel,Public Tr AIR Dependant,17151
591,"Brown, Gordon",Labour,10_11,2010-10-15,1,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2010-11-24,1,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2011-03-11,673.8,general admin,Stationery Purchase,76469
591,"Brown, Gordon",Labour,10_11,2010-09-09,355.5,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2010-10-21,47,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2011-02-03,396.73,general admin,Computer HW Purchase,68994
591,"Brown, Gordon",Labour,10_11,2010-07-01,187.5,constituency rental,Const Office Rent,34064
591,"Brown, Gordon",Labour,10_11,2010-09-07,0.5,travel,Public Tr AIR,37653
591,"Brown, Gordon",Labour,10_11,2011-02-23,1687.5,constituency rental,Const Office Rent,68248
591,"Brown, Gordon",Labour,10_11,2010-06-06,164.42,general admin,Stationery Purchase,27712
591,"Brown, Gordon",Labour,10_11,2011-03-09,-143.46,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-10-21,60,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2010-12-06,244.7,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-10-14,74.8,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2010-06-20,357,travel,Public Tr AIR MP Staff,8567
591,"Brown, Gordon",Labour,10_11,2011-01-27,98.92,constituency rental,Const Office Tel. Usage/Rental,27704
591,"Brown, Gordon",Labour,10_11,2010-10-21,60,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2011-03-11,-359.5,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-12-02,81.7,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-07-27,2,travel,Public Tr OTHER,27230
591,"Brown, Gordon",Labour,10_11,2011-01-13,260.8,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2010-12-06,244.7,travel,Public Tr AIR,62062
591,"Brown, Gordon",Labour,10_11,2011-02-01,320.4,general admin,Stationery Purchase,76469
591,"Brown, Gordon",Labour,10_11,2010-06-07,68,travel,Public Tr AIR Dependant,17829
591,"Brown, Gordon",Labour,10_11,2010-10-26,355.5,travel,Public Tr AIR,54603
591,"Brown, Gordon",Labour,10_11,2010-11-18,528.76,general admin,Install/Maint Office Equip.,54312
591,"Brown, Gordon",Labour,10_11,2011-01-01,463.88,general admin,Stationery Purchase,50803
591,"Brown, Gordon",Labour,10_11,2010-10-21,47,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-12-06,164.46,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-06-24,144,travel,Public Tr RAIL Dependant - SGL,17853
591,"Brown, Gordon",Labour,10_11,2011-02-23,14.86,constituency rental,Const Office Gas,68248
591,"Brown, Gordon",Labour,10_11,2010-06-24,1903.71,constituency rental,Business Rates,32984
591,"Brown, Gordon",Labour,10_11,2010-09-09,52.82,constituency rental,Const Office Tel. Usage/Rental,33018
591,"Brown, Gordon",Labour,10_11,2010-06-07,68,travel,Public Tr AIR Dependant,17829
591,"Brown, Gordon",Labour,10_11,2011-01-26,-260.8,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2010-06-23,1,travel,Public Tr AIR,11213
591,"Brown, Gordon",Labour,10_11,2010-12-23,123.38,general admin,Computer SW Purchase,77152
591,"Brown, Gordon",Labour,10_11,2010-06-21,79.5,travel,Public Tr AIR Dependant,17825
591,"Brown, Gordon",Labour,10_11,2011-01-27,357.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2011-03-04,143.46,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2010-06-09,144,travel,Public Tr RAIL Dependant - SGL,17816
591,"Brown, Gordon",Labour,10_11,2010-10-07,243.7,travel,Public Tr AIR,44392
591,"Brown, Gordon",Labour,10_11,2010-05-17,142,travel,Public Tr AIR Dependant,17151
591,"Brown, Gordon",Labour,10_11,2010-12-18,-164.46,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-06-21,79.5,travel,Public Tr AIR Dependant,17825
591,"Brown, Gordon",Labour,10_11,2011-03-09,0.75,travel,Public Tr AIR,82016
591,"Brown, Gordon",Labour,10_11,2011-02-04,1.5,travel,Public Tr AIR,74006
591,"Brown, Gordon",Labour,10_11,2011-01-18,147.6,travel,Public Tr AIR,66703
591,"Brown, Gordon",Labour,10_11,2010-12-03,2,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-10-14,74.8,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,10_11,2010-12-03,2,travel,Public Tr AIR Dependant,62062
591,"Brown, Gordon",Labour,10_11,2010-10-15,1,travel,Public Tr AIR Dependant,44392
591,"Brown, Gordon",Labour,11_12,2011-09-19,237.37,office costs,Payment Telephone/Mobile,115550
591,"Brown, Gordon",Labour,11_12,2011-06-16,66,office costs,Stationery Purchase,99881
591,"Brown, Gordon",Labour,11_12,2011-04-13,262.3,travel,Public Tr AIR,90886
591,"Brown, Gordon",Labour,11_12,2011-08-19,455.76,office costs,Stationery Purchase,112945
591,"Brown, Gordon",Labour,11_12,2011-08-31,0.75,travel,Public Tr AIR,124031
591,"Brown, Gordon",Labour,11_12,2012-03-13,1.5,travel,Public Tr AIR,0000164083
591,"Brown, Gordon",Labour,11_12,2012-02-13,1.5,travel,Public Tr AIR,0000157459
591,"Brown, Gordon",Labour,11_12,2011-06-21,269.25,travel,Public Tr AIR,104366
591,"Brown, Gordon",Labour,11_12,2011-06-02,48.51,office costs,Payment Telephone/Mobile,99881
591,"Brown, Gordon",Labour,11_12,2012-03-16,1.5,travel,Public Tr AIR,0000164083
591,"Brown, Gordon",Labour,11_12,2011-12-09,37.67,office costs,Stationery Purchase,0000134951
