id,list_name,party,session,date,value,category,description,claim_number
1583,"Brown, Lyn",Labour,11_12,2011-05-13,238.17,general admin,Stationery Purchase,92302
1583,"Brown, Lyn",Labour,12_13,2013-02-28,67.2,office costs,Stationery Purchase,Payment to Supplier
1583,"Brown, Lyn",Labour,12_13,2012-05-14,55.58,office costs,Const Office Tel. Usage/Rental,0000191270
1583,"Brown, Lyn",Labour,12_13,2012-10-02,8.6,staffing,Public Tr UND Int/Volntr,0000214379
1583,"Brown, Lyn",Labour,12_13,2012-08-09,119.8,office costs,Other,0000201199
1583,"Brown, Lyn",Labour,10_11,2011-03-30,80,staffing,Professional Services (Staff.),92294
1583,"Brown, Lyn",Labour,10_11,2010-11-10,335,general admin,Computer SW Purchase,50696
1583,"Brown, Lyn",Labour,10_11,2010-11-06,470,staffing,Professional Services (Staff.),50664
1583,"Brown, Lyn",Labour,10_11,2010-08-03,490,staffing,Professional Services (Staff.),21302
1583,"Brown, Lyn",Labour,10_11,2010-09-20,72.5,general admin,Payment Telephone/Mobile,50639
1583,"Brown, Lyn",Labour,10_11,2011-03-11,26.48,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2011-02-18,1200,general admin,Professional Services,70635
1583,"Brown, Lyn",Labour,10_11,2010-12-17,35,general admin,Other,76005
1583,"Brown, Lyn",Labour,10_11,2011-01-11,86.99,general admin,Computer SW Purchase,75215
1583,"Brown, Lyn",Labour,10_11,2011-01-19,104.65,constituency rental,Const Office Tel. Usage/Rental,75363
1583,"Brown, Lyn",Labour,10_11,2011-01-01,744,constituency rental,Const Office Rent,66088
1583,"Brown, Lyn",Labour,10_11,2011-02-18,220,staffing,Professional Services (Staff.),70726
1583,"Brown, Lyn",Labour,10_11,2010-07-12,129.29,general admin,Stationery Purchase,18675
1583,"Brown, Lyn",Labour,10_11,2010-11-05,180,staffing,Professional Services (Staff.),50676
1583,"Brown, Lyn",Labour,10_11,2011-03-31,232.5,staffing,Professional Services (Staff.),99706
1583,"Brown, Lyn",Labour,10_11,2011-03-11,15.32,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2011-03-11,58.21,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2011-01-25,576,general admin,Professional Services,75996
1583,"Brown, Lyn",Labour,10_11,2010-10-13,60,staffing,Professional Services (Staff.),39968
1583,"Brown, Lyn",Labour,10_11,2011-02-14,480,staffing,Professional Services (Staff.),75214
1583,"Brown, Lyn",Labour,10_11,2011-03-09,35.24,staffing,Food & Drink Intern/Volunteer,75292
1583,"Brown, Lyn",Labour,10_11,2011-03-09,16.5,staffing,Food & Drink Intern/Volunteer,75288
1583,"Brown, Lyn",Labour,10_11,2011-02-07,2.5,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,10_11,2011-03-11,251.3,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2010-09-15,50,staffing,Professional Services (Staff.),39968
1583,"Brown, Lyn",Labour,10_11,2011-03-11,165.8,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2011-02-02,50,constituency rental,Const Office Hire of Premises,78787
1583,"Brown, Lyn",Labour,10_11,2010-09-28,119.95,general admin,Telephone/Mobile Hire,25454
1583,"Brown, Lyn",Labour,10_11,2011-02-18,29.09,staffing,Food & Drink Intern/Volunteer,70737
1583,"Brown, Lyn",Labour,10_11,2010-12-01,744,constituency rental,Const Office Rent,66086
1583,"Brown, Lyn",Labour,10_11,2011-02-01,2.5,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,10_11,2010-11-26,250,staffing,Professional Services (Staff.),57031
1583,"Brown, Lyn",Labour,10_11,2011-02-18,2.9,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,10_11,2010-12-01,377.1,constituency rental,Const Office Rent,66073
1583,"Brown, Lyn",Labour,10_11,2011-02-15,2.5,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,10_11,2011-03-11,149.03,general admin,Stationery Purchase,78841
1583,"Brown, Lyn",Labour,10_11,2010-11-04,315.21,general admin,Stationery Purchase,50693
1583,"Brown, Lyn",Labour,10_11,2011-02-07,2.5,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,10_11,2011-02-24,744,constituency rental,Const Office Rent,75341
1583,"Brown, Lyn",Labour,10_11,2011-01-11,594.09,general admin,Computer HW Purchase,75211
1583,"Brown, Lyn",Labour,10_11,2010-10-14,912.5,staffing,Professional Services (Staff.),50683
1583,"Brown, Lyn",Labour,10_11,2011-03-09,552.5,staffing,Professional Services (Staff.),75982
1583,"Brown, Lyn",Labour,10_11,2011-02-01,2.9,staffing,Public Tr UND Int/Volntr,75314
1583,"Brown, Lyn",Labour,11_12,2012-02-21,4.44,office costs,Stationery Purchase,0000157950
1583,"Brown, Lyn",Labour,11_12,2011-09-15,4.29,staffing,Food & Drink Intern/Volunteer,0000132587
1583,"Brown, Lyn",Labour,11_12,2011-04-06,1195.5,general admin,Computer HW Purchase,88692
1583,"Brown, Lyn",Labour,11_12,2011-07-28,25.82,office costs,Stationery Purchase,110222
1583,"Brown, Lyn",Labour,11_12,2011-12-23,85,office costs,Const Office Hire of Premises,0000152589
1583,"Brown, Lyn",Labour,11_12,2011-12-06,8,staffing,Public Tr UND Int/Volntr,0000141101
1583,"Brown, Lyn",Labour,11_12,2011-09-29,18.42,office costs,Stationery Purchase,0000132468
1583,"Brown, Lyn",Labour,11_12,2012-03-14,3.4,staffing,Food & Drink Intern/Volunteer,0000164258
1583,"Brown, Lyn",Labour,11_12,2011-11-03,3.4,staffing,Food & Drink Intern/Volunteer,0000132606
1583,"Brown, Lyn",Labour,11_12,2011-12-15,4,staffing,Public Tr UND Int/Volntr,0000141101
1583,"Brown, Lyn",Labour,11_12,2011-07-13,85,office costs,Const Office Hire of Premises,110230
1583,"Brown, Lyn",Labour,11_12,2011-04-18,70,staffing,Professional Services (Staff.),92294
1583,"Brown, Lyn",Labour,11_12,2011-10-11,2.72,staffing,Food & Drink Intern/Volunteer,0000132600
1583,"Brown, Lyn",Labour,11_12,2011-04-01,169.32,office costs,Stationery Purchase,84545
1583,"Brown, Lyn",Labour,11_12,2011-11-08,2.45,staffing,Food & Drink Intern/Volunteer,0000132606
1583,"Brown, Lyn",Labour,11_12,2012-03-07,7.7,staffing,Public Tr UND Int/Volntr,0000164460
1583,"Brown, Lyn",Labour,11_12,2011-07-13,85,office costs,Const Office Hire of Premises,110230
1583,"Brown, Lyn",Labour,11_12,2011-05-13,120.96,general admin,Other,92302
1583,"Brown, Lyn",Labour,11_12,2012-03-14,7.7,staffing,Public Tr UND Int/Volntr,0000164460
1583,"Brown, Lyn",Labour,11_12,2011-09-27,3.95,staffing,Food & Drink Intern/Volunteer,0000132587
1583,"Brown, Lyn",Labour,11_12,2012-02-23,3.95,staffing,Food & Drink Intern/Volunteer,0000164258
1583,"Brown, Lyn",Labour,11_12,2011-10-13,8,staffing,Public Tr UND Int/Volntr,0000135619
1583,"Brown, Lyn",Labour,11_12,2012-02-15,85,office costs,Const Office Hire of Premises,0000157969
1583,"Brown, Lyn",Labour,11_12,2011-12-22,255.93,office costs,Stationery Purchase,0000140733
1583,"Brown, Lyn",Labour,11_12,2011-09-28,744,office costs,Const Office Rent,Payment to Supplier
1583,"Brown, Lyn",Labour,11_12,2011-07-28,13.63,office costs,Stationery Purchase,110222
1583,"Brown, Lyn",Labour,11_12,2011-08-10,9.3,office costs,Stationery Purchase,118503
1583,"Brown, Lyn",Labour,11_12,2012-02-11,255,office costs,Const Office Hire of Premises,0000152574
1583,"Brown, Lyn",Labour,11_12,2012-03-24,300,staffing,Professional Services (Staff.),0000173593
1583,"Brown, Lyn",Labour,11_12,2011-09-27,85,office costs,Const Office Hire of Premises,0000132563
1583,"Brown, Lyn",Labour,11_12,2011-09-13,4,staffing,Public Tr UND Int/Volntr,0000135619
1583,"Brown, Lyn",Labour,11_12,2011-05-05,7.3,staffing,Public Tr UND Int/Volntr,106359
1583,"Brown, Lyn",Labour,11_12,2011-04-01,3.93,staffing,Food & Drink Intern/Volunteer,99633
1583,"Brown, Lyn",Labour,11_12,2011-05-19,2.2,staffing,Public Tr Bus Int/Volntr,106359
1583,"Brown, Lyn",Labour,11_12,2011-10-22,85,office costs,Const Office Hire of Premises,0000140049
1583,"Brown, Lyn",Labour,11_12,2012-03-09,8.17,office costs,Other,0000164467
1583,"Brown, Lyn",Labour,11_12,2012-02-28,64.35,office costs,Const Office Tel. Usage/Rental,0000165805
1583,"Brown, Lyn",Labour,11_12,2011-10-04,5,staffing,Food & Drink Intern/Volunteer,0000132600
1583,"Brown, Lyn",Labour,11_12,2011-05-17,2.85,staffing,Food & Drink Intern/Volunteer,106354
1583,"Brown, Lyn",Labour,11_12,2011-08-26,2.2,staffing,Public Tr Bus Int/Volntr,118470
1583,"Brown, Lyn",Labour,11_12,2012-02-28,59.9,office costs,Const Office Tel. Usage/Rental,0000165782
1583,"Brown, Lyn",Labour,11_12,2011-11-15,8,staffing,Public Tr UND Int/Volntr,0000141101
1583,"Brown, Lyn",Labour,11_12,2011-07-13,85,office costs,Const Office Hire of Premises,110230
1583,"Brown, Lyn",Labour,11_12,2011-11-15,311.83,office costs,Stationery Purchase,0000132580
1583,"Brown, Lyn",Labour,11_12,2011-09-22,3.85,staffing,Food & Drink Intern/Volunteer,0000132587
1583,"Brown, Lyn",Labour,11_12,2011-10-18,4.55,staffing,Food & Drink Intern/Volunteer,0000132600
1583,"Brown, Lyn",Labour,11_12,2011-11-18,75,staffing,Professional Services (Staff.),0000140059
1583,"Brown, Lyn",Labour,11_12,2011-07-19,102.44,office costs,Const Office Tel. Usage/Rental,118460
1583,"Brown, Lyn",Labour,11_12,2011-07-05,2.23,staffing,Food & Drink Intern/Volunteer,106354
1583,"Brown, Lyn",Labour,11_12,2011-10-17,3.85,staffing,Food & Drink Intern/Volunteer,0000132600
1583,"Brown, Lyn",Labour,11_12,2011-09-15,2.2,staffing,Public Tr Bus Int/Volntr,0000135619
1583,"Brown, Lyn",Labour,11_12,2011-08-30,5,staffing,Food & Drink Intern/Volunteer,118468
1583,"Brown, Lyn",Labour,11_12,2011-11-10,110.2,office costs,Const Office Tel. Usage/Rental,0000140067
1583,"Brown, Lyn",Labour,11_12,2011-11-29,8,staffing,Public Tr UND Int/Volntr,0000141101
1583,"Brown, Lyn",Labour,11_12,2012-03-14,1.2,staffing,Food & Drink Intern/Volunteer,0000164258
1583,"Brown, Lyn",Labour,11_12,2011-06-08,8,staffing,Public Tr UND Int/Volntr,106359
1583,"Brown, Lyn",Labour,11_12,2011-08-04,50,office costs,Const Office Hire of Premises,110230
1583,"Brown, Lyn",Labour,11_12,2011-11-15,5.26,office costs,Stationery Purchase,0000132580
1583,"Brown, Lyn",Labour,11_12,2011-04-01,206.75,office costs,Printer Purchase,84551
1583,"Brown, Lyn",Labour,11_12,2011-06-08,4.6,staffing,Food & Drink Intern/Volunteer,106354
1583,"Brown, Lyn",Labour,11_12,2012-02-29,7.7,staffing,Public Tr UND Int/Volntr,0000164460
1583,"Brown, Lyn",Labour,11_12,2012-01-11,178.22,office costs,Stationery Purchase,0000152557
1583,"Brown, Lyn",Labour,11_12,2011-12-31,750,office costs,Professional Services,0000152566
1583,"Brown, Lyn",Labour,11_12,2011-10-13,4,staffing,Food & Drink Intern/Volunteer,0000132600
1583,"Brown, Lyn",Labour,11_12,2011-08-10,110.62,office costs,Stationery Purchase,118503
1583,"Brown, Lyn",Labour,11_12,2011-05-24,8,staffing,Public Tr UND Int/Volntr,106359
1583,"Brown, Lyn",Labour,11_12,2011-05-13,149.33,general admin,Stationery Purchase,92302
1583,"Brown, Lyn",Labour,11_12,2011-04-01,1200,general admin,Professional Services,99619
1583,"Brown, Lyn",Labour,11_12,2011-09-27,8,staffing,Public Tr UND Int/Volntr,0000135619
1583,"Brown, Lyn",Labour,11_12,2011-08-04,170,office costs,Const Office Hire of Premises,110230
1583,"Brown, Lyn",Labour,11_12,2011-08-25,7.3,staffing,Public Tr UND Int/Volntr,118470
1583,"Brown, Lyn",Labour,11_12,2011-08-30,8,staffing,Public Tr UND Int/Volntr,118470
1583,"Brown, Lyn",Labour,11_12,2011-05-03,10,staffing,Public Tr UND Int/Volntr,106359
