id,list_name,party,session,date,value,category,description,claim_number
3937,"Burley, Aidan",Conservative,11_12,2011-07-06,30.34,office costs,Const Office Water,107655
3937,"Burley, Aidan",Conservative,12_13,2012-05-17,4.18,travel,Own Vehicle Car,0000176429
3937,"Burley, Aidan",Conservative,12_13,2013-03-25,49,travel,Public Tr RAIL - RTN,0000268736
3937,"Burley, Aidan",Conservative,12_13,2012-09-14,56,travel,Public Tr RAIL - RTN,0000209924
3937,"Burley, Aidan",Conservative,12_13,2013-02-18,150,staffing,Professional Services (Staff.),0000245439
3937,"Burley, Aidan",Conservative,12_13,2013-03-26,1000,staffing,Professional Services (Staff.),0000252715
3937,"Burley, Aidan",Conservative,12_13,2013-01-24,841.83,office costs,Const Office Rent,Payment to Supplier
3937,"Burley, Aidan",Conservative,12_13,2013-03-18,1560,accommodation,Accommodation Rent,Payment to Supplier
3937,"Burley, Aidan",Conservative,10_11,2010-08-28,53.2,travel,Own Car MP,36281
3937,"Burley, Aidan",Conservative,10_11,2010-06-28,200,general admin,Website - Design/Production,35079
3937,"Burley, Aidan",Conservative,10_11,2010-08-27,3.2,travel,Own Car MP,36280
3937,"Burley, Aidan",Conservative,10_11,2010-05-28,52.8,travel,Own Car MP,5264
3937,"Burley, Aidan",Conservative,10_11,2011-01-04,96.93,general admin,Payment Internet,59295
3937,"Burley, Aidan",Conservative,10_11,2011-01-18,20.2,travel,Taxi After Late Sitting,63917
3937,"Burley, Aidan",Conservative,10_11,2010-09-04,675,accommodation,Accommodation Rent,36186
3937,"Burley, Aidan",Conservative,10_11,2011-01-24,675,accommodation,Accommodation Rent,63931
3937,"Burley, Aidan",Conservative,10_11,2010-11-22,56.8,travel,Own Car MP,58476
3937,"Burley, Aidan",Conservative,10_11,2011-01-18,841.83,constituency rental,Const Office Rent,63957
3937,"Burley, Aidan",Conservative,10_11,2011-03-29,99,general admin,Payment Internet,93100
3937,"Burley, Aidan",Conservative,10_11,2011-03-29,56.36,general admin,Other,95433
3937,"Burley, Aidan",Conservative,10_11,2011-01-24,675,accommodation,Accommodation Rent,63928
3937,"Burley, Aidan",Conservative,10_11,2010-07-30,6,travel,Own Car MP,20098
3937,"Burley, Aidan",Conservative,10_11,2010-11-12,824.29,constituency rental,Const Office Rent,59314
3937,"Burley, Aidan",Conservative,10_11,2010-09-22,810.75,general admin,Other,41990
3937,"Burley, Aidan",Conservative,10_11,2010-10-26,20,travel,Taxi After Late Sitting,48770
3937,"Burley, Aidan",Conservative,10_11,2010-11-06,53.6,travel,Own Car MP,48752
3937,"Burley, Aidan",Conservative,10_11,2010-08-22,53.2,travel,Own Car MP,36278
3937,"Burley, Aidan",Conservative,10_11,2010-11-15,15,travel,Food & Drink @ Parliament,48785
3937,"Burley, Aidan",Conservative,10_11,2010-07-03,4,travel,Own Car MP,10259
3937,"Burley, Aidan",Conservative,10_11,2010-10-26,86.46,general admin,Stationery Purchase,45365
3937,"Burley, Aidan",Conservative,10_11,2011-03-23,201.48,accommodation,Water,78267
3937,"Burley, Aidan",Conservative,10_11,2011-02-01,15,travel,Food & Drink @ Parliament,70831
3937,"Burley, Aidan",Conservative,10_11,2010-11-16,89.73,accommodation,Electricity,48790
3937,"Burley, Aidan",Conservative,10_11,2010-06-04,200,accommodation,Accommodation Rent,5746
3937,"Burley, Aidan",Conservative,10_11,2010-09-20,824.29,constituency rental,Const Office Rent,41993
3937,"Burley, Aidan",Conservative,10_11,2010-06-13,55.6,travel,Own Car MP,10247
3937,"Burley, Aidan",Conservative,10_11,2010-12-12,54.4,travel,Own Car MP,58478
3937,"Burley, Aidan",Conservative,10_11,2010-11-05,55.2,travel,Own Car MP,48748
3937,"Burley, Aidan",Conservative,10_11,2010-05-15,8,travel,Own Car MP,5261
3937,"Burley, Aidan",Conservative,10_11,2010-09-12,53.2,travel,Own Car MP,42941
3937,"Burley, Aidan",Conservative,10_11,2011-01-31,117.5,general admin,Office Furniture Purchase,67293
3937,"Burley, Aidan",Conservative,10_11,2011-01-04,40,accommodation,Gas,70833
3937,"Burley, Aidan",Conservative,10_11,2010-11-08,20,travel,Taxi After Late Sitting,58458
3937,"Burley, Aidan",Conservative,10_11,2010-07-11,76.35,constituency rental,Const Office Tel. Usage/Rental,31969
3937,"Burley, Aidan",Conservative,10_11,2011-03-28,199.75,general admin,Stationery Purchase,79227
3937,"Burley, Aidan",Conservative,10_11,2010-11-10,15,travel,Food & Drink @ Parliament,48776
3937,"Burley, Aidan",Conservative,10_11,2010-09-17,53.2,travel,Own Car MP,36192
3937,"Burley, Aidan",Conservative,10_11,2011-01-20,55.2,travel,Own Car MP,63911
