id,list_name,party,session,date,value,category,description,claim_number
46,"Burns, Simon",Conservative,12_13,2012-04-02,495.75,office costs,Professional Services,0000162449
46,"Burns, Simon",Conservative,12_13,2012-11-01,495.75,office costs,Professional Services,0000215745
46,"Burns, Simon",Conservative,12_13,2013-01-07,15,travel,Food & Drink @ Parliament,0000232065
46,"Burns, Simon",Conservative,10_11,2010-07-28,82.86,general admin,Telephone/Mobile Hire,18316
46,"Burns, Simon",Conservative,10_11,2010-08-24,54.83,general admin,Payment Telephone/Mobile,24699
46,"Burns, Simon",Conservative,10_11,2010-11-15,32.9,general admin,Telephone/Mobile Hire,48190
46,"Burns, Simon",Conservative,10_11,2010-11-29,15,travel,Food & Drink @ Parliament,51490
46,"Burns, Simon",Conservative,10_11,2010-12-16,32.9,general admin,Telephone/Mobile Hire,56815
46,"Burns, Simon",Conservative,10_11,2010-09-23,0.8,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-12-06,15,travel,Food & Drink @ Parliament,58386
46,"Burns, Simon",Conservative,10_11,2010-10-15,1.4,travel,Own Car MP,44707
46,"Burns, Simon",Conservative,10_11,2011-03-12,1.2,travel,Own Car MP,78865
46,"Burns, Simon",Conservative,10_11,2011-03-18,105.07,general admin,Landline Hire,77639
46,"Burns, Simon",Conservative,10_11,2010-08-25,33.15,general admin,Telephone/Mobile Hire,25225
46,"Burns, Simon",Conservative,10_11,2010-06-22,14.15,general admin,Landline Hire,6652
46,"Burns, Simon",Conservative,10_11,2010-12-09,450,general admin,Venue Hire,55270
46,"Burns, Simon",Conservative,10_11,2010-07-28,9.5,travel,Food & Drink @ Parliament,18331
46,"Burns, Simon",Conservative,10_11,2010-11-26,2,travel,Own Car MP,53580
46,"Burns, Simon",Conservative,10_11,2010-08-04,72.1,general admin,Other,21156
46,"Burns, Simon",Conservative,10_11,2010-10-13,40.77,general admin,Advertising,39589
46,"Burns, Simon",Conservative,10_11,2010-09-18,2,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2011-01-31,50.85,general admin,Payment Telephone/Mobile,65300
46,"Burns, Simon",Conservative,10_11,2010-10-16,1,travel,Own Car MP,44707
46,"Burns, Simon",Conservative,10_11,2010-07-05,38.5,general admin,Other,10142
46,"Burns, Simon",Conservative,10_11,2011-01-18,10,travel,Food & Drink @ Parliament,65299
46,"Burns, Simon",Conservative,10_11,2010-09-20,42.87,general admin,Landline Hire,31750
46,"Burns, Simon",Conservative,10_11,2010-10-29,3.6,travel,Own Car MP,44707
46,"Burns, Simon",Conservative,10_11,2010-11-09,73.65,general admin,Other,46732
46,"Burns, Simon",Conservative,10_11,2010-09-22,10.3,travel,Food & Drink @ Parliament,32368
46,"Burns, Simon",Conservative,10_11,2010-09-16,32.9,general admin,Telephone/Mobile Hire,30970
46,"Burns, Simon",Conservative,10_11,2010-07-02,10.6,travel,Food & Drink @ Parliament,9674
46,"Burns, Simon",Conservative,10_11,2011-03-21,15,travel,Food & Drink @ Parliament,80408
46,"Burns, Simon",Conservative,10_11,2011-01-05,450,general admin,Venue Hire,59021
46,"Burns, Simon",Conservative,10_11,2010-10-26,15,travel,Food & Drink @ Parliament,42786
46,"Burns, Simon",Conservative,10_11,2010-12-11,1.2,travel,Own Car MP,58939
46,"Burns, Simon",Conservative,10_11,2010-07-28,10.6,travel,Food & Drink @ Parliament,18331
46,"Burns, Simon",Conservative,10_11,2010-11-30,15,travel,Food & Drink @ Parliament,58386
46,"Burns, Simon",Conservative,10_11,2011-01-05,80.45,general admin,Other,58937
46,"Burns, Simon",Conservative,10_11,2011-02-04,450,general admin,Venue Hire,68073
46,"Burns, Simon",Conservative,10_11,2010-11-09,15,travel,Food & Drink @ Parliament,51490
46,"Burns, Simon",Conservative,10_11,2010-08-27,40.77,general admin,Advertising,25551
46,"Burns, Simon",Conservative,10_11,2011-02-04,91.5,general admin,Other,68068
46,"Burns, Simon",Conservative,10_11,2011-02-14,15,travel,Food & Drink @ Parliament,72050
46,"Burns, Simon",Conservative,10_11,2010-07-02,89.76,general admin,Telephone/Mobile Hire,9666
46,"Burns, Simon",Conservative,10_11,2011-02-04,41.64,general admin,Advertising,68074
46,"Burns, Simon",Conservative,10_11,2010-10-05,77.25,general admin,Other,37945
46,"Burns, Simon",Conservative,10_11,2010-07-09,61.2,general admin,Other,12324
46,"Burns, Simon",Conservative,10_11,2010-10-25,14.97,general admin,Telephone/Mobile Purchase,42141
46,"Burns, Simon",Conservative,10_11,2010-06-22,40.77,general admin,Advertising,6656
46,"Burns, Simon",Conservative,10_11,2010-09-01,450,general admin,Professional Services,26187
46,"Burns, Simon",Conservative,10_11,2010-10-18,32.9,general admin,Telephone/Mobile Hire,40626
46,"Burns, Simon",Conservative,10_11,2011-03-23,10,travel,Food & Drink @ Parliament,80408
46,"Burns, Simon",Conservative,10_11,2010-10-11,15,travel,Food & Drink @ Parliament,42786
46,"Burns, Simon",Conservative,10_11,2010-07-02,10,travel,Food & Drink @ Parliament,9674
46,"Burns, Simon",Conservative,10_11,2010-06-16,362.9,general admin,Professional Services,5446
46,"Burns, Simon",Conservative,10_11,2010-08-25,450,general admin,Professional Services,25217
46,"Burns, Simon",Conservative,10_11,2011-01-13,33.6,general admin,Telephone/Mobile Hire,61179
46,"Burns, Simon",Conservative,10_11,2011-01-07,1.2,travel,Own Car MP,65295
46,"Burns, Simon",Conservative,10_11,2010-07-02,36.4,travel,Own Car MP,9671
46,"Burns, Simon",Conservative,10_11,2011-03-15,33.6,general admin,Telephone/Mobile Hire,76498
46,"Burns, Simon",Conservative,10_11,2010-09-24,5.6,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2011-02-18,4.4,travel,Own Car MP,72045
46,"Burns, Simon",Conservative,10_11,2010-11-10,450,general admin,Venue Hire,47077
46,"Burns, Simon",Conservative,10_11,2010-09-04,4,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-07-28,8.95,travel,Food & Drink @ Parliament,18331
46,"Burns, Simon",Conservative,10_11,2011-03-11,5.2,travel,Own Car MP,78865
46,"Burns, Simon",Conservative,10_11,2010-10-25,15,travel,Food & Drink @ Parliament,42786
46,"Burns, Simon",Conservative,10_11,2010-11-22,40.77,general admin,Advertising,49725
46,"Burns, Simon",Conservative,10_11,2011-02-16,15,travel,Food & Drink @ Parliament,72050
46,"Burns, Simon",Conservative,10_11,2010-07-02,9.85,travel,Food & Drink @ Parliament,9674
46,"Burns, Simon",Conservative,10_11,2011-03-04,1.6,travel,Own Car MP,78865
46,"Burns, Simon",Conservative,10_11,2011-02-08,15.6,general admin,Stationery Purchase,68517
46,"Burns, Simon",Conservative,10_11,2010-12-10,1.6,travel,Own Car MP,58939
46,"Burns, Simon",Conservative,10_11,2011-01-15,0.8,travel,Own Car MP,65295
46,"Burns, Simon",Conservative,10_11,2010-11-22,10,travel,Food & Drink @ Parliament,51490
46,"Burns, Simon",Conservative,10_11,2010-10-25,40.77,general admin,Advertising,42145
46,"Burns, Simon",Conservative,10_11,2011-02-28,198,general admin,Stationery Purchase,72051
46,"Burns, Simon",Conservative,10_11,2011-03-10,450,general admin,Venue Hire,75575
46,"Burns, Simon",Conservative,10_11,2010-11-12,1.6,travel,Own Car MP,53580
46,"Burns, Simon",Conservative,10_11,2010-12-17,3.2,travel,Own Car MP,58939
46,"Burns, Simon",Conservative,10_11,2010-10-08,450,general admin,Professional Services,38671
46,"Burns, Simon",Conservative,10_11,2010-09-22,2,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-08-27,17.2,travel,Own Car MP,25553
46,"Burns, Simon",Conservative,10_11,2011-03-18,10.98,general admin,Stationery Purchase,77630
46,"Burns, Simon",Conservative,10_11,2010-10-29,38.26,general admin,Payment Telephone/Mobile,43787
46,"Burns, Simon",Conservative,10_11,2010-12-13,16.11,general admin,Stationery Purchase,55907
46,"Burns, Simon",Conservative,10_11,2010-09-17,5.6,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2011-01-13,4.4,travel,Own Car MP,65295
46,"Burns, Simon",Conservative,10_11,2010-08-24,82.65,general admin,Other,13165
46,"Burns, Simon",Conservative,10_11,2010-06-16,23.71,general admin,Telephone/Mobile Hire,5433
46,"Burns, Simon",Conservative,10_11,2010-11-09,105.75,general admin,Stationery Purchase,46734
46,"Burns, Simon",Conservative,10_11,2010-09-01,34.06,general admin,Stationery Purchase,26196
46,"Burns, Simon",Conservative,10_11,2010-09-28,4.4,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-10-22,1.12,travel,Own Car MP,44707
46,"Burns, Simon",Conservative,10_11,2010-09-16,0.8,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-11-19,4.8,travel,Own Car MP,53580
46,"Burns, Simon",Conservative,10_11,2011-01-17,15,travel,Food & Drink @ Parliament,65299
46,"Burns, Simon",Conservative,10_11,2011-02-05,2.8,travel,Own Car MP,72045
46,"Burns, Simon",Conservative,10_11,2010-09-03,1.2,travel,Own Car MP,37950
46,"Burns, Simon",Conservative,10_11,2010-07-02,8.95,travel,Food & Drink @ Parliament,9674
46,"Burns, Simon",Conservative,10_11,2010-11-22,43.2,general admin,Payment Telephone/Mobile,49723
46,"Burns, Simon",Conservative,10_11,2011-03-21,7.07,general admin,Stationery Purchase,77634
46,"Burns, Simon",Conservative,10_11,2011-01-21,2,travel,Parking MP,65297
46,"Burns, Simon",Conservative,10_11,2011-03-22,14.88,general admin,Stationery Purchase,77813
46,"Burns, Simon",Conservative,10_11,2010-07-02,10.74,general admin,Stationery Purchase,9663
46,"Burns, Simon",Conservative,10_11,2010-06-02,90.73,general admin,Advertising,1859
