id,list_name,party,session,date,value,category,description,claim_number
1518,"Burrowes, David",Conservative,11_12,2011-11-23,2.5,staffing,Public Tr UND Int/Volntr,0000147649
1518,"Burrowes, David",Conservative,12_13,2013-03-15,65.7,office costs,Stationery Purchase,0000250388
1518,"Burrowes, David",Conservative,12_13,2013-03-13,666,office costs,Website - Design/Production,0000250386
1518,"Burrowes, David",Conservative,10_11,2010-07-16,49.34,general admin,Telephone/Mobile Hire,33817
1518,"Burrowes, David",Conservative,10_11,2010-05-09,12,general admin,Other,33849
1518,"Burrowes, David",Conservative,10_11,2010-06-08,4.35,travel,Food & Drink @ Parliament,33877
1518,"Burrowes, David",Conservative,10_11,2010-07-13,42,travel,Taxi After Late Sitting,33877
1518,"Burrowes, David",Conservative,10_11,2010-07-02,1.49,general admin,Other,33849
1518,"Burrowes, David",Conservative,10_11,2010-08-01,583.33,constituency rental,Const Office Rent,43585
1518,"Burrowes, David",Conservative,10_11,2011-03-29,71.25,general admin,Other,86042
1518,"Burrowes, David",Conservative,10_11,2010-05-13,2.14,general admin,Stationery Purchase,20304
1518,"Burrowes, David",Conservative,10_11,2011-03-03,4.8,travel,Taxi MP,86067
1518,"Burrowes, David",Conservative,10_11,2011-02-04,180.72,general admin,Stationery Purchase,81106
1518,"Burrowes, David",Conservative,10_11,2011-02-01,4.8,travel,Food & Drink @ Parliament,83289
1518,"Burrowes, David",Conservative,10_11,2010-06-29,3.25,travel,Food & Drink @ Parliament,33877
1518,"Burrowes, David",Conservative,10_11,2011-02-04,13.37,general admin,Stationery Purchase,81106
1518,"Burrowes, David",Conservative,10_11,2011-02-22,22.13,general admin,Other,83284
1518,"Burrowes, David",Conservative,10_11,2010-07-18,0.89,general admin,Other,33849
1518,"Burrowes, David",Conservative,10_11,2011-03-28,4.65,staffing,Food & Drink Intern/Volunteer,86373
1518,"Burrowes, David",Conservative,10_11,2010-05-28,0,general admin,Payment Internet,35242
1518,"Burrowes, David",Conservative,10_11,2011-02-28,3,staffing,Food & Drink Intern/Volunteer,86373
1518,"Burrowes, David",Conservative,10_11,2010-07-12,3.85,travel,Food & Drink @ Parliament,33877
1518,"Burrowes, David",Conservative,10_11,2010-06-29,14.71,general admin,Payment Telephone/Mobile,33828
1518,"Burrowes, David",Conservative,10_11,2011-03-02,3.5,staffing,Food & Drink Intern/Volunteer,86373
1518,"Burrowes, David",Conservative,10_11,2010-07-07,5.87,general admin,Stationery Purchase,33849
1518,"Burrowes, David",Conservative,10_11,2011-01-25,7.1,travel,Food & Drink @ Parliament,83289
1518,"Burrowes, David",Conservative,10_11,2011-02-04,30.75,general admin,Mobile Usage/Rental,81134
1518,"Burrowes, David",Conservative,10_11,2010-05-20,1.49,general admin,Other,33849
1518,"Burrowes, David",Conservative,10_11,2010-06-24,9.42,general admin,Stationery Purchase,33788
1518,"Burrowes, David",Conservative,10_11,2010-06-14,0.19,general admin,Postage Purchase,33849
