id,list_name,party,session,date,value,category,description,claim_number
204,"Burstow, Paul",Liberal Democrat,11_12,2011-09-30,40.06,office costs,Stationery Purchase,119074
204,"Burstow, Paul",Liberal Democrat,11_12,2011-05-23,0.85,staffing,Food & Drink Intern/Volunteer,106151
204,"Burstow, Paul",Liberal Democrat,12_13,2012-06-15,3,office costs,Other,0000182981
204,"Burstow, Paul",Liberal Democrat,12_13,2012-05-23,251.87,office costs,Const Office Water,0000176014
204,"Burstow, Paul",Liberal Democrat,12_13,2012-06-07,2250,office costs,Const Office Rent,0000180427
204,"Burstow, Paul",Liberal Democrat,12_13,2013-02-25,20,office costs,Other,0000249331
204,"Burstow, Paul",Liberal Democrat,12_13,2013-03-12,4,staffing,Public Tr OTHER Int/Volntr,0000249801
204,"Burstow, Paul",Liberal Democrat,12_13,2012-09-25,10.5,staffing,Public Tr RAIL Int/Volntr - RT,0000207229
204,"Burstow, Paul",Liberal Democrat,12_13,2013-03-28,24.15,office costs,Stationery Purchase,0000254688
204,"Burstow, Paul",Liberal Democrat,12_13,2013-03-12,3.9,staffing,Public Tr OTHER Int/Volntr,0000245157
204,"Burstow, Paul",Liberal Democrat,10_11,2010-10-13,62.47,constituency rental,Const Office Tel. Usage/Rental,46999
204,"Burstow, Paul",Liberal Democrat,10_11,2010-10-05,0.89,general admin,Other,40878
204,"Burstow, Paul",Liberal Democrat,10_11,2011-03-07,4768.8,general admin,Photocopier Purchase,79349
204,"Burstow, Paul",Liberal Democrat,10_11,2011-02-23,20,general admin,Other,71356
204,"Burstow, Paul",Liberal Democrat,10_11,2011-02-23,0.99,general admin,Other,71420
204,"Burstow, Paul",Liberal Democrat,10_11,2011-03-31,2.76,general admin,Other,84105
204,"Burstow, Paul",Liberal Democrat,10_11,2011-01-08,35.93,general admin,Payment Telephone/Mobile,67654
204,"Burstow, Paul",Liberal Democrat,10_11,2011-01-11,9.98,general admin,Other,60401
204,"Burstow, Paul",Liberal Democrat,10_11,2010-07-29,148.43,constituency rental,Const Office Tel. Usage/Rental,32913
204,"Burstow, Paul",Liberal Democrat,10_11,2010-10-11,750,constituency rental,Const Office Rent,50148
204,"Burstow, Paul",Liberal Democrat,10_11,2010-09-07,6.57,general admin,Other,40865
204,"Burstow, Paul",Liberal Democrat,10_11,2010-06-30,145.91,constituency rental,Const Office Tel. Usage/Rental,32754
204,"Burstow, Paul",Liberal Democrat,10_11,2010-05-28,20,general admin,Other,11460
204,"Burstow, Paul",Liberal Democrat,10_11,2010-09-17,4,general admin,Other,40856
204,"Burstow, Paul",Liberal Democrat,10_11,2011-03-09,3.9,staffing,Food & Drink Intern/Volunteer,78994
204,"Burstow, Paul",Liberal Democrat,10_11,2010-10-21,0.99,general admin,Other,59286
204,"Burstow, Paul",Liberal Democrat,10_11,2010-08-31,750,constituency rental,Const Office Rent,32053
204,"Burstow, Paul",Liberal Democrat,10_11,2010-10-13,0.89,general admin,Other,59286
204,"Burstow, Paul",Liberal Democrat,10_11,2011-02-23,0.69,general admin,Other,71420
204,"Burstow, Paul",Liberal Democrat,10_11,2010-07-09,1500,constituency rental,Const Office Rent,13631
