id,list_name,party,session,date,value,category,description,claim_number
1171,"Byrne, Liam",Labour,11_12,2011-09-23,11.25,travel,Own Car MP,119569
1171,"Byrne, Liam",Labour,11_12,2011-11-06,15,travel,Taxi MP,0000135733
1171,"Byrne, Liam",Labour,12_13,2012-05-10,46,travel,Public Tr RAIL - SGL,0000179027
1171,"Byrne, Liam",Labour,12_13,2012-11-20,14,travel,Taxi,0000229293
1171,"Byrne, Liam",Labour,12_13,2012-11-09,22.5,travel,Own Vehicle Car,0000223319
1171,"Byrne, Liam",Labour,12_13,2013-02-26,573.8,office costs,IT/Other Equipment Hire,0000242713
1171,"Byrne, Liam",Labour,12_13,2012-06-27,0,travel,Taxi,0000192024
1171,"Byrne, Liam",Labour,12_13,2012-07-24,12,travel,Taxi,0000193948
1171,"Byrne, Liam",Labour,12_13,2012-07-19,15.51,office costs,Hospitality,0000193965
1171,"Byrne, Liam",Labour,10_11,2011-03-31,74.5,travel,Public Tr RAIL - SGL,90865
1171,"Byrne, Liam",Labour,10_11,2011-01-12,43.3,travel,Public Tr RAIL - SGL,66683
1171,"Byrne, Liam",Labour,10_11,2010-12-17,20,travel,Own Car MP,60239
1171,"Byrne, Liam",Labour,10_11,2011-03-17,1500,constituency rental,Const Office Rent,Payment to Supplier
1171,"Byrne, Liam",Labour,10_11,2010-09-06,10,travel,Taxi MP,38030
1171,"Byrne, Liam",Labour,10_11,2010-11-22,40.9,travel,Public Tr RAIL - SGL,54584
1171,"Byrne, Liam",Labour,10_11,2010-07-10,10,travel,Own Car MP,12305
1171,"Byrne, Liam",Labour,10_11,2010-11-09,15,travel,Food & Drink @ Parliament,60430
1171,"Byrne, Liam",Labour,10_11,2010-10-09,152.23,general admin,Telephone/Mobile Hire,45373
1171,"Byrne, Liam",Labour,10_11,2011-01-20,11,travel,Taxi MP,67988
1171,"Byrne, Liam",Labour,10_11,2010-06-09,9.57,constituency rental,Const Office Electricity,3635
1171,"Byrne, Liam",Labour,10_11,2010-12-08,21.94,general admin,Other,60471
1171,"Byrne, Liam",Labour,10_11,2010-11-18,10,travel,Taxi MP,52560
1171,"Byrne, Liam",Labour,10_11,2011-01-06,145.5,accommodation,Television Licence,60459
1171,"Byrne, Liam",Labour,10_11,2011-03-08,179.26,accommodation,Gas,75050
1171,"Byrne, Liam",Labour,10_11,2010-07-08,10,travel,Taxi MP,20261
1171,"Byrne, Liam",Labour,10_11,2010-05-24,24.72,general admin,Stationery Purchase,4316
1171,"Byrne, Liam",Labour,10_11,2010-08-12,111.83,general admin,Install/Maint Office Equip.,28810
1171,"Byrne, Liam",Labour,10_11,2010-07-04,3.4,travel,Public Tr RAIL Dependant - SGL,12281
1171,"Byrne, Liam",Labour,10_11,2010-05-07,91.66,general admin,Telephone/Mobile Hire,6537
1171,"Byrne, Liam",Labour,10_11,2010-07-02,22,constituency rental,Const Office Hire of Premises,20250
1171,"Byrne, Liam",Labour,10_11,2010-06-28,8,travel,Taxi MP,20261
1171,"Byrne, Liam",Labour,10_11,2010-09-24,20,travel,Own Car MP,38026
1171,"Byrne, Liam",Labour,10_11,2010-09-11,10,travel,Own Car MP,38026
1171,"Byrne, Liam",Labour,10_11,2011-03-31,10,travel,Taxi MP,88850
1171,"Byrne, Liam",Labour,10_11,2010-11-02,15,travel,Food & Drink @ Parliament,60430
1171,"Byrne, Liam",Labour,10_11,2010-12-05,386.64,general admin,Payment Telephone/Mobile,61157
1171,"Byrne, Liam",Labour,10_11,2011-01-11,63.08,general admin,Postage Purchase,60471
1171,"Byrne, Liam",Labour,10_11,2010-05-07,8,travel,Own Car MP,3673
1171,"Byrne, Liam",Labour,10_11,2011-02-17,10.2,travel,Taxi MP,75009
1171,"Byrne, Liam",Labour,10_11,2010-07-01,38.87,constituency rental,Const Office Gas,20250
1171,"Byrne, Liam",Labour,10_11,2010-10-20,15,travel,Food & Drink @ Parliament,45320
1171,"Byrne, Liam",Labour,10_11,2011-03-08,156,general admin,Install/Maint Office Equip.,75023
1171,"Byrne, Liam",Labour,10_11,2010-10-29,56.48,accommodation,Water,45389
1171,"Byrne, Liam",Labour,10_11,2011-03-10,8,travel,Taxi MP,82549
1171,"Byrne, Liam",Labour,10_11,2010-05-27,6,travel,Taxi MP,3633
1171,"Byrne, Liam",Labour,10_11,2010-06-03,32.54,general admin,Venue Hire,6537
1171,"Byrne, Liam",Labour,10_11,2010-12-03,22,constituency rental,Const Office Hire of Premises,60454
1171,"Byrne, Liam",Labour,10_11,2010-07-09,152.23,general admin,Telephone/Mobile Hire,20254
1171,"Byrne, Liam",Labour,10_11,2010-10-22,3.79,general admin,Hospitality,45373
1171,"Byrne, Liam",Labour,10_11,2010-08-31,30.58,constituency rental,Const Office Gas,28805
1171,"Byrne, Liam",Labour,10_11,2010-06-04,115.2,travel,Own Car MP Staff,3673
1171,"Byrne, Liam",Labour,10_11,2010-12-06,40.9,travel,Public Tr RAIL - SGL,62042
1171,"Byrne, Liam",Labour,10_11,2010-10-29,8,travel,Taxi MP,45320
1171,"Byrne, Liam",Labour,10_11,2010-05-17,120,travel,Public Tr RAIL - RTN,20261
1171,"Byrne, Liam",Labour,10_11,2010-07-04,11.9,travel,Public Tr RAIL - SGL,12281
1171,"Byrne, Liam",Labour,10_11,2010-10-29,10,travel,Taxi MP,45320
1171,"Byrne, Liam",Labour,10_11,2011-02-04,18.45,travel,Parking MP,73984
1171,"Byrne, Liam",Labour,10_11,2010-10-01,56.48,accommodation,Water,38040
1171,"Byrne, Liam",Labour,10_11,2010-12-13,8,travel,Taxi MP,67988
1171,"Byrne, Liam",Labour,10_11,2010-11-26,18,travel,Own Car MP,52552
1171,"Byrne, Liam",Labour,10_11,2010-10-15,15.2,travel,Own Car MP,45364
1171,"Byrne, Liam",Labour,10_11,2010-06-28,40.9,travel,Public Tr RAIL - SGL,19651
1171,"Byrne, Liam",Labour,10_11,2010-10-21,70,travel,Public Tr RAIL - SGL,45320
1171,"Byrne, Liam",Labour,10_11,2010-07-05,118.58,general admin,Stationery Purchase,20254
1171,"Byrne, Liam",Labour,10_11,2011-01-27,31.75,travel,Public Tr RAIL MP Staff - RTN,75009
1171,"Byrne, Liam",Labour,10_11,2010-11-25,70,travel,Public Tr RAIL - SGL,62042
1171,"Byrne, Liam",Labour,10_11,2011-01-27,10,travel,Taxi MP,75009
1171,"Byrne, Liam",Labour,10_11,2010-12-21,102.4,general admin,Postage Purchase,60471
1171,"Byrne, Liam",Labour,10_11,2011-01-07,22,travel,Own Car MP,68002
1171,"Byrne, Liam",Labour,10_11,2010-11-01,4.3,travel,Food & Drink @ Parliament,52560
1171,"Byrne, Liam",Labour,10_11,2010-07-04,3.4,travel,Public Tr RAIL Dependant - SGL,12281
1171,"Byrne, Liam",Labour,10_11,2010-07-28,19.98,general admin,Install/Maint Office Equip.,20254
1171,"Byrne, Liam",Labour,10_11,2010-12-20,40.9,travel,Public Tr RAIL - SGL,62042
1171,"Byrne, Liam",Labour,10_11,2010-12-07,20,travel,Public Tr Underground MP,60430
1171,"Byrne, Liam",Labour,10_11,2010-11-11,10,travel,Taxi MP,52560
1171,"Byrne, Liam",Labour,10_11,2010-12-22,77.97,general admin,Office Furniture Purchase,60471
