id,list_name,party,session,date,value,category,description,claim_number
529,"Campbell, Alan",Labour,12_13,2012-12-07,300,office costs,Postage Purchase,0000229874
529,"Campbell, Alan",Labour,12_13,2012-04-24,9,travel,Taxi After Late Sitting,0000168717
529,"Campbell, Alan",Labour,10_11,2011-03-25,571.42,general admin,Stationery Purchase,78681
529,"Campbell, Alan",Labour,10_11,2010-10-28,16,travel,Own Car MP,43033
529,"Campbell, Alan",Labour,10_11,2010-11-01,240,travel,Public Tr RAIL - RTN,54641
529,"Campbell, Alan",Labour,10_11,2010-06-07,13,travel,Taxi MP,10063
529,"Campbell, Alan",Labour,10_11,2011-01-31,666.66,constituency rental,Const Office Hire of Premises,65380
529,"Campbell, Alan",Labour,10_11,2010-08-17,8.6,travel,Food & Drink @ Parliament,23530
529,"Campbell, Alan",Labour,10_11,2010-12-07,9.76,general admin,Hospitality,54335
529,"Campbell, Alan",Labour,10_11,2011-03-15,17.6,travel,Own Car MP,76657
529,"Campbell, Alan",Labour,10_11,2010-09-27,106.69,constituency rental,Const Office Internet Rental,33641
529,"Campbell, Alan",Labour,10_11,2010-12-07,666.66,constituency rental,Const Office Hire of Premises,54321
529,"Campbell, Alan",Labour,10_11,2010-08-17,136,accommodation,Council Tax,23502
529,"Campbell, Alan",Labour,10_11,2011-01-13,82.77,general admin,Payment Telephone/Mobile,61314
529,"Campbell, Alan",Labour,10_11,2011-01-31,15,travel,Food & Drink @ Parliament,65373
529,"Campbell, Alan",Labour,10_11,2011-03-18,3.6,travel,Own Car MP,77377
529,"Campbell, Alan",Labour,10_11,2011-03-18,3.6,travel,Own Car MP,77377
529,"Campbell, Alan",Labour,10_11,2010-10-28,84.25,general admin,Stationery Purchase,43081
529,"Campbell, Alan",Labour,10_11,2011-02-24,32,general admin,Professional Services,71630
529,"Campbell, Alan",Labour,10_11,2010-07-29,20,travel,Own Car MP,18762
529,"Campbell, Alan",Labour,10_11,2010-12-07,24,general admin,Professional Services,54335
529,"Campbell, Alan",Labour,10_11,2011-02-03,6,travel,Own Car MP,67249
529,"Campbell, Alan",Labour,10_11,2010-05-18,229,travel,Public Tr RAIL - RTN,10063
529,"Campbell, Alan",Labour,10_11,2010-09-06,234,travel,Public Tr RAIL - RTN,37691
529,"Campbell, Alan",Labour,10_11,2010-09-27,198.51,constituency rental,Const Office Tel. Usage/Rental,33641
529,"Campbell, Alan",Labour,10_11,2011-03-18,3.6,travel,Own Car MP,77377
529,"Campbell, Alan",Labour,10_11,2010-11-11,106.55,general admin,Professional Services,47378
529,"Campbell, Alan",Labour,10_11,2010-09-27,94.01,general admin,Shredder Hire,33687
529,"Campbell, Alan",Labour,10_11,2011-03-18,3.6,travel,Own Car MP,77377
529,"Campbell, Alan",Labour,10_11,2011-01-13,136,accommodation,Council Tax,61348
529,"Campbell, Alan",Labour,10_11,2010-09-27,255.96,constituency rental,Const Office Tel. Usage/Rental,33674
529,"Campbell, Alan",Labour,10_11,2011-01-31,15,travel,Food & Drink @ Parliament,65373
529,"Campbell, Alan",Labour,10_11,2010-10-28,666.66,constituency rental,Const Office Rent,43072
529,"Campbell, Alan",Labour,10_11,2010-11-15,240,travel,Public Tr RAIL - RTN,54641
529,"Campbell, Alan",Labour,10_11,2011-02-03,10.4,travel,Own Car MP,67249
529,"Campbell, Alan",Labour,10_11,2011-03-14,261,travel,Public Tr RAIL - RTN,82056
529,"Campbell, Alan",Labour,10_11,2010-09-27,47.43,constituency rental,Const Office Water,33674
529,"Campbell, Alan",Labour,10_11,2011-02-02,261,travel,Public Tr RAIL - RTN,74044
529,"Campbell, Alan",Labour,10_11,2010-06-21,229,travel,Public Tr RAIL - RTN,10063
529,"Campbell, Alan",Labour,10_11,2010-10-19,240,travel,Public Tr RAIL - RTN,44431
529,"Campbell, Alan",Labour,10_11,2010-05-24,13,travel,Taxi MP,10063
529,"Campbell, Alan",Labour,10_11,2010-07-29,20,travel,Own Car MP,18762
529,"Campbell, Alan",Labour,10_11,2010-08-02,408.5,constituency rental,Const Office Rent,20415
529,"Campbell, Alan",Labour,10_11,2010-10-28,8,travel,Own Car MP,43033
529,"Campbell, Alan",Labour,10_11,2010-06-15,229,travel,Public Tr RAIL - RTN,10063
529,"Campbell, Alan",Labour,10_11,2010-11-11,105,accommodation,Electricity,47354
529,"Campbell, Alan",Labour,10_11,2010-12-07,105.71,general admin,Payment Internet,54335
529,"Campbell, Alan",Labour,10_11,2011-03-22,90.94,general admin,Payment Telephone/Mobile,77997
529,"Campbell, Alan",Labour,10_11,2010-11-26,240,travel,Public Tr RAIL - RTN,62101
