id,list_name,party,session,date,value,category,description,claim_number
1409,"Campbell, Gregory",Democratic Unionist,12_13,2012-09-03,300,office costs,Advertising,0000206923
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-05-07,450.4,accommodation,Mortgage Interest,30501
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-09-01,558.5,accommodation,Mortgage Interest,30501
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-11-04,56.29,accommodation,Electricity,39073
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-02-28,1208,general admin,Contact Cards,76091
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-11-03,924.53,accommodation,Service Charges,39073
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-03-01,558.5,accommodation,Mortgage Interest,86557
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-12-01,600,constituency rental,Const Office Hire of Premises,64154
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-06-23,31.7,general admin,Payment Telephone/Mobile,22174
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-12-02,56.29,accommodation,Electricity,62411
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-11-01,558.5,accommodation,Mortgage Interest,39073
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-10-19,10.57,general admin,Payment Telephone/Mobile,53491
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-02-23,165.6,accommodation,Electricity,74534
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-06-30,145.5,accommodation,Television Licence,30501
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-03-01,15,travel,Food & Drink @ Parliament,76092
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-01-04,558.5,accommodation,Mortgage Interest,74534
1409,"Campbell, Gregory",Democratic Unionist,10_11,2011-03-14,1509.58,accommodation,Council Tax,92174
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-12-04,26.49,general admin,Payment Telephone/Mobile,53491
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-11-01,558.5,accommodation,Mortgage Interest,62411
1409,"Campbell, Gregory",Democratic Unionist,10_11,2010-06-23,48.79,general admin,Payment Telephone/Mobile,22174
