id,list_name,party,session,date,value,category,description,claim_number
566,"Caton, Martin",Labour,12_13,2013-02-10,605.97,office costs,Const Office Electricity,0000249721
566,"Caton, Martin",Labour,12_13,2013-01-02,124,accommodation,Council Tax,0000242472
566,"Caton, Martin",Labour,12_13,2013-02-08,15,office costs,Advertising,0000248476
566,"Caton, Martin",Labour,12_13,2013-03-11,46.25,travel,Own Vehicle Car,0000253266
566,"Caton, Martin",Labour,12_13,2012-11-26,83.25,travel,Own Vehicle Car,0000226113
566,"Caton, Martin",Labour,12_13,2012-04-05,7.65,travel,Own Vehicle Car,0000180049
566,"Caton, Martin",Labour,10_11,2010-06-15,74,travel,Own Car MP,9682
566,"Caton, Martin",Labour,10_11,2010-10-12,3231.25,general admin,Photocopier Purchase,39433
566,"Caton, Martin",Labour,10_11,2010-06-07,74,travel,Own Car MP,6032
566,"Caton, Martin",Labour,10_11,2010-06-17,74,travel,Own Car MP,6033
566,"Caton, Martin",Labour,10_11,2010-09-06,190.24,constituency rental,Contents Insurance,27903
566,"Caton, Martin",Labour,10_11,2010-06-09,74,travel,Own Car MP,6033
566,"Caton, Martin",Labour,10_11,2010-10-04,1122.09,accommodation,Council Tax,36721
566,"Caton, Martin",Labour,10_11,2010-12-13,74,travel,Own Car MP,68395
566,"Caton, Martin",Labour,10_11,2010-12-29,44.43,accommodation,Telephone Usage/Rental,68407
566,"Caton, Martin",Labour,10_11,2010-05-25,74,travel,Own Car MP,6032
566,"Caton, Martin",Labour,10_11,2011-02-28,7.5,constituency rental,Const Office Hire of Premises,84968
566,"Caton, Martin",Labour,10_11,2010-07-28,7.2,travel,Own Car MP,20453
566,"Caton, Martin",Labour,10_11,2010-11-15,74,travel,Own Car MP,52980
566,"Caton, Martin",Labour,10_11,2010-12-06,74,travel,Own Car MP,68395
566,"Caton, Martin",Labour,10_11,2011-03-07,16,constituency rental,Const Office Hire of Premises,79383
566,"Caton, Martin",Labour,10_11,2010-08-02,50.01,constituency rental,Const Office Telephone Rental,20325
566,"Caton, Martin",Labour,10_11,2010-07-07,28.6,travel,Taxi After Late Sitting,15958
566,"Caton, Martin",Labour,10_11,2010-05-28,8.8,travel,Own Car MP,20453
566,"Caton, Martin",Labour,10_11,2010-07-01,74,travel,Own Car MP,9682
566,"Caton, Martin",Labour,10_11,2010-12-18,1248,constituency rental,Const Office Electricity,62958
566,"Caton, Martin",Labour,10_11,2010-12-14,67.06,general admin,Stationery Purchase,68424
566,"Caton, Martin",Labour,10_11,2011-02-07,154.92,constituency rental,Const Office Tel. Usage/Rental,70446
566,"Caton, Martin",Labour,10_11,2010-07-05,74,travel,Own Car MP,16091
566,"Caton, Martin",Labour,10_11,2010-12-30,72,general admin,Professional Services,70437
566,"Caton, Martin",Labour,10_11,2010-06-09,74,travel,Own Car MP,9682
566,"Caton, Martin",Labour,10_11,2010-10-04,28.85,accommodation,Telephone Usage/Rental,36719
566,"Caton, Martin",Labour,10_11,2010-07-03,6.4,travel,Own Car MP,20453
