id,list_name,party,session,date,value,category,description,claim_number
3987,"Chishti, Rehman",Conservative,12_13,2012-09-04,142,travel,Hotel Late Sitting > 1.00,0000209737
3987,"Chishti, Rehman",Conservative,10_11,2010-07-23,35.6,travel,Own Car MP Staff,22334
3987,"Chishti, Rehman",Conservative,10_11,2011-03-29,62.4,general admin,Payment Telephone/Mobile,79264
3987,"Chishti, Rehman",Conservative,10_11,2011-02-01,69.56,general admin,Landline Hire,66037
3987,"Chishti, Rehman",Conservative,10_11,2011-03-08,50.42,constituency rental,Const Office Electricity,79295
3987,"Chishti, Rehman",Conservative,10_11,2010-10-08,217.38,general admin,Other,45482
3987,"Chishti, Rehman",Conservative,10_11,2010-08-10,61.1,general admin,Payment Telephone/Mobile,26778
3987,"Chishti, Rehman",Conservative,10_11,2011-01-07,375.6,travel,Public Tr RAIL Railcard,66775
3987,"Chishti, Rehman",Conservative,10_11,2011-02-08,19.08,general admin,Stationery Purchase,68432
3987,"Chishti, Rehman",Conservative,10_11,2010-07-14,61.1,general admin,Payment Telephone/Mobile,22318
3987,"Chishti, Rehman",Conservative,10_11,2010-05-14,457.08,general admin,Stationery Purchase,14919
3987,"Chishti, Rehman",Conservative,10_11,2010-12-10,61.1,general admin,Payment Telephone/Mobile,57570
3987,"Chishti, Rehman",Conservative,10_11,2010-07-05,34.42,general admin,Stationery Purchase,18259
3987,"Chishti, Rehman",Conservative,10_11,2010-07-12,345.3,travel,Public Tr RAIL Railcard,19476
3987,"Chishti, Rehman",Conservative,10_11,2010-11-04,637.5,constituency rental,Const Office Rent,50108
3987,"Chishti, Rehman",Conservative,10_11,2010-10-26,360.72,general admin,Stationery Purchase,46394
3987,"Chishti, Rehman",Conservative,10_11,2010-09-27,6.97,general admin,Stationery Purchase,35704
3987,"Chishti, Rehman",Conservative,10_11,2011-03-08,62.4,general admin,Payment Telephone/Mobile,79228
3987,"Chishti, Rehman",Conservative,10_11,2010-08-15,24.82,general admin,Stationery Purchase,26779
3987,"Chishti, Rehman",Conservative,10_11,2011-02-06,3912,travel,Public Tr Season Ticket,74081
3987,"Chishti, Rehman",Conservative,10_11,2010-07-12,61.1,general admin,Payment Telephone/Mobile,22318
3987,"Chishti, Rehman",Conservative,10_11,2011-02-21,750,constituency rental,Const Office Rent,70858
3987,"Chishti, Rehman",Conservative,10_11,2010-10-07,29.2,travel,Own Car MP Staff,40241
3987,"Chishti, Rehman",Conservative,10_11,2010-07-25,155.39,general admin,Landline Hire,40247
3987,"Chishti, Rehman",Conservative,10_11,2010-08-19,69.33,general admin,Stationery Purchase,26780
3987,"Chishti, Rehman",Conservative,10_11,2010-07-26,40.94,general admin,Telephone/Mobile Purchase,40272
3987,"Chishti, Rehman",Conservative,10_11,2010-11-12,31.17,general admin,Professional Services,50280
3987,"Chishti, Rehman",Conservative,10_11,2010-11-04,750,constituency rental,Const Office Rent,50118
3987,"Chishti, Rehman",Conservative,10_11,2010-07-13,10.56,general admin,Stationery Purchase,18259
3987,"Chishti, Rehman",Conservative,10_11,2010-07-30,130.51,general admin,Stationery Purchase,20698
3987,"Chishti, Rehman",Conservative,10_11,2010-08-24,345.3,travel,Public Tr RAIL Railcard,27288
3987,"Chishti, Rehman",Conservative,10_11,2010-06-10,345.3,travel,Public Tr RAIL Railcard,11263
3987,"Chishti, Rehman",Conservative,10_11,2010-09-10,61.1,general admin,Payment Telephone/Mobile,33260
3987,"Chishti, Rehman",Conservative,10_11,2010-11-29,345.3,travel,Public Tr RAIL Railcard,62139
3987,"Chishti, Rehman",Conservative,10_11,2011-02-08,62.4,general admin,Payment Telephone/Mobile,69465
3987,"Chishti, Rehman",Conservative,10_11,2010-10-08,522.88,general admin,Contact Cards,45700
3987,"Chishti, Rehman",Conservative,10_11,2011-03-01,362.88,general admin,Stationery Purchase,79436
3987,"Chishti, Rehman",Conservative,10_11,2010-10-27,345.3,travel,Public Tr RAIL Railcard,54679
3987,"Chishti, Rehman",Conservative,10_11,2010-07-12,40.74,general admin,Payment Telephone/Mobile,22318
3987,"Chishti, Rehman",Conservative,10_11,2010-08-10,450,general admin,Office Furniture Purchase,43048
3987,"Chishti, Rehman",Conservative,10_11,2010-10-04,89.61,general admin,Landline Hire,45474
3987,"Chishti, Rehman",Conservative,10_11,2011-02-08,119.15,general admin,Stationery Purchase,68432
3987,"Chishti, Rehman",Conservative,10_11,2011-03-22,114.38,general admin,Stationery Purchase,79268
3987,"Chishti, Rehman",Conservative,10_11,2010-09-27,345.3,travel,Public Tr RAIL Railcard,44463
3987,"Chishti, Rehman",Conservative,10_11,2010-09-27,21.65,general admin,Postage Purchase,35704
3987,"Chishti, Rehman",Conservative,10_11,2010-07-13,6.89,general admin,Stationery Purchase,18259
3987,"Chishti, Rehman",Conservative,10_11,2011-03-29,88.08,constituency rental,Const Office Electricity,79332
3987,"Chishti, Rehman",Conservative,10_11,2011-03-29,15.65,constituency rental,Const Office Water,79331
3987,"Chishti, Rehman",Conservative,10_11,2010-06-01,40,travel,Own Car MP Staff,22334
3987,"Chishti, Rehman",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,20690
3987,"Chishti, Rehman",Conservative,10_11,2010-11-10,61.1,general admin,Payment Telephone/Mobile,50089
3987,"Chishti, Rehman",Conservative,10_11,2010-10-11,61.1,general admin,Payment Telephone/Mobile,45472
3987,"Chishti, Rehman",Conservative,10_11,2010-11-07,165.79,general admin,Stationery Purchase,50287
3987,"Chishti, Rehman",Conservative,10_11,2010-11-04,44.22,constituency rental,Business Rates,50108
3987,"Chishti, Rehman",Conservative,10_11,2010-07-06,165.49,general admin,Stationery Purchase,18259
3987,"Chishti, Rehman",Conservative,11_12,2011-12-12,8.89,staffing,Food & Drink Int/Volntr,0000147038
3987,"Chishti, Rehman",Conservative,11_12,2012-01-25,-30.4,office costs,Stationery Purchase,0000150176
3987,"Chishti, Rehman",Conservative,11_12,2012-01-16,22.72,staffing,Food & Drink Int/Volntr,0000147038
3987,"Chishti, Rehman",Conservative,11_12,2012-01-30,8.98,staffing,Food & Drink Int/Volntr,0000151325
3987,"Chishti, Rehman",Conservative,11_12,2012-01-12,28.25,staffing,Public Tr OTHER Int/Volntr,0000145512
3987,"Chishti, Rehman",Conservative,11_12,2012-01-30,16.8,staffing,Public Tr UND Int/Volntr,0000151320
3987,"Chishti, Rehman",Conservative,11_12,2012-01-05,16.8,staffing,Public Tr UND Int/Volntr,0000147064
3987,"Chishti, Rehman",Conservative,11_12,2011-06-29,62.4,general admin,Payment Telephone/Mobile,100835
3987,"Chishti, Rehman",Conservative,11_12,2012-01-19,9.26,staffing,Food & Drink Int/Volntr,0000146889
3987,"Chishti, Rehman",Conservative,11_12,2012-03-13,62.4,office costs,Payment Telephone/Mobile,0000158587
3987,"Chishti, Rehman",Conservative,11_12,2012-01-23,23.5,staffing,Food & Drink Int/Volntr,0000151325
3987,"Chishti, Rehman",Conservative,11_12,2012-01-26,56.5,staffing,Public Tr OTHER Int/Volntr,0000151038
3987,"Chishti, Rehman",Conservative,11_12,2012-01-10,129.88,office costs,Landline Hire,0000145493
3987,"Chishti, Rehman",Conservative,11_12,2011-07-11,126.04,office costs,Landline Hire,105339
3987,"Chishti, Rehman",Conservative,11_12,2012-01-23,29.2,staffing,Public Tr UND Int/Volntr,0000151320
3987,"Chishti, Rehman",Conservative,11_12,2011-09-11,750,office costs,Const Office Rent,118859
3987,"Chishti, Rehman",Conservative,11_12,2011-06-03,3960,staffing,Pooled Staffing Services,Payment to Supplier
3987,"Chishti, Rehman",Conservative,11_12,2011-12-06,8,staffing,Public Tr UND Int/Volntr,0000147064
3987,"Chishti, Rehman",Conservative,11_12,2011-07-04,750,office costs,Const Office Rent,105345
3987,"Chishti, Rehman",Conservative,11_12,2012-01-11,56.5,staffing,Public Tr OTHER Int/Volntr,0000145512
3987,"Chishti, Rehman",Conservative,11_12,2011-12-07,8,staffing,Public Tr UND Int/Volntr,0000147064
3987,"Chishti, Rehman",Conservative,11_12,2012-02-20,62.4,office costs,Payment Telephone/Mobile,0000157858
3987,"Chishti, Rehman",Conservative,11_12,2011-12-15,7.36,staffing,Food & Drink Int/Volntr,0000146889
3987,"Chishti, Rehman",Conservative,11_12,2012-01-19,56.5,staffing,Public Tr OTHER Int/Volntr,0000145512
3987,"Chishti, Rehman",Conservative,11_12,2012-01-24,14.12,staffing,Food & Drink Int/Volntr,0000151313
3987,"Chishti, Rehman",Conservative,11_12,2012-01-18,101.81,office costs,Stationery Purchase,0000150176
3987,"Chishti, Rehman",Conservative,11_12,2012-01-19,405.89,office costs,Stationery Purchase,0000150176
3987,"Chishti, Rehman",Conservative,11_12,2012-01-09,29.2,staffing,Public Tr UND Int/Volntr,0000147064
3987,"Chishti, Rehman",Conservative,11_12,2011-11-25,15.47,office costs,Stationery Purchase,0000137140
3987,"Chishti, Rehman",Conservative,11_12,2011-11-24,2.21,office costs,Stationery Purchase,0000137140
3987,"Chishti, Rehman",Conservative,11_12,2011-09-22,581.65,office costs,Stationery Purchase,0000124114
3987,"Chishti, Rehman",Conservative,11_12,2011-10-08,57.94,office costs,Stationery Purchase,0000130671
3987,"Chishti, Rehman",Conservative,11_12,2012-01-30,28.25,staffing,Public Tr OTHER Int/Volntr,0000151038
3987,"Chishti, Rehman",Conservative,11_12,2012-02-13,21.58,office costs,Photocopier Hire,0000152372
3987,"Chishti, Rehman",Conservative,11_12,2011-11-29,87.98,office costs,Photocopier Hire,0000135263
3987,"Chishti, Rehman",Conservative,11_12,2011-11-29,20.1,office costs,Const Office Water,0000135098
3987,"Chishti, Rehman",Conservative,11_12,2011-12-19,62.4,office costs,Payment Telephone/Mobile,0000139101
3987,"Chishti, Rehman",Conservative,11_12,2012-01-03,12.08,staffing,Food & Drink Int/Volntr,0000147038
3987,"Chishti, Rehman",Conservative,11_12,2011-04-12,106.93,general admin,Landline Hire,84777
3987,"Chishti, Rehman",Conservative,11_12,2011-09-15,62.4,office costs,Mobile Usage/Rental,0000118702
3987,"Chishti, Rehman",Conservative,11_12,2012-01-31,5.22,staffing,Food & Drink Int/Volntr,0000151313
3987,"Chishti, Rehman",Conservative,11_12,2012-01-09,14.07,staffing,Food & Drink Int/Volntr,0000146889
3987,"Chishti, Rehman",Conservative,11_12,2011-09-22,84.66,office costs,Stationery Purchase,0000124114
3987,"Chishti, Rehman",Conservative,11_12,2012-02-07,4148,travel,Public Tr Season Ticket,0000157554
3987,"Chishti, Rehman",Conservative,11_12,2011-12-15,26.95,staffing,Public Tr OTHER Int/Volntr,0000145512
3987,"Chishti, Rehman",Conservative,11_12,2012-02-08,750,office costs,Const Office Rent,0000151425
3987,"Chishti, Rehman",Conservative,11_12,2011-11-07,62.4,office costs,Payment Telephone/Mobile,0000132452
3987,"Chishti, Rehman",Conservative,11_12,2012-01-25,30.4,office costs,Stationery Purchase,0000150176
3987,"Chishti, Rehman",Conservative,11_12,2011-09-22,166.32,office costs,Stationery Purchase,0000124114
3987,"Chishti, Rehman",Conservative,11_12,2011-09-15,62.4,office costs,Mobile Usage/Rental,0000118702
3987,"Chishti, Rehman",Conservative,11_12,2011-12-06,7.9,staffing,Food & Drink Int/Volntr,0000147038
3987,"Chishti, Rehman",Conservative,11_12,2012-01-30,368.4,office costs,Contact Cards,0000151011
3987,"Chishti, Rehman",Conservative,11_12,2012-01-24,28.25,staffing,Public Tr OTHER Int/Volntr,0000151038
3987,"Chishti, Rehman",Conservative,11_12,2012-03-16,148.2,office costs,Stationery Purchase,0000164179
3987,"Chishti, Rehman",Conservative,11_12,2012-01-16,29.2,staffing,Public Tr UND Int/Volntr,0000147064
3987,"Chishti, Rehman",Conservative,11_12,2012-01-17,62.4,office costs,Payment Telephone/Mobile,0000146838
3987,"Chishti, Rehman",Conservative,11_12,2011-04-18,62.4,office costs,Payment Telephone/Mobile,84772
