id,list_name,party,session,date,value,category,description,claim_number
366,"Clarke, Kenneth",Conservative,12_13,2012-10-08,178,accommodation,Council Tax,0000212357
366,"Clarke, Kenneth",Conservative,12_13,2012-09-06,178,accommodation,Council Tax,0000212357
366,"Clarke, Kenneth",Conservative,12_13,2013-03-25,57.6,travel,Own Vehicle Car,0000261584
366,"Clarke, Kenneth",Conservative,10_11,2010-11-03,264,accommodation,Gas,48490
366,"Clarke, Kenneth",Conservative,10_11,2011-03-11,126,general admin,Advertising,75868
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,504.25,accommodation,Mortgage Interest,46468
366,"Clarke, Kenneth",Conservative,10_11,2010-12-23,51.2,travel,Own Car MP,58379
366,"Clarke, Kenneth",Conservative,10_11,2011-02-28,68,accommodation,Gas,92067
366,"Clarke, Kenneth",Conservative,10_11,2010-09-20,66,accommodation,Electricity,31638
366,"Clarke, Kenneth",Conservative,10_11,2010-12-15,51.2,travel,Own Car MP,56676
366,"Clarke, Kenneth",Conservative,10_11,2010-10-07,90.71,general admin,Stationery Purchase,38523
366,"Clarke, Kenneth",Conservative,10_11,2010-07-12,51.2,travel,Own Car MP,25343
366,"Clarke, Kenneth",Conservative,10_11,2010-12-23,300,constituency rental,Const Office Hire of Premises,58377
366,"Clarke, Kenneth",Conservative,10_11,2011-02-24,480,accommodation,Approved Security Measures,71580
366,"Clarke, Kenneth",Conservative,10_11,2010-10-07,178,accommodation,Council Tax,38471
366,"Clarke, Kenneth",Conservative,10_11,2011-02-10,51.2,travel,Own Car MP,68954
366,"Clarke, Kenneth",Conservative,10_11,2010-10-07,504.25,accommodation,Mortgage Interest,38464
366,"Clarke, Kenneth",Conservative,10_11,2010-09-01,504.25,accommodation,Mortgage Interest,26393
366,"Clarke, Kenneth",Conservative,10_11,2010-05-10,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-12-15,504.25,accommodation,Mortgage Interest,56692
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2010-10-21,51.2,travel,Own Car MP,41517
366,"Clarke, Kenneth",Conservative,10_11,2010-07-07,51.2,travel,Own Car MP,25343
366,"Clarke, Kenneth",Conservative,10_11,2010-07-19,51.2,travel,Own Car MP,25343
366,"Clarke, Kenneth",Conservative,10_11,2010-06-14,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-10-07,178,accommodation,Council Tax,38471
366,"Clarke, Kenneth",Conservative,10_11,2010-12-15,51.2,travel,Own Car MP,56676
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2011-03-11,79.92,general admin,Stationery Purchase,75872
366,"Clarke, Kenneth",Conservative,10_11,2010-09-20,198,accommodation,Gas,31638
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,51.2,travel,Own Car MP,74687
366,"Clarke, Kenneth",Conservative,10_11,2010-07-26,51.2,travel,Own Car MP,25343
366,"Clarke, Kenneth",Conservative,10_11,2010-07-02,51.2,travel,Own Car MP,25343
366,"Clarke, Kenneth",Conservative,10_11,2010-06-11,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-06-07,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-11-18,44,accommodation,Electricity,69662
366,"Clarke, Kenneth",Conservative,10_11,2010-11-10,35.25,general admin,Other,41553
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,51.2,travel,Own Car MP,74687
366,"Clarke, Kenneth",Conservative,10_11,2010-12-15,51.2,travel,Own Car MP,56676
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2010-05-21,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-05-13,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2011-01-06,504.25,accommodation,Mortgage Interest,59352
366,"Clarke, Kenneth",Conservative,10_11,2010-12-15,51.2,travel,Own Car MP,56676
366,"Clarke, Kenneth",Conservative,10_11,2010-12-16,178,accommodation,Council Tax,56741
366,"Clarke, Kenneth",Conservative,10_11,2011-02-10,51.2,travel,Own Car MP,68954
366,"Clarke, Kenneth",Conservative,10_11,2010-10-21,51.2,travel,Own Car MP,41517
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2011-02-10,51.2,travel,Own Car MP,68954
366,"Clarke, Kenneth",Conservative,10_11,2011-02-15,178,accommodation,Council Tax,69695
366,"Clarke, Kenneth",Conservative,10_11,2010-05-27,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-05-24,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-10-07,504.25,accommodation,Mortgage Interest,38464
366,"Clarke, Kenneth",Conservative,10_11,2010-08-27,123.37,general admin,Advertising,25537
366,"Clarke, Kenneth",Conservative,10_11,2011-03-28,68,accommodation,Gas,92067
366,"Clarke, Kenneth",Conservative,10_11,2010-11-08,51.2,travel,Own Car MP,46456
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,504.25,accommodation,Mortgage Interest,74693
366,"Clarke, Kenneth",Conservative,10_11,2010-05-17,165.68,general admin,Stationery Purchase,14966
366,"Clarke, Kenneth",Conservative,10_11,2010-05-17,51.2,travel,Own Car MP,12839
366,"Clarke, Kenneth",Conservative,10_11,2010-10-21,51.2,travel,Own Car MP,41517
366,"Clarke, Kenneth",Conservative,10_11,2011-02-16,171,accommodation,Gas,70006
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,51.2,travel,Own Car MP,74687
366,"Clarke, Kenneth",Conservative,10_11,2010-12-23,51.2,travel,Own Car MP,58379
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,51.2,travel,Own Car MP,74687
366,"Clarke, Kenneth",Conservative,10_11,2011-03-07,51.2,travel,Own Car MP,74687
366,"Clarke, Kenneth",Conservative,10_11,2011-03-20,22,accommodation,Electricity,77499
366,"Clarke, Kenneth",Conservative,10_11,2011-03-11,108,general admin,Other,75862
