id,list_name,party,session,date,value,category,description,claim_number
249,"Clifton-Brown, Geoffrey",Conservative,11_12,2011-08-10,15.54,office costs,Stationery Purchase,111154
249,"Clifton-Brown, Geoffrey",Conservative,11_12,2011-10-08,12.6,travel,Own Car MP,131120
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2012-06-29,20,travel,Public Tr RAIL MP Staff - SGL,0000194170
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2012-06-20,12.6,travel,Own Vehicle Car MP Staff,0000185999
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2013-02-12,55.43,office costs,Stationery Purchase,Payment to Supplier
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2012-04-03,3.75,staffing,Food & Drink Int/Volntr,0000186008
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2013-03-04,15,travel,Food & Drink @ Parliament,0000257639
249,"Clifton-Brown, Geoffrey",Conservative,12_13,2012-05-03,45,travel,Own Vehicle Car,0000184547
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-11-22,33.2,travel,Own Car MP,49625
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2011-02-28,15,travel,Food & Drink @ Parliament,72062
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-10-15,7.03,general admin,Website - Hosting,40116
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-08-03,383.57,general admin,Stationery Purchase,20605
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-08-19,40,travel,Own Car MP,23994
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2011-03-18,72.35,general admin,Other,77312
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-09-07,36.4,general admin,Other,28280
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-08-26,73.97,general admin,Telephone/Mobile Hire,25347
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2011-01-06,390.28,constituency rental,Const Office Other Fuel,59307
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-12-15,69.33,general admin,Contact Cards,56568
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-07-29,9.2,travel,Own Car MP,18900
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2011-03-16,20,travel,Own Car MP,76881
249,"Clifton-Brown, Geoffrey",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,9054
