id,list_name,party,session,date,value,category,description,claim_number
360,"Coaker, Vernon",Labour,11_12,2011-05-09,73,travel,Public Tr RAIL - SGL,97342
360,"Coaker, Vernon",Labour,11_12,2011-10-17,39,office costs,Advertising,124579
360,"Coaker, Vernon",Labour,12_13,2012-12-15,5.4,travel,Own Vehicle Car,0000249240
360,"Coaker, Vernon",Labour,12_13,2012-05-15,793.14,office costs,Stationery Purchase,0000179272
360,"Coaker, Vernon",Labour,12_13,2013-01-07,44.9,travel,Public Tr RAIL - SGL,0000240282
360,"Coaker, Vernon",Labour,10_11,2010-09-24,4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-06-05,5.6,travel,Own Car MP,4031
360,"Coaker, Vernon",Labour,10_11,2010-11-13,4,travel,Own Car MP,53805
360,"Coaker, Vernon",Labour,10_11,2010-08-04,2.4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2011-03-31,56,travel,Own Car MP,82999
360,"Coaker, Vernon",Labour,10_11,2010-11-08,32.9,travel,Public Tr RAIL - SGL,54788
360,"Coaker, Vernon",Labour,10_11,2010-09-02,4.8,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-09-17,4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2011-02-04,14.77,general admin,Photocopier Hire,68332
360,"Coaker, Vernon",Labour,10_11,2010-12-11,137,travel,Public Tr RAIL MP Staff - RTN,62248
360,"Coaker, Vernon",Labour,10_11,2010-05-22,4.8,travel,Own Car MP,4031
360,"Coaker, Vernon",Labour,10_11,2010-08-25,50,constituency rental,Const Office Hire of Premises,25255
360,"Coaker, Vernon",Labour,10_11,2010-05-15,4,travel,Own Car MP,4031
360,"Coaker, Vernon",Labour,10_11,2010-12-21,66,travel,Public Tr RAIL - SGL,62248
360,"Coaker, Vernon",Labour,10_11,2011-03-18,5.2,travel,Own Car MP,82999
360,"Coaker, Vernon",Labour,10_11,2011-03-17,61.5,travel,Public Tr RAIL - SGL,82201
360,"Coaker, Vernon",Labour,10_11,2010-09-10,4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-08-07,4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-10-25,50,general admin,Advertising,44745
360,"Coaker, Vernon",Labour,10_11,2010-09-18,2.4,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-11-27,4.8,travel,Own Car MP,53805
360,"Coaker, Vernon",Labour,10_11,2011-01-04,1.2,travel,Own Car MP,68358
360,"Coaker, Vernon",Labour,10_11,2010-06-02,69,travel,Public Tr RAIL - SGL,2547
360,"Coaker, Vernon",Labour,10_11,2011-03-07,73,travel,Public Tr RAIL - SGL,82201
360,"Coaker, Vernon",Labour,10_11,2010-07-26,179,constituency rental,Business Rates,17335
360,"Coaker, Vernon",Labour,10_11,2010-12-03,0,office costs,Business Rates,53695
360,"Coaker, Vernon",Labour,10_11,2010-09-03,1.6,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-11-12,49.3,travel,Public Tr RAIL - SGL,54788
360,"Coaker, Vernon",Labour,10_11,2010-05-21,4.8,travel,Own Car MP,4031
360,"Coaker, Vernon",Labour,10_11,2010-07-16,1.6,travel,Own Car MP,38433
360,"Coaker, Vernon",Labour,10_11,2010-11-26,4,travel,Own Car MP,53805
360,"Coaker, Vernon",Labour,10_11,2010-09-06,66.4,travel,Public Tr RAIL - SGL,37824
360,"Coaker, Vernon",Labour,10_11,2011-01-06,36.4,general admin,Photocopier Hire,59372
360,"Coaker, Vernon",Labour,10_11,2010-06-25,66.94,general admin,Photocopier Hire,7570
360,"Coaker, Vernon",Labour,10_11,2010-08-25,75.73,general admin,Stationery Purchase,25250
360,"Coaker, Vernon",Labour,10_11,2011-02-10,117.2,travel,Public Tr OTHER MP Staff,69557
360,"Coaker, Vernon",Labour,10_11,2010-10-25,313.72,general admin,Stationery Purchase,42754
360,"Coaker, Vernon",Labour,10_11,2011-01-17,78,travel,Public Tr RAIL Other MP Staff,66882
360,"Coaker, Vernon",Labour,10_11,2010-05-24,108.6,travel,Public Tr RAIL - RTN,2547
360,"Coaker, Vernon",Labour,10_11,2010-11-05,4.8,travel,Own Car MP,53805
360,"Coaker, Vernon",Labour,10_11,2011-03-19,433.41,general admin,Stationery Purchase,77701
360,"Coaker, Vernon",Labour,10_11,2011-02-23,7.6,travel,Own Car MP,75913
