id,list_name,party,session,date,value,category,description,claim_number
458,"Coffey, Ann",Labour,12_13,2012-09-13,5.5,travel,Congestion Zone/Toll,0000209798
458,"Coffey, Ann",Labour,12_13,2012-08-29,55.20,travel,Public Tr RAIL - SGL,0000209186
458,"Coffey, Ann",Labour,12_13,2012-11-05,86.15,travel,Public Tr RAIL - SGL,0000227734
458,"Coffey, Ann",Labour,10_11,2010-09-08,14.8,general admin,Advertising,28764
458,"Coffey, Ann",Labour,10_11,2010-07-04,4.5,travel,Public Tr OTHER,19528
458,"Coffey, Ann",Labour,10_11,2011-03-31,44,travel,Parking MP,91018
458,"Coffey, Ann",Labour,10_11,2011-03-10,158.78,general admin,Other,75762
458,"Coffey, Ann",Labour,10_11,2010-12-07,460.78,constituency rental,Contents Insurance,55108
458,"Coffey, Ann",Labour,10_11,2010-05-27,40,travel,Parking Season Ticket,11300
458,"Coffey, Ann",Labour,10_11,2010-12-14,15,travel,Food & Drink @ Parliament,61000
458,"Coffey, Ann",Labour,10_11,2010-11-24,71.3,travel,Public Tr RAIL - RTN,54735
458,"Coffey, Ann",Labour,10_11,2010-09-05,79.2,travel,Own Car MP,28714
458,"Coffey, Ann",Labour,10_11,2010-09-08,14.8,general admin,Advertising,28764
458,"Coffey, Ann",Labour,10_11,2010-10-27,64.76,constituency rental,Const Office Tel. Usage/Rental,43568
458,"Coffey, Ann",Labour,10_11,2010-11-03,20.1,constituency rental,Const Office Tel. Usage/Rental,55110
458,"Coffey, Ann",Labour,10_11,2010-09-07,12.65,constituency rental,Const Office Tel. Usage/Rental,32244
458,"Coffey, Ann",Labour,10_11,2011-03-03,43,travel,Parking MP,82148
458,"Coffey, Ann",Labour,10_11,2010-11-18,75.2,general admin,Other,49193
458,"Coffey, Ann",Labour,10_11,2010-11-02,165.96,accommodation,Gas,50063
458,"Coffey, Ann",Labour,10_11,2011-03-07,84.66,general admin,Other,74836
458,"Coffey, Ann",Labour,10_11,2010-12-01,177,accommodation,Council Tax,52425
458,"Coffey, Ann",Labour,10_11,2010-07-10,20,constituency rental,Const Office Hire of Premises,24330
458,"Coffey, Ann",Labour,10_11,2011-03-21,15,travel,Food & Drink @ Parliament,82679
458,"Coffey, Ann",Labour,10_11,2010-09-21,146,accommodation,Gas,32232
458,"Coffey, Ann",Labour,10_11,2010-07-08,8,travel,Congestion Zone/Toll MP,17286
458,"Coffey, Ann",Labour,10_11,2010-06-10,5,travel,Public Tr OTHER,11300
458,"Coffey, Ann",Labour,10_11,2010-09-21,16.65,accommodation,Council Tax,32213
458,"Coffey, Ann",Labour,10_11,2010-09-20,48.36,constituency rental,Const Office Water,32206
458,"Coffey, Ann",Labour,10_11,2011-03-17,354.75,general admin,Other,77131
458,"Coffey, Ann",Labour,10_11,2011-03-15,34.61,constituency rental,Const Office Electricity,82148
458,"Coffey, Ann",Labour,10_11,2010-10-27,20.24,constituency rental,Const Office Tel. Usage/Rental,44792
458,"Coffey, Ann",Labour,10_11,2010-05-26,25.2,general admin,Other,13194
458,"Coffey, Ann",Labour,10_11,2010-09-08,20.48,constituency rental,Const Office Tel. Usage/Rental,28813
458,"Coffey, Ann",Labour,10_11,2010-12-14,130.19,constituency rental,Const Office Electricity,56426
458,"Coffey, Ann",Labour,10_11,2011-02-17,277.69,accommodation,Electricity,70454
458,"Coffey, Ann",Labour,10_11,2010-09-14,75.2,travel,Public Tr RAIL - RTN,37770
458,"Coffey, Ann",Labour,10_11,2011-01-16,47.78,constituency rental,Const Office Tel. Usage/Rental,62748
458,"Coffey, Ann",Labour,10_11,2011-03-07,79.39,general admin,Other,74836
458,"Coffey, Ann",Labour,10_11,2010-11-24,82.9,general admin,Computer SW Purchase,55112
458,"Coffey, Ann",Labour,10_11,2011-03-09,68.3,travel,Public Tr RAIL - RTN,82148
458,"Coffey, Ann",Labour,10_11,2010-05-24,30.05,travel,Public Tr RAIL - SGL,4781
458,"Coffey, Ann",Labour,10_11,2010-10-12,15,travel,Food & Drink @ Parliament,41547
458,"Coffey, Ann",Labour,10_11,2010-07-14,32.2,constituency rental,Const Office Gas,13921
458,"Coffey, Ann",Labour,10_11,2010-05-29,74.4,travel,Own Car MP,5529
458,"Coffey, Ann",Labour,10_11,2011-01-14,150.63,constituency rental,Const Office Tel. Usage/Rental,64643
458,"Coffey, Ann",Labour,10_11,2011-02-10,15,travel,Food & Drink @ Parliament,68958
458,"Coffey, Ann",Labour,10_11,2010-07-21,402.5,general admin,Website - Design/Production,16196
458,"Coffey, Ann",Labour,10_11,2010-05-25,14.85,travel,Food & Drink @ Parliament,4845
458,"Coffey, Ann",Labour,10_11,2010-09-21,67.47,accommodation,Electricity,32220
458,"Coffey, Ann",Labour,10_11,2010-07-27,162,constituency rental,Business Rates,17817
458,"Coffey, Ann",Labour,10_11,2011-03-21,20.42,constituency rental,Const Office Tel. Usage/Rental,77667
458,"Coffey, Ann",Labour,10_11,2011-03-25,60,travel,Parking MP,91018
458,"Coffey, Ann",Labour,10_11,2010-11-10,38.54,general admin,Other,47229
458,"Coffey, Ann",Labour,10_11,2011-02-17,271.74,accommodation,Gas,70454
458,"Coffey, Ann",Labour,10_11,2010-11-22,5.55,travel,Food & Drink @ Parliament,50057
458,"Coffey, Ann",Labour,10_11,2011-01-11,61.7,travel,Public Tr RAIL - RTN,66829
458,"Coffey, Ann",Labour,10_11,2010-07-20,100.85,constituency rental,Const Office Telephone Usage,15753
458,"Coffey, Ann",Labour,10_11,2010-06-26,4.12,travel,Own Car MP,8142
458,"Coffey, Ann",Labour,10_11,2011-01-20,44,travel,Parking MP,66829
458,"Coffey, Ann",Labour,10_11,2010-09-01,81.05,accommodation,Water,32229
458,"Coffey, Ann",Labour,10_11,2011-02-17,15,travel,Food & Drink @ Parliament,70458
458,"Coffey, Ann",Labour,10_11,2010-11-05,227.51,accommodation,Electricity,50063
458,"Coffey, Ann",Labour,10_11,2010-07-24,79.6,travel,Own Car MP,17279
458,"Coffey, Ann",Labour,10_11,2010-09-21,423.38,accommodation,Council Tax,32213
458,"Coffey, Ann",Labour,10_11,2010-10-18,15,travel,Food & Drink @ Parliament,41547
458,"Coffey, Ann",Labour,10_11,2011-02-11,53,travel,Parking MP,74138
458,"Coffey, Ann",Labour,10_11,2010-12-08,48.85,travel,Public Tr RAIL - SGL,62194
458,"Coffey, Ann",Labour,10_11,2011-03-16,61.9,travel,Public Tr RAIL - RTN,82148
458,"Coffey, Ann",Labour,10_11,2010-06-14,11.65,travel,Food & Drink @ Parliament,4845
458,"Coffey, Ann",Labour,10_11,2010-12-09,37.6,travel,Public Tr RAIL - SGL,62194
458,"Coffey, Ann",Labour,10_11,2010-10-21,50,general admin,Other,45521
458,"Coffey, Ann",Labour,10_11,2010-05-23,10,travel,Parking Season Ticket,11081
458,"Coffey, Ann",Labour,10_11,2010-07-09,3.36,travel,Own Car MP,13215
458,"Coffey, Ann",Labour,10_11,2011-03-02,101.3,travel,Public Tr RAIL - SGL,82148
458,"Coffey, Ann",Labour,10_11,2011-03-17,174.9,constituency rental,Const Office Gas,82148
458,"Coffey, Ann",Labour,10_11,2010-06-25,5.92,travel,Own Car MP,8142
458,"Coffey, Ann",Labour,10_11,2011-02-18,76.9,travel,Public Tr RAIL - RTN,74138
458,"Coffey, Ann",Labour,10_11,2010-10-28,102,travel,Parking MP,54735
458,"Coffey, Ann",Labour,10_11,2010-05-23,22.45,travel,Public Tr RAIL - SGL,4755
458,"Coffey, Ann",Labour,10_11,2010-11-13,60,travel,Parking MP,54735
458,"Coffey, Ann",Labour,10_11,2010-06-12,4.5,travel,Public Tr OTHER,11300
458,"Coffey, Ann",Labour,10_11,2011-03-18,54,travel,Parking MP,82148
458,"Coffey, Ann",Labour,10_11,2010-07-28,60.05,travel,Public Tr RAIL - RTN,27328
458,"Coffey, Ann",Labour,10_11,2010-07-02,8.48,travel,Own Car MP,10285
458,"Coffey, Ann",Labour,10_11,2010-10-28,25.83,general admin,Stationery Purchase,43576
458,"Coffey, Ann",Labour,10_11,2011-02-17,37.66,general admin,Other,70460
458,"Coffey, Ann",Labour,10_11,2010-07-03,2.12,travel,Own Car MP,10285
458,"Coffey, Ann",Labour,10_11,2010-10-14,44,travel,Parking MP,44517
458,"Coffey, Ann",Labour,10_11,2010-09-21,12.09,accommodation,Electricity,32222
458,"Coffey, Ann",Labour,10_11,2010-09-13,19.99,constituency rental,Const Office Tel. Usage/Rental,32242
458,"Coffey, Ann",Labour,10_11,2010-06-24,8,travel,Public Tr OTHER,19528
458,"Coffey, Ann",Labour,10_11,2010-06-25,1625,constituency rental,Const Office Rent,13155
458,"Coffey, Ann",Labour,10_11,2011-03-22,54.8,travel,Public Tr RAIL - SGL,82148
458,"Coffey, Ann",Labour,10_11,2010-09-21,71.1,accommodation,Water,32230
