id,list_name,party,session,date,value,category,description,claim_number
420,"Cooper, Yvette",Labour,11_12,2011-11-17,99,travel,Public Tr RAIL - SGL,0000137152
420,"Cooper, Yvette",Labour,12_13,2012-12-09,94.1,travel,Public Tr RAIL - RTN,0000235374
420,"Cooper, Yvette",Labour,12_13,2013-01-21,81.5,staffing,Public Tr UND Int/Volntr,0000243498
420,"Cooper, Yvette",Labour,12_13,2012-06-29,328.29,office costs,Stationery Purchase,0000185673
420,"Cooper, Yvette",Labour,12_13,2012-10-17,83,travel,Public Tr RAIL - SGL,0000219301
420,"Cooper, Yvette",Labour,12_13,2012-10-19,32,travel,Parking,0000219301
420,"Cooper, Yvette",Labour,10_11,2010-11-14,20,travel,Public Tr RAIL Other,54690
420,"Cooper, Yvette",Labour,10_11,2011-01-13,84,general admin,Other,61320
420,"Cooper, Yvette",Labour,10_11,2011-03-13,25,travel,Public Tr RAIL Other,82102
420,"Cooper, Yvette",Labour,10_11,2011-01-09,12.4,staffing,Public Tr UND Int/Volntr,64945
420,"Cooper, Yvette",Labour,10_11,2010-07-18,79.95,travel,Public Tr RAIL - RTN,19486
420,"Cooper, Yvette",Labour,10_11,2010-06-20,60.55,travel,Public Tr RAIL Dependant - RTN,11271
420,"Cooper, Yvette",Labour,10_11,2010-10-21,15.95,general admin,Other,41672
420,"Cooper, Yvette",Labour,10_11,2010-11-26,25,travel,Parking MP,62151
420,"Cooper, Yvette",Labour,10_11,2011-01-24,7.56,general admin,Other,64938
420,"Cooper, Yvette",Labour,10_11,2011-03-19,25.25,travel,Parking MP,82102
420,"Cooper, Yvette",Labour,10_11,2011-03-17,88.6,travel,Public Tr RAIL - RTN,82102
420,"Cooper, Yvette",Labour,10_11,2010-08-25,7.84,general admin,Other,25126
420,"Cooper, Yvette",Labour,10_11,2010-07-09,174.77,general admin,Stationery Purchase,12351
420,"Cooper, Yvette",Labour,10_11,2011-03-17,80,general admin,Other,77255
420,"Cooper, Yvette",Labour,10_11,2011-01-16,25,travel,Public Tr RAIL Other,66786
420,"Cooper, Yvette",Labour,10_11,2010-12-10,81.2,travel,Public Tr RAIL - SGL,62151
420,"Cooper, Yvette",Labour,10_11,2011-01-14,88.6,travel,Public Tr RAIL - RTN,66786
420,"Cooper, Yvette",Labour,10_11,2011-01-05,62.47,general admin,Telephone/Mobile Hire,59041
