id,list_name,party,session,date,value,category,description,claim_number
4088,"Creasy, Stella",Labour,11_12,2011-09-12,6.3,travel,Public Tr UND MP Staff,118645
4088,"Creasy, Stella",Labour,12_13,2012-05-09,91.5,office costs,Hospitality,0000176034
4088,"Creasy, Stella",Labour,12_13,2012-06-25,35,office costs,Other,0000203649
4088,"Creasy, Stella",Labour,12_13,2013-03-19,40,travel,Taxi Working Late After 9pm,0000259226
4088,"Creasy, Stella",Labour,10_11,2011-03-18,300,general admin,Professional Services,77589
4088,"Creasy, Stella",Labour,10_11,2011-02-17,236.18,constituency rental,Const Office Tel. Usage/Rental,70274
4088,"Creasy, Stella",Labour,10_11,2010-07-14,5.93,general admin,Stationery Purchase,16324
4088,"Creasy, Stella",Labour,10_11,2010-08-18,173.85,constituency rental,Const Office Tel. Usage/Rental,16334
4088,"Creasy, Stella",Labour,10_11,2010-11-19,77.97,general admin,Stationery Purchase,46208
4088,"Creasy, Stella",Labour,10_11,2010-12-20,83.56,constituency rental,Const Office Tel. Usage/Rental,70274
4088,"Creasy, Stella",Labour,10_11,2010-11-03,16.55,general admin,Other,32580
4088,"Creasy, Stella",Labour,10_11,2010-11-23,12.7,general admin,Other,46208
4088,"Creasy, Stella",Labour,10_11,2010-11-28,360.42,constituency rental,Const Office Rent,58481
4088,"Creasy, Stella",Labour,10_11,2010-11-05,184.03,general admin,Stationery Purchase,46208
4088,"Creasy, Stella",Labour,10_11,2011-02-21,360.42,constituency rental,Const Office Rent,Payment to Supplier
4088,"Creasy, Stella",Labour,10_11,2010-08-25,1081.26,constituency rental,Const Office Rent,16334
4088,"Creasy, Stella",Labour,10_11,2010-08-18,126.62,general admin,Stationery Purchase,32580
4088,"Creasy, Stella",Labour,10_11,2010-09-15,10.69,general admin,Stationery Purchase,32580
4088,"Creasy, Stella",Labour,10_11,2010-11-25,4.14,general admin,Stationery Purchase,46208
4088,"Creasy, Stella",Labour,10_11,2011-03-31,2400,general admin,Website - Design/Production,92729
4088,"Creasy, Stella",Labour,10_11,2011-03-17,8,travel,Public Tr RAIL Other MP Staff,78001
4088,"Creasy, Stella",Labour,10_11,2011-01-20,341.36,general admin,Office Furniture Purchase,70283
4088,"Creasy, Stella",Labour,10_11,2010-09-20,40,general admin,Other,32580
4088,"Creasy, Stella",Labour,10_11,2011-02-01,5.3,travel,Public Tr RAIL Other MP Staff,78001
4088,"Creasy, Stella",Labour,10_11,2010-10-20,360.42,constituency rental,Const Office Rent,46209
4088,"Creasy, Stella",Labour,10_11,2010-06-23,54.22,general admin,Stationery Purchase,16324
4088,"Creasy, Stella",Labour,10_11,2010-11-21,174.19,constituency rental,Const Office Tel. Usage/Rental,58481
4088,"Creasy, Stella",Labour,10_11,2011-03-29,1245.6,general admin,Contact Cards,79632
4088,"Creasy, Stella",Labour,10_11,2011-02-14,145.9,constituency rental,Const Office Hire of Premises,70274
4088,"Creasy, Stella",Labour,10_11,2010-07-05,49.42,general admin,Stationery Purchase,16324
4088,"Creasy, Stella",Labour,10_11,2010-08-04,335,general admin,Computer SW Purchase,16324
4088,"Creasy, Stella",Labour,10_11,2010-12-20,371.3,general admin,Telephone/Mobile Purchase,61279
4088,"Creasy, Stella",Labour,10_11,2011-03-03,93.8,general admin,Stationery Purchase,77589
4088,"Creasy, Stella",Labour,10_11,2010-11-19,12.56,general admin,Stationery Purchase,46208
4088,"Creasy, Stella",Labour,10_11,2010-07-14,39.09,general admin,Stationery Purchase,16324
4088,"Creasy, Stella",Labour,10_11,2010-10-08,154.3,general admin,Stationery Purchase,32580
4088,"Creasy, Stella",Labour,10_11,2010-08-19,75,constituency rental,Const Office Hire of Premises,16334
