id,list_name,party,session,date,value,category,description,claim_number
188,"Davey, Edward",Liberal Democrat,11_12,2012-03-05,26.25,office costs,Professional Services,0000125383
188,"Davey, Edward",Liberal Democrat,11_12,2011-05-25,172.7,constituency rental,Const Office Gas,98073
188,"Davey, Edward",Liberal Democrat,12_13,2012-09-19,3088,office costs,Const Office Rent,Payment to Supplier
188,"Davey, Edward",Liberal Democrat,12_13,2012-10-05,6,office costs,Other,0000211110
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-31,167.74,constituency rental,Contents Insurance,100536
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-01,254.36,constituency rental,Const Office Gas,72977
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-29,13.33,general admin,Stationery Purchase,84959
188,"Davey, Edward",Liberal Democrat,10_11,2011-02-02,217.55,constituency rental,Const Office Electricity,67032
188,"Davey, Edward",Liberal Democrat,10_11,2011-01-20,43.19,constituency rental,Contents Insurance,63393
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-29,0,constituency rental,Const Office Tel. Usage/Rental,34707
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-27,26.25,general admin,Professional Services,33728
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-15,104.69,constituency rental,Const Office Tel. Usage/Rental,58209
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-31,774.14,constituency rental,Contents Insurance,100534
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-31,160.31,constituency rental,Const Office Electricity,84940
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-29,746.13,general admin,Professional Services,34606
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-07,20.39,constituency rental,Const Office Internet Rental,90548
188,"Davey, Edward",Liberal Democrat,10_11,2010-11-04,75,general admin,Professional Services,45871
188,"Davey, Edward",Liberal Democrat,10_11,2011-02-28,102.61,general admin,Stationery Purchase,84954
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,90,constituency rental,Business Rates,26784
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-19,21.9,constituency rental,Const Office Water,40736
188,"Davey, Edward",Liberal Democrat,10_11,2011-02-02,65.3,constituency rental,Const Office Tel. Usage/Rental,67036
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-11,1948,general admin,Security,60085
188,"Davey, Edward",Liberal Democrat,10_11,2011-02-07,26.6,constituency rental,Const Office Water,67997
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-06,146.5,general admin,Professional Services,53644
188,"Davey, Edward",Liberal Democrat,10_11,2011-01-12,136.5,general admin,Install/Maint Office Equip.,60941
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-28,974,staffing,Professional Services (Staff.),33941
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-21,26.25,general admin,Professional Services,77565
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-27,93.58,constituency rental,Const Office Electricity,42863
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-01,13.79,constituency rental,Const Office Gas,35765
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-06,628.09,general admin,Install/Maint Office Equip.,38681
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-22,3088,constituency rental,Const Office Rent,58220
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,3088,constituency rental,Const Office Rent,29653
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-01,26.25,general admin,Professional Services,72956
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-01,105,general admin,Professional Services,72749
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-03,19.96,constituency rental,Const Office Internet Rental,52905
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-01,26.25,general admin,Professional Services,72956
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,37.39,constituency rental,Const Office Water,29638
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,101.24,constituency rental,Const Office Tel. Usage/Rental,29638
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-06,19.96,constituency rental,Const Office Internet Rental,65781
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-09,30,constituency rental,Const Office Hire of Premises,55374
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-04,7.8,travel,Public Tr RAIL Railcard,40741
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-01,75.71,general admin,Payment Telephone/Mobile,35889
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-02,1866.37,constituency rental,Const Office Hire of Premises,23909
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-27,26.25,general admin,Professional Services,33728
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-29,734.45,constituency rental,Contents Insurance,34677
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-27,73.97,constituency rental,Business Rates,33722
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,90,constituency rental,Business Rates,29638
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-03,29.8,constituency rental,Const Office Gas,52905
188,"Davey, Edward",Liberal Democrat,10_11,2010-09-13,90,constituency rental,Business Rates,26786
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-04,7.8,travel,Public Tr RAIL Railcard,40741
188,"Davey, Edward",Liberal Democrat,10_11,2011-03-23,406.2,general admin,Stationery Purchase,84963
188,"Davey, Edward",Liberal Democrat,10_11,2010-12-03,64.38,constituency rental,Const Office Gas,52905
188,"Davey, Edward",Liberal Democrat,10_11,2010-10-19,61.91,general admin,Payment Telephone/Mobile,40891
