id,list_name,party,session,date,value,category,description,claim_number
1398,"David, Wayne",Labour,12_13,2012-04-17,15,travel,Food & Drink @ Parliament,0000173091
1398,"David, Wayne",Labour,12_13,2012-12-20,43.00,travel,Public Tr RAIL - SGL,0000290151
1398,"David, Wayne",Labour,10_11,2010-07-21,8.6,travel,Food & Drink @ Parliament,19907
1398,"David, Wayne",Labour,10_11,2011-03-23,-31,travel,Public Tr RAIL - SGL,81957
1398,"David, Wayne",Labour,10_11,2010-07-01,62.8,travel,Own Car MP,14701
1398,"David, Wayne",Labour,10_11,2010-06-25,9.99,general admin,Telephone/Mobile Hire,12442
1398,"David, Wayne",Labour,10_11,2010-10-07,270.87,general admin,Other,39826
1398,"David, Wayne",Labour,10_11,2011-02-03,4.8,travel,Own Car MP,73326
1398,"David, Wayne",Labour,10_11,2011-03-07,4.1,travel,Food & Drink @ Parliament,78669
1398,"David, Wayne",Labour,10_11,2010-11-25,54.5,travel,Public Tr RAIL - RTN,62003
1398,"David, Wayne",Labour,10_11,2010-11-26,5.2,travel,Own Car MP,50983
1398,"David, Wayne",Labour,10_11,2010-10-21,4.8,travel,Own Car MP,43652
1398,"David, Wayne",Labour,10_11,2010-09-22,10.4,travel,Own Car MP,33218
1398,"David, Wayne",Labour,10_11,2010-11-29,15,travel,Food & Drink @ Parliament,55670
1398,"David, Wayne",Labour,10_11,2010-05-23,0.8,travel,Own Car MP,14632
1398,"David, Wayne",Labour,10_11,2010-09-09,59.6,travel,Own Car MP,33218
1398,"David, Wayne",Labour,10_11,2010-10-05,1.6,travel,Own Car MP,39875
1398,"David, Wayne",Labour,10_11,2010-10-26,15,travel,Food & Drink @ Parliament,47749
1398,"David, Wayne",Labour,10_11,2010-10-13,94.59,general admin,Printer Purchase,43093
1398,"David, Wayne",Labour,10_11,2010-09-07,9.25,travel,Food & Drink @ Parliament,33255
1398,"David, Wayne",Labour,10_11,2010-06-17,5.5,travel,Congestion Zone/Toll MP,7624
1398,"David, Wayne",Labour,10_11,2010-07-15,62.8,travel,Own Car MP,14701
1398,"David, Wayne",Labour,10_11,2010-07-13,96,travel,Public Tr RAIL - RTN,16858
1398,"David, Wayne",Labour,10_11,2011-01-21,68,accommodation,Council Tax,63623
1398,"David, Wayne",Labour,10_11,2010-10-19,15,travel,Food & Drink @ Parliament,41865
1398,"David, Wayne",Labour,10_11,2010-10-03,25.2,travel,Own Car MP,39875
1398,"David, Wayne",Labour,10_11,2011-01-06,12.34,general admin,Telephone/Mobile Hire,59275
1398,"David, Wayne",Labour,10_11,2010-05-20,8,travel,Congestion Zone/Toll MP,4100
1398,"David, Wayne",Labour,10_11,2011-01-24,156,travel,Public Tr RAIL - RTN,66649
1398,"David, Wayne",Labour,10_11,2010-12-19,1.6,travel,Own Car MP,59361
1398,"David, Wayne",Labour,10_11,2010-07-13,7.2,travel,Public Tr Underground MP,16848
1398,"David, Wayne",Labour,10_11,2010-09-22,2,travel,Parking MP,33255
1398,"David, Wayne",Labour,10_11,2010-11-12,76,travel,Public Tr RAIL - RTN,54547
1398,"David, Wayne",Labour,10_11,2011-01-17,15,travel,Food & Drink @ Parliament,65081
1398,"David, Wayne",Labour,10_11,2010-06-26,3.6,travel,Own Car MP,14632
1398,"David, Wayne",Labour,10_11,2010-06-07,62.8,travel,Own Car MP,4094
1398,"David, Wayne",Labour,10_11,2010-06-04,187.5,general admin,Landline Hire,4025
1398,"David, Wayne",Labour,10_11,2011-01-28,25.66,general admin,Telephone/Mobile Hire,65083
1398,"David, Wayne",Labour,10_11,2010-08-04,8,travel,Own Car MP,21614
1398,"David, Wayne",Labour,10_11,2010-05-13,4,travel,Public Tr Underground MP,5828
1398,"David, Wayne",Labour,10_11,2010-07-10,1.2,travel,Own Car MP,14632
1398,"David, Wayne",Labour,10_11,2010-07-30,6.4,travel,Own Car MP,19863
1398,"David, Wayne",Labour,10_11,2010-12-10,10.8,travel,Own Car MP,55686
1398,"David, Wayne",Labour,10_11,2011-02-17,178,travel,Public Tr RAIL Foreign,73943
1398,"David, Wayne",Labour,10_11,2010-08-24,68,accommodation,Council Tax,43807
1398,"David, Wayne",Labour,10_11,2011-02-24,108.5,travel,Public Tr RAIL - RTN,73943
1398,"David, Wayne",Labour,10_11,2011-01-28,82.5,travel,Public Tr RAIL - RTN,73943
1398,"David, Wayne",Labour,10_11,2011-03-31,176.25,general admin,Advertising,99844
1398,"David, Wayne",Labour,10_11,2010-10-22,52.82,constituency rental,Const Office Tel. Usage/Rental,41828
1398,"David, Wayne",Labour,10_11,2010-10-14,8,travel,Congestion Zone/Toll MP,40043
1398,"David, Wayne",Labour,10_11,2011-02-03,1.2,travel,Own Car MP,73326
1398,"David, Wayne",Labour,10_11,2010-08-10,0.8,travel,Own Car MP,26752
1398,"David, Wayne",Labour,10_11,2010-07-01,8,travel,Congestion Zone/Toll MP,14669
1398,"David, Wayne",Labour,10_11,2010-12-10,68,accommodation,Council Tax,55678
