id,list_name,party,session,date,value,category,description,claim_number
155,"Davies, Geraint",Labour,11_12,2011-06-19,1.4,travel,Own Car MP,94306
155,"Davies, Geraint",Labour,12_13,2012-06-18,20.28,office costs,Stationery Purchase,Payment to Supplier
155,"Davies, Geraint",Labour,12_13,2012-11-26,73,travel,Public Tr RAIL - RTN,0000223440
155,"Davies, Geraint",Labour,12_13,2012-06-14,11.44,office costs,Stationery Purchase,Payment to Supplier
155,"Davies, Geraint",Labour,12_13,2013-01-23,39.91,office costs,Const Office Tel. Usage/Rental,0000244251
155,"Davies, Geraint",Labour,12_13,2012-07-23,4.13,staffing,Food & Drink Int/Volntr,0000193942
155,"Davies, Geraint",Labour,10_11,2011-03-14,215,travel,Public Tr RAIL - RTN,82113
155,"Davies, Geraint",Labour,10_11,2011-02-10,39.62,general admin,Stationery Purchase,71448
155,"Davies, Geraint",Labour,10_11,2011-03-13,36.12,general admin,Landline Hire,82580
155,"Davies, Geraint",Labour,10_11,2011-02-28,215,travel,Public Tr RAIL - RTN,82113
155,"Davies, Geraint",Labour,10_11,2010-05-17,84,travel,Public Tr RAIL - RTN,14746
155,"Davies, Geraint",Labour,10_11,2010-09-15,14.8,travel,Public Tr UND MP Staff,33233
155,"Davies, Geraint",Labour,10_11,2010-06-28,69.7,travel,Public Tr RAIL - RTN,19496
155,"Davies, Geraint",Labour,10_11,2010-10-19,5.4,travel,Taxi After Late Sitting,46176
155,"Davies, Geraint",Labour,10_11,2010-11-17,15,travel,Food & Drink @ Parliament,52813
155,"Davies, Geraint",Labour,10_11,2010-11-24,199,travel,Public Tr RAIL - RTN,54702
155,"Davies, Geraint",Labour,10_11,2011-03-11,1.48,travel,Own Car MP,82587
155,"Davies, Geraint",Labour,10_11,2010-11-30,3.32,staffing,Food & Drink Intern/Volunteer,52817
155,"Davies, Geraint",Labour,10_11,2010-11-04,2.64,staffing,Food & Drink Intern/Volunteer,45765
155,"Davies, Geraint",Labour,10_11,2011-02-01,5.4,travel,Food & Drink @ Parliament,72947
155,"Davies, Geraint",Labour,10_11,2010-10-20,94.59,general admin,Stationery Purchase,47353
155,"Davies, Geraint",Labour,10_11,2011-02-08,15,travel,Food & Drink @ Parliament,72947
155,"Davies, Geraint",Labour,10_11,2011-01-24,15,travel,Food & Drink @ Parliament,65043
155,"Davies, Geraint",Labour,10_11,2010-09-03,88.32,general admin,Postage Purchase,28544
155,"Davies, Geraint",Labour,10_11,2010-07-02,33.87,travel,Public Tr Underground MP,19496
155,"Davies, Geraint",Labour,10_11,2010-11-24,89,travel,Public Tr Underground MP,62162
155,"Davies, Geraint",Labour,10_11,2010-09-13,0,travel,Food & Drink @ Parliament,46176
155,"Davies, Geraint",Labour,10_11,2010-12-08,4.5,staffing,Food & Drink Intern/Volunteer,55889
155,"Davies, Geraint",Labour,10_11,2011-01-12,645.66,general admin,Stationery Purchase,65042
155,"Davies, Geraint",Labour,10_11,2010-05-21,101.41,general admin,Stationery Purchase,16001
155,"Davies, Geraint",Labour,10_11,2010-11-08,34.65,travel,Public Tr RAIL MP Staff - RTN,47731
155,"Davies, Geraint",Labour,10_11,2010-11-24,4.64,staffing,Food & Drink Intern/Volunteer,50930
155,"Davies, Geraint",Labour,10_11,2010-10-19,90,travel,Public Tr Underground MP,44486
155,"Davies, Geraint",Labour,10_11,2011-03-21,4,travel,Food & Drink @ Parliament,82503
155,"Davies, Geraint",Labour,10_11,2011-01-24,215,travel,Public Tr RAIL - RTN,66797
155,"Davies, Geraint",Labour,10_11,2011-02-18,1.72,travel,Own Car MP,75444
155,"Davies, Geraint",Labour,10_11,2011-01-12,45,travel,Public Tr Underground MP,66797
155,"Davies, Geraint",Labour,10_11,2011-02-23,21,general admin,Other,73839
155,"Davies, Geraint",Labour,10_11,2010-09-13,205,travel,Public Tr RAIL - RTN,37740
155,"Davies, Geraint",Labour,10_11,2010-06-15,69.7,travel,Public Tr RAIL - RTN,14746
155,"Davies, Geraint",Labour,10_11,2011-03-07,1.72,travel,Own Car MP,75444
155,"Davies, Geraint",Labour,10_11,2010-11-22,3.75,staffing,Food & Drink Intern/Volunteer,50930
155,"Davies, Geraint",Labour,10_11,2010-11-10,18.96,general admin,Stationery Purchase,50939
155,"Davies, Geraint",Labour,10_11,2011-03-30,23.75,travel,Public Tr RAIL MP Staff - RTN,82494
155,"Davies, Geraint",Labour,10_11,2010-12-01,109.5,travel,Public Tr RAIL - RTN,62162
155,"Davies, Geraint",Labour,10_11,2010-09-06,15,travel,Food & Drink @ Parliament,46176
155,"Davies, Geraint",Labour,10_11,2010-11-03,2.2,staffing,Food & Drink Intern/Volunteer,45344
155,"Davies, Geraint",Labour,10_11,2011-03-07,530,general admin,Computer HW Purchase,79648
155,"Davies, Geraint",Labour,10_11,2010-12-13,1.59,staffing,Food & Drink Intern/Volunteer,55889
155,"Davies, Geraint",Labour,10_11,2010-07-21,352,general admin,Professional Services,28542
155,"Davies, Geraint",Labour,10_11,2010-06-30,50,travel,Public Tr Underground MP,19496
155,"Davies, Geraint",Labour,10_11,2010-11-08,15,travel,Food & Drink @ Parliament,52813
155,"Davies, Geraint",Labour,10_11,2011-02-11,1.72,travel,Own Car MP,75444
155,"Davies, Geraint",Labour,10_11,2010-09-13,43.35,travel,Public Tr RAIL MP Staff - RTN,33233
155,"Davies, Geraint",Labour,10_11,2010-10-24,455.31,general admin,Stationery Purchase,47353
155,"Davies, Geraint",Labour,10_11,2011-03-23,128.4,general admin,Contact Cards,82557
155,"Davies, Geraint",Labour,10_11,2010-09-02,776,constituency rental,Const Office Rent,28515
155,"Davies, Geraint",Labour,10_11,2010-06-21,71.7,travel,Public Tr RAIL - RTN,14746
155,"Davies, Geraint",Labour,10_11,2010-09-13,6.6,travel,Food & Drink @ Parliament,46176
155,"Davies, Geraint",Labour,10_11,2011-03-09,85,travel,Public Tr Underground MP,82113
155,"Davies, Geraint",Labour,10_11,2010-12-17,64,general admin,Postage Purchase,59044
155,"Davies, Geraint",Labour,10_11,2010-06-01,69.7,travel,Public Tr RAIL - RTN,14746
155,"Davies, Geraint",Labour,10_11,2010-11-08,2.12,staffing,Food & Drink Intern/Volunteer,47368
155,"Davies, Geraint",Labour,10_11,2011-01-06,316.11,general admin,Landline Hire,60177
155,"Davies, Geraint",Labour,10_11,2011-03-11,271.47,general admin,Stationery Purchase,79648
155,"Davies, Geraint",Labour,10_11,2010-06-18,5.99,general admin,Install/Maint Office Equip.,15621
155,"Davies, Geraint",Labour,10_11,2010-08-25,20.82,constituency rental,Const Office Tel. Usage/Rental,28515
155,"Davies, Geraint",Labour,10_11,2010-12-01,176.25,general admin,Advertising,60181
155,"Davies, Geraint",Labour,10_11,2010-11-24,164.5,travel,Public Tr RAIL - RTN,54702
155,"Davies, Geraint",Labour,10_11,2010-09-06,205,travel,Public Tr RAIL - RTN,37740
155,"Davies, Geraint",Labour,10_11,2010-11-15,2.79,staffing,Food & Drink Intern/Volunteer,48530
155,"Davies, Geraint",Labour,10_11,2010-11-12,59.53,general admin,Stationery Purchase,50939
155,"Davies, Geraint",Labour,10_11,2010-07-12,205,travel,Public Tr RAIL - RTN,19496
155,"Davies, Geraint",Labour,10_11,2010-12-15,4.1,staffing,Food & Drink Intern/Volunteer,59042
155,"Davies, Geraint",Labour,10_11,2010-12-02,4.54,staffing,Food & Drink Intern/Volunteer,52817
155,"Davies, Geraint",Labour,10_11,2011-03-15,54.8,travel,Public Tr RAIL MP Staff - RTN,76595
155,"Davies, Geraint",Labour,10_11,2010-12-06,66.7,travel,Public Tr RAIL - RTN,62162
155,"Davies, Geraint",Labour,10_11,2011-03-12,1.6,travel,Own Car MP,82587
155,"Davies, Geraint",Labour,10_11,2011-03-11,210.74,general admin,Stationery Purchase,82545
155,"Davies, Geraint",Labour,10_11,2010-12-16,4.86,staffing,Food & Drink Intern/Volunteer,59042
155,"Davies, Geraint",Labour,10_11,2010-07-21,199,general admin,Training MP Staff,21949
155,"Davies, Geraint",Labour,10_11,2010-06-28,42.26,general admin,Landline Hire,16047
155,"Davies, Geraint",Labour,10_11,2010-09-02,2328,constituency rental,Const Office Rent,28515
155,"Davies, Geraint",Labour,10_11,2010-10-21,28.19,general admin,Stationery Purchase,47353
