id,list_name,party,session,date,value,category,description,claim_number
4008,"Dinenage, Caroline",Conservative,11_12,2011-12-05,1.8,travel,Own Car MP Staff,0000140174
4008,"Dinenage, Caroline",Conservative,11_12,2011-07-11,37.35,travel,Own Car MP,106150
4008,"Dinenage, Caroline",Conservative,12_13,2012-07-16,2.55,staffing,Food & Drink Int/Volntr,0000193285
4008,"Dinenage, Caroline",Conservative,12_13,2012-05-04,2.7,travel,Own Vehicle Car MP Staff,0000186500
4008,"Dinenage, Caroline",Conservative,12_13,2012-11-27,78.42,accommodation,Electricity,0000223105
4008,"Dinenage, Caroline",Conservative,12_13,2012-07-03,104.06,office costs,Const Office Tel. Usage/Rental,0000186397
4008,"Dinenage, Caroline",Conservative,12_13,2013-01-07,36.9,travel,Own Vehicle Car,0000242442
4008,"Dinenage, Caroline",Conservative,12_13,2012-04-26,36.9,travel,Own Car MP,0000175194
4008,"Dinenage, Caroline",Conservative,12_13,2012-07-20,16.7,travel,Public Tr RAIL - SGL,0000193259
4008,"Dinenage, Caroline",Conservative,12_13,2012-10-10,29.7,travel,Own Vehicle Car MP Staff,0000223412
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-14,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-30,26.8,travel,Own Car MP,20935
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-22,1.2,travel,Own Car MP,45678
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-03,68.8,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-09,15.2,travel,Public Tr RAIL Other,48045
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-02,8,travel,Congestion Zone/Toll MP,57725
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-10,16.5,travel,Public Tr RAIL - RTN,170
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-11,450.53,constituency rental,Const Office Hire of Premises,75879
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-02,68.8,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-16,10.13,general admin,Stationery Purchase,57837
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-08,21.1,travel,Public Tr RAIL - RTN,48045
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-11,61.96,general admin,Stationery Purchase,30845
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-25,53.8,staffing,Public Tr RAIL Other Int/Volnt,79927
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-24,1.6,travel,Own Car MP Staff,71679
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-02,1.2,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-18,35.21,general admin,Website - Hosting,49362
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-21,8,travel,Congestion Zone/Toll MP,44982
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-20,8.5,general admin,Telephone/Mobile Hire,62629
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-12,42.86,staffing,Food & Drink Intern/Volunteer,78150
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-27,260,accommodation,Interim Hotel London Area,48041
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-03,450.53,constituency rental,Const Office Rent,52894
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-09,0.8,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,26.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-17,6,travel,Taxi MP,49360
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-28,5.6,travel,Own Car MP Staff,89116
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-28,6.4,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-26,1.6,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-28,0.8,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-04,2.4,travel,Public Tr FERRY,49360
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-25,2.4,travel,Own Car MP,31540
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-18,11.2,travel,Own Car MP Staff,45707
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-12,55.23,general admin,Telephone/Mobile Hire,24409
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-18,8,travel,Congestion Zone/Toll MP,44982
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-25,47.79,staffing,Food & Drink Intern/Volunteer,79927
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-21,54.2,general admin,Other,57787
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-03,24.6,general admin,Other,21061
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,26.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-11,7.2,travel,Own Car MP Staff,71679
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-16,6.4,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-11,4.4,travel,Own Car MP,31539
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-15,450.53,constituency rental,Const Office Rent,48236
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-21,33.2,travel,Own Car MP,45678
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-26,3.5,travel,Parking MP Staff,51559
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-09,13.6,travel,Public Tr RAIL Other MP Staff,48233
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-18,2.4,staffing,Public Tr OTHER Int/Volntr,78160
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-12,10,travel,Congestion Zone/Toll MP,67074
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-21,16.4,travel,Own Car MP Staff,16234
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-21,2.4,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-22,193.88,general admin,Contact Cards,20146
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-25,10,travel,Food & Drink @ Parliament,68686
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-10,5.5,travel,Parking MP Staff,7252
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-12,46.1,staffing,Public Tr RAIL Other Int/Volnt,78150
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-05,4.8,travel,Own Car MP Staff,57821
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-06,38.4,travel,Own Car MP,31520
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-17,1.2,travel,Own Car MP Staff,89116
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-07,5,travel,Parking MP Staff,30842
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-19,2.4,travel,Own Car MP Staff,57821
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-20,15.56,general admin,Telephone/Mobile Hire,62629
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-20,8,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-05,0.6,travel,Parking MP Staff,57835
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-09,450.53,constituency rental,Const Office Rent,68660
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-07,10,travel,Food & Drink @ Parliament,77092
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-13,2.4,travel,Own Car MP,31520
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-16,390,accommodation,Interim Hotel London Area,48038
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-14,33.2,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-25,33.2,travel,Own Car MP,57713
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-10,8,travel,Own Car MP Staff,57829
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-11,1.6,travel,Own Car MP,31540
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-24,33.2,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-16,1.2,travel,Own Car MP Staff,71679
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-10,3877.5,staffing,Pooled Staffing Services,9583
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-01,33.2,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-13,14.05,travel,Public Tr RAIL - SGL,31521
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-18,42,staffing,Public Tr OTHER Int/Volntr,78160
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-10,4,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25578
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-07,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-14,6,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-16,33.16,general admin,Other,71131
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-15,130,accommodation,Interim Hotel London Area,60082
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-24,6,travel,Parking MP,77097
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-27,33.2,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-03,3,travel,Parking MP,31521
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-04,8.8,travel,Own Car MP Staff,71679
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-12,6.4,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-21,1.2,travel,Parking MP,64186
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-03,8,travel,Congestion Zone/Toll MP,57725
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-28,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-12,33.6,travel,Own Car MP,20929
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-21,33.2,travel,Own Car MP,7196
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-07,165,accommodation,Service Charges,71178
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-26,8,travel,Congestion Zone/Toll MP,24400
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-14,33.2,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-21,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-07,8,travel,Congestion Zone/Toll MP,20925
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-07,1.2,travel,Parking MP,64186
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-23,2,travel,Own Car MP,45677
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-05,6.8,travel,Own Car MP,31538
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-14,2.4,travel,Public Tr FERRY,45675
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-03,8,travel,Congestion Zone/Toll MP,40017
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-05,2.4,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-06,8,travel,Congestion Zone/Toll MP,48043
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-02,390,accommodation,Interim Hotel London Area,56019
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-15,6,travel,Taxi MP,49360
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-18,1,travel,Parking MP,95260
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-06,6,travel,Taxi After Late Sitting,20333
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25578
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-17,37.64,general admin,Payment Telephone/Mobile,77111
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-14,8,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-09,8.8,travel,Own Car MP,31539
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25578
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-12,260,accommodation,Interim Hotel London Area,64182
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-14,6,travel,Taxi MP,45675
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-20,36.64,general admin,Telephone/Mobile Hire,62629
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-22,1.6,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-16,4.8,travel,Own Car MP Staff,57829
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-06,18,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-27,5,travel,Parking MP Staff,20927
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-18,39,staffing,Food & Drink Intern/Volunteer,78160
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-17,3.2,travel,Own Car MP,31539
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-13,2.8,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-14,2.4,travel,Own Car MP,31540
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-07,5,travel,Parking MP Staff,6498
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-19,287,accommodation,Interim Hotel London Area,20137
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-10,55.95,general admin,Telephone/Mobile Hire,48242
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-07,1450,accommodation,Accommodation Rent,71178
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-25,125,accommodation,Interim Hotel London Area,1165
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-04,6.8,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-22,4,travel,Own Car MP,45677
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-07,31.9,travel,Public Tr RAIL MP Staff - RTN,6498
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-07,33.2,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-20,33.2,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-22,33.2,travel,Own Car MP,7196
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-01,0.8,travel,Own Car MP Staff,57829
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-03,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-06,2.8,travel,Own Car MP,31520
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-01,7.6,travel,Own Car MP,31539
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-15,450.53,constituency rental,Const Office Rent,48236
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-13,390,accommodation,Interim Hotel London Area,31514
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-13,14.05,travel,Public Tr RAIL - SGL,45675
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-25,8,travel,Congestion Zone/Toll MP,58770
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-25,14.05,travel,Public Tr RAIL - SGL,1161
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-10,133.51,constituency rental,Const Office Tel. Usage/Rental,64337
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-29,33.6,travel,Own Car MP,20935
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-08,107.69,general admin,Telephone/Mobile Hire,12904
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-18,35.21,general admin,Website - Hosting,49362
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-09,42.5,travel,Public Tr RAIL Other MP Staff,7252
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-11,10.4,travel,Own Car MP Staff,89116
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-20,29.99,general admin,Telephone/Mobile Purchase,31535
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-18,69.84,general admin,Stationery Purchase,12855
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-14,186,accommodation,Interim Hotel London Area,7235
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-23,33.2,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-22,4.3,travel,Parking MP,51510
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-07,8,travel,Congestion Zone/Toll MP,44982
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-19,17.3,travel,Public Tr RAIL - RTN,177
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-28,33.2,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-02,1651,accommodation,Accommodation Rent,Payment to Supplier
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-30,1.6,travel,Own Car MP,31540
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-11,3.6,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-17,4,travel,Own Car MP,57714
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25567
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-01,8,travel,Congestion Zone/Toll MP,58759
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-11,55.23,general admin,Telephone/Mobile Hire,48242
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-07,33.2,travel,Own Car MP,45678
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-19,29.38,general admin,Install/Maint Office Equip.,50543
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-15,8,travel,Congestion Zone/Toll MP,58759
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-31,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-17,19.95,general admin,Stationery Purchase,77575
4008,"Dinenage, Caroline",Conservative,10_11,2010-12-06,8,travel,Congestion Zone/Toll MP,58759
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-25,2.4,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-16,25,general admin,Office Furniture Purchase,48054
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-20,35.78,general admin,Stationery Purchase,12855
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-31,10.8,travel,Own Car MP,31539
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-10,33.2,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-21,390,accommodation,Interim Hotel London Area,45012
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-25,26.2,travel,Public Tr RAIL - RTN,16241
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-01,68.2,staffing,Public Tr RAIL Int/Volntr - RT,78152
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-20,26.22,general admin,Telephone/Mobile Hire,62629
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-26,33.2,travel,Own Car MP Staff,45674
4008,"Dinenage, Caroline",Conservative,10_11,2010-06-10,42.5,travel,Public Tr RAIL Other MP Staff,7252
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-07,26.8,travel,Own Car MP,20929
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-31,3.2,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-17,33.2,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-20,8,travel,Congestion Zone/Toll MP,30424
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-20,15.92,general admin,Telephone/Mobile Hire,62629
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-21,35,general admin,Other,16236
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-30,1.6,travel,Own Car MP Staff,45696
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-24,2.4,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-25,8.4,travel,Taxi MP,45675
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-01,110.45,general admin,Telephone/Mobile Hire,12920
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-17,2.8,travel,Own Car MP,31540
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-16,300,general admin,Professional Services,24403
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-15,1.6,travel,Own Car MP Staff,45702
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-27,1.6,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-11,1.2,travel,Own Car MP,77560
4008,"Dinenage, Caroline",Conservative,10_11,2011-02-21,49.95,general admin,Stationery Purchase,71128
4008,"Dinenage, Caroline",Conservative,10_11,2011-03-10,33.2,travel,Own Car MP,89058
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-03,56,general admin,Security,45673
4008,"Dinenage, Caroline",Conservative,10_11,2010-11-03,2.5,travel,Public Tr FERRY,48045
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-04,1.2,travel,Own Car MP Staff,71669
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-27,38.4,travel,Own Car MP,25578
4008,"Dinenage, Caroline",Conservative,10_11,2010-09-07,21.05,travel,Public Tr RAIL MP Staff - RTN,30842
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-22,2,travel,Own Car MP,30871
4008,"Dinenage, Caroline",Conservative,10_11,2010-05-28,3.6,travel,Own Car MP,30871
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-24,150,general admin,Professional Services,45680
4008,"Dinenage, Caroline",Conservative,10_11,2010-07-14,31.9,travel,Public Tr RAIL - RTN,16241
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-25,18.75,travel,Public Tr RAIL - SGL,45675
4008,"Dinenage, Caroline",Conservative,10_11,2010-08-01,32,travel,Congestion Zone/Toll MP,21076
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-13,12.8,travel,Own Car MP Staff,45707
4008,"Dinenage, Caroline",Conservative,10_11,2011-01-31,33.2,travel,Own Car MP,77555
4008,"Dinenage, Caroline",Conservative,10_11,2010-10-22,126.08,general admin,Telephone/Mobile Hire,41835
