id,list_name,party,session,date,value,category,description,claim_number
1388,"Dodds, Nigel",Democratic Unionist,12_13,2012-06-11,160,accommodation,Council Tax,0000189024
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-07-29,945,accommodation,Mortgage Interest,42479
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-12-15,40.51,accommodation,Electricity,71235
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-31,61.64,general admin,Other,91730
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-07-25,79.9,general admin,Stationery Purchase,20968
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-02-17,188.8,general admin,Professional Services,78326
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-21,91.19,general admin,Stationery Purchase,91738
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-12,130.43,constituency rental,Const Office Tel. Usage/Rental,78329
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-30,233.9,constituency rental,Const Office Electricity,85865
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-08-31,287.27,accommodation,Buildings Insurance,51465
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-12,1596.35,constituency rental,Business Rates,85865
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-23,60,general admin,Professional Services,91738
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-21,412.36,general admin,Payment Telephone/Mobile,91730
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-09-08,43.68,accommodation,Electricity,42474
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-11-30,945,accommodation,Mortgage Interest,66176
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-02-21,120,general admin,Professional Services,78326
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-17,22.14,general admin,Postage Purchase,78326
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-09-23,130,general admin,Professional Services,20968
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-22,20,general admin,Professional Services,91738
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-31,910,accommodation,Mortgage Interest,85891
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-08-01,161,accommodation,Council Tax,42474
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-11-13,474,accommodation,Water,51465
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-03-12,293.96,general admin,Other,85865
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-09-08,47.22,accommodation,Gas,42474
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-07-31,944,accommodation,Mortgage Interest,42474
1388,"Dodds, Nigel",Democratic Unionist,10_11,2010-11-03,945,accommodation,Mortgage Interest,66176
1388,"Dodds, Nigel",Democratic Unionist,10_11,2011-01-17,350,accommodation,Service Charges,71235
