id,list_name,party,session,date,value,category,description,claim_number
586,"Donohoe, Brian H.",Labour,11_12,2011-07-14,71.7,office costs,Stationery Purchase,106166
586,"Donohoe, Brian H.",Labour,11_12,2012-01-16,461.95,travel,Public Tr AIR,0000150405
586,"Donohoe, Brian H.",Labour,12_13,2012-07-05,405.11,travel,Public Tr AIR,0000196710
586,"Donohoe, Brian H.",Labour,12_13,2012-11-19,12.6,travel,Own Vehicle Car,0000224002
586,"Donohoe, Brian H.",Labour,12_13,2012-04-23,1.5,travel,Public Tr AIR,0000172583
586,"Donohoe, Brian H.",Labour,12_13,2012-12-22,1216.8,accommodation,Service Charges,0000216485
586,"Donohoe, Brian H.",Labour,12_13,2013-02-06,1.5,travel,Public Tr AIR,0000248417
586,"Donohoe, Brian H.",Labour,12_13,2012-04-02,12.12,accommodation,Television Licence,0000161288
586,"Donohoe, Brian H.",Labour,12_13,2012-06-28,12.6,travel,Own Vehicle Car,0000185593
586,"Donohoe, Brian H.",Labour,12_13,2013-01-28,350,office costs,Advertising,0000237668
586,"Donohoe, Brian H.",Labour,10_11,2011-01-27,11.2,travel,Own Car MP,65273
586,"Donohoe, Brian H.",Labour,10_11,2010-12-15,51,travel,Parking MP,62345
586,"Donohoe, Brian H.",Labour,10_11,2010-08-18,59.2,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2010-06-16,1,travel,Public Tr AIR,11408
586,"Donohoe, Brian H.",Labour,10_11,2010-07-22,5.47,general admin,Postage Purchase,20072
586,"Donohoe, Brian H.",Labour,10_11,2010-09-07,12,travel,Taxi MP,33897
586,"Donohoe, Brian H.",Labour,10_11,2010-10-13,1,travel,Public Tr AIR,65084
586,"Donohoe, Brian H.",Labour,10_11,2010-12-02,147.6,travel,Public Tr AIR,62345
586,"Donohoe, Brian H.",Labour,10_11,2010-11-30,76.98,accommodation,Buildings Insurance,51131
586,"Donohoe, Brian H.",Labour,10_11,2010-06-26,15.2,travel,Own Car MP,7844
586,"Donohoe, Brian H.",Labour,10_11,2010-05-18,355.5,travel,Public Tr AIR,11094
586,"Donohoe, Brian H.",Labour,10_11,2010-12-02,68,travel,Parking MP,62345
586,"Donohoe, Brian H.",Labour,10_11,2010-11-15,357.5,travel,Public Tr AIR,54891
586,"Donohoe, Brian H.",Labour,10_11,2010-07-18,5.6,travel,Own Car MP,12487
586,"Donohoe, Brian H.",Labour,10_11,2010-07-31,106.23,general admin,Other,20072
586,"Donohoe, Brian H.",Labour,10_11,2010-06-16,1,travel,Public Tr AIR,11408
586,"Donohoe, Brian H.",Labour,10_11,2010-07-15,168,travel,Own Car MP,12487
586,"Donohoe, Brian H.",Labour,10_11,2010-07-24,13.6,travel,Own Car MP,12487
586,"Donohoe, Brian H.",Labour,10_11,2010-11-02,2.92,general admin,Stationery Purchase,51128
586,"Donohoe, Brian H.",Labour,10_11,2010-05-18,355.5,travel,Public Tr AIR,11094
586,"Donohoe, Brian H.",Labour,10_11,2010-09-27,68.8,travel,Own Car MP,33892
586,"Donohoe, Brian H.",Labour,10_11,2010-08-05,115.39,constituency rental,Const Office Electricity,27722
586,"Donohoe, Brian H.",Labour,10_11,2010-08-01,24.8,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2010-12-26,357.54,general admin,Payment Telephone/Mobile,65270
586,"Donohoe, Brian H.",Labour,10_11,2010-11-30,6.99,general admin,Postage Purchase,58554
586,"Donohoe, Brian H.",Labour,10_11,2010-07-01,24.8,travel,Own Car MP,12487
586,"Donohoe, Brian H.",Labour,10_11,2010-05-13,34,travel,Parking MP,5278
586,"Donohoe, Brian H.",Labour,10_11,2010-10-22,1,travel,Public Tr AIR,65084
586,"Donohoe, Brian H.",Labour,10_11,2010-08-03,14.8,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2010-10-13,1,travel,Public Tr AIR,65084
586,"Donohoe, Brian H.",Labour,10_11,2010-05-28,89,accommodation,Council Tax,8592
586,"Donohoe, Brian H.",Labour,10_11,2010-08-11,10.8,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2011-02-01,12.37,accommodation,Television Licence,65272
586,"Donohoe, Brian H.",Labour,10_11,2010-07-26,1,travel,Public Tr AIR,27454
586,"Donohoe, Brian H.",Labour,10_11,2011-02-28,262.18,general admin,Other,70800
586,"Donohoe, Brian H.",Labour,10_11,2010-06-15,10.8,travel,Own Car MP,7844
586,"Donohoe, Brian H.",Labour,10_11,2010-09-14,344.63,travel,Public Tr AIR,37912
586,"Donohoe, Brian H.",Labour,10_11,2010-08-13,12.8,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2011-01-13,11.2,travel,Own Car MP,65273
586,"Donohoe, Brian H.",Labour,10_11,2010-09-03,24.8,travel,Own Car MP,33892
586,"Donohoe, Brian H.",Labour,10_11,2010-09-30,268.1,general admin,Other,35618
586,"Donohoe, Brian H.",Labour,10_11,2010-08-20,12.8,travel,Own Car MP,20237
586,"Donohoe, Brian H.",Labour,10_11,2010-07-01,1200,accommodation,Mortgage Interest,9525
586,"Donohoe, Brian H.",Labour,10_11,2011-03-21,7,travel,Own Car MP,76873
586,"Donohoe, Brian H.",Labour,10_11,2010-05-23,8.8,travel,Own Car MP,4265
586,"Donohoe, Brian H.",Labour,10_11,2010-12-21,8.5,travel,Own Car MP,57728
586,"Donohoe, Brian H.",Labour,10_11,2010-08-01,11.87,accommodation,Television Licence,26659
586,"Donohoe, Brian H.",Labour,10_11,2011-03-28,44.13,accommodation,Telephone Usage/Rental,79095
586,"Donohoe, Brian H.",Labour,10_11,2010-08-27,34.09,general admin,Other,22149
586,"Donohoe, Brian H.",Labour,10_11,2011-01-15,24.8,travel,Own Car MP,65273
586,"Donohoe, Brian H.",Labour,10_11,2010-11-14,16.4,travel,Own Car MP,47686
586,"Donohoe, Brian H.",Labour,10_11,2010-10-01,1200,accommodation,Council Tax,33898
586,"Donohoe, Brian H.",Labour,10_11,2010-06-01,64.8,travel,Own Car MP,7844
586,"Donohoe, Brian H.",Labour,10_11,2010-08-12,34,travel,Parking MP,27454
586,"Donohoe, Brian H.",Labour,10_11,2010-11-12,12.8,travel,Own Car MP,47686
586,"Donohoe, Brian H.",Labour,10_11,2011-02-06,300,general admin,Advertising,70800
586,"Donohoe, Brian H.",Labour,10_11,2010-11-01,10.8,travel,Own Car MP,47686
586,"Donohoe, Brian H.",Labour,10_11,2011-03-18,5.98,general admin,Stationery Purchase,79106
586,"Donohoe, Brian H.",Labour,10_11,2010-05-19,355.5,travel,Public Tr AIR,11094
586,"Donohoe, Brian H.",Labour,10_11,2010-10-27,10.8,travel,Own Car MP,42050
586,"Donohoe, Brian H.",Labour,10_11,2010-05-13,14.4,travel,Own Car MP,4265
586,"Donohoe, Brian H.",Labour,10_11,2011-02-15,1.5,travel,Public Tr AIR,74292
586,"Donohoe, Brian H.",Labour,10_11,2010-06-21,10.8,travel,Own Car MP,7844
586,"Donohoe, Brian H.",Labour,10_11,2010-07-27,10.81,general admin,Stationery Purchase,20072
586,"Donohoe, Brian H.",Labour,10_11,2010-06-26,315.77,general admin,Payment Telephone/Mobile,9876
586,"Donohoe, Brian H.",Labour,10_11,2011-03-23,7,travel,Own Car MP,76873
586,"Donohoe, Brian H.",Labour,10_11,2010-09-02,59.62,general admin,Install/Maint Office Equip.,35618
586,"Donohoe, Brian H.",Labour,10_11,2011-03-25,9.5,travel,Own Car MP,76873
586,"Donohoe, Brian H.",Labour,10_11,2010-11-10,10.8,travel,Own Car MP,47686
586,"Donohoe, Brian H.",Labour,10_11,2010-10-11,10.87,travel,Public Tr AIR,65084
586,"Donohoe, Brian H.",Labour,10_11,2010-10-09,17.6,travel,Own Car MP,42050
586,"Donohoe, Brian H.",Labour,10_11,2011-02-17,74,travel,Parking MP,74292
586,"Donohoe, Brian H.",Labour,10_11,2010-12-03,-260.8,travel,Public Tr AIR,62345
