id,list_name,party,session,date,value,category,description,claim_number
336,"Dorrell, Stephen",Conservative,11_12,2011-09-16,49.5,travel,Own Car MP,0000136863
336,"Dorrell, Stephen",Conservative,12_13,2012-05-04,1.19,office costs,Stationery Purchase,Payment to Supplier
336,"Dorrell, Stephen",Conservative,12_13,2012-05-09,158.45,office costs,Stationery Purchase,Payment to Supplier
336,"Dorrell, Stephen",Conservative,10_11,2010-11-05,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-12-10,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2011-02-04,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,188.92,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-10-29,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-07-01,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,77.74,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-03-18,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,21.4,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-06-30,239,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,17.16,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-10-15,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-08-19,1450,accommodation,Accommodation Rent,29390
336,"Dorrell, Stephen",Conservative,10_11,2010-11-18,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2011-01-14,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-21,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,20.77,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-28,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,5.69,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-07-19,1450,accommodation,Accommodation Rent,29390
336,"Dorrell, Stephen",Conservative,10_11,2010-06-07,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-10-19,1450,accommodation,Accommodation Rent,42390
336,"Dorrell, Stephen",Conservative,10_11,2010-05-17,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-07-30,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-02-04,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,129.25,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-19,1450,accommodation,Accommodation Rent,64891
336,"Dorrell, Stephen",Conservative,10_11,2010-09-24,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-08-06,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-03-17,1450,accommodation,Accommodation Rent,77161
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,189.18,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,8.04,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-11-12,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-07-28,110.22,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2011-03-11,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,157.96,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,108.66,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-12-03,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2011-01-14,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2010-06-04,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-03-10,134.4,general admin,Stationery Purchase,75637
336,"Dorrell, Stephen",Conservative,10_11,2011-03-04,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2010-05-24,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-03-11,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2010-11-19,1450,accommodation,Accommodation Rent,50546
336,"Dorrell, Stephen",Conservative,10_11,2010-07-15,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,29.82,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-03-06,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2011-02-11,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-02-17,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2010-08-09,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,20.63,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-21,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,54.33,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-10-08,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2011-02-19,1450,accommodation,Accommodation Rent,71829
336,"Dorrell, Stephen",Conservative,10_11,2010-09-20,1450,accommodation,Accommodation Rent,32986
336,"Dorrell, Stephen",Conservative,10_11,2011-02-17,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2010-11-18,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2011-03-04,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2011-02-25,346.31,general admin,Stationery Purchase,71835
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,54.33,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-06-01,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-05-21,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-07-19,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,108.66,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-01-05,1450,accommodation,Accommodation Rent,58902
336,"Dorrell, Stephen",Conservative,10_11,2010-11-12,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-10-15,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-09-03,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,141,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2010-12-10,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-06-11,12.78,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2010-07-05,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-02-25,1835.81,accommodation,Service Charges,71829
336,"Dorrell, Stephen",Conservative,10_11,2010-07-21,64.89,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2010-06-21,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-08-02,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2011-01-04,0,general admin,Stationery Purchase,58903
336,"Dorrell, Stephen",Conservative,10_11,2011-03-06,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2010-09-23,894,accommodation,Service Charges,33030
336,"Dorrell, Stephen",Conservative,10_11,2010-06-18,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-05-16,239,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2010-12-03,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-10-08,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-07-25,5.16,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2010-09-03,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2011-02-11,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2010-05-28,44,travel,Own Car MP,22985
336,"Dorrell, Stephen",Conservative,10_11,2010-06-30,11.87,general admin,Stationery Purchase,22018
336,"Dorrell, Stephen",Conservative,10_11,2011-03-18,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,10_11,2011-01-28,44,travel,Own Car MP,71841
336,"Dorrell, Stephen",Conservative,10_11,2010-11-05,44,travel,Own Car MP,58911
336,"Dorrell, Stephen",Conservative,10_11,2010-09-24,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,10_11,2010-10-29,44,travel,Own Car MP,46349
336,"Dorrell, Stephen",Conservative,11_12,2011-06-24,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-09-15,2515.63,office costs,Computer SW Purchase,117206
336,"Dorrell, Stephen",Conservative,11_12,2012-01-06,49.5,travel,Own Car MP,0000162318
336,"Dorrell, Stephen",Conservative,11_12,2011-05-05,49.5,travel,Own Car MP,94216
336,"Dorrell, Stephen",Conservative,11_12,2012-03-19,1083,accommodation,Accommodation Rent,0000162316
336,"Dorrell, Stephen",Conservative,11_12,2011-05-20,49.5,travel,Own Car MP,94216
336,"Dorrell, Stephen",Conservative,11_12,2011-10-14,49.5,travel,Own Car MP,0000136865
336,"Dorrell, Stephen",Conservative,11_12,2011-10-18,931,accommodation,Service Charges,124974
336,"Dorrell, Stephen",Conservative,11_12,2011-06-02,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-04-01,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2011-06-03,3960,staffing,Pooled Staffing Services,Payment to Supplier
336,"Dorrell, Stephen",Conservative,11_12,2011-04-01,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2011-09-19,1935.59,accommodation,Service Charges,117598
336,"Dorrell, Stephen",Conservative,11_12,2011-04-15,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2012-01-20,49.5,travel,Own Car MP,0000162318
336,"Dorrell, Stephen",Conservative,11_12,2011-04-26,2408.75,office costs,Professional Services,86488
336,"Dorrell, Stephen",Conservative,11_12,2012-02-02,858.08,office costs,Stationery Purchase,0000148267
336,"Dorrell, Stephen",Conservative,11_12,2012-03-16,49.5,travel,Own Car MP,0000162320
336,"Dorrell, Stephen",Conservative,11_12,2011-08-26,2215.54,office costs,Stationery Purchase,113170
336,"Dorrell, Stephen",Conservative,11_12,2011-10-07,49.5,travel,Own Car MP,0000136865
336,"Dorrell, Stephen",Conservative,11_12,2011-06-20,1450,accommodation,Accommodation Rent,100829
336,"Dorrell, Stephen",Conservative,11_12,2011-10-28,49.5,travel,Own Car MP,0000136865
336,"Dorrell, Stephen",Conservative,11_12,2011-10-18,1450,accommodation,Accommodation Rent,124974
336,"Dorrell, Stephen",Conservative,11_12,2011-05-26,49.5,travel,Own Car MP,94216
336,"Dorrell, Stephen",Conservative,11_12,2012-03-09,49.5,travel,Own Car MP,0000162320
336,"Dorrell, Stephen",Conservative,11_12,2011-07-15,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-04-30,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2011-10-21,49.5,travel,Own Car MP,0000136865
336,"Dorrell, Stephen",Conservative,11_12,2012-01-16,1450,accommodation,Accommodation Rent,0000145556
336,"Dorrell, Stephen",Conservative,11_12,2011-04-26,1450,accommodation,Accommodation Rent,86467
336,"Dorrell, Stephen",Conservative,11_12,2011-06-17,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-07-07,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-04-15,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2011-05-19,1450,accommodation,Accommodation Rent,94215
336,"Dorrell, Stephen",Conservative,11_12,2012-01-06,49.5,travel,Own Car MP,0000162318
336,"Dorrell, Stephen",Conservative,11_12,2012-02-03,49.5,travel,Own Car MP,0000162319
336,"Dorrell, Stephen",Conservative,11_12,2011-06-10,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-12-30,49.5,travel,Own Car MP,0000136863
336,"Dorrell, Stephen",Conservative,11_12,2011-08-09,636,office costs,Legal Expenses Insurance,Payment to Supplier
336,"Dorrell, Stephen",Conservative,11_12,2011-09-23,49.5,travel,Own Car MP,0000136863
336,"Dorrell, Stephen",Conservative,11_12,2012-03-23,49.5,travel,Own Car MP,0000162320
336,"Dorrell, Stephen",Conservative,11_12,2011-08-26,49.5,travel,Own Car MP,94216
336,"Dorrell, Stephen",Conservative,11_12,2012-02-15,1450,accommodation,Accommodation Rent,0000152806
336,"Dorrell, Stephen",Conservative,11_12,2012-02-03,49.5,travel,Own Car MP,0000162319
336,"Dorrell, Stephen",Conservative,11_12,2012-02-24,49.5,travel,Own Car MP,0000162319
336,"Dorrell, Stephen",Conservative,11_12,2011-08-04,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-11-25,49.5,travel,Own Car MP,0000136866
336,"Dorrell, Stephen",Conservative,11_12,2011-06-24,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-11-18,1450,accommodation,Accommodation Rent,0000136862
336,"Dorrell, Stephen",Conservative,11_12,2011-07-19,1450,accommodation,Accommodation Rent,110306
336,"Dorrell, Stephen",Conservative,11_12,2011-09-16,49.5,travel,Own Car MP,0000136863
336,"Dorrell, Stephen",Conservative,11_12,2012-02-17,49.5,travel,Own Car MP,0000162319
336,"Dorrell, Stephen",Conservative,11_12,2011-06-02,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2012-02-17,49.5,travel,Own Car MP,0000162319
336,"Dorrell, Stephen",Conservative,11_12,2011-04-08,44,travel,Own Car MP,86516
336,"Dorrell, Stephen",Conservative,11_12,2011-08-04,49.5,travel,Own Car MP,113174
336,"Dorrell, Stephen",Conservative,11_12,2011-09-19,1450,accommodation,Accommodation Rent,117598
