id,list_name,party,session,date,value,category,description,claim_number
189,"Dowd, Jim",Labour,12_13,2013-02-18,19.49,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-05-24,0.29,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,10_11,2010-08-10,335,general admin,Install/Maint Office Equip.,22292
189,"Dowd, Jim",Labour,10_11,2011-01-01,20,general admin,Telephone/Mobile Purchase,61031
189,"Dowd, Jim",Labour,10_11,2010-09-10,34.99,general admin,Payment Telephone/Mobile,55178
189,"Dowd, Jim",Labour,10_11,2010-12-01,67,general admin,Other,55187
189,"Dowd, Jim",Labour,10_11,2010-09-16,32.51,general admin,Other,38571
189,"Dowd, Jim",Labour,10_11,2010-11-01,35,general admin,Payment Telephone/Mobile,55178
189,"Dowd, Jim",Labour,10_11,2011-01-03,284.05,constituency rental,Contents Insurance,61110
189,"Dowd, Jim",Labour,10_11,2011-03-09,432.79,general admin,Computer HW Purchase,79458
189,"Dowd, Jim",Labour,10_11,2011-01-03,29.9,constituency rental,Const Office Water,61110
189,"Dowd, Jim",Labour,10_11,2010-12-01,1139,constituency rental,Const Office Tel. Usage/Rental,55183
189,"Dowd, Jim",Labour,10_11,2010-12-06,65.33,general admin,Payment Telephone/Mobile,55178
189,"Dowd, Jim",Labour,10_11,2010-06-10,217.38,general admin,Other,15323
189,"Dowd, Jim",Labour,10_11,2011-01-03,26,general admin,Other,61114
189,"Dowd, Jim",Labour,10_11,2011-01-13,6.6,travel,Public Tr RAIL Other,66768
189,"Dowd, Jim",Labour,10_11,2011-03-25,1416,general admin,Professional Services,79458
189,"Dowd, Jim",Labour,10_11,2011-02-28,33.65,general admin,Other,79458
189,"Dowd, Jim",Labour,10_11,2011-02-08,75,constituency rental,Const Office Hire of Premises,68722
189,"Dowd, Jim",Labour,10_11,2010-12-01,804,constituency rental,Business Rates,55183
189,"Dowd, Jim",Labour,10_11,2010-10-06,35.23,general admin,Payment Telephone/Mobile,55178
189,"Dowd, Jim",Labour,10_11,2010-12-01,7872.5,constituency rental,Const Office Rent,55183
189,"Dowd, Jim",Labour,10_11,2010-12-01,464,constituency rental,Const Office Gas,55183
189,"Dowd, Jim",Labour,10_11,2011-01-03,442,constituency rental,Const Office Tel. Usage/Rental,61110
189,"Dowd, Jim",Labour,10_11,2010-08-10,35.33,general admin,Payment Telephone/Mobile,22292
189,"Dowd, Jim",Labour,10_11,2010-06-10,150,general admin,Venue Hire,15323
189,"Dowd, Jim",Labour,10_11,2010-09-27,300,general admin,Professional Services,38571
189,"Dowd, Jim",Labour,10_11,2011-02-25,74.47,general admin,Stationery Purchase,79458
189,"Dowd, Jim",Labour,10_11,2010-10-07,98.97,general admin,Computer HW Purchase,38571
189,"Dowd, Jim",Labour,10_11,2010-12-16,28.3,general admin,Other,61031
189,"Dowd, Jim",Labour,10_11,2011-01-03,180.05,constituency rental,Const Office Gas,61110
189,"Dowd, Jim",Labour,10_11,2010-12-01,402,constituency rental,Const Office Electricity,55183
189,"Dowd, Jim",Labour,10_11,2010-06-10,16.77,general admin,Other,15323
189,"Dowd, Jim",Labour,10_11,2011-03-24,66.66,general admin,Payment Telephone/Mobile,79458
189,"Dowd, Jim",Labour,10_11,2010-12-01,77,constituency rental,Const Office Water,55183
189,"Dowd, Jim",Labour,10_11,2010-12-31,235.01,general admin,Other,61031
189,"Dowd, Jim",Labour,10_11,2011-01-03,3055,constituency rental,Const Office Rent,61110
189,"Dowd, Jim",Labour,10_11,2010-08-10,34.99,general admin,Payment Telephone/Mobile,22292
189,"Dowd, Jim",Labour,10_11,2010-12-08,205.63,general admin,Contact Cards,55178
189,"Dowd, Jim",Labour,10_11,2011-02-08,66,general admin,Payment Telephone/Mobile,68729
189,"Dowd, Jim",Labour,10_11,2011-01-10,48.15,general admin,Payment Telephone/Mobile,61031
189,"Dowd, Jim",Labour,10_11,2010-08-13,8.53,general admin,Other,38571
189,"Dowd, Jim",Labour,10_11,2010-10-27,35.25,general admin,Other,55178
189,"Dowd, Jim",Labour,10_11,2010-09-22,50,general admin,Computer SW Purchase,38571
189,"Dowd, Jim",Labour,10_11,2011-02-08,10.28,general admin,Other,68729
189,"Dowd, Jim",Labour,10_11,2010-07-21,23.08,general admin,Other,15901
189,"Dowd, Jim",Labour,10_11,2010-11-26,20.09,general admin,Other,55178
189,"Dowd, Jim",Labour,10_11,2010-09-17,110.18,general admin,Stationery Purchase,38571
189,"Dowd, Jim",Labour,10_11,2010-08-10,28.23,general admin,Payment Telephone/Mobile,22292
189,"Dowd, Jim",Labour,10_11,2011-03-22,2886,general admin,Contact Cards,79458
189,"Dowd, Jim",Labour,10_11,2011-02-08,78,general admin,Security,68729
189,"Dowd, Jim",Labour,10_11,2011-03-17,320.4,general admin,Computer HW Purchase,81256
189,"Dowd, Jim",Labour,10_11,2011-01-10,496.51,general admin,Stationery Purchase,61031
189,"Dowd, Jim",Labour,10_11,2011-01-03,185.9,general admin,Photocopier Hire,61114
189,"Dowd, Jim",Labour,10_11,2010-08-10,8.49,general admin,Telephone/Mobile Purchase,22292
189,"Dowd, Jim",Labour,10_11,2011-01-03,61.1,general admin,Other,61114
189,"Dowd, Jim",Labour,10_11,2011-01-03,156,constituency rental,Const Office Electricity,61110
189,"Dowd, Jim",Labour,10_11,2010-12-01,732,constituency rental,Contents Insurance,55183
189,"Dowd, Jim",Labour,10_11,2011-01-03,312,constituency rental,Business Rates,61110
189,"Dowd, Jim",Labour,10_11,2011-03-31,59.99,general admin,Computer HW Purchase,81256
189,"Dowd, Jim",Labour,10_11,2010-10-12,12.53,general admin,Other,55178
189,"Dowd, Jim",Labour,10_11,2010-12-01,480,general admin,Photocopier Hire,55187
189,"Dowd, Jim",Labour,10_11,2010-12-09,6.3,travel,Public Tr RAIL - RTN,62132
189,"Dowd, Jim",Labour,10_11,2010-12-01,160,general admin,Other,55187
189,"Dowd, Jim",Labour,10_11,2011-02-08,36,general admin,Other,68729
189,"Dowd, Jim",Labour,11_12,2011-04-01,312,office costs,Business Rates,85554
189,"Dowd, Jim",Labour,11_12,2011-04-24,48.9,office costs,Payment Telephone/Mobile,87091
189,"Dowd, Jim",Labour,11_12,2011-12-22,50,office costs,Computer SW Purchase,0000142021
189,"Dowd, Jim",Labour,11_12,2011-10-10,14.99,office costs,Telephone/Mobile Purchase,123829
189,"Dowd, Jim",Labour,11_12,2011-04-01,442,office costs,Const Office Tel. Usage/Rental,85554
189,"Dowd, Jim",Labour,11_12,2011-07-01,14196,office costs,Const Office Rent,105861
189,"Dowd, Jim",Labour,11_12,2011-08-30,40.77,office costs,Mobile Usage/Rental,113415
189,"Dowd, Jim",Labour,11_12,2011-04-01,61.1,office costs,Other,85554
189,"Dowd, Jim",Labour,11_12,2012-02-29,34.93,office costs,Telephone/Mobile Hire,0000155656
189,"Dowd, Jim",Labour,11_12,2011-04-13,144,office costs,Other,85554
189,"Dowd, Jim",Labour,11_12,2011-04-13,50,office costs,Computer SW Purchase,85554
189,"Dowd, Jim",Labour,11_12,2011-10-14,402.32,office costs,Other,127787
189,"Dowd, Jim",Labour,11_12,2011-12-03,14.5,office costs,Payment Telephone/Mobile,0000142021
189,"Dowd, Jim",Labour,11_12,2011-06-26,23.74,general admin,Computer SW Purchase,105808
189,"Dowd, Jim",Labour,11_12,2011-04-01,185.9,office costs,Photocopier Hire,85554
189,"Dowd, Jim",Labour,11_12,2011-05-25,225,general admin,Venue Hire,95365
189,"Dowd, Jim",Labour,11_12,2011-06-30,15.52,general admin,Other,105808
189,"Dowd, Jim",Labour,11_12,2011-09-28,65.94,office costs,Computer HW Purchase,119232
189,"Dowd, Jim",Labour,11_12,2011-05-25,22.85,general admin,Stationery Purchase,95365
189,"Dowd, Jim",Labour,11_12,2011-04-04,35,office costs,Payment Internet,85554
189,"Dowd, Jim",Labour,11_12,2011-05-02,22,office costs,Computer SW Purchase,87091
189,"Dowd, Jim",Labour,11_12,2011-07-12,338.99,general admin,Computer HW Purchase,105808
189,"Dowd, Jim",Labour,11_12,2011-11-04,41.12,office costs,Mobile Usage/Rental,127787
189,"Dowd, Jim",Labour,11_12,2011-06-06,41.16,general admin,Payment Telephone/Mobile,95365
189,"Dowd, Jim",Labour,11_12,2012-02-26,240,office costs,Other,0000155656
189,"Dowd, Jim",Labour,11_12,2012-03-31,31.75,office costs,Tel/Mobile Purchase,0000167101
189,"Dowd, Jim",Labour,11_12,2011-09-24,36.06,office costs,Mobile Usage/Rental,119232
189,"Dowd, Jim",Labour,11_12,2011-12-06,32.88,office costs,Mobile Usage/Rental,0000142021
189,"Dowd, Jim",Labour,11_12,2011-04-01,29.9,office costs,Const Office Water,85554
189,"Dowd, Jim",Labour,11_12,2011-09-30,125,office costs,Computer SW Purchase,119232
189,"Dowd, Jim",Labour,11_12,2011-04-01,26,office costs,Other,85554
189,"Dowd, Jim",Labour,11_12,2011-07-06,96,general admin,Professional Services,105808
189,"Dowd, Jim",Labour,11_12,2011-10-06,79.2,office costs,Computer HW Purchase,123829
189,"Dowd, Jim",Labour,11_12,2011-07-06,41.8,general admin,Payment Telephone/Mobile,105808
189,"Dowd, Jim",Labour,11_12,2012-01-06,600,office costs,Parliamentary Accountancy,0000142021
189,"Dowd, Jim",Labour,11_12,2012-01-31,41.42,office costs,Telephone/Mobile Hire,0000155656
189,"Dowd, Jim",Labour,11_12,2011-07-30,40.82,office costs,Mobile Usage/Rental,113415
189,"Dowd, Jim",Labour,11_12,2011-04-01,3055,office costs,Const Office Rent,85554
189,"Dowd, Jim",Labour,11_12,2011-04-01,156,office costs,Const Office Electricity,85554
189,"Dowd, Jim",Labour,11_12,2011-04-02,64.99,office costs,Computer SW Purchase,85554
189,"Dowd, Jim",Labour,11_12,2011-04-01,284.05,office costs,Contents Insurance,85554
189,"Dowd, Jim",Labour,11_12,2011-04-13,1833.6,office costs,Professional Services,85554
189,"Dowd, Jim",Labour,11_12,2011-04-01,180.05,office costs,Const Office Gas,85554
189,"Dowd, Jim",Labour,11_12,2011-05-23,14.08,general admin,Other,95365
189,"Dowd, Jim",Labour,11_12,2011-08-24,335,office costs,Install/Maint Office Equip.,113415
189,"Dowd, Jim",Labour,11_12,2012-01-05,50.25,office costs,Mobile Usage/Rental,0000142021
189,"Dowd, Jim",Labour,12_13,2012-10-22,34.91,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-05-24,5.57,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-09-05,61.2,office costs,Const Office Tel. Usage/Rental,0000211875
189,"Dowd, Jim",Labour,12_13,2013-02-18,86.77,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-09-13,6.23,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-05-24,20.68,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-12-18,94.99,office costs,Software Purchase,0000229931
189,"Dowd, Jim",Labour,12_13,2013-02-18,6.24,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-11-05,35.36,office costs,Const Office Tel. Usage/Rental,0000219607
189,"Dowd, Jim",Labour,12_13,2013-03-31,35.24,office costs,Const Office Tel. Usage/Rental,0000254557
189,"Dowd, Jim",Labour,12_13,2013-02-18,5.88,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2013-02-28,65.44,office costs,Const Office Tel. Usage/Rental,0000254557
189,"Dowd, Jim",Labour,12_13,2012-05-24,2.71,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-12-01,33.1,office costs,Const Office Tel. Usage/Rental,0000229931
189,"Dowd, Jim",Labour,12_13,2012-10-22,2.71,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-10-22,26.82,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-09-13,33.7,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-05-12,56.97,office costs,Computer HW Purchase,0000179525
189,"Dowd, Jim",Labour,12_13,2013-02-18,67.14,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-12-13,-88.97,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2013-02-18,13.92,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-10-22,77.93,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-12-06,88.97,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2013-01-31,70.57,office costs,Const Office Tel. Usage/Rental,0000240983
189,"Dowd, Jim",Labour,12_13,2012-10-27,24.99,office costs,Other Equip Purchase,0000219607
189,"Dowd, Jim",Labour,12_13,2012-12-03,86.77,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-09-13,33.7,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2013-03-27,16,travel,Parking,0000268536
189,"Dowd, Jim",Labour,12_13,2012-05-24,0.23,office costs,Stationery Purchase,Payment to Supplier
189,"Dowd, Jim",Labour,12_13,2012-04-02,35,office costs,Other,0000167105
189,"Dowd, Jim",Labour,12_13,2012-04-10,144,office costs,Other,0000167105
