id,list_name,party,session,date,value,category,description,claim_number
4063,"Doyle, Gemma",Labour,11_12,2011-11-17,0,office costs,Stationery Purchase,0000137358
4063,"Doyle, Gemma",Labour,12_13,2012-08-23,10.8,office costs,Stationery Purchase,Payment to Supplier
4063,"Doyle, Gemma",Labour,12_13,2013-03-21,405.11,travel,Public Tr AIR,0000255797
4063,"Doyle, Gemma",Labour,12_13,2012-11-22,4.3,travel,Public Tr UND,0000232140
4063,"Doyle, Gemma",Labour,12_13,2012-05-23,405.11,travel,Public Tr AIR,0000179375
4063,"Doyle, Gemma",Labour,12_13,2013-03-07,535.11,travel,Public Tr AIR,0000255797
4063,"Doyle, Gemma",Labour,12_13,2013-03-14,131.78,office costs,Const Office Tel. Usage/Rental,0000255797
4063,"Doyle, Gemma",Labour,12_13,2012-05-10,23.3,travel,Taxi,0000184746
4063,"Doyle, Gemma",Labour,12_13,2013-03-27,1.5,travel,Public Tr AIR,0000268767
4063,"Doyle, Gemma",Labour,10_11,2011-03-02,292.08,travel,Public Tr AIR,82297
4063,"Doyle, Gemma",Labour,10_11,2011-02-02,340.6,travel,Public Tr AIR,74283
4063,"Doyle, Gemma",Labour,10_11,2010-11-12,6.4,travel,Own Car MP Staff,48213
4063,"Doyle, Gemma",Labour,10_11,2011-03-16,66.5,travel,Public Tr AIR,82297
4063,"Doyle, Gemma",Labour,10_11,2011-02-05,19.1,travel,Taxi MP,78779
4063,"Doyle, Gemma",Labour,10_11,2010-08-30,130.77,general admin,Professional Services,48736
4063,"Doyle, Gemma",Labour,10_11,2010-11-01,112.9,travel,Public Tr RAIL Other MP Staff,54881
4063,"Doyle, Gemma",Labour,10_11,2010-11-17,357.5,travel,Public Tr AIR,54881
4063,"Doyle, Gemma",Labour,10_11,2011-02-03,25,travel,Taxi MP,78779
4063,"Doyle, Gemma",Labour,10_11,2011-01-20,17.9,travel,Public Tr RAIL Other,78779
4063,"Doyle, Gemma",Labour,10_11,2010-09-10,9.6,travel,Own Car MP Staff,48213
4063,"Doyle, Gemma",Labour,10_11,2011-02-23,17.9,travel,Public Tr RAIL Other,78779
4063,"Doyle, Gemma",Labour,10_11,2011-01-24,344.11,general admin,Stationery Purchase,64176
4063,"Doyle, Gemma",Labour,10_11,2010-12-17,-290.08,travel,Public Tr AIR,62337
4063,"Doyle, Gemma",Labour,10_11,2011-03-08,53.8,constituency rental,Const Office Tel. Usage/Rental,75300
4063,"Doyle, Gemma",Labour,10_11,2010-08-21,14.75,constituency rental,Const Office Water,48224
4063,"Doyle, Gemma",Labour,10_11,2010-06-24,25.2,travel,Taxi MP,24192
4063,"Doyle, Gemma",Labour,10_11,2010-10-17,19,travel,Taxi MP,47638
4063,"Doyle, Gemma",Labour,10_11,2011-03-08,112.19,constituency rental,Const Office Tel. Usage/Rental,75300
4063,"Doyle, Gemma",Labour,10_11,2011-03-27,16.5,travel,Public Tr RAIL Other,91158
4063,"Doyle, Gemma",Labour,10_11,2010-06-16,286.1,travel,Public Tr AIR,11401
4063,"Doyle, Gemma",Labour,10_11,2011-03-08,18.65,constituency rental,Const Office Electricity,75282
4063,"Doyle, Gemma",Labour,10_11,2011-01-26,173.43,travel,Public Tr AIR,74283
4063,"Doyle, Gemma",Labour,10_11,2010-07-23,-286.1,travel,Public Tr AIR,27445
4063,"Doyle, Gemma",Labour,10_11,2011-01-27,21.5,travel,Public Tr RAIL Other,78779
4063,"Doyle, Gemma",Labour,10_11,2010-10-28,8.9,travel,Public Tr RAIL Other,47646
4063,"Doyle, Gemma",Labour,10_11,2010-08-20,25.4,travel,Taxi MP,49073
4063,"Doyle, Gemma",Labour,10_11,2010-11-10,290.08,travel,Public Tr AIR,54881
4063,"Doyle, Gemma",Labour,10_11,2010-06-02,278.1,travel,Public Tr AIR,11401
4063,"Doyle, Gemma",Labour,10_11,2011-03-25,1.5,travel,Public Tr AIR,91158
4063,"Doyle, Gemma",Labour,10_11,2010-06-23,286.1,travel,Public Tr AIR,11401
4063,"Doyle, Gemma",Labour,10_11,2011-01-25,101.16,constituency rental,Const Office Tel. Usage/Rental,69249
4063,"Doyle, Gemma",Labour,10_11,2010-07-08,26.4,travel,Taxi MP,24195
4063,"Doyle, Gemma",Labour,10_11,2011-02-01,2.89,general admin,Postage Purchase,76001
4063,"Doyle, Gemma",Labour,10_11,2010-10-08,375,constituency rental,Const Office Rent,48731
4063,"Doyle, Gemma",Labour,10_11,2010-07-12,35.65,general admin,Stationery Purchase,23670
4063,"Doyle, Gemma",Labour,10_11,2010-08-27,14.67,general admin,Other,48231
4063,"Doyle, Gemma",Labour,10_11,2010-05-19,181.98,travel,Public Tr AIR,23387
4063,"Doyle, Gemma",Labour,10_11,2010-09-20,116.84,general admin,Stationery Purchase,41077
4063,"Doyle, Gemma",Labour,10_11,2010-11-12,1,travel,Public Tr AIR,54881
4063,"Doyle, Gemma",Labour,10_11,2011-02-23,78.9,travel,Public Tr AIR,82297
4063,"Doyle, Gemma",Labour,10_11,2010-09-20,26.8,travel,Taxi MP,47637
4063,"Doyle, Gemma",Labour,10_11,2010-06-09,286.1,travel,Public Tr AIR,11401
4063,"Doyle, Gemma",Labour,10_11,2010-11-25,32,travel,Public Tr RAIL Other,62337
4063,"Doyle, Gemma",Labour,10_11,2011-03-08,375,constituency rental,Const Office Rent,75282
4063,"Doyle, Gemma",Labour,10_11,2010-11-22,-290.08,travel,Public Tr AIR,54881
4063,"Doyle, Gemma",Labour,10_11,2011-03-08,375,constituency rental,Const Office Rent,75300
4063,"Doyle, Gemma",Labour,10_11,2011-01-14,357.5,travel,Public Tr AIR,66965
4063,"Doyle, Gemma",Labour,10_11,2011-02-13,12.7,travel,Public Tr RAIL Other,78779
