id,list_name,party,session,date,value,category,description,claim_number
4132,"Drax, Richard",Conservative,11_12,2011-07-12,49.05,travel,Own Car MP,100489
4132,"Drax, Richard",Conservative,12_13,2013-01-31,0.72,office costs,Stationery Purchase,Payment to Supplier
4132,"Drax, Richard",Conservative,10_11,2011-02-10,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-10-11,42.7,travel,Public Tr RAIL - SGL,44538
4132,"Drax, Richard",Conservative,10_11,2011-01-17,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-16,45.3,travel,Public Tr RAIL - SGL,37794
4132,"Drax, Richard",Conservative,10_11,2010-12-18,72.85,general admin,Stationery Purchase,67129
4132,"Drax, Richard",Conservative,10_11,2011-01-13,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-12-09,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-08-27,32.9,general admin,Payment Telephone/Mobile,34814
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-06-21,42.7,travel,Public Tr RAIL - RTN,10177
4132,"Drax, Richard",Conservative,10_11,2011-03-01,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-07-12,42.7,travel,Public Tr RAIL - SGL,10177
4132,"Drax, Richard",Conservative,10_11,2011-01-20,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-12-09,44,travel,Public Tr RAIL MP Staff - RTN,62219
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-24,32.9,general admin,Payment Telephone/Mobile,34814
4132,"Drax, Richard",Conservative,10_11,2011-03-30,148.8,constituency rental,Const Office Tel. Usage/Rental,89478
4132,"Drax, Richard",Conservative,10_11,2010-07-05,42.7,travel,Public Tr RAIL - SGL,10177
4132,"Drax, Richard",Conservative,10_11,2010-10-14,64.69,general admin,Stationery Purchase,39774
4132,"Drax, Richard",Conservative,10_11,2010-12-16,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2011-03-29,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-12-07,12.07,general admin,Payment Telephone/Mobile,39774
4132,"Drax, Richard",Conservative,10_11,2010-06-02,47.8,travel,Public Tr RAIL - RTN,10177
4132,"Drax, Richard",Conservative,10_11,2011-03-08,33.6,general admin,Telephone/Mobile Hire,75477
4132,"Drax, Richard",Conservative,10_11,2010-12-07,220.52,general admin,Stationery Purchase,39774
4132,"Drax, Richard",Conservative,10_11,2011-03-17,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-06,42.7,travel,Public Tr RAIL - SGL,37794
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-13,42.7,travel,Public Tr RAIL - SGL,37794
4132,"Drax, Richard",Conservative,10_11,2010-10-18,47.9,travel,Public Tr RAIL - SGL,44538
4132,"Drax, Richard",Conservative,10_11,2011-02-16,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-18,1500,general admin,Professional Services,34814
4132,"Drax, Richard",Conservative,10_11,2010-07-07,43.6,travel,Public Tr RAIL - SGL,19550
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-08-27,11.75,general admin,Other,34814
4132,"Drax, Richard",Conservative,10_11,2011-03-08,33.6,general admin,Telephone/Mobile Hire,75477
4132,"Drax, Richard",Conservative,10_11,2011-03-03,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-10-14,22.96,general admin,Stationery Purchase,39774
4132,"Drax, Richard",Conservative,10_11,2010-08-27,28.2,general admin,Stationery Purchase,34814
4132,"Drax, Richard",Conservative,10_11,2010-12-13,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-12-07,20.83,general admin,Payment Telephone/Mobile,39774
4132,"Drax, Richard",Conservative,10_11,2010-07-07,43.6,travel,Public Tr RAIL - SGL,10177
4132,"Drax, Richard",Conservative,10_11,2011-02-07,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2011-01-10,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-07-05,3877.5,staffing,Pooled Staffing Services,10165
4132,"Drax, Richard",Conservative,10_11,2011-03-21,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2011-02-14,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-08-27,35,general admin,Other,34814
4132,"Drax, Richard",Conservative,10_11,2010-05-10,47.9,travel,Public Tr RAIL - RTN,10177
4132,"Drax, Richard",Conservative,10_11,2010-12-07,131.6,general admin,Stationery Purchase,39774
4132,"Drax, Richard",Conservative,10_11,2010-05-19,43.6,travel,Public Tr RAIL - SGL,10177
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-08-27,5.88,general admin,Other,34814
4132,"Drax, Richard",Conservative,10_11,2010-09-24,132.23,general admin,Stationery Purchase,34814
4132,"Drax, Richard",Conservative,10_11,2010-12-18,702.7,general admin,Stationery Purchase,67129
4132,"Drax, Richard",Conservative,10_11,2011-02-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-24,185.38,general admin,Stationery Purchase,34814
4132,"Drax, Richard",Conservative,10_11,2011-01-31,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-09-09,43.6,travel,Public Tr RAIL - SGL,37794
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-10-12,41.6,travel,Public Tr RAIL - SGL,44538
4132,"Drax, Richard",Conservative,10_11,2010-12-09,29,travel,Public Tr RAIL MP Staff - RTN,62219
4132,"Drax, Richard",Conservative,10_11,2011-01-24,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2011-03-08,33.6,general admin,Telephone/Mobile Hire,75477
4132,"Drax, Richard",Conservative,10_11,2010-08-27,117.5,general admin,Stationery Purchase,34814
4132,"Drax, Richard",Conservative,10_11,2010-06-16,43.6,travel,Public Tr RAIL - SGL,10177
4132,"Drax, Richard",Conservative,10_11,2010-12-07,32.9,general admin,Payment Telephone/Mobile,39774
4132,"Drax, Richard",Conservative,10_11,2011-01-27,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2011-03-10,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-07-12,42.7,travel,Public Tr RAIL - SGL,19550
4132,"Drax, Richard",Conservative,10_11,2011-03-14,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2011-01-10,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-10-14,33.07,general admin,Stationery Purchase,39774
4132,"Drax, Richard",Conservative,10_11,2011-03-30,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-12-18,2.87,general admin,Stationery Purchase,67129
4132,"Drax, Richard",Conservative,10_11,2010-12-03,43.6,travel,Own Car MP,67137
4132,"Drax, Richard",Conservative,10_11,2010-08-27,24.67,general admin,Stationery Purchase,34814
4132,"Drax, Richard",Conservative,10_11,2011-03-24,43.6,travel,Own Car MP,91492
4132,"Drax, Richard",Conservative,10_11,2010-05-26,47.8,travel,Public Tr RAIL - RTN,10177
