id,list_name,party,session,date,value,category,description,claim_number
1559,"Duddridge, James",Conservative,11_12,2012-01-30,300,accommodation,Interim Hotel London Area,0000157378
1559,"Duddridge, James",Conservative,12_13,2012-05-15,15,travel,Food & Drink @ Parliament,0000180195
1559,"Duddridge, James",Conservative,12_13,2012-04-17,15,travel,Food & Drink @ Parliament,0000180195
1559,"Duddridge, James",Conservative,12_13,2013-01-16,11.7,travel,Public Tr RAIL - SGL,0000240302
1559,"Duddridge, James",Conservative,12_13,2012-12-03,11.2,travel,Public Tr RAIL - SGL,0000235188
1559,"Duddridge, James",Conservative,10_11,2010-11-08,1,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2010-12-02,13,travel,Public Tr RAIL - SGL,61990
1559,"Duddridge, James",Conservative,10_11,2011-03-22,2.1,travel,Public Tr RAIL - SGL,81944
1559,"Duddridge, James",Conservative,10_11,2010-07-06,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2010-10-27,13,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2011-03-01,15,travel,Food & Drink @ Parliament,92835
1559,"Duddridge, James",Conservative,10_11,2010-12-06,13,travel,Public Tr RAIL - SGL,61990
1559,"Duddridge, James",Conservative,10_11,2010-10-19,15,travel,Food & Drink @ Parliament,49715
1559,"Duddridge, James",Conservative,10_11,2010-12-02,387.75,accommodation,Interim Hotel London Area,55976
1559,"Duddridge, James",Conservative,10_11,2010-07-07,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2010-11-29,1,travel,Public Tr RAIL - SGL,61990
1559,"Duddridge, James",Conservative,10_11,2010-10-27,129.25,accommodation,Interim Hotel London Area,49694
1559,"Duddridge, James",Conservative,10_11,2010-10-11,11.3,travel,Food & Drink @ Parlmnt OFF Est,40683
1559,"Duddridge, James",Conservative,10_11,2010-06-18,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2010-12-16,21.2,travel,Public Tr RAIL - RTN,61990
1559,"Duddridge, James",Conservative,10_11,2010-07-20,617.4,constituency rental,Const Office Rent,40516
1559,"Duddridge, James",Conservative,10_11,2010-10-06,74.73,general admin,Payment Telephone/Mobile,39330
1559,"Duddridge, James",Conservative,10_11,2010-10-28,3.5,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2010-10-14,129.25,accommodation,Interim Hotel London Area,40673
1559,"Duddridge, James",Conservative,10_11,2011-02-10,617.4,constituency rental,Const Office Rent,68883
1559,"Duddridge, James",Conservative,10_11,2011-01-13,617.4,constituency rental,Const Office Rent,Payment to Supplier
1559,"Duddridge, James",Conservative,10_11,2010-06-14,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2010-10-14,129.25,accommodation,Interim Hotel London Area,40673
1559,"Duddridge, James",Conservative,10_11,2011-01-05,65.55,general admin,Payment Telephone/Mobile,64647
1559,"Duddridge, James",Conservative,10_11,2010-11-19,21.2,travel,Public Tr RAIL - RTN,54532
1559,"Duddridge, James",Conservative,10_11,2010-12-09,617.4,constituency rental,Const Office Rent,56975
1559,"Duddridge, James",Conservative,10_11,2011-03-31,15,travel,Food & Drink @ Parliament,71062
1559,"Duddridge, James",Conservative,10_11,2010-10-19,37.88,general admin,Payment Telephone/Mobile,49706
1559,"Duddridge, James",Conservative,10_11,2010-07-16,9.55,travel,Public Tr RAIL MP Staff - RTN,36783
1559,"Duddridge, James",Conservative,10_11,2011-03-15,15,travel,Food & Drink @ Parliament,92835
1559,"Duddridge, James",Conservative,10_11,2010-07-26,18.4,travel,Own Car MP,37721
1559,"Duddridge, James",Conservative,10_11,2011-03-04,518.4,accommodation,Interim Hotel London Area,91724
1559,"Duddridge, James",Conservative,10_11,2010-07-26,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2011-01-24,1.1,travel,Public Tr RAIL - SGL,66635
1559,"Duddridge, James",Conservative,10_11,2011-02-10,85.25,general admin,Stationery Purchase,68912
1559,"Duddridge, James",Conservative,10_11,2011-01-10,1.1,travel,Public Tr RAIL - SGL,66635
1559,"Duddridge, James",Conservative,10_11,2011-02-14,14,travel,Public Tr RAIL - SGL,108045
1559,"Duddridge, James",Conservative,10_11,2011-01-13,13.6,travel,Public Tr RAIL - SGL,66635
1559,"Duddridge, James",Conservative,10_11,2010-11-15,13,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2010-09-07,18.4,travel,Own Car MP,37721
1559,"Duddridge, James",Conservative,10_11,2011-01-12,388.8,accommodation,Interim Hotel London Area,68855
1559,"Duddridge, James",Conservative,10_11,2010-07-08,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2010-12-09,387.75,accommodation,Interim Hotel London Area,55976
1559,"Duddridge, James",Conservative,10_11,2010-12-21,21.2,travel,Public Tr RAIL - RTN,61990
1559,"Duddridge, James",Conservative,10_11,2011-02-15,1.1,travel,Public Tr RAIL - SGL,108045
1559,"Duddridge, James",Conservative,10_11,2010-11-22,218.55,general admin,Computer HW Purchase,49709
1559,"Duddridge, James",Conservative,10_11,2010-09-02,12,travel,Public Tr RAIL MP Staff - RTN,36783
1559,"Duddridge, James",Conservative,10_11,2011-03-31,259.2,accommodation,Interim Hotel London Area,91724
1559,"Duddridge, James",Conservative,10_11,2010-11-11,221.26,accommodation,Interim Hotel London Area,49694
1559,"Duddridge, James",Conservative,10_11,2010-07-20,27,general admin,Payment Telephone/Mobile,21111
1559,"Duddridge, James",Conservative,10_11,2011-02-10,4.18,general admin,Stationery Purchase,68912
1559,"Duddridge, James",Conservative,10_11,2011-02-03,388.8,accommodation,Interim Hotel London Area,68855
1559,"Duddridge, James",Conservative,10_11,2010-11-09,129.25,accommodation,Interim Hotel London Area,49694
1559,"Duddridge, James",Conservative,10_11,2010-10-18,5.2,travel,Food & Drink @ Parliament,49715
1559,"Duddridge, James",Conservative,10_11,2011-02-14,617.4,constituency rental,Const Office Rent,Payment to Supplier
1559,"Duddridge, James",Conservative,10_11,2010-10-19,62.94,general admin,Payment Telephone/Mobile,49706
1559,"Duddridge, James",Conservative,10_11,2011-03-31,10.6,travel,Public Tr RAIL - SGL,90810
1559,"Duddridge, James",Conservative,10_11,2010-12-16,38.22,general admin,Payment Telephone/Mobile,64647
1559,"Duddridge, James",Conservative,10_11,2010-07-26,8.6,travel,Food & Drink @ Parliament,36771
1559,"Duddridge, James",Conservative,10_11,2010-07-07,182.13,general admin,Telephone/Mobile Purchase,14293
1559,"Duddridge, James",Conservative,10_11,2010-10-19,119.17,general admin,Payment Telephone/Mobile,49706
1559,"Duddridge, James",Conservative,10_11,2010-07-08,18.4,travel,Own Car MP,21011
1559,"Duddridge, James",Conservative,10_11,2011-03-07,15.1,travel,Public Tr RAIL - RTN,81944
1559,"Duddridge, James",Conservative,10_11,2011-01-20,13.6,travel,Public Tr RAIL - SGL,66635
1559,"Duddridge, James",Conservative,10_11,2010-12-09,10,travel,Public Tr RAIL - SGL,61990
1559,"Duddridge, James",Conservative,10_11,2010-11-16,15,travel,Food & Drink @ Parliament,49715
1559,"Duddridge, James",Conservative,10_11,2010-11-15,1,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2010-07-20,617.4,constituency rental,Const Office Rent,40516
1559,"Duddridge, James",Conservative,10_11,2010-12-20,21.2,travel,Public Tr RAIL - RTN,61990
1559,"Duddridge, James",Conservative,10_11,2011-03-16,15,travel,Food & Drink @ Parlmnt OFF Est,92835
1559,"Duddridge, James",Conservative,10_11,2011-03-29,43.79,general admin,Mobile Usage/Rental,92843
1559,"Duddridge, James",Conservative,10_11,2011-03-31,13.1,travel,Food & Drink @ Parlmnt OFF Est,71062
1559,"Duddridge, James",Conservative,10_11,2010-11-09,387.75,accommodation,Interim Hotel London Area,49694
1559,"Duddridge, James",Conservative,10_11,2011-03-31,15,travel,Food & Drink @ Parlmnt OFF Est,71062
1559,"Duddridge, James",Conservative,10_11,2011-03-14,15,travel,Food & Drink @ Parliament,92835
1559,"Duddridge, James",Conservative,10_11,2010-10-06,9.4,travel,Public Tr RAIL MP Staff - SGL,56457
1559,"Duddridge, James",Conservative,10_11,2010-09-08,129.25,accommodation,Interim Hotel London Area,36768
1559,"Duddridge, James",Conservative,10_11,2010-09-13,11.25,travel,Food & Drink @ Parliament,40683
1559,"Duddridge, James",Conservative,10_11,2011-02-10,22.4,travel,Public Tr RAIL - RTN,108045
1559,"Duddridge, James",Conservative,10_11,2010-11-22,13,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2011-03-29,43.88,general admin,Mobile Usage/Rental,92843
1559,"Duddridge, James",Conservative,10_11,2010-08-09,617.4,constituency rental,Const Office Rent,22866
1559,"Duddridge, James",Conservative,10_11,2010-10-14,129.25,accommodation,Interim Hotel London Area,40673
1559,"Duddridge, James",Conservative,10_11,2011-03-04,18.4,travel,Own Car MP,92769
1559,"Duddridge, James",Conservative,10_11,2010-10-06,12,travel,Public Tr RAIL MP Staff - RTN,56457
1559,"Duddridge, James",Conservative,10_11,2010-11-22,1,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2010-10-20,387.75,accommodation,Interim Hotel London Area,49694
1559,"Duddridge, James",Conservative,10_11,2010-11-22,33.95,general admin,Payment Telephone/Mobile,49709
1559,"Duddridge, James",Conservative,10_11,2010-11-04,21.2,travel,Public Tr RAIL - RTN,54532
1559,"Duddridge, James",Conservative,10_11,2011-02-15,14,travel,Public Tr RAIL - SGL,108045
1559,"Duddridge, James",Conservative,10_11,2010-11-08,13,travel,Public Tr RAIL - SGL,54532
1559,"Duddridge, James",Conservative,10_11,2011-01-05,126.77,general admin,Payment Telephone/Mobile,64647
1559,"Duddridge, James",Conservative,10_11,2010-10-05,232.65,general admin,Computer HW Purchase,39330
1559,"Duddridge, James",Conservative,10_11,2011-03-14,18.4,travel,Own Car MP,92769
1559,"Duddridge, James",Conservative,10_11,2011-03-14,18.4,travel,Own Car MP,92769
1559,"Duddridge, James",Conservative,10_11,2011-01-20,388.8,accommodation,Interim Hotel London Area,68855
1559,"Duddridge, James",Conservative,10_11,2011-02-07,19.7,travel,Public Tr RAIL - RTN,108045
1559,"Duddridge, James",Conservative,10_11,2011-01-31,14,travel,Public Tr RAIL - SGL,108045
1559,"Duddridge, James",Conservative,10_11,2010-11-09,15,travel,Food & Drink @ Parliament,49715
1559,"Duddridge, James",Conservative,10_11,2011-03-30,617.4,constituency rental,Const Office Rent,Payment to Supplier
1559,"Duddridge, James",Conservative,10_11,2011-01-24,14,travel,Public Tr RAIL - SGL,66635
1559,"Duddridge, James",Conservative,10_11,2010-11-29,13,travel,Public Tr RAIL - SGL,61990
1559,"Duddridge, James",Conservative,10_11,2011-03-31,15,travel,Food & Drink @ Parliament,71062
1559,"Duddridge, James",Conservative,10_11,2011-03-30,15,travel,Food & Drink @ Parliament,92835
1559,"Duddridge, James",Conservative,10_11,2010-07-19,10.6,travel,Food & Drink @ Parliament,36771
1559,"Duddridge, James",Conservative,10_11,2011-03-31,15,travel,Food & Drink @ Parliament,71062
1559,"Duddridge, James",Conservative,10_11,2011-01-31,1.1,travel,Public Tr RAIL - SGL,108045
1559,"Duddridge, James",Conservative,10_11,2010-07-19,18.4,travel,Own Car MP,37721
1559,"Duddridge, James",Conservative,10_11,2011-03-28,80,travel,Taxi MP,90440
1559,"Duddridge, James",Conservative,10_11,2011-02-09,130,accommodation,Interim Hotel London Area,68873
1559,"Duddridge, James",Conservative,10_11,2010-10-19,223.39,general admin,Payment Telephone/Mobile,49706
