id,list_name,party,session,date,value,category,description,claim_number
1594,"Durkan, Mark",Social Democratic & Labour Party,12_13,2013-01-28,36.2,office costs,Const Office Tel. Usage/Rental,0000242680
1594,"Durkan, Mark",Social Democratic & Labour Party,12_13,2012-06-28,300,accommodation,Hotel London Area,0000196448
1594,"Durkan, Mark",Social Democratic & Labour Party,12_13,2013-03-07,450,accommodation,Hotel London Area,0000255553
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-11-17,282.73,constituency rental,Const Office Tel. Usage/Rental,54367
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-09-13,240,accommodation,Hotel London Area,33945
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-03-31,6.67,general admin,Postage Purchase,84303
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-11-01,117.5,general admin,Office Furniture Purchase,54372
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-07-23,9.37,general admin,Other,16720
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-12-07,766.66,constituency rental,Const Office Rent,54367
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-09-17,83.22,constituency rental,Const Office Tel. Usage/Rental,33301
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-01-04,13.98,general admin,Stationery Purchase,65972
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-07-05,390,accommodation,Hotel London Area,16523
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-12-22,383.33,constituency rental,Const Office Rent,58145
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-01-18,73.19,constituency rental,Const Office Tel. Usage/Rental,65968
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-10-11,30.36,constituency rental,Const Office Electricity,40172
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-11-12,74.6,general admin,Payment Telephone/Mobile,63235
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-08-19,93.89,general admin,Stationery Purchase,33520
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-01-04,15.14,general admin,Stationery Purchase,65972
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-08-19,421.71,constituency rental,Const Office Rent,35448
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-11-16,120,accommodation,Hotel London Area,52677
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-05-31,33.55,general admin,Professional Services,9421
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-02-28,15.6,general admin,Other,76943
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-09-10,38.36,constituency rental,Const Office Electricity,33301
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-06-08,120,accommodation,Hotel London Area,9034
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-02-09,125,accommodation,Hotel London Area,70137
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-08-30,54.05,general admin,Professional Services,33520
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-07-14,103.95,accommodation,Hotel London Area,16523
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-11-16,82.9,general admin,Stationery Purchase,54372
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2010-05-10,70.5,general admin,Stationery Purchase,9421
1594,"Durkan, Mark",Social Democratic & Labour Party,10_11,2011-03-22,383.33,constituency rental,Const Office Rent,Payment to Supplier
