id,list_name,party,session,date,value,category,description,claim_number
491,"Eagle, Angela",Labour,11_12,2011-12-24,636.50,office costs,Const Office Rent,Payment to Supplier
491,"Eagle, Angela",Labour,11_12,2011-04-28,12,general admin,Website - Hosting,102089
491,"Eagle, Angela",Labour,11_12,2011-06-17,5.3,travel,Congestion Zone/Toll MP,101813
491,"Eagle, Angela",Labour,12_13,2012-06-08,103.5,travel,Own Vehicle Car,0000185538
491,"Eagle, Angela",Labour,12_13,2012-09-13,10.21,office costs,Internet Usage/Rental,0000211830
491,"Eagle, Angela",Labour,10_11,2010-12-10,92,travel,Own Car MP,57162
491,"Eagle, Angela",Labour,10_11,2010-11-12,2.4,travel,Parking MP,52658
491,"Eagle, Angela",Labour,10_11,2011-01-21,4.8,travel,Own Car MP Staff,67401
491,"Eagle, Angela",Labour,10_11,2011-03-23,4.15,travel,Food & Drink @ Parliament,83783
491,"Eagle, Angela",Labour,10_11,2010-12-13,15,travel,Food & Drink @ Parliament,57151
491,"Eagle, Angela",Labour,10_11,2011-03-14,60.67,general admin,Stationery Purchase,89819
491,"Eagle, Angela",Labour,10_11,2010-11-04,58.73,constituency rental,Const Office Tel. Usage/Rental,45730
491,"Eagle, Angela",Labour,10_11,2010-10-02,92,travel,Own Car MP,38155
491,"Eagle, Angela",Labour,10_11,2010-07-23,137.1,travel,Public Tr RAIL - RTN,27274
491,"Eagle, Angela",Labour,10_11,2011-01-28,25,general admin,Venue Hire,67505
491,"Eagle, Angela",Labour,10_11,2010-05-14,74,travel,Public Tr RAIL - SGL,3842
491,"Eagle, Angela",Labour,10_11,2010-09-20,590,accommodation,Service Charges,31878
491,"Eagle, Angela",Labour,10_11,2010-12-08,15,travel,Food & Drink @ Parliament,57151
491,"Eagle, Angela",Labour,10_11,2010-06-26,2.8,travel,Congestion Zone/Toll MP,18057
491,"Eagle, Angela",Labour,10_11,2011-03-03,1.3,travel,Public Tr BUS,83771
491,"Eagle, Angela",Labour,10_11,2010-07-05,2.9,travel,Food & Drink @ Parliament,17861
491,"Eagle, Angela",Labour,10_11,2010-07-01,503,constituency rental,Const Office Rent,16060
491,"Eagle, Angela",Labour,10_11,2010-10-15,5.6,travel,Congestion Zone/Toll MP,45943
491,"Eagle, Angela",Labour,10_11,2010-06-25,2.8,travel,Congestion Zone/Toll MP,18057
491,"Eagle, Angela",Labour,10_11,2010-10-15,187.5,travel,Public Tr RAIL - RTN,44446
491,"Eagle, Angela",Labour,10_11,2010-10-15,1.2,travel,Public Tr BUS,45929
491,"Eagle, Angela",Labour,10_11,2010-11-05,105.1,travel,Public Tr RAIL - RTN,54660
491,"Eagle, Angela",Labour,10_11,2011-03-19,4.8,travel,Congestion Zone/Toll MP,83779
491,"Eagle, Angela",Labour,10_11,2010-10-22,9.2,travel,Own Car MP Staff,52689
491,"Eagle, Angela",Labour,10_11,2010-08-02,124.8,general admin,Payment Telephone/Mobile,20409
491,"Eagle, Angela",Labour,10_11,2010-11-01,6.6,travel,Food & Drink @ Parliament,52666
491,"Eagle, Angela",Labour,10_11,2011-02-10,5,travel,Congestion Zone/Toll MP,75230
491,"Eagle, Angela",Labour,10_11,2010-09-18,1.2,travel,Public Tr BUS,38135
491,"Eagle, Angela",Labour,10_11,2010-09-21,3.17,general admin,Stationery Purchase,32274
491,"Eagle, Angela",Labour,10_11,2010-10-23,4.8,travel,Own Car MP Staff,52689
491,"Eagle, Angela",Labour,10_11,2010-10-06,5.6,travel,Public Tr UND MP Staff,38132
491,"Eagle, Angela",Labour,10_11,2011-03-11,130.5,travel,Public Tr RAIL - SGL,83786
491,"Eagle, Angela",Labour,10_11,2010-09-15,2.5,travel,Public Tr Underground MP,38135
491,"Eagle, Angela",Labour,10_11,2010-07-31,2,travel,Public Tr BUS,20398
491,"Eagle, Angela",Labour,10_11,2011-01-25,4.55,travel,Food & Drink @ Parliament,67446
491,"Eagle, Angela",Labour,10_11,2011-02-12,92,travel,Own Car MP,75222
491,"Eagle, Angela",Labour,10_11,2010-06-28,2.95,travel,Food & Drink @ Parliament,9285
491,"Eagle, Angela",Labour,10_11,2010-11-26,1.2,travel,Public Tr BUS,52714
491,"Eagle, Angela",Labour,10_11,2011-03-02,103.5,travel,Public Tr RAIL - RTN,82072
491,"Eagle, Angela",Labour,10_11,2010-09-24,5,travel,Congest. Zone/Toll Seas Ticket,38161
491,"Eagle, Angela",Labour,10_11,2010-09-17,132.6,travel,Public Tr RAIL - RTN,37705
491,"Eagle, Angela",Labour,10_11,2011-02-14,50,general admin,Venue Hire,77221
491,"Eagle, Angela",Labour,10_11,2010-10-11,14.25,travel,Food & Drink @ Parliament,45935
491,"Eagle, Angela",Labour,10_11,2011-01-18,15,travel,Food & Drink @ Parliament,67446
491,"Eagle, Angela",Labour,10_11,2010-11-26,26,general admin,Venue Hire,57137
491,"Eagle, Angela",Labour,10_11,2010-11-11,1909.5,constituency rental,Const Office Rent,47533
491,"Eagle, Angela",Labour,10_11,2011-01-21,5.6,travel,Congestion Zone/Toll MP,67428
491,"Eagle, Angela",Labour,10_11,2010-09-17,1.2,travel,Public Tr BUS,38135
491,"Eagle, Angela",Labour,10_11,2011-01-11,5.35,travel,Food & Drink @ Parliament,67446
491,"Eagle, Angela",Labour,10_11,2010-09-21,54.33,accommodation,Telephone Usage/Rental,32266
491,"Eagle, Angela",Labour,10_11,2010-10-19,4.65,travel,Food & Drink @ Parliament,45935
491,"Eagle, Angela",Labour,10_11,2010-06-01,503,constituency rental,Const Office Rent,16060
491,"Eagle, Angela",Labour,10_11,2011-03-18,92,travel,Own Car MP,83765
491,"Eagle, Angela",Labour,10_11,2010-09-20,456.59,accommodation,Water,31892
491,"Eagle, Angela",Labour,10_11,2011-03-12,1.3,travel,Public Tr BUS,83771
491,"Eagle, Angela",Labour,10_11,2011-01-20,98,accommodation,Council Tax,63403
491,"Eagle, Angela",Labour,10_11,2010-12-02,98,accommodation,Council Tax,52648
491,"Eagle, Angela",Labour,10_11,2010-11-11,47.5,accommodation,Electricity,55149
491,"Eagle, Angela",Labour,10_11,2011-01-14,5.6,travel,Congestion Zone/Toll MP Staff,67428
