id,list_name,party,session,date,value,category,description,claim_number
4127,"Elliott, Julie",Labour,11_12,2011-06-21,30,general admin,Other,99234
4127,"Elliott, Julie",Labour,12_13,2012-05-17,750,office costs,Const Office Rent,Payment to Supplier
4127,"Elliott, Julie",Labour,12_13,2013-03-14,15,office costs,Other,0000250790
4127,"Elliott, Julie",Labour,12_13,2013-03-27,159.23,office costs,Furniture Purchase,0000253952
4127,"Elliott, Julie",Labour,12_13,2013-02-01,55.43,office costs,Stationery Purchase,Payment to Supplier
4127,"Elliott, Julie",Labour,12_13,2012-06-26,93.89,office costs,Const Office Tel. Usage/Rental,0000184971
4127,"Elliott, Julie",Labour,10_11,2010-07-02,35,general admin,Other,17341
4127,"Elliott, Julie",Labour,10_11,2011-03-21,8.6,travel,Taxi after Late Sitting 11pm,79758
4127,"Elliott, Julie",Labour,10_11,2011-03-11,2.2,travel,Parking MP,79758
4127,"Elliott, Julie",Labour,10_11,2011-01-14,17.19,general admin,Other,65983
4127,"Elliott, Julie",Labour,10_11,2010-11-26,125,travel,Public Tr RAIL - SGL,62046
4127,"Elliott, Julie",Labour,10_11,2011-01-10,31.45,general admin,Other,59880
4127,"Elliott, Julie",Labour,10_11,2011-02-28,248.4,general admin,Photocopier Hire,76678
4127,"Elliott, Julie",Labour,10_11,2010-11-23,83.25,constituency rental,Const Office Tel. Usage/Rental,50112
4127,"Elliott, Julie",Labour,10_11,2011-01-13,19.31,accommodation,Telephone Usage/Rental,65982
4127,"Elliott, Julie",Labour,10_11,2011-01-19,131,travel,Public Tr RAIL - SGL,66686
4127,"Elliott, Julie",Labour,10_11,2010-11-19,3.8,travel,Public Tr OTHER,53620
4127,"Elliott, Julie",Labour,10_11,2011-03-23,24.82,general admin,Stationery Purchase,82680
4127,"Elliott, Julie",Labour,10_11,2010-09-03,243.22,general admin,Photocopier Hire,27556
4127,"Elliott, Julie",Labour,10_11,2010-09-25,34.8,general admin,Other,38122
4127,"Elliott, Julie",Labour,10_11,2011-03-03,138.19,accommodation,Electricity,76667
4127,"Elliott, Julie",Labour,10_11,2010-10-27,274.48,accommodation,Service Charges,46851
4127,"Elliott, Julie",Labour,10_11,2011-03-04,3,travel,Parking MP,79758
4127,"Elliott, Julie",Labour,10_11,2010-11-26,133,travel,Public Tr RAIL - SGL,62046
4127,"Elliott, Julie",Labour,10_11,2010-10-25,133,travel,Public Tr RAIL - SGL,54587
4127,"Elliott, Julie",Labour,10_11,2011-02-28,83.3,constituency rental,Const Office Tel. Usage/Rental,77940
4127,"Elliott, Julie",Labour,10_11,2010-05-26,40,travel,Public Tr RAIL - SGL,16022
4127,"Elliott, Julie",Labour,10_11,2010-11-12,2.2,travel,Parking MP,59893
4127,"Elliott, Julie",Labour,10_11,2010-12-07,15,travel,Food & Drink @ Parliament,59921
4127,"Elliott, Julie",Labour,10_11,2011-03-16,112,travel,Public Tr RAIL - SGL,82000
4127,"Elliott, Julie",Labour,10_11,2010-11-22,63.33,general admin,Stationery Purchase,51822
