id,list_name,party,session,date,value,category,description,claim_number
1166,"Evans, Jonathan",Conservative,12_13,2012-10-16,33.72,office costs,Tel/Mobile Purchase,0000213967
1166,"Evans, Jonathan",Conservative,12_13,2013-03-05,49.37,office costs,Stationery Purchase,Payment to Supplier
1166,"Evans, Jonathan",Conservative,10_11,2010-10-13,31.42,constituency rental,Const Office Electricity,47440
1166,"Evans, Jonathan",Conservative,10_11,2011-03-28,745.8,general admin,Security,90679
1166,"Evans, Jonathan",Conservative,10_11,2011-03-08,238.17,general admin,Install/Maint Office Equip.,79395
1166,"Evans, Jonathan",Conservative,10_11,2010-10-01,325,constituency rental,Const Office Rent,47440
1166,"Evans, Jonathan",Conservative,10_11,2011-02-02,92.32,general admin,Install/Maint Office Equip.,79395
1166,"Evans, Jonathan",Conservative,10_11,2010-09-14,123.15,constituency rental,Const Office Internet Rental,47440
1166,"Evans, Jonathan",Conservative,10_11,2010-09-17,52.93,general admin,Stationery Purchase,47463
1166,"Evans, Jonathan",Conservative,10_11,2010-09-24,23.7,general admin,Stationery Purchase,47463
1166,"Evans, Jonathan",Conservative,10_11,2010-09-30,1127.85,general admin,Photocopier Hire,47443
1166,"Evans, Jonathan",Conservative,10_11,2010-10-14,57.43,general admin,Stationery Purchase,47457
1166,"Evans, Jonathan",Conservative,10_11,2010-07-21,979.62,accommodation,Council Tax,16165
1166,"Evans, Jonathan",Conservative,10_11,2011-02-28,47.53,general admin,Stationery Purchase,79395
1166,"Evans, Jonathan",Conservative,10_11,2010-09-24,94.59,general admin,Stationery Purchase,47463
1166,"Evans, Jonathan",Conservative,10_11,2011-01-05,325,constituency rental,Const Office Rent,69858
1166,"Evans, Jonathan",Conservative,10_11,2010-10-06,180.88,general admin,Stationery Purchase,47457
1166,"Evans, Jonathan",Conservative,10_11,2011-03-04,325,constituency rental,Const Office Rent,76813
1166,"Evans, Jonathan",Conservative,10_11,2010-09-08,1450,accommodation,Accommodation Rent,28832
1166,"Evans, Jonathan",Conservative,10_11,2010-09-30,41.75,general admin,Other,47457
1166,"Evans, Jonathan",Conservative,10_11,2010-10-15,125.02,general admin,Stationery Purchase,47457
1166,"Evans, Jonathan",Conservative,10_11,2011-02-18,1183.84,accommodation,Accommodation Rent,74868
1166,"Evans, Jonathan",Conservative,10_11,2010-12-01,1450,accommodation,Accommodation Rent,52465
1166,"Evans, Jonathan",Conservative,10_11,2010-05-26,3877.5,staffing,Pooled Staffing Services,12679
1166,"Evans, Jonathan",Conservative,10_11,2011-01-14,48.53,general admin,Stationery Purchase,69862
1166,"Evans, Jonathan",Conservative,10_11,2010-07-08,457.83,general admin,Other,30999
