id,list_name,party,session,date,value,category,description,claim_number
280,"Fabricant, Michael",Conservative,11_12,2011-11-14,5,travel,Congestion Zone/Toll MP,0000147380
280,"Fabricant, Michael",Conservative,11_12,2012-02-25,7.2,travel,Own Car MP,0000162466
280,"Fabricant, Michael",Conservative,11_12,2011-05-10,70.9,office costs,Mobile Usage/Rental,90510
280,"Fabricant, Michael",Conservative,11_12,2012-02-09,84.37,office costs,Advertising,0000151498
280,"Fabricant, Michael",Conservative,12_13,2013-02-15,18,office costs,Internet Usage/Rental,0000246996
280,"Fabricant, Michael",Conservative,12_13,2012-10-19,11.7,travel,Own Vehicle Car,0000227854
280,"Fabricant, Michael",Conservative,12_13,2012-11-18,126.14,accommodation,Telephone Usage/Rental,0000228242
280,"Fabricant, Michael",Conservative,10_11,2010-09-09,51.6,travel,Own Car MP,30170
280,"Fabricant, Michael",Conservative,10_11,2010-07-21,86.26,accommodation,Gas,21150
280,"Fabricant, Michael",Conservative,10_11,2010-10-23,108.95,accommodation,Gas,57945
280,"Fabricant, Michael",Conservative,10_11,2010-06-25,49.6,travel,Own Car MP,18475
280,"Fabricant, Michael",Conservative,10_11,2010-06-17,49.6,travel,Own Car MP,18475
280,"Fabricant, Michael",Conservative,10_11,2011-02-03,73.21,accommodation,Telephone Usage/Rental,69664
280,"Fabricant, Michael",Conservative,10_11,2011-01-10,15,travel,Food & Drink @ Parliament,77610
280,"Fabricant, Michael",Conservative,10_11,2011-01-27,219.25,accommodation,Electricity,69664
280,"Fabricant, Michael",Conservative,10_11,2010-07-28,16.62,travel,Congestion Zone/Toll MP,18513
280,"Fabricant, Michael",Conservative,10_11,2011-01-31,72.4,travel,Own Car MP,65287
280,"Fabricant, Michael",Conservative,10_11,2011-01-16,5.4,general admin,Stationery Purchase,65279
280,"Fabricant, Michael",Conservative,10_11,2010-05-17,4,travel,Congestion Zone/Toll MP,18513
280,"Fabricant, Michael",Conservative,10_11,2011-03-10,31.4,general admin,Computer SW Purchase,78161
280,"Fabricant, Michael",Conservative,10_11,2011-01-07,-47,travel,Public Tr RAIL - SGL,66769
280,"Fabricant, Michael",Conservative,10_11,2010-11-30,11.85,general admin,Install/Maint Office Equip.,58035
280,"Fabricant, Michael",Conservative,10_11,2010-05-14,49.6,travel,Own Car MP,18475
280,"Fabricant, Michael",Conservative,10_11,2010-06-13,49.6,travel,Own Car MP,18475
280,"Fabricant, Michael",Conservative,10_11,2010-11-30,10,travel,Food & Drink @ Parliament,58006
280,"Fabricant, Michael",Conservative,10_11,2011-02-02,115.84,accommodation,Telephone Usage/Rental,69664
280,"Fabricant, Michael",Conservative,10_11,2010-10-26,15,travel,Food & Drink @ Parliament,58006
280,"Fabricant, Michael",Conservative,10_11,2010-11-18,-16.5,travel,Public Tr RAIL - SGL,54672
280,"Fabricant, Michael",Conservative,10_11,2010-06-03,49.6,travel,Own Car MP,18475
