id,list_name,party,session,date,value,category,description,claim_number
88,"Fallon, Michael",Conservative,12_13,2013-03-07,1.37,office costs,Stationery Purchase,Payment to Supplier
88,"Fallon, Michael",Conservative,10_11,2010-09-02,2.96,travel,Own Car MP,49821
88,"Fallon, Michael",Conservative,10_11,2010-12-24,77.42,general admin,Payment Telephone/Mobile,62997
88,"Fallon, Michael",Conservative,10_11,2010-05-15,8.56,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-05-31,1.68,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-10-11,71.12,general admin,Payment Telephone/Mobile,49474
88,"Fallon, Michael",Conservative,10_11,2010-06-25,17.28,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-09-03,5.36,travel,Own Car MP,49821
88,"Fallon, Michael",Conservative,10_11,2011-03-19,893.91,accommodation,Council Tax,98023
88,"Fallon, Michael",Conservative,10_11,2010-09-24,17.28,travel,Own Car MP,49821
88,"Fallon, Michael",Conservative,10_11,2010-05-12,61.49,general admin,Stationery Purchase,9851
88,"Fallon, Michael",Conservative,10_11,2010-09-16,3.58,general admin,Stationery Purchase,49463
88,"Fallon, Michael",Conservative,10_11,2010-09-15,11.75,general admin,Website - Design/Production,31844
88,"Fallon, Michael",Conservative,10_11,2010-09-17,68.73,general admin,Payment Telephone/Mobile,49691
88,"Fallon, Michael",Conservative,10_11,2010-05-14,11.6,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2011-01-31,84.6,general admin,Stationery Purchase,70816
88,"Fallon, Michael",Conservative,10_11,2011-01-28,118.63,accommodation,Electricity,70820
88,"Fallon, Michael",Conservative,10_11,2010-09-24,2.24,travel,Own Car MP,49821
88,"Fallon, Michael",Conservative,10_11,2010-05-14,1.48,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2011-01-31,234.87,office costs,Website - Hosting,0000070815
88,"Fallon, Michael",Conservative,10_11,2010-06-30,1208.79,general admin,Other,9847
88,"Fallon, Michael",Conservative,10_11,2010-09-04,8.56,travel,Own Car MP,49821
88,"Fallon, Michael",Conservative,10_11,2010-06-11,2.96,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-12-24,1532,accommodation,Ground Rent,63006
88,"Fallon, Michael",Conservative,10_11,2011-01-18,19.98,general admin,Stationery Purchase,70816
88,"Fallon, Michael",Conservative,10_11,2010-06-12,8.56,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-07-12,70.44,general admin,Payment Telephone/Mobile,21356
88,"Fallon, Michael",Conservative,10_11,2010-05-14,0.96,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-07-22,82.25,general admin,Stationery Purchase,21314
88,"Fallon, Michael",Conservative,10_11,2010-06-06,11.6,travel,Own Car MP,12697
88,"Fallon, Michael",Conservative,10_11,2010-05-10,11.6,travel,Own Car MP,12697
