id,list_name,party,session,date,value,category,description,claim_number
1405,"Field, Mark",Conservative,12_13,2013-01-08,2.74,office costs,Stationery Purchase,Payment to Supplier
1405,"Field, Mark",Conservative,12_13,2012-05-02,1950,office costs,Professional Services: Direct,Payment to Supplier
1405,"Field, Mark",Conservative,12_13,2012-11-28,89.47,office costs,Newspapers/Journals,0000223684
1405,"Field, Mark",Conservative,10_11,2010-09-28,244.81,constituency rental,Contents Insurance,38395
1405,"Field, Mark",Conservative,10_11,2010-07-16,170,general admin,Printer Purchase,17995
1405,"Field, Mark",Conservative,10_11,2011-01-03,89.47,general admin,Other,50548
1405,"Field, Mark",Conservative,10_11,2010-06-18,297.3,travel,Public Tr Underground MP,11184
1405,"Field, Mark",Conservative,10_11,2010-09-22,99.39,general admin,Stationery Purchase,33822
1405,"Field, Mark",Conservative,10_11,2010-06-07,3.6,general admin,Hospitality,15202
1405,"Field, Mark",Conservative,10_11,2011-01-10,33.6,general admin,Payment Telephone/Mobile,61137
1405,"Field, Mark",Conservative,10_11,2011-03-10,219.83,general admin,Payment Telephone/Mobile,76453
1405,"Field, Mark",Conservative,10_11,2011-02-09,28.7,general admin,Payment Telephone/Mobile,70037
1405,"Field, Mark",Conservative,10_11,2010-12-10,32.9,general admin,Payment Telephone/Mobile,56970
1405,"Field, Mark",Conservative,10_11,2010-05-25,45.92,general admin,Stationery Purchase,15175
1405,"Field, Mark",Conservative,10_11,2010-10-26,39.47,general admin,Stationery Purchase,45932
1405,"Field, Mark",Conservative,10_11,2011-01-01,161.2,general admin,Other,59023
1405,"Field, Mark",Conservative,10_11,2010-07-01,223.25,general admin,Payment Internet,15205
1405,"Field, Mark",Conservative,10_11,2011-02-03,30.8,travel,Public Tr RAIL Other,68326
1405,"Field, Mark",Conservative,10_11,2010-07-15,35,general admin,Other,15244
1405,"Field, Mark",Conservative,10_11,2010-11-10,32.9,general admin,Payment Telephone/Mobile,50251
1405,"Field, Mark",Conservative,10_11,2011-03-21,318,travel,Public Tr OTHER,81983
1405,"Field, Mark",Conservative,10_11,2011-03-01,131.82,office costs,Stationery Purchase,74697
1405,"Field, Mark",Conservative,10_11,2011-02-16,5.9,general admin,Stationery Purchase,71188
1405,"Field, Mark",Conservative,10_11,2010-10-07,27.35,general admin,Payment Telephone/Mobile,40767
1405,"Field, Mark",Conservative,10_11,2010-11-19,14.62,general admin,Stationery Purchase,50742
1405,"Field, Mark",Conservative,10_11,2010-10-12,46.99,general admin,Payment Internet,39764
1405,"Field, Mark",Conservative,10_11,2010-09-01,62.4,constituency rental,Const Office Electricity,33875
1405,"Field, Mark",Conservative,10_11,2010-12-10,26.67,general admin,Payment Telephone/Mobile,56791
1405,"Field, Mark",Conservative,10_11,2010-05-13,21.35,general admin,Payment Telephone/Mobile,15195
1405,"Field, Mark",Conservative,10_11,2010-07-02,63.24,general admin,Payment Telephone/Mobile,15216
1405,"Field, Mark",Conservative,10_11,2010-11-04,124.53,general admin,Stationery Purchase,50253
1405,"Field, Mark",Conservative,10_11,2010-06-11,42.06,general admin,Payment Telephone/Mobile,5597
1405,"Field, Mark",Conservative,10_11,2011-01-10,27.18,general admin,Payment Telephone/Mobile,62710
1405,"Field, Mark",Conservative,10_11,2011-01-11,23.33,general admin,Stationery Purchase,62712
1405,"Field, Mark",Conservative,10_11,2010-10-29,418.17,general admin,Stationery Purchase,46831
1405,"Field, Mark",Conservative,10_11,2011-03-01,131.82,general admin,Stationery Purchase,74697
1405,"Field, Mark",Conservative,10_11,2011-03-09,53.2,general admin,Payment Telephone/Mobile,76256
1405,"Field, Mark",Conservative,10_11,2010-09-09,86.3,general admin,Payment Telephone/Mobile,29949
1405,"Field, Mark",Conservative,10_11,2011-01-21,5,travel,Public Tr Underground MP,68328
1405,"Field, Mark",Conservative,10_11,2010-11-12,140.53,general admin,Stationery Purchase,50252
1405,"Field, Mark",Conservative,10_11,2010-07-12,24.4,general admin,Hospitality,17126
1405,"Field, Mark",Conservative,10_11,2010-10-26,118.45,general admin,Stationery Purchase,45932
1405,"Field, Mark",Conservative,10_11,2011-02-10,41.62,general admin,Payment Telephone/Mobile,70038
1405,"Field, Mark",Conservative,10_11,2010-11-18,138.44,general admin,Stationery Purchase,50596
1405,"Field, Mark",Conservative,10_11,2010-09-10,32.9,general admin,Payment Telephone/Mobile,30922
1405,"Field, Mark",Conservative,10_11,2010-10-28,18,travel,Taxi MP,45936
1405,"Field, Mark",Conservative,10_11,2010-12-16,11.28,general admin,Stationery Purchase,58906
1405,"Field, Mark",Conservative,10_11,2010-07-22,58.75,general admin,Stationery Purchase,17120
1405,"Field, Mark",Conservative,10_11,2010-06-06,82.47,general admin,Stationery Purchase,15177
1405,"Field, Mark",Conservative,10_11,2010-10-11,32.9,general admin,Payment Telephone/Mobile,40431
1405,"Field, Mark",Conservative,10_11,2010-09-25,1077.36,general admin,Computer HW Purchase,38120
1405,"Field, Mark",Conservative,10_11,2010-08-10,54.3,general admin,Payment Telephone/Mobile,25000
1405,"Field, Mark",Conservative,10_11,2011-02-04,698.55,general admin,Stationery Purchase,70040
1405,"Field, Mark",Conservative,10_11,2010-11-09,28.3,general admin,Payment Telephone/Mobile,50250
1405,"Field, Mark",Conservative,10_11,2010-11-24,12.67,general admin,Postage Purchase,50551
1405,"Field, Mark",Conservative,10_11,2010-06-24,144.76,general admin,Stationery Purchase,15177
1405,"Field, Mark",Conservative,10_11,2010-09-20,297.3,travel,Public Tr Underground MP,31871
1405,"Field, Mark",Conservative,10_11,2010-10-03,110.93,general admin,Payment Telephone/Mobile,38391
1405,"Field, Mark",Conservative,10_11,2010-06-04,26.53,general admin,Payment Telephone/Mobile,15195
1405,"Field, Mark",Conservative,10_11,2010-08-13,618.05,general admin,Security,27803
1405,"Field, Mark",Conservative,10_11,2010-07-09,26.77,general admin,Payment Telephone/Mobile,15195
1405,"Field, Mark",Conservative,10_11,2011-01-06,140.16,general admin,Payment Telephone/Mobile,61140
1405,"Field, Mark",Conservative,10_11,2010-09-20,297.3,travel,Public Tr Underground MP,37623
1405,"Field, Mark",Conservative,10_11,2010-12-24,54.8,constituency rental,Const Office Electricity,59014
1405,"Field, Mark",Conservative,10_11,2010-07-30,113.51,general admin,Stationery Purchase,20614
1405,"Field, Mark",Conservative,10_11,2010-05-10,95.29,constituency rental,Contents Insurance,26769
1405,"Field, Mark",Conservative,10_11,2010-10-07,145.5,general admin,Television Licence Purchase,38389
1405,"Field, Mark",Conservative,10_11,2011-01-27,85,general admin,Other,64814
1405,"Field, Mark",Conservative,10_11,2010-08-09,106.25,general admin,Payment Telephone/Mobile,27802
1405,"Field, Mark",Conservative,10_11,2011-03-30,8.18,general admin,Stationery Purchase,84918
1405,"Field, Mark",Conservative,10_11,2010-07-07,86.21,general admin,Stationery Purchase,15177
1405,"Field, Mark",Conservative,11_12,2011-12-08,10,staffing,Public Tr RAIL Other Int/Volnt,0000138055
1405,"Field, Mark",Conservative,11_12,2011-09-23,5.1,staffing,Food & Drink Intern/Volunteer,118394
1405,"Field, Mark",Conservative,11_12,2011-11-25,10,staffing,Public Tr RAIL Other Int/Volnt,0000133992
1405,"Field, Mark",Conservative,11_12,2011-12-09,1.22,staffing,Food & Drink Intern/Volunteer,0000138055
1405,"Field, Mark",Conservative,11_12,2011-10-12,0,office costs,Website - Hosting,127022
1405,"Field, Mark",Conservative,11_12,2011-07-22,44.96,office costs,Stationery Purchase,108089
1405,"Field, Mark",Conservative,11_12,2011-12-08,5.48,staffing,Food & Drink Intern/Volunteer,0000138055
1405,"Field, Mark",Conservative,11_12,2012-02-16,43,office costs,Mobile Usage/Rental,0000154395
1405,"Field, Mark",Conservative,11_12,2011-09-19,47.79,office costs,Mobile Usage/Rental,118173
1405,"Field, Mark",Conservative,11_12,2012-02-10,899.99,office costs,Computer HW Purchase,0000159625
1405,"Field, Mark",Conservative,11_12,2011-11-18,10,staffing,Public Tr RAIL Other Int/Volnt,0000132858
1405,"Field, Mark",Conservative,11_12,2011-11-28,92.91,office costs,Postage Purchase,0000134425
1405,"Field, Mark",Conservative,11_12,2011-11-24,2.24,staffing,Food & Drink Intern/Volunteer,0000133992
1405,"Field, Mark",Conservative,11_12,2011-11-16,10,staffing,Public Tr RAIL Other Int/Volnt,0000132852
1405,"Field, Mark",Conservative,11_12,2011-09-29,10,staffing,Public Tr OTHER Int/Volntr,119990
1405,"Field, Mark",Conservative,11_12,2011-09-21,264,office costs,Const Office Buildings Insur.,0000139334
1405,"Field, Mark",Conservative,11_12,2011-12-02,5.7,staffing,Food & Drink Intern/Volunteer,0000135034
1405,"Field, Mark",Conservative,11_12,2011-10-06,5,staffing,Food & Drink Intern/Volunteer,119990
1405,"Field, Mark",Conservative,11_12,2011-11-03,10,staffing,Public Tr RAIL Other Int/Volnt,128925
1405,"Field, Mark",Conservative,11_12,2011-05-19,30,travel,Public Tr RAIL - RTN,94408
1405,"Field, Mark",Conservative,11_12,2011-08-29,1081.2,office costs,Computer HW Purchase,117617
1405,"Field, Mark",Conservative,11_12,2011-08-09,636,office costs,Legal Expenses Insurance,Payment to Supplier
1405,"Field, Mark",Conservative,11_12,2012-03-19,356.4,travel,Public Tr UND,0000164043
1405,"Field, Mark",Conservative,11_12,2011-12-15,1.61,staffing,Food & Drink Intern/Volunteer,0000139363
1405,"Field, Mark",Conservative,11_12,2011-08-01,642.6,office costs,Security,110063
1405,"Field, Mark",Conservative,11_12,2011-11-18,1.14,staffing,Food & Drink Intern/Volunteer,0000132858
1405,"Field, Mark",Conservative,11_12,2011-10-13,10,staffing,Public Tr RAIL Other Int/Volnt,124513
1405,"Field, Mark",Conservative,11_12,2011-11-24,74.41,office costs,Mobile Usage/Rental,0000132847
1405,"Field, Mark",Conservative,11_12,2011-06-10,74.76,general admin,Payment Telephone/Mobile,98590
1405,"Field, Mark",Conservative,11_12,2011-11-18,2.95,staffing,Food & Drink Intern/Volunteer,0000132858
1405,"Field, Mark",Conservative,11_12,2011-11-14,33.86,office costs,Mobile Usage/Rental,131279
1405,"Field, Mark",Conservative,11_12,2011-11-04,10,staffing,Public Tr RAIL Other Int/Volnt,128925
1405,"Field, Mark",Conservative,11_12,2011-07-03,123.06,office costs,Const Office Tel. Usage/Rental,0000105068
1405,"Field, Mark",Conservative,11_12,2011-07-21,37.9,office costs,Stationery Purchase,108091
1405,"Field, Mark",Conservative,11_12,2011-10-25,49.03,office costs,Mobile Usage/Rental,125970
1405,"Field, Mark",Conservative,11_12,2011-06-21,318,travel,Public Tr Underground MP,104324
1405,"Field, Mark",Conservative,11_12,2011-10-21,5.05,staffing,Food & Drink Intern/Volunteer,125888
1405,"Field, Mark",Conservative,11_12,2011-09-19,182.62,office costs,Mobile Usage/Rental,117605
1405,"Field, Mark",Conservative,11_12,2012-01-11,7.2,office costs,Hospitality,0000143832
1405,"Field, Mark",Conservative,11_12,2011-07-11,33.84,general admin,Payment Telephone/Mobile,105733
1405,"Field, Mark",Conservative,11_12,2011-11-17,5.55,staffing,Food & Drink Intern/Volunteer,0000132858
1405,"Field, Mark",Conservative,11_12,2011-10-27,10,staffing,Public Tr RAIL Other Int/Volnt,127013
1405,"Field, Mark",Conservative,11_12,2011-12-19,33.9,office costs,Mobile Usage/Rental,0000139361
1405,"Field, Mark",Conservative,11_12,2011-08-18,54.38,office costs,Mobile Usage/Rental,112546
1405,"Field, Mark",Conservative,11_12,2012-02-14,100,office costs,Computer SW Purchase,0000159625
1405,"Field, Mark",Conservative,11_12,2011-12-01,10,staffing,Public Tr RAIL Other Int/Volnt,0000135034
1405,"Field, Mark",Conservative,11_12,2012-02-10,223.12,office costs,Mobile Usage/Rental,0000152480
1405,"Field, Mark",Conservative,11_12,2011-07-15,35,office costs,Other,106783
1405,"Field, Mark",Conservative,11_12,2011-12-16,7.3,staffing,Public Tr RAIL Other Int/Volnt,0000139363
1405,"Field, Mark",Conservative,11_12,2011-12-02,10,staffing,Public Tr RAIL Other Int/Volnt,0000135034
1405,"Field, Mark",Conservative,11_12,2012-01-10,119.66,office costs,Mobile Usage/Rental,0000143833
1405,"Field, Mark",Conservative,11_12,2011-11-17,10,staffing,Public Tr RAIL Other Int/Volnt,0000132858
1405,"Field, Mark",Conservative,11_12,2012-01-10,15,travel,Food & Drink @ Parliament,0000143840
1405,"Field, Mark",Conservative,11_12,2011-04-07,29.72,office costs,Payment Telephone/Mobile,85407
1405,"Field, Mark",Conservative,11_12,2011-12-09,5.1,staffing,Food & Drink Intern/Volunteer,0000138055
1405,"Field, Mark",Conservative,11_12,2011-09-30,6.8,staffing,Food & Drink Intern/Volunteer,119990
1405,"Field, Mark",Conservative,11_12,2011-10-14,5.1,staffing,Food & Drink Intern/Volunteer,124513
1405,"Field, Mark",Conservative,11_12,2011-04-11,141.72,office costs,Payment Telephone/Mobile,84923
1405,"Field, Mark",Conservative,11_12,2011-10-10,142.99,office costs,Const Office Tel. Usage/Rental,121061
1405,"Field, Mark",Conservative,11_12,2011-07-13,30.32,general admin,Stationery Purchase,106631
1405,"Field, Mark",Conservative,11_12,2011-10-06,10,staffing,Public Tr OTHER Int/Volntr,119990
1405,"Field, Mark",Conservative,11_12,2011-08-17,145.5,office costs,Television Licence Purchase,112543
1405,"Field, Mark",Conservative,11_12,2011-11-10,8.5,staffing,Food & Drink Intern/Volunteer,131288
1405,"Field, Mark",Conservative,11_12,2011-10-06,1.05,staffing,Food & Drink Intern/Volunteer,119990
1405,"Field, Mark",Conservative,11_12,2011-11-11,5.65,staffing,Food & Drink Intern/Volunteer,131288
1405,"Field, Mark",Conservative,11_12,2011-07-11,27.21,general admin,Mobile Usage/Rental,105728
1405,"Field, Mark",Conservative,11_12,2012-03-06,564.99,office costs,Internet Access Installation,0000159625
1405,"Field, Mark",Conservative,11_12,2011-09-19,318,travel,Public Tr Underground MP,123991
1405,"Field, Mark",Conservative,11_12,2011-11-24,10,staffing,Public Tr RAIL Other Int/Volnt,0000133992
1405,"Field, Mark",Conservative,11_12,2011-09-06,375.48,office costs,Stationery Purchase,115092
1405,"Field, Mark",Conservative,11_12,2012-03-13,33.71,office costs,Mobile Usage/Rental,0000159640
1405,"Field, Mark",Conservative,11_12,2011-10-07,10,staffing,Public Tr OTHER Int/Volntr,119990
1405,"Field, Mark",Conservative,11_12,2011-10-07,5,staffing,Food & Drink Intern/Volunteer,124513
1405,"Field, Mark",Conservative,11_12,2011-09-22,10,staffing,Public Tr RAIL Other Int/Volnt,118394
1405,"Field, Mark",Conservative,11_12,2011-12-01,5.75,staffing,Food & Drink Intern/Volunteer,0000135034
1405,"Field, Mark",Conservative,11_12,2011-09-05,15,travel,Food & Drink @ Parliament,115558
1405,"Field, Mark",Conservative,11_12,2011-07-07,78.4,constituency rental,Const Office Electricity,106625
1405,"Field, Mark",Conservative,11_12,2012-03-08,33.2,travel,Public Tr RAIL - RTN,0000158397
1405,"Field, Mark",Conservative,11_12,2011-09-22,6.05,staffing,Food & Drink Intern/Volunteer,118394
1405,"Field, Mark",Conservative,11_12,2012-02-09,84.13,office costs,Stationery Purchase,0000152032
1405,"Field, Mark",Conservative,11_12,2012-01-02,97.99,office costs,Const Office Tel. Usage/Rental,0000145063
1405,"Field, Mark",Conservative,11_12,2011-12-20,70.74,office costs,Stationery Purchase,0000139359
1405,"Field, Mark",Conservative,11_12,2011-10-06,18.21,office costs,Stationery Purchase,0000134031
1405,"Field, Mark",Conservative,11_12,2011-12-15,10,staffing,Public Tr RAIL Other Int/Volnt,0000139363
1405,"Field, Mark",Conservative,11_12,2011-12-15,4.89,staffing,Food & Drink Intern/Volunteer,0000139363
1405,"Field, Mark",Conservative,11_12,2011-10-13,4.9,staffing,Food & Drink Intern/Volunteer,124513
1405,"Field, Mark",Conservative,11_12,2011-12-02,89.47,office costs,Other,0000138053
1405,"Field, Mark",Conservative,11_12,2011-07-15,120.04,general admin,Stationery Purchase,106583
1405,"Field, Mark",Conservative,11_12,2011-06-10,97.04,general admin,Mobile Usage/Rental,98588
1405,"Field, Mark",Conservative,11_12,2012-01-18,240.33,office costs,Mobile Usage/Rental,0000146476
1405,"Field, Mark",Conservative,11_12,2011-10-28,5.55,staffing,Food & Drink Intern/Volunteer,127013
1405,"Field, Mark",Conservative,11_12,2011-07-28,96,office costs,Website - Design/Production,108908
1405,"Field, Mark",Conservative,11_12,2011-10-10,15,travel,Food & Drink @ Parliament,124510
1405,"Field, Mark",Conservative,11_12,2011-11-10,10,staffing,Public Tr RAIL Other Int/Volnt,131288
1405,"Field, Mark",Conservative,11_12,2011-09-23,10,staffing,Public Tr RAIL Other Int/Volnt,118394
1405,"Field, Mark",Conservative,11_12,2012-02-10,99.95,office costs,Computer SW Purchase,0000159625
1405,"Field, Mark",Conservative,11_12,2011-10-20,4.75,staffing,Food & Drink Intern/Volunteer,125888
1405,"Field, Mark",Conservative,11_12,2011-10-27,3.5,staffing,Food & Drink Intern/Volunteer,127013
1405,"Field, Mark",Conservative,11_12,2011-11-02,5.2,staffing,Food & Drink Intern/Volunteer,129694
1405,"Field, Mark",Conservative,11_12,2011-05-30,10,travel,Public Tr Underground MP,94411
1405,"Field, Mark",Conservative,11_12,2011-11-03,6.6,staffing,Food & Drink Intern/Volunteer,128925
1405,"Field, Mark",Conservative,11_12,2012-01-05,36.48,office costs,Stationery Purchase,0000143844
1405,"Field, Mark",Conservative,11_12,2011-10-14,10,staffing,Public Tr RAIL Other Int/Volnt,124513
1405,"Field, Mark",Conservative,11_12,2011-10-28,10,staffing,Public Tr RAIL Other Int/Volnt,127013
1405,"Field, Mark",Conservative,11_12,2011-11-24,4.29,staffing,Food & Drink Intern/Volunteer,0000133992
1405,"Field, Mark",Conservative,11_12,2011-08-08,278.72,office costs,Stationery Purchase,110603
1405,"Field, Mark",Conservative,11_12,2012-03-09,70.74,office costs,Stationery Purchase,0000158273
1405,"Field, Mark",Conservative,11_12,2011-10-17,34.01,office costs,Mobile Usage/Rental,124507
1405,"Field, Mark",Conservative,11_12,2011-11-04,5.85,staffing,Food & Drink Intern/Volunteer,128925
1405,"Field, Mark",Conservative,11_12,2012-03-19,97.99,office costs,Mobile Usage/Rental,0000160841
1405,"Field, Mark",Conservative,11_12,2011-10-17,84.6,office costs,Stationery Purchase,124503
1405,"Field, Mark",Conservative,11_12,2011-11-22,0.17,office costs,Stationery Purchase,0000134031
