id,list_name,party,session,date,value,category,description,claim_number
197,"Fitzpatrick, Jim",Labour,11_12,2011-06-09,144,office costs,Professional Services,108484
197,"Fitzpatrick, Jim",Labour,12_13,2013-02-04,50.4,office costs,Website - Hosting,0000248909
197,"Fitzpatrick, Jim",Labour,12_13,2012-05-15,57.54,office costs,Stationery Purchase,0000182367
197,"Fitzpatrick, Jim",Labour,12_13,2012-11-08,16.44,office costs,Stationery Purchase,0000223081
197,"Fitzpatrick, Jim",Labour,12_13,2012-08-10,37.62,office costs,Stationery Purchase,0000200657
197,"Fitzpatrick, Jim",Labour,12_13,2013-02-12,21.26,office costs,Stationery Purchase,Payment to Supplier
197,"Fitzpatrick, Jim",Labour,12_13,2012-10-04,4.74,office costs,Other Equip Purchase,0000211077
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-15,62.4,general admin,Payment Telephone/Mobile,38937
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-16,121.73,general admin,Stationery Purchase,9295
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,36,general admin,Professional Services,79399
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-10,235,general admin,Website - Hosting,57364
197,"Fitzpatrick, Jim",Labour,10_11,2010-11-01,50,travel,Public Tr Underground MP,49460
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-23,2.87,general admin,Stationery Purchase,18419
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-23,213.19,general admin,Stationery Purchase,9295
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-23,2.87,general admin,Stationery Purchase,24641
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-08,11.75,general admin,Website - Design/Production,3909
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-11,118.82,general admin,Stationery Purchase,24641
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-03,42.71,general admin,Payment Telephone/Mobile,52778
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-15,266.13,general admin,Stationery Purchase,38937
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-11,30,travel,Public Tr Underground MP,3912
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-09,360.72,general admin,Stationery Purchase,24641
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,56.47,general admin,Telephone/Mobile Hire,76145
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,40,travel,Public Tr Underground MP,76144
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-12,30,travel,Public Tr Underground MP,12770
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,322.83,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-27,112.93,general admin,Stationery Purchase,28052
197,"Fitzpatrick, Jim",Labour,10_11,2010-08-03,84.34,general admin,Stationery Purchase,24641
197,"Fitzpatrick, Jim",Labour,10_11,2010-11-17,264.54,general admin,Stationery Purchase,49459
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-09,360.72,general admin,Stationery Purchase,18419
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-15,63.57,general admin,Payment Telephone/Mobile,9295
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-02,36.72,general admin,Professional Services,5554
197,"Fitzpatrick, Jim",Labour,10_11,2010-05-24,50,travel,Public Tr Underground MP,527
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-11,12.36,general admin,Stationery Purchase,18419
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-01,174.09,general admin,Stationery Purchase,57364
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-05,335,general admin,Computer SW Purchase,12768
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,243.44,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-07,300,general admin,Language Services,3914
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-14,63.12,general admin,Payment Telephone/Mobile,5551
197,"Fitzpatrick, Jim",Labour,10_11,2010-05-13,192.16,general admin,Stationery Purchase,3913
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-27,378.35,general admin,Stationery Purchase,24641
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-01,51.96,general admin,Stationery Purchase,12768
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-01,189.18,general admin,Stationery Purchase,28052
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-07,20.42,general admin,Stationery Purchase,38937
197,"Fitzpatrick, Jim",Labour,10_11,2010-11-22,1000,constituency rental,Const Office Rent,52774
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-17,142.14,general admin,Payment Telephone/Mobile,77072
197,"Fitzpatrick, Jim",Labour,10_11,2010-10-17,264.54,general admin,Photocopier Purchase,52779
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-14,142.79,general admin,Payment Telephone/Mobile,38937
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,122.64,general admin,Stationery Purchase,79399
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-16,162.86,general admin,Stationery Purchase,9295
197,"Fitzpatrick, Jim",Labour,10_11,2010-05-31,458.25,general admin,Removal Costs,5553
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-17,65.57,general admin,Payment Telephone/Mobile,77072
197,"Fitzpatrick, Jim",Labour,10_11,2010-11-16,988.18,general admin,Computer HW Purchase,52775
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,127.45,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-28,55.74,general admin,Stationery Purchase,38937
197,"Fitzpatrick, Jim",Labour,10_11,2010-10-29,21.5,general admin,Other,49459
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-16,146.41,general admin,Stationery Purchase,9293
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,83.14,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-10-01,17.93,general admin,Stationery Purchase,38937
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-14,153.88,constituency rental,Const Office Tel. Usage/Rental,57922
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-02,177.42,general admin,Stationery Purchase,28052
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,80.26,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,177.78,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-08-17,42.18,general admin,Stationery Purchase,28052
197,"Fitzpatrick, Jim",Labour,10_11,2010-05-28,29.38,general admin,Website - Design/Production,3910
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,21.26,general admin,Other,76143
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-27,378.35,general admin,Stationery Purchase,28061
197,"Fitzpatrick, Jim",Labour,10_11,2010-07-11,118.82,general admin,Stationery Purchase,18419
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-16,144.76,general admin,Stationery Purchase,9295
197,"Fitzpatrick, Jim",Labour,10_11,2010-11-30,162.86,general admin,Stationery Purchase,57364
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-14,66.71,constituency rental,Const Office Tel. Usage/Rental,57922
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,750,constituency rental,Const Office Rent,76142
197,"Fitzpatrick, Jim",Labour,10_11,2010-10-01,24.35,general admin,Stationery Purchase,38937
197,"Fitzpatrick, Jim",Labour,10_11,2011-03-14,24,general admin,Website - Hosting,80612
197,"Fitzpatrick, Jim",Labour,10_11,2010-06-04,15,general admin,Computer SW Purchase,3911
197,"Fitzpatrick, Jim",Labour,10_11,2010-12-06,2515.63,general admin,Professional Services,53682
197,"Fitzpatrick, Jim",Labour,10_11,2010-09-03,159.32,general admin,Stationery Purchase,38937
