id,list_name,party,session,date,value,category,description,claim_number
4074,"Garnier, Mark",Conservative,11_12,2011-10-13,17.91,travel,Own Car MP,123791
4074,"Garnier, Mark",Conservative,11_12,2011-04-26,1560.00,accommodation,Accommodation Rent,Payment to Supplier
4074,"Garnier, Mark",Conservative,12_13,2012-04-04,13.48,office costs,Stationery Purchase,0000172158
4074,"Garnier, Mark",Conservative,12_13,2012-11-16,342,office costs,Training MP Staff,0000221324
4074,"Garnier, Mark",Conservative,12_13,2012-04-23,10,travel,Food & Drink @ Parliament,0000174810
4074,"Garnier, Mark",Conservative,12_13,2012-10-22,100,office costs,Other,0000214163
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,12.8,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,71.25,travel,Own Car MP,100037
4074,"Garnier, Mark",Conservative,10_11,2010-10-10,55.6,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-11-11,55.6,travel,Own Car MP,61166
4074,"Garnier, Mark",Conservative,10_11,2010-06-28,111.2,travel,Own Car MP,15948
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,5.12,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,3.8,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-11-01,55.6,travel,Own Car MP,61166
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,585.52,constituency rental,Const Office Electricity,79269
4074,"Garnier, Mark",Conservative,10_11,2010-12-21,55.23,general admin,Telephone/Mobile Hire,72821
4074,"Garnier, Mark",Conservative,10_11,2011-01-13,2026.88,general admin,Office Furniture Purchase,61152
4074,"Garnier, Mark",Conservative,10_11,2010-11-08,55.6,travel,Own Car MP,61166
4074,"Garnier, Mark",Conservative,10_11,2011-03-14,58.4,travel,Own Car MP,96039
4074,"Garnier, Mark",Conservative,10_11,2010-10-01,8,travel,Own Car MP,39681
4074,"Garnier, Mark",Conservative,10_11,2011-03-04,211.14,general admin,Stationery Purchase,74080
4074,"Garnier, Mark",Conservative,10_11,2011-03-28,2611.2,general admin,Office Furniture Purchase,100036
4074,"Garnier, Mark",Conservative,10_11,2010-10-01,108.02,general admin,Telephone/Mobile Hire,41659
4074,"Garnier, Mark",Conservative,10_11,2011-02-07,111.2,travel,Own Car MP,70376
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,1.52,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-06-21,111.2,travel,Own Car MP,15948
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,3.64,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,100,general admin,Professional Services,79467
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,11.24,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,61.72,travel,Own Car MP,100037
4074,"Garnier, Mark",Conservative,10_11,2010-12-20,55.6,travel,Own Car MP,61166
4074,"Garnier, Mark",Conservative,10_11,2011-01-30,111.2,travel,Own Car MP,70376
4074,"Garnier, Mark",Conservative,10_11,2010-05-17,55.6,travel,Own Car MP,4588
4074,"Garnier, Mark",Conservative,10_11,2010-10-14,55.6,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-09-08,110,accommodation,Accommodation Rent,34721
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,12.24,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-09-29,1450,accommodation,Accommodation Rent,34721
4074,"Garnier, Mark",Conservative,10_11,2010-10-19,384.17,constituency rental,Const Office Tel. Usage/Rental,51744
4074,"Garnier, Mark",Conservative,10_11,2011-01-24,111.2,travel,Own Car MP,70376
4074,"Garnier, Mark",Conservative,10_11,2010-11-06,195.05,general admin,Payment Telephone/Mobile,51687
4074,"Garnier, Mark",Conservative,10_11,2011-03-03,41.6,general admin,Stationery Purchase,90533
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,2.36,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2011-01-13,237.37,general admin,Stationery Purchase,61152
4074,"Garnier, Mark",Conservative,10_11,2010-10-01,10.8,travel,Own Car MP,39681
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,55.98,travel,Own Car MP,100037
4074,"Garnier, Mark",Conservative,10_11,2010-09-13,111.2,travel,Own Car MP,39557
4074,"Garnier, Mark",Conservative,10_11,2010-09-03,28.53,accommodation,Electricity,41661
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,9.92,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-09-29,110,accommodation,Accommodation Rent,34721
4074,"Garnier, Mark",Conservative,10_11,2010-10-09,418.99,general admin,Television Purchase,51699
4074,"Garnier, Mark",Conservative,10_11,2011-03-04,56.4,general admin,Telephone/Mobile Hire,73937
4074,"Garnier, Mark",Conservative,10_11,2010-07-19,111.2,travel,Own Car MP,15948
4074,"Garnier, Mark",Conservative,10_11,2011-03-31,600,general admin,Advertising,90525
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,484.57,constituency rental,Business Rates,79270
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,1.16,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-07-13,881.75,general admin,Professional Services,19899
4074,"Garnier, Mark",Conservative,10_11,2011-03-11,23.27,constituency rental,Const Office Water,81941
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,3.76,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,100,general admin,Other,79285
4074,"Garnier, Mark",Conservative,10_11,2010-12-08,1450,accommodation,Accommodation Rent,58303
4074,"Garnier, Mark",Conservative,10_11,2010-09-08,1450,accommodation,Accommodation Rent,34721
4074,"Garnier, Mark",Conservative,10_11,2010-11-22,55.6,travel,Own Car MP,61166
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,31.65,travel,Own Car MP,100037
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,36.28,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,12.8,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-12-21,55.23,general admin,Telephone/Mobile Hire,72821
4074,"Garnier, Mark",Conservative,10_11,2011-03-28,36.5,travel,Own Car MP,96039
4074,"Garnier, Mark",Conservative,10_11,2010-10-21,55.6,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-11-15,74.27,constituency rental,Const Office Electricity,51689
4074,"Garnier, Mark",Conservative,10_11,2011-03-27,45,travel,Congestion Zone/Toll MP,90537
4074,"Garnier, Mark",Conservative,10_11,2010-06-03,258.5,accommodation,Interim Hotel London Area,3564
4074,"Garnier, Mark",Conservative,10_11,2010-05-12,92.04,general admin,Payment Telephone/Mobile,19902
4074,"Garnier, Mark",Conservative,10_11,2010-05-09,55.6,travel,Own Car MP,4539
4074,"Garnier, Mark",Conservative,10_11,2011-03-29,28.8,travel,Own Car MP,100037
4074,"Garnier, Mark",Conservative,10_11,2010-08-21,4.24,travel,Own Car MP,49132
4074,"Garnier, Mark",Conservative,10_11,2010-05-27,387.75,accommodation,Interim Hotel London Area,2193
4074,"Garnier, Mark",Conservative,10_11,2011-03-10,102.92,accommodation,Electricity,81941
