id,list_name,party,session,date,value,category,description,claim_number
227,"George, Andrew",Liberal Democrat,11_12,2011-07-29,1.05,staffing,Food & Drink Intern/Volunteer,115306
227,"George, Andrew",Liberal Democrat,12_13,2012-06-19,3.55,staffing,Food & Drink Int/Volntr,0000196195
227,"George, Andrew",Liberal Democrat,12_13,2013-02-01,12.6,travel,Own Vehicle Car,0000257624
227,"George, Andrew",Liberal Democrat,12_13,2012-04-12,81,travel,Public Tr RAIL - SGL,0000172189
227,"George, Andrew",Liberal Democrat,12_13,2012-07-13,12.43,office costs,Professional Services,0000196239
227,"George, Andrew",Liberal Democrat,12_13,2012-11-12,1.35,staffing,Public Tr Bus Int/Volntr,0000231478
227,"George, Andrew",Liberal Democrat,12_13,2012-07-13,1.35,staffing,Food & Drink Int/Volntr,0000196187
227,"George, Andrew",Liberal Democrat,12_13,2012-07-09,9.45,travel,Own Vehicle Car MP Staff,0000196276
227,"George, Andrew",Liberal Democrat,12_13,2012-07-31,3.15,staffing,Food & Drink Int/Volntr,0000211956
227,"George, Andrew",Liberal Democrat,12_13,2012-09-03,4.4,staffing,Food & Drink Int/Volntr,0000211956
227,"George, Andrew",Liberal Democrat,12_13,2012-11-26,1.35,staffing,Public Tr Bus Int/Volntr,0000231478
227,"George, Andrew",Liberal Democrat,12_13,2012-07-20,3.5,travel,Taxi,0000196266
227,"George, Andrew",Liberal Democrat,10_11,2010-08-05,2.6,staffing,Food & Drink Intern/Volunteer,34136
227,"George, Andrew",Liberal Democrat,10_11,2011-03-31,8,travel,Own Car MP,83028
227,"George, Andrew",Liberal Democrat,10_11,2010-07-04,69.35,general admin,Other,13978
227,"George, Andrew",Liberal Democrat,10_11,2011-03-07,25.6,travel,Own Car MP,83107
227,"George, Andrew",Liberal Democrat,10_11,2010-09-30,11.2,travel,Own Car MP,35446
227,"George, Andrew",Liberal Democrat,10_11,2010-12-23,64,general admin,Professional Services,62589
227,"George, Andrew",Liberal Democrat,10_11,2010-09-30,4.45,staffing,Food & Drink Intern/Volunteer,45889
227,"George, Andrew",Liberal Democrat,10_11,2010-07-19,0.5,staffing,Food & Drink Intern/Volunteer,36829
227,"George, Andrew",Liberal Democrat,10_11,2010-12-17,2.95,staffing,Food & Drink Intern/Volunteer,63074
227,"George, Andrew",Liberal Democrat,10_11,2010-11-25,11.16,general admin,Professional Services,62589
227,"George, Andrew",Liberal Democrat,10_11,2011-03-09,4.4,staffing,Food & Drink Intern/Volunteer,79627
227,"George, Andrew",Liberal Democrat,10_11,2010-11-16,1,staffing,Food & Drink Intern/Volunteer,62488
227,"George, Andrew",Liberal Democrat,10_11,2010-08-06,1.45,staffing,Food & Drink Intern/Volunteer,36829
227,"George, Andrew",Liberal Democrat,10_11,2010-05-20,53.17,general admin,Install/Maint Office Equip.,13978
227,"George, Andrew",Liberal Democrat,10_11,2010-11-22,1.4,general admin,Postage Purchase,70740
227,"George, Andrew",Liberal Democrat,10_11,2010-10-12,1.5,staffing,Food & Drink Intern/Volunteer,45905
227,"George, Andrew",Liberal Democrat,10_11,2011-03-24,27.6,staffing,Public Tr UND Int/Volntr,79627
227,"George, Andrew",Liberal Democrat,10_11,2010-11-19,0.4,staffing,Food & Drink Intern/Volunteer,62488
227,"George, Andrew",Liberal Democrat,10_11,2011-03-28,550,constituency rental,Const Office Rent,Payment to Supplier
227,"George, Andrew",Liberal Democrat,10_11,2010-05-15,6.62,accommodation,Gas,20963
227,"George, Andrew",Liberal Democrat,10_11,2011-03-08,4.85,staffing,Food & Drink Intern/Volunteer,79627
227,"George, Andrew",Liberal Democrat,10_11,2010-08-04,1.1,staffing,Food & Drink Intern/Volunteer,36829
227,"George, Andrew",Liberal Democrat,10_11,2010-09-29,4.1,staffing,Food & Drink Intern/Volunteer,45889
227,"George, Andrew",Liberal Democrat,10_11,2010-07-27,3.55,staffing,Food & Drink Intern/Volunteer,33755
227,"George, Andrew",Liberal Democrat,10_11,2011-02-09,1.65,staffing,Food & Drink Intern/Volunteer,67317
227,"George, Andrew",Liberal Democrat,10_11,2010-11-25,3.5,staffing,Food & Drink Intern/Volunteer,62488
227,"George, Andrew",Liberal Democrat,10_11,2011-01-10,65.5,travel,Public Tr RAIL MP Staff - SGL,66657
