id,list_name,party,session,date,value,category,description,claim_number
3965,"Gilmore, Sheila",Labour,12_13,2012-09-06,248.34,office costs,Const Office Buildings Insur.,0000203983
3965,"Gilmore, Sheila",Labour,12_13,2012-06-12,4.45,staffing,Food & Drink Int/Volntr,0000182008
3965,"Gilmore, Sheila",Labour,12_13,2012-07-13,104.5,office costs,Advertising,0000191453
3965,"Gilmore, Sheila",Labour,10_11,2011-03-28,4.7,staffing,Public Tr UND Int/Volntr,78904
3965,"Gilmore, Sheila",Labour,10_11,2010-10-07,450,constituency rental,Const Office Rent,38430
3965,"Gilmore, Sheila",Labour,10_11,2011-01-12,189,general admin,Advertising,60453
3965,"Gilmore, Sheila",Labour,10_11,2011-01-13,9.07,accommodation,Electricity,68900
3965,"Gilmore, Sheila",Labour,10_11,2010-11-13,71.5,travel,Public Tr RAIL - RTN,54582
3965,"Gilmore, Sheila",Labour,10_11,2011-03-28,4.63,staffing,Public Tr UND Int/Volntr,78904
3965,"Gilmore, Sheila",Labour,10_11,2010-09-08,189,general admin,Advertising,32132
3965,"Gilmore, Sheila",Labour,10_11,2010-10-18,84.79,general admin,Landline Hire,41704
3965,"Gilmore, Sheila",Labour,10_11,2010-12-01,35.65,travel,Public Tr RAIL - SGL,62040
3965,"Gilmore, Sheila",Labour,10_11,2010-09-27,34.99,general admin,Computer HW Purchase,38148
3965,"Gilmore, Sheila",Labour,10_11,2010-11-30,7,accommodation,Telephone Usage/Rental,53489
3965,"Gilmore, Sheila",Labour,10_11,2010-07-01,7,accommodation,Telephone Usage/Rental,30819
3965,"Gilmore, Sheila",Labour,10_11,2010-09-01,1.9,travel,Own Bicycle MP Staff,33328
3965,"Gilmore, Sheila",Labour,10_11,2011-01-31,4.7,staffing,Public Tr UND Int/Volntr,78904
3965,"Gilmore, Sheila",Labour,10_11,2010-12-01,105.75,general admin,Advertising,55346
3965,"Gilmore, Sheila",Labour,10_11,2010-07-05,50,general admin,Advertising,18814
3965,"Gilmore, Sheila",Labour,10_11,2011-03-28,2.75,staffing,Food & Drink Intern/Volunteer,78904
3965,"Gilmore, Sheila",Labour,10_11,2011-03-28,4.7,staffing,Food & Drink Intern/Volunteer,78904
3965,"Gilmore, Sheila",Labour,10_11,2011-01-24,224.06,general admin,Telephone/Mobile Hire,63908
3965,"Gilmore, Sheila",Labour,10_11,2010-10-06,9.22,general admin,Stationery Purchase,40932
3965,"Gilmore, Sheila",Labour,10_11,2010-09-22,22.52,general admin,Office Furniture Purchase,33341
3965,"Gilmore, Sheila",Labour,10_11,2010-12-24,458,constituency rental,Const Office Rent,Payment to Supplier
3965,"Gilmore, Sheila",Labour,10_11,2010-09-03,68.75,general admin,Other,27953
3965,"Gilmore, Sheila",Labour,10_11,2010-10-10,155.76,constituency rental,Const Office Tel. Usage/Rental,41710
3965,"Gilmore, Sheila",Labour,10_11,2010-06-22,79.2,travel,Public Tr RAIL - SGL,11192
3965,"Gilmore, Sheila",Labour,10_11,2011-02-28,1430,accommodation,Accommodation Rent,74761
3965,"Gilmore, Sheila",Labour,10_11,2010-12-31,1430,accommodation,Accommodation Rent,59191
3965,"Gilmore, Sheila",Labour,10_11,2010-09-27,2.55,general admin,Stationery Purchase,38045
3965,"Gilmore, Sheila",Labour,10_11,2010-10-20,22.4,travel,Own Car MP Staff,46810
3965,"Gilmore, Sheila",Labour,10_11,2010-11-03,101.3,travel,Public Tr RAIL MP Staff - RTN,54582
3965,"Gilmore, Sheila",Labour,10_11,2010-09-15,4.2,travel,Own Motorcycle/Scooter MP Staff,33328
3965,"Gilmore, Sheila",Labour,10_11,2010-10-06,379.53,general admin,Other,38166
3965,"Gilmore, Sheila",Labour,10_11,2011-01-24,60,general admin,Stationery Purchase,63960
3965,"Gilmore, Sheila",Labour,10_11,2010-07-05,0,general admin,Advertising,32216
3965,"Gilmore, Sheila",Labour,10_11,2010-09-01,7,accommodation,Telephone Usage/Rental,45670
3965,"Gilmore, Sheila",Labour,10_11,2011-03-02,109.55,travel,Public Tr RAIL - SGL,81993
3965,"Gilmore, Sheila",Labour,10_11,2011-03-17,219.01,constituency rental,Const Office Tel. Usage/Rental,77083
3965,"Gilmore, Sheila",Labour,10_11,2010-09-23,7.36,general admin,Install/Maint Office Equip.,38119
3965,"Gilmore, Sheila",Labour,10_11,2010-11-03,88.4,travel,Public Tr RAIL - RTN,54582
3965,"Gilmore, Sheila",Labour,10_11,2010-05-12,41.22,constituency rental,Const Office Tel. Usage/Rental,32174
3965,"Gilmore, Sheila",Labour,10_11,2010-06-08,235,general admin,Professional Services,32117
3965,"Gilmore, Sheila",Labour,10_11,2010-07-11,109.8,travel,Public Tr RAIL - SGL,21277
3965,"Gilmore, Sheila",Labour,10_11,2011-03-28,4.45,staffing,Food & Drink Intern/Volunteer,78904
3965,"Gilmore, Sheila",Labour,10_11,2010-10-20,7,travel,Public Tr RAIL MP Staff - SGL,46814
3965,"Gilmore, Sheila",Labour,10_11,2011-03-16,133.8,travel,Public Tr RAIL - RTN,81993
