id,list_name,party,session,date,value,category,description,claim_number
261,"Gray, James",Conservative,11_12,2012-02-03,400,office costs,Const Office Rent,0000149945
261,"Gray, James",Conservative,12_13,2012-05-03,37.8,travel,Own Car MP,0000175738
261,"Gray, James",Conservative,12_13,2013-01-15,0.34,office costs,Stationery Purchase,Payment to Supplier
261,"Gray, James",Conservative,12_13,2012-10-20,26.1,travel,Own Vehicle Car,0000214253
261,"Gray, James",Conservative,12_13,2012-09-01,28.8,travel,Own Vehicle Car,0000203516
261,"Gray, James",Conservative,10_11,2011-02-26,8.35,general admin,Stationery Purchase,73805
261,"Gray, James",Conservative,10_11,2010-06-05,2.6,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-03-04,38.4,travel,Own Car MP,75757
261,"Gray, James",Conservative,10_11,2010-09-20,1.55,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-06-20,15,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-15,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2010-05-28,4.8,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-01-12,0.4,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-10-29,18.4,travel,Own Car MP,45866
261,"Gray, James",Conservative,10_11,2010-07-03,4.4,travel,Own Car MP,10255
261,"Gray, James",Conservative,10_11,2011-02-25,26.8,travel,Own Car MP,73795
261,"Gray, James",Conservative,10_11,2011-02-07,135,travel,Public Tr RAIL - RTN,74108
261,"Gray, James",Conservative,10_11,2010-07-17,8.4,travel,Own Car MP,15159
261,"Gray, James",Conservative,10_11,2010-08-05,27,constituency rental,Const Office Hire of Premises,38408
261,"Gray, James",Conservative,10_11,2010-07-13,697,accommodation,Accommodation Rent,13091
261,"Gray, James",Conservative,10_11,2010-11-15,133,travel,Public Tr RAIL MP Staff - RTN,54705
261,"Gray, James",Conservative,10_11,2010-12-08,2.35,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2010-10-14,26,travel,Own Car MP,41537
261,"Gray, James",Conservative,10_11,2010-07-06,12,constituency rental,Const Office Hire of Premises,11662
261,"Gray, James",Conservative,10_11,2010-06-07,15.78,accommodation,Home Contents Insurance,13112
261,"Gray, James",Conservative,10_11,2010-05-21,11.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-22,2.85,staffing,Food & Drink Intern/Volunteer,32919
261,"Gray, James",Conservative,10_11,2010-09-03,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2010-07-02,7.8,travel,Own Car MP,10255
261,"Gray, James",Conservative,10_11,2010-09-24,2.7,staffing,Food & Drink Intern/Volunteer,38644
261,"Gray, James",Conservative,10_11,2010-06-04,167.32,general admin,Computer HW Purchase,6386
261,"Gray, James",Conservative,10_11,2011-01-27,50.4,general admin,Stationery Purchase,70786
261,"Gray, James",Conservative,10_11,2010-07-09,8,travel,Own Car MP,13265
261,"Gray, James",Conservative,10_11,2010-12-15,5.25,accommodation,Water,56704
261,"Gray, James",Conservative,10_11,2010-06-07,83,accommodation,Gas,13112
261,"Gray, James",Conservative,10_11,2011-03-19,32.8,travel,Own Car MP,78515
261,"Gray, James",Conservative,10_11,2010-06-07,245,accommodation,Council Tax,13112
261,"Gray, James",Conservative,10_11,2010-11-29,124,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2010-11-15,2.5,staffing,Food & Drink Intern/Volunteer,52874
261,"Gray, James",Conservative,10_11,2010-09-22,8,constituency rental,Const Office Hire of Premises,39980
261,"Gray, James",Conservative,10_11,2010-11-20,34.4,travel,Own Car MP,51000
261,"Gray, James",Conservative,10_11,2010-05-21,11.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-01-14,3.1,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-12-07,63.45,general admin,Stationery Purchase,56684
261,"Gray, James",Conservative,10_11,2010-05-22,2.8,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-12-20,48,travel,Own Car MP,62432
261,"Gray, James",Conservative,10_11,2010-05-17,4.8,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-11-05,72.16,general admin,Advertising,55684
261,"Gray, James",Conservative,10_11,2010-09-08,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2011-01-19,2.95,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-07-15,2.8,travel,Own Car MP,15159
261,"Gray, James",Conservative,10_11,2010-07-07,118,travel,Public Tr RAIL - RTN,19500
261,"Gray, James",Conservative,10_11,2010-08-06,4.8,travel,Own Car MP,21899
261,"Gray, James",Conservative,10_11,2010-09-02,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2011-03-31,10.32,general admin,Other,81150
261,"Gray, James",Conservative,10_11,2010-11-15,83,accommodation,Gas,48429
261,"Gray, James",Conservative,10_11,2010-09-06,21.46,general admin,Stationery Purchase,28134
261,"Gray, James",Conservative,10_11,2010-10-01,15.64,accommodation,Home Contents Insurance,36286
261,"Gray, James",Conservative,10_11,2011-01-15,29.6,travel,Own Car MP,63206
261,"Gray, James",Conservative,10_11,2010-06-26,4.8,travel,Own Car MP,7969
261,"Gray, James",Conservative,10_11,2010-09-06,72.16,general admin,Advertising,28219
261,"Gray, James",Conservative,10_11,2010-09-14,420.58,general admin,Other,33031
261,"Gray, James",Conservative,10_11,2010-12-16,5,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-05-27,5.2,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-06,48,travel,Own Car MP,29930
261,"Gray, James",Conservative,10_11,2011-03-24,40,constituency rental,Const Office Hire of Premises,80805
261,"Gray, James",Conservative,10_11,2010-10-04,0.6,staffing,Food & Drink Intern/Volunteer,38644
261,"Gray, James",Conservative,10_11,2010-10-23,29.6,travel,Own Car MP,43097
261,"Gray, James",Conservative,10_11,2010-05-29,7.6,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-03-06,119.9,general admin,Other,75744
261,"Gray, James",Conservative,10_11,2010-09-06,132.69,general admin,Payment Telephone/Mobile,28137
261,"Gray, James",Conservative,10_11,2010-12-15,85.25,accommodation,Water,56704
261,"Gray, James",Conservative,10_11,2010-11-18,25.6,travel,Own Car MP,51000
261,"Gray, James",Conservative,10_11,2010-06-18,10.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-07-09,697,accommodation,Accommodation Rent,12343
261,"Gray, James",Conservative,10_11,2010-08-06,4.8,travel,Own Car MP,21899
261,"Gray, James",Conservative,10_11,2010-05-18,124,travel,Public Tr RAIL - RTN,5813
261,"Gray, James",Conservative,10_11,2011-01-17,135,travel,Public Tr RAIL - RTN,66800
261,"Gray, James",Conservative,10_11,2010-09-03,18.4,travel,Own Car MP,28490
261,"Gray, James",Conservative,10_11,2010-12-03,4.85,staffing,Food & Drink Intern/Volunteer,52874
261,"Gray, James",Conservative,10_11,2010-11-29,124,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2010-11-22,15,travel,Food & Drink @ Parliament,51003
261,"Gray, James",Conservative,10_11,2010-07-08,9.4,travel,Own Car MP,13265
261,"Gray, James",Conservative,10_11,2010-08-21,22.68,constituency rental,Const Office Hire of Premises,32850
261,"Gray, James",Conservative,10_11,2010-06-06,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-11,4.4,travel,Own Car MP,29930
261,"Gray, James",Conservative,10_11,2010-05-19,22.58,constituency rental,Const Office Hire of Premises,6386
261,"Gray, James",Conservative,10_11,2010-07-02,8.4,travel,Own Car MP,10255
261,"Gray, James",Conservative,10_11,2010-09-10,11.6,travel,Own Car MP,29930
261,"Gray, James",Conservative,10_11,2010-06-25,7.6,travel,Own Car MP,7969
261,"Gray, James",Conservative,10_11,2010-07-15,69.33,general admin,Stationery Purchase,15968
261,"Gray, James",Conservative,10_11,2010-09-09,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2010-10-12,5,staffing,Food & Drink Intern/Volunteer,40326
261,"Gray, James",Conservative,10_11,2011-01-20,4.8,travel,Own Car MP,65817
261,"Gray, James",Conservative,10_11,2010-09-17,27,constituency rental,Const Office Hire of Premises,38408
261,"Gray, James",Conservative,10_11,2010-12-15,697,accommodation,Accommodation Rent,56704
261,"Gray, James",Conservative,10_11,2010-09-13,5,staffing,Food & Drink Intern/Volunteer,32919
261,"Gray, James",Conservative,10_11,2010-08-29,9.6,travel,Own Car MP,28470
261,"Gray, James",Conservative,10_11,2010-06-11,12.8,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-24,2.3,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-08-02,124,travel,Public Tr RAIL - RTN,27308
261,"Gray, James",Conservative,10_11,2010-10-08,2.35,staffing,Food & Drink Intern/Volunteer,38644
261,"Gray, James",Conservative,10_11,2010-12-15,2.65,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2011-03-07,135,travel,Public Tr RAIL - RTN,82116
261,"Gray, James",Conservative,10_11,2011-03-10,33.6,travel,Own Car MP,78472
261,"Gray, James",Conservative,10_11,2010-07-22,4.8,travel,Own Car MP,17820
261,"Gray, James",Conservative,10_11,2010-07-12,139.52,general admin,Payment Telephone/Mobile,15169
261,"Gray, James",Conservative,10_11,2010-06-10,11.2,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-06,4.1,staffing,Food & Drink Intern/Volunteer,32919
261,"Gray, James",Conservative,10_11,2010-06-26,7.6,travel,Own Car MP,7969
261,"Gray, James",Conservative,10_11,2011-01-07,1.3,staffing,Public Tr Bus Int/Volntr,63850
261,"Gray, James",Conservative,10_11,2011-01-08,20.8,travel,Own Car MP,62432
261,"Gray, James",Conservative,10_11,2011-01-18,54,travel,Public Tr RAIL MP Staff - RTN,67430
261,"Gray, James",Conservative,10_11,2010-05-21,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-11-29,-124,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2011-02-11,35.2,travel,Own Car MP,70529
261,"Gray, James",Conservative,10_11,2010-07-31,4,travel,Own Car MP,20400
261,"Gray, James",Conservative,10_11,2010-08-02,4.8,travel,Own Car MP,20400
261,"Gray, James",Conservative,10_11,2010-11-15,697,accommodation,Accommodation Rent,48429
261,"Gray, James",Conservative,10_11,2010-11-29,0.55,staffing,Food & Drink Intern/Volunteer,52874
261,"Gray, James",Conservative,10_11,2010-12-04,4.1,general admin,Other,55642
261,"Gray, James",Conservative,10_11,2010-12-07,3.5,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2010-07-17,9,travel,Own Car MP,15159
261,"Gray, James",Conservative,10_11,2010-09-16,72.16,general admin,Advertising,35291
261,"Gray, James",Conservative,10_11,2010-09-10,105.28,general admin,Payment Telephone/Mobile,35296
261,"Gray, James",Conservative,10_11,2011-01-18,3.89,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-07-03,7.4,travel,Own Car MP,10255
261,"Gray, James",Conservative,10_11,2010-06-17,11.2,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-10-01,400,constituency rental,Const Office Rent,36300
261,"Gray, James",Conservative,10_11,2010-12-13,2.5,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2011-01-17,5,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-09-25,59.2,travel,Own Car MP,35322
261,"Gray, James",Conservative,10_11,2010-05-07,90.5,accommodation,Water,13112
261,"Gray, James",Conservative,10_11,2010-12-21,48,travel,Own Car MP,62432
261,"Gray, James",Conservative,10_11,2010-10-07,3.8,staffing,Food & Drink Intern/Volunteer,38644
261,"Gray, James",Conservative,10_11,2010-11-12,41.2,travel,Own Car MP,49450
261,"Gray, James",Conservative,10_11,2010-06-19,11.2,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-07-07,83,accommodation,Gas,13112
261,"Gray, James",Conservative,10_11,2010-10-14,216.44,general admin,Advertising,41576
261,"Gray, James",Conservative,10_11,2010-10-01,2.7,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-09-16,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2010-07-15,118,travel,Public Tr RAIL - RTN,19500
261,"Gray, James",Conservative,10_11,2010-12-17,72.16,general admin,Advertising,62433
261,"Gray, James",Conservative,10_11,2010-10-07,72.16,general admin,Advertising,39991
261,"Gray, James",Conservative,10_11,2011-01-31,135,travel,Public Tr RAIL - RTN,74108
261,"Gray, James",Conservative,10_11,2010-07-04,47.25,constituency rental,Const Office Tel. Usage/Rental,13262
261,"Gray, James",Conservative,10_11,2011-03-25,58.4,travel,Own Car MP,78869
261,"Gray, James",Conservative,10_11,2010-07-22,4.8,travel,Own Car MP,17820
261,"Gray, James",Conservative,10_11,2010-11-11,1.44,staffing,Food & Drink Intern/Volunteer,47435
261,"Gray, James",Conservative,10_11,2010-09-23,72.16,general admin,Advertising,38418
261,"Gray, James",Conservative,10_11,2011-03-31,181.2,general admin,Stationery Purchase,80803
261,"Gray, James",Conservative,10_11,2011-01-25,15,travel,Food & Drink @ Parliament,65819
261,"Gray, James",Conservative,10_11,2010-05-26,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-12-03,124,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2010-09-23,63.45,general admin,Stationery Purchase,36193
261,"Gray, James",Conservative,10_11,2010-12-09,5,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2010-06-09,69.5,travel,Public Tr RAIL - SGL,5813
261,"Gray, James",Conservative,10_11,2010-09-30,1.8,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-07-17,4.8,travel,Own Car MP,15159
261,"Gray, James",Conservative,10_11,2010-05-27,71.68,general admin,Stationery Purchase,6386
261,"Gray, James",Conservative,10_11,2010-07-02,12.6,travel,Own Car MP,10255
261,"Gray, James",Conservative,10_11,2010-10-25,124,travel,Public Tr RAIL - RTN,54705
261,"Gray, James",Conservative,10_11,2010-06-26,7.6,travel,Own Car MP,7969
261,"Gray, James",Conservative,10_11,2011-01-13,1.3,staffing,Public Tr Bus Int/Volntr,63850
261,"Gray, James",Conservative,10_11,2010-08-27,24.8,travel,Own Car MP,28470
261,"Gray, James",Conservative,10_11,2010-10-05,9.6,travel,Own Car MP,39933
261,"Gray, James",Conservative,10_11,2011-03-18,38,travel,Own Car MP,78515
261,"Gray, James",Conservative,10_11,2010-11-09,34,travel,Own Car MP,49450
261,"Gray, James",Conservative,10_11,2010-11-24,8,constituency rental,Const Office Hire of Premises,55662
261,"Gray, James",Conservative,10_11,2010-06-13,8.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-03-31,12,travel,Own Car MP,81200
261,"Gray, James",Conservative,10_11,2011-01-17,1.3,staffing,Public Tr Bus Int/Volntr,63850
261,"Gray, James",Conservative,10_11,2010-07-09,1.6,travel,Own Car MP,13265
261,"Gray, James",Conservative,10_11,2011-01-18,106,staffing,Public Tr UND Int/Volntr,63850
261,"Gray, James",Conservative,10_11,2010-10-15,2.65,staffing,Food & Drink Intern/Volunteer,40326
261,"Gray, James",Conservative,10_11,2011-01-24,135,travel,Public Tr RAIL - RTN,66800
261,"Gray, James",Conservative,10_11,2010-08-05,40,general admin,Install/Maint Office Equip.,21910
261,"Gray, James",Conservative,10_11,2010-10-21,63.45,general admin,Stationery Purchase,41755
261,"Gray, James",Conservative,10_11,2010-06-28,48,travel,Own Car MP,7969
261,"Gray, James",Conservative,10_11,2010-10-28,400,constituency rental,Const Office Rent,43572
261,"Gray, James",Conservative,10_11,2010-08-06,42.5,travel,Public Tr OTHER,21917
261,"Gray, James",Conservative,10_11,2010-10-21,48,travel,Own Car MP,41537
261,"Gray, James",Conservative,10_11,2011-01-19,15,travel,Food & Drink @ Parliament,65819
261,"Gray, James",Conservative,10_11,2010-09-28,3.9,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-09-28,0.6,staffing,Food & Drink Intern/Volunteer,36173
261,"Gray, James",Conservative,10_11,2010-05-21,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-11-30,99.1,staffing,Public Tr UND Int/Volntr,52869
261,"Gray, James",Conservative,10_11,2010-10-05,4.5,staffing,Food & Drink Intern/Volunteer,38644
261,"Gray, James",Conservative,10_11,2010-05-27,72.16,general admin,Professional Services,6386
261,"Gray, James",Conservative,10_11,2010-10-27,1.75,staffing,Food & Drink Intern/Volunteer,43124
261,"Gray, James",Conservative,10_11,2010-10-11,27,constituency rental,Const Office Hire of Premises,39980
261,"Gray, James",Conservative,10_11,2010-09-06,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2010-10-28,35.25,general admin,Other,45813
261,"Gray, James",Conservative,10_11,2010-06-06,8.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2011-01-17,1.3,staffing,Public Tr Bus Int/Volntr,63850
261,"Gray, James",Conservative,10_11,2010-05-14,3.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-11-02,3.5,staffing,Food & Drink Intern/Volunteer,46113
261,"Gray, James",Conservative,10_11,2011-01-24,135,travel,Public Tr RAIL MP Staff - RTN,66800
261,"Gray, James",Conservative,10_11,2010-10-01,25.6,travel,Own Car MP,38385
261,"Gray, James",Conservative,10_11,2010-05-26,12,constituency rental,Const Office Hire of Premises,6386
261,"Gray, James",Conservative,10_11,2011-01-21,2.5,staffing,Food & Drink Intern/Volunteer,63850
261,"Gray, James",Conservative,10_11,2010-10-28,83,accommodation,Gas,43581
261,"Gray, James",Conservative,10_11,2011-01-02,19.2,travel,Own Car MP,62432
261,"Gray, James",Conservative,10_11,2010-07-22,4.8,travel,Own Car MP,17820
261,"Gray, James",Conservative,10_11,2010-11-29,4.45,staffing,Food & Drink Intern/Volunteer,52874
261,"Gray, James",Conservative,10_11,2011-02-01,15,travel,Food & Drink @ Parliament,67364
261,"Gray, James",Conservative,10_11,2011-03-13,11.2,travel,Own Car MP,78472
261,"Gray, James",Conservative,10_11,2010-10-03,17.6,travel,Own Car MP,39933
261,"Gray, James",Conservative,10_11,2010-10-04,80,constituency rental,Const Office Hire of Premises,39980
261,"Gray, James",Conservative,10_11,2010-09-14,1.2,travel,Public Tr BUS Int/Volntr,35085
261,"Gray, James",Conservative,10_11,2011-01-14,58.4,travel,Own Car MP,63206
261,"Gray, James",Conservative,10_11,2010-12-14,1.68,staffing,Food & Drink Intern/Volunteer,56886
261,"Gray, James",Conservative,10_11,2010-10-09,48.4,travel,Own Car MP,39939
261,"Gray, James",Conservative,10_11,2011-01-07,46.03,constituency rental,Const Office Tel. Usage/Rental,63210
261,"Gray, James",Conservative,10_11,2010-10-14,154.45,general admin,Other,41506
261,"Gray, James",Conservative,10_11,2010-12-06,142,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2010-05-17,11.2,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-12-07,54,travel,Public Tr RAIL MP Staff - RTN,67430
261,"Gray, James",Conservative,10_11,2010-06-02,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-06-04,2.4,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-09-23,3.5,staffing,Food & Drink Intern/Volunteer,32919
261,"Gray, James",Conservative,10_11,2010-06-06,7.6,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-12-21,56.7,travel,Public Tr RAIL - SGL,62165
261,"Gray, James",Conservative,10_11,2010-10-18,5,staffing,Food & Drink Intern/Volunteer,41607
261,"Gray, James",Conservative,10_11,2010-11-30,4.05,staffing,Food & Drink Intern/Volunteer,52874
261,"Gray, James",Conservative,10_11,2010-10-22,26.8,travel,Own Car MP,43097
261,"Gray, James",Conservative,10_11,2011-02-03,34.11,constituency rental,Const Office Tel. Usage/Rental,70783
261,"Gray, James",Conservative,10_11,2010-11-15,245,accommodation,Council Tax,48429
261,"Gray, James",Conservative,10_11,2010-12-06,-142,travel,Public Tr RAIL - RTN,62165
261,"Gray, James",Conservative,10_11,2011-01-07,75.9,general admin,Advertising,63223
261,"Gray, James",Conservative,10_11,2010-06-09,48,travel,Own Car MP,5802
261,"Gray, James",Conservative,10_11,2010-06-02,123.6,travel,Public Tr RAIL - RTN,5813
261,"Gray, James",Conservative,10_11,2010-05-07,5.6,travel,Own Car MP,5802
