id,list_name,party,session,date,value,category,description,claim_number
4047,"Greatrex, Tom",Labour,11_12,2012-01-09,-52.02,office costs,Stationery Purchase,0000150251
4047,"Greatrex, Tom",Labour,12_13,2013-03-22,37.1,office costs,Stationery Purchase,Payment to Supplier
4047,"Greatrex, Tom",Labour,12_13,2012-11-13,3.1,travel,Public Tr RAIL - SGL,0000227504
4047,"Greatrex, Tom",Labour,12_13,2013-01-31,1.25,travel,Public Tr AIR,0000248261
4047,"Greatrex, Tom",Labour,12_13,2012-04-07,1.35,travel,Own Vehicle Car,0000186671
4047,"Greatrex, Tom",Labour,12_13,2012-06-21,2.07,travel,Own Vehicle Car,0000186671
4047,"Greatrex, Tom",Labour,12_13,2013-01-10,4.23,travel,Own Vehicle Car,0000271441
4047,"Greatrex, Tom",Labour,10_11,2010-12-20,85.95,constituency rental,Const Office Electricity,62206
4047,"Greatrex, Tom",Labour,10_11,2010-05-25,11.5,travel,Public Tr RAIL - SGL,22639
4047,"Greatrex, Tom",Labour,10_11,2011-01-28,4.5,travel,Public Tr BUS,84203
4047,"Greatrex, Tom",Labour,10_11,2010-12-14,15,travel,Food & Drink @ Parliament,57947
4047,"Greatrex, Tom",Labour,10_11,2010-09-13,3.44,travel,Own Car MP,51170
4047,"Greatrex, Tom",Labour,10_11,2011-01-20,2.64,travel,Own Car MP,78062
4047,"Greatrex, Tom",Labour,10_11,2010-08-18,12.64,travel,Own Car MP,43612
4047,"Greatrex, Tom",Labour,10_11,2010-09-10,2,travel,Public Tr AIR,37783
4047,"Greatrex, Tom",Labour,10_11,2010-08-31,38.89,constituency rental,Const Office Electricity,25877
4047,"Greatrex, Tom",Labour,10_11,2011-01-24,5.5,travel,Food & Drink @ Parliament,84203
4047,"Greatrex, Tom",Labour,10_11,2010-07-19,2.55,travel,Public Tr RAIL - SGL,19541
4047,"Greatrex, Tom",Labour,10_11,2010-06-03,5.72,travel,Own Car MP,22596
4047,"Greatrex, Tom",Labour,10_11,2010-08-02,335,general admin,Computer SW Purchase,22545
4047,"Greatrex, Tom",Labour,10_11,2010-09-12,2.32,travel,Own Car MP,51170
4047,"Greatrex, Tom",Labour,10_11,2011-02-07,18.5,travel,Parking MP,74150
4047,"Greatrex, Tom",Labour,10_11,2010-06-17,2.55,travel,Public Tr RAIL - SGL,11309
4047,"Greatrex, Tom",Labour,10_11,2010-07-06,4.5,travel,Public Tr BUS,22639
4047,"Greatrex, Tom",Labour,10_11,2010-10-21,165,general admin,Advertising,57883
4047,"Greatrex, Tom",Labour,10_11,2010-08-14,3.04,travel,Own Car MP,43612
4047,"Greatrex, Tom",Labour,10_11,2010-07-08,2.55,travel,Public Tr RAIL - SGL,19541
4047,"Greatrex, Tom",Labour,10_11,2010-10-24,35,travel,Parking MP,44528
4047,"Greatrex, Tom",Labour,10_11,2010-10-28,2,travel,Public Tr RAIL - SGL,54747
4047,"Greatrex, Tom",Labour,10_11,2011-03-17,90.5,travel,Public Tr RAIL - SGL,82162
4047,"Greatrex, Tom",Labour,10_11,2010-10-20,117.44,general admin,Install/Maint Office Equip.,57883
4047,"Greatrex, Tom",Labour,10_11,2010-09-21,6.28,travel,Own Car MP,51170
4047,"Greatrex, Tom",Labour,10_11,2010-06-03,10.2,travel,Public Tr RAIL - RTN,22639
4047,"Greatrex, Tom",Labour,10_11,2010-07-29,4.5,travel,Public Tr BUS,22639
4047,"Greatrex, Tom",Labour,10_11,2010-09-20,2.96,travel,Own Car MP,51170
4047,"Greatrex, Tom",Labour,10_11,2010-12-24,-81.5,travel,Public Tr OTHER,66842
4047,"Greatrex, Tom",Labour,10_11,2010-08-31,15.4,general admin,Stationery Purchase,26117
4047,"Greatrex, Tom",Labour,10_11,2010-09-14,18,travel,Public Tr RAIL - SGL,37783
4047,"Greatrex, Tom",Labour,10_11,2010-07-22,4.5,travel,Public Tr BUS,22639
4047,"Greatrex, Tom",Labour,10_11,2011-02-25,8.8,travel,Own Car MP,78079
4047,"Greatrex, Tom",Labour,10_11,2011-03-04,2.7,travel,Public Tr RAIL - SGL,82162
4047,"Greatrex, Tom",Labour,10_11,2011-03-09,18,travel,Public Tr RAIL - SGL,82162
4047,"Greatrex, Tom",Labour,10_11,2011-03-09,2.7,travel,Public Tr RAIL - SGL,82162
4047,"Greatrex, Tom",Labour,10_11,2010-08-17,6.24,travel,Own Car MP,43612
4047,"Greatrex, Tom",Labour,10_11,2010-07-07,250,travel,Public Tr RAIL - RTN,19541
4047,"Greatrex, Tom",Labour,10_11,2010-09-04,1450,accommodation,Accommodation Rent,38723
4047,"Greatrex, Tom",Labour,10_11,2011-01-06,346.63,travel,Public Tr AIR,66842
4047,"Greatrex, Tom",Labour,10_11,2010-09-17,17,travel,Parking MP,37783
4047,"Greatrex, Tom",Labour,10_11,2010-11-22,2.55,travel,Public Tr RAIL - SGL,54747
4047,"Greatrex, Tom",Labour,10_11,2010-08-24,8.8,travel,Own Car MP,43612
4047,"Greatrex, Tom",Labour,10_11,2010-11-25,4.5,travel,Public Tr BUS,57947
4047,"Greatrex, Tom",Labour,10_11,2010-05-27,12,travel,Public Tr OTHER,22639
4047,"Greatrex, Tom",Labour,10_11,2010-11-27,2.08,travel,Own Car MP,58047
4047,"Greatrex, Tom",Labour,10_11,2010-12-03,86.5,travel,Public Tr RAIL - SGL,62206
4047,"Greatrex, Tom",Labour,10_11,2011-03-12,5.92,travel,Own Car MP,83203
4047,"Greatrex, Tom",Labour,10_11,2010-08-18,18,travel,Public Tr RAIL - SGL,27341
4047,"Greatrex, Tom",Labour,10_11,2011-02-22,18.01,accommodation,Gas,84201
