id,list_name,party,session,date,value,category,description,claim_number
4029,"Greenwood, Lilian",Labour,11_12,2011-06-14,16.65,staffing,Own Vehicle Car Intern/Vlntr,101658
4029,"Greenwood, Lilian",Labour,12_13,2013-02-08,8.21,office costs,Other,Payment to Supplier
4029,"Greenwood, Lilian",Labour,12_13,2012-12-06,1,travel,Public Tr OTHER,0000235190
4029,"Greenwood, Lilian",Labour,10_11,2010-05-11,53.5,travel,Public Tr RAIL - RTN,11520
4029,"Greenwood, Lilian",Labour,10_11,2010-05-12,18,travel,Parking MP,11520
4029,"Greenwood, Lilian",Labour,10_11,2010-09-01,205,accommodation,Service Charges,31265
4029,"Greenwood, Lilian",Labour,10_11,2011-01-17,121.5,travel,Public Tr RAIL MP Staff - RTN,66638
4029,"Greenwood, Lilian",Labour,10_11,2010-06-13,50.3,travel,Public Tr RAIL - RTN,11158
4029,"Greenwood, Lilian",Labour,10_11,2010-09-29,60.34,general admin,Other,36589
4029,"Greenwood, Lilian",Labour,10_11,2010-11-21,4.5,staffing,Food & Drink Intern/Volunteer,51335
4029,"Greenwood, Lilian",Labour,10_11,2010-08-27,22,travel,Public Tr RAIL MP Staff - SGL,37595
4029,"Greenwood, Lilian",Labour,10_11,2011-02-10,5,staffing,Food & Drink Intern/Volunteer,71876
4029,"Greenwood, Lilian",Labour,10_11,2010-12-08,107,travel,Parking MP,55016
4029,"Greenwood, Lilian",Labour,10_11,2010-05-27,137,travel,Public Tr RAIL - RTN,11158
4029,"Greenwood, Lilian",Labour,10_11,2011-01-10,5,staffing,Public Tr Bus Int/Volntr,61518
4029,"Greenwood, Lilian",Labour,10_11,2010-09-27,22.16,general admin,Payment Telephone/Mobile,36589
4029,"Greenwood, Lilian",Labour,10_11,2011-03-14,52.5,travel,Public Tr RAIL - RTN,81947
4029,"Greenwood, Lilian",Labour,10_11,2011-03-26,10.2,general admin,Other,79747
4029,"Greenwood, Lilian",Labour,10_11,2011-01-12,5,staffing,Food & Drink Intern/Volunteer,61518
4029,"Greenwood, Lilian",Labour,10_11,2011-02-24,21,travel,Public Tr RAIL - SGL,73932
4029,"Greenwood, Lilian",Labour,10_11,2010-10-27,18,travel,Public Tr RAIL - SGL,54535
4029,"Greenwood, Lilian",Labour,10_11,2010-12-20,5,staffing,Food & Drink Intern/Volunteer,61518
4029,"Greenwood, Lilian",Labour,10_11,2010-12-15,15,travel,Public Tr RAIL - SGL,61993
4029,"Greenwood, Lilian",Labour,10_11,2010-11-11,12.6,general admin,Hospitality,47610
4029,"Greenwood, Lilian",Labour,10_11,2010-09-01,931.66,accommodation,Accommodation Rent,31265
4029,"Greenwood, Lilian",Labour,10_11,2011-03-04,163.13,general admin,Stationery Purchase,75404
4029,"Greenwood, Lilian",Labour,10_11,2010-12-20,5,staffing,Public Tr Bus Int/Volntr,61518
4029,"Greenwood, Lilian",Labour,10_11,2011-02-01,931.66,accommodation,Accommodation Rent,67183
4029,"Greenwood, Lilian",Labour,10_11,2010-11-04,5,staffing,Food & Drink Intern/Volunteer,47238
4029,"Greenwood, Lilian",Labour,10_11,2010-07-12,49.3,travel,Public Tr RAIL - RTN,19348
4029,"Greenwood, Lilian",Labour,10_11,2010-12-06,23.5,general admin,Other,58030
4029,"Greenwood, Lilian",Labour,10_11,2010-11-26,66,travel,Public Tr RAIL - SGL,61993
4029,"Greenwood, Lilian",Labour,10_11,2011-01-01,791.66,constituency rental,Const Office Rent,60451
