id,list_name,party,session,date,value,category,description,claim_number
16,"Grieve, Dominic",Conservative,12_13,2013-02-28,3.7,office costs,Stationery Purchase,Payment to Supplier
16,"Grieve, Dominic",Conservative,12_13,2012-12-03,0.78,office costs,Stationery Purchase,Payment to Supplier
16,"Grieve, Dominic",Conservative,12_13,2012-12-03,0.29,office costs,Stationery Purchase,Payment to Supplier
16,"Grieve, Dominic",Conservative,10_11,2010-07-05,46.52,general admin,Payment Telephone/Mobile,13459
16,"Grieve, Dominic",Conservative,10_11,2011-01-11,71.5,staffing,Public Tr RAIL Other Int/Volnt,60284
16,"Grieve, Dominic",Conservative,10_11,2010-12-23,76.8,staffing,Public Tr RAIL Other Int/Volnt,58410
16,"Grieve, Dominic",Conservative,10_11,2010-08-10,38.6,staffing,Professional Services (Staff.),28208
16,"Grieve, Dominic",Conservative,10_11,2010-08-03,36.8,staffing,Professional Services (Staff.),28207
16,"Grieve, Dominic",Conservative,10_11,2010-10-25,36.8,staffing,Professional Services (Staff.),42205
16,"Grieve, Dominic",Conservative,10_11,2010-09-16,125.02,general admin,Contact Cards,34733
16,"Grieve, Dominic",Conservative,10_11,2010-09-13,36.8,staffing,Professional Services (Staff.),34702
16,"Grieve, Dominic",Conservative,10_11,2011-03-03,88,staffing,Professional Services (Staff.),73301
16,"Grieve, Dominic",Conservative,10_11,2010-08-29,29.84,general admin,Stationery Purchase,28415
16,"Grieve, Dominic",Conservative,10_11,2010-09-01,448.19,general admin,Computer SW Purchase,26404
16,"Grieve, Dominic",Conservative,10_11,2010-10-15,79.29,general admin,Payment Telephone/Mobile,40090
16,"Grieve, Dominic",Conservative,10_11,2011-03-01,46.67,general admin,Stationery Purchase,72816
16,"Grieve, Dominic",Conservative,10_11,2010-10-12,156.5,general admin,Payment Telephone/Mobile,39247
16,"Grieve, Dominic",Conservative,10_11,2011-02-11,241.75,general admin,Stationery Purchase,69251
16,"Grieve, Dominic",Conservative,10_11,2011-02-11,18.91,general admin,Stationery Purchase,69247
16,"Grieve, Dominic",Conservative,10_11,2010-08-17,36.8,staffing,Professional Services (Staff.),28171
16,"Grieve, Dominic",Conservative,10_11,2010-11-17,56.97,general admin,Stationery Purchase,48935
16,"Grieve, Dominic",Conservative,10_11,2011-03-23,94.85,general admin,Stationery Purchase,78185
16,"Grieve, Dominic",Conservative,10_11,2010-11-17,16.2,travel,Public Tr RAIL Other,54589
16,"Grieve, Dominic",Conservative,10_11,2010-08-16,72.54,general admin,Stationery Purchase,24209
16,"Grieve, Dominic",Conservative,10_11,2010-08-26,352.36,general admin,Stationery Purchase,25466
16,"Grieve, Dominic",Conservative,10_11,2010-09-01,118.44,general admin,Contact Cards,28214
16,"Grieve, Dominic",Conservative,10_11,2011-01-28,415.87,general admin,Stationery Purchase,65127
16,"Grieve, Dominic",Conservative,10_11,2010-09-20,36.8,staffing,Professional Services (Staff.),34702
16,"Grieve, Dominic",Conservative,10_11,2010-09-01,134.87,general admin,Contact Cards,28386
16,"Grieve, Dominic",Conservative,10_11,2011-01-11,150.73,general admin,Stationery Purchase,60297
16,"Grieve, Dominic",Conservative,10_11,2011-03-30,44,staffing,Pooled Staffing Services,79597
16,"Grieve, Dominic",Conservative,10_11,2011-01-13,73.2,general admin,Payment Telephone/Mobile,61205
16,"Grieve, Dominic",Conservative,10_11,2011-02-24,71.5,staffing,Public Tr RAIL Other Int/Volnt,71583
16,"Grieve, Dominic",Conservative,10_11,2010-11-15,82.57,general admin,Payment Telephone/Mobile,48252
16,"Grieve, Dominic",Conservative,10_11,2010-07-11,488.57,general admin,Stationery Purchase,14635
16,"Grieve, Dominic",Conservative,10_11,2011-03-08,136.08,general admin,Stationery Purchase,75068
16,"Grieve, Dominic",Conservative,10_11,2010-07-14,36.8,staffing,Professional Services (Staff.),28205
16,"Grieve, Dominic",Conservative,10_11,2010-09-01,163.51,general admin,Stationery Purchase,28417
16,"Grieve, Dominic",Conservative,10_11,2010-10-12,36.8,staffing,Pooled Staffing Services,39216
16,"Grieve, Dominic",Conservative,10_11,2010-06-04,157.08,general admin,Payment Telephone/Mobile,7663
16,"Grieve, Dominic",Conservative,10_11,2010-10-04,36.8,staffing,Professional Services (Staff.),38183
16,"Grieve, Dominic",Conservative,10_11,2010-10-21,6.5,travel,Public Tr RAIL MP Staff - RTN,41461
16,"Grieve, Dominic",Conservative,10_11,2010-08-10,77.2,general admin,Payment Telephone/Mobile,22853
16,"Grieve, Dominic",Conservative,10_11,2010-07-27,99.56,general admin,Payment Telephone/Mobile,19806
16,"Grieve, Dominic",Conservative,10_11,2010-09-27,36.8,staffing,Professional Services (Staff.),38169
16,"Grieve, Dominic",Conservative,10_11,2011-02-04,20,staffing,Public Tr RAIL Other Int/Volnt,67628
16,"Grieve, Dominic",Conservative,10_11,2011-03-07,1655,constituency rental,Const Office Rent,74729
16,"Grieve, Dominic",Conservative,10_11,2011-01-26,71.5,staffing,Public Tr RAIL Other Int/Volnt,64563
16,"Grieve, Dominic",Conservative,10_11,2010-07-21,36.8,staffing,Professional Services (Staff.),28206
16,"Grieve, Dominic",Conservative,10_11,2010-10-28,299.39,general admin,Stationery Purchase,43023
16,"Grieve, Dominic",Conservative,10_11,2010-10-18,36.8,staffing,Professional Services (Staff.),46146
16,"Grieve, Dominic",Conservative,10_11,2011-03-29,71.5,staffing,Public Tr RAIL Other Int/Volnt,79302
16,"Grieve, Dominic",Conservative,10_11,2010-11-09,36.8,staffing,Professional Services (Staff.),46743
16,"Grieve, Dominic",Conservative,10_11,2010-12-15,239.51,general admin,Stationery Purchase,56643
16,"Grieve, Dominic",Conservative,10_11,2010-10-27,76.37,general admin,Training MP,42752
16,"Grieve, Dominic",Conservative,10_11,2010-07-28,38.6,staffing,Professional Services (Staff.),28211
16,"Grieve, Dominic",Conservative,10_11,2010-11-05,94.07,general admin,Stationery Purchase,46157
16,"Grieve, Dominic",Conservative,10_11,2010-06-08,59.93,general admin,Stationery Purchase,7663
16,"Grieve, Dominic",Conservative,10_11,2011-01-19,71.5,staffing,Public Tr RAIL Other Int/Volnt,63192
16,"Grieve, Dominic",Conservative,10_11,2011-02-04,20,staffing,Public Tr RAIL Other Int/Volnt,67628
16,"Grieve, Dominic",Conservative,10_11,2011-03-03,71.5,staffing,Public Tr RAIL Other Int/Volnt,73292
16,"Grieve, Dominic",Conservative,10_11,2011-01-11,71.5,staffing,Public Tr RAIL Other Int/Volnt,60275
16,"Grieve, Dominic",Conservative,10_11,2010-12-06,330,staffing,Professional Services (Staff.),53625
16,"Grieve, Dominic",Conservative,10_11,2011-02-14,71.41,general admin,Payment Telephone/Mobile,69576
16,"Grieve, Dominic",Conservative,10_11,2011-03-21,71.5,staffing,Public Tr RAIL Other Int/Volnt,77730
16,"Grieve, Dominic",Conservative,10_11,2010-07-15,155.69,general admin,Stationery Purchase,22804
16,"Grieve, Dominic",Conservative,10_11,2010-06-23,74.26,general admin,Stationery Purchase,14184
16,"Grieve, Dominic",Conservative,10_11,2010-08-18,12.9,travel,Public Tr RAIL MP Staff - RTN,26333
16,"Grieve, Dominic",Conservative,10_11,2011-03-07,1640,constituency rental,Const Office Rent,74729
16,"Grieve, Dominic",Conservative,10_11,2010-07-11,376.13,general admin,Stationery Purchase,22800
16,"Grieve, Dominic",Conservative,10_11,2010-09-07,35.03,general admin,Computer SW Purchase,28407
16,"Grieve, Dominic",Conservative,10_11,2010-08-03,34.88,general admin,Stationery Purchase,22517
16,"Grieve, Dominic",Conservative,10_11,2011-02-08,241.92,general admin,Stationery Purchase,68321
16,"Grieve, Dominic",Conservative,10_11,2011-02-15,71.5,staffing,Public Tr RAIL Other Int/Volnt,69699
16,"Grieve, Dominic",Conservative,10_11,2010-12-16,70.79,general admin,Payment Telephone/Mobile,56822
16,"Grieve, Dominic",Conservative,10_11,2011-02-04,15,staffing,Public Tr RAIL Other Int/Volnt,67628
16,"Grieve, Dominic",Conservative,10_11,2011-02-09,71.5,staffing,Public Tr RAIL Other Int/Volnt,68586
16,"Grieve, Dominic",Conservative,10_11,2010-07-14,68.15,general admin,Stationery Purchase,16453
16,"Grieve, Dominic",Conservative,10_11,2010-06-14,3877.5,staffing,Pooled Staffing Services,4561
16,"Grieve, Dominic",Conservative,10_11,2010-08-25,4.68,general admin,Stationery Purchase,26344
16,"Grieve, Dominic",Conservative,10_11,2010-09-21,15.4,travel,Own Car MP Staff,36546
16,"Grieve, Dominic",Conservative,10_11,2010-09-06,36.8,staffing,Professional Services (Staff.),28165
16,"Grieve, Dominic",Conservative,10_11,2010-11-09,86.93,general admin,Computer SW Purchase,46861
16,"Grieve, Dominic",Conservative,10_11,2011-03-04,46.67,general admin,Stationery Purchase,74379
16,"Grieve, Dominic",Conservative,10_11,2010-07-26,89.54,general admin,Payment Telephone/Mobile,17245
16,"Grieve, Dominic",Conservative,10_11,2011-03-17,75.8,general admin,Payment Telephone/Mobile,77159
16,"Grieve, Dominic",Conservative,10_11,2010-09-21,59.73,general admin,Stationery Purchase,38174
16,"Grieve, Dominic",Conservative,10_11,2011-03-11,171.92,general admin,Stationery Purchase,75924
16,"Grieve, Dominic",Conservative,10_11,2011-02-21,92.1,general admin,Stationery Purchase,70922
16,"Grieve, Dominic",Conservative,10_11,2011-03-09,71.5,staffing,Public Tr RAIL Other Int/Volnt,75290
16,"Grieve, Dominic",Conservative,10_11,2010-09-02,41.13,general admin,Hospitality,28402
16,"Grieve, Dominic",Conservative,10_11,2010-12-06,229.99,general admin,Stationery Purchase,53726
16,"Grieve, Dominic",Conservative,10_11,2011-03-14,71.5,staffing,Public Tr RAIL Other Int/Volnt,76284
16,"Grieve, Dominic",Conservative,10_11,2011-01-11,93.7,staffing,Public Tr RAIL Other Int/Volnt,60290
16,"Grieve, Dominic",Conservative,11_12,2012-02-17,22.05,travel,Own Car MP,0000153131
16,"Grieve, Dominic",Conservative,11_12,2012-01-16,29.2,staffing,Public Tr UND Int/Volntr,0000145113
16,"Grieve, Dominic",Conservative,11_12,2012-01-10,22.05,travel,Own Car MP,0000142024
16,"Grieve, Dominic",Conservative,11_12,2011-08-17,384,miscellaneous expenses,Contingency,112096
16,"Grieve, Dominic",Conservative,11_12,2011-11-14,21.96,travel,Own Car MP,131304
16,"Grieve, Dominic",Conservative,11_12,2011-06-21,170.29,general admin,Stationery Purchase,94064
16,"Grieve, Dominic",Conservative,11_12,2011-12-20,84.65,office costs,Stationery Purchase,0000139438
16,"Grieve, Dominic",Conservative,11_12,2012-03-19,75.8,staffing,Public Tr RAIL Other Int/Volnt,0000160977
16,"Grieve, Dominic",Conservative,11_12,2011-12-12,22.05,travel,Own Car MP,0000137810
16,"Grieve, Dominic",Conservative,11_12,2011-08-24,160.33,office costs,Stationery Purchase,112832
16,"Grieve, Dominic",Conservative,11_12,2012-02-21,291,staffing,Public Tr RAIL Int/Volntr - RT,0000153909
16,"Grieve, Dominic",Conservative,11_12,2011-08-15,830,office costs,Const Office Hire of Premises,111841
16,"Grieve, Dominic",Conservative,11_12,2011-10-05,168.26,office costs,Stationery Purchase,119744
16,"Grieve, Dominic",Conservative,11_12,2011-12-20,22.05,travel,Own Car MP,0000139424
16,"Grieve, Dominic",Conservative,11_12,2012-03-26,21.6,travel,Own Car MP,0000160951
16,"Grieve, Dominic",Conservative,11_12,2011-12-06,21.6,travel,Own Car MP,0000135364
16,"Grieve, Dominic",Conservative,11_12,2011-06-21,147.89,general admin,Stationery Purchase,99302
16,"Grieve, Dominic",Conservative,11_12,2011-11-10,411.17,office costs,Stationery Purchase,130172
16,"Grieve, Dominic",Conservative,11_12,2012-01-11,75.3,office costs,Payment Telephone/Mobile,0000142200
16,"Grieve, Dominic",Conservative,11_12,2011-04-24,39.4,staffing,Public Tr RAIL Other Int/Volnt,87734
16,"Grieve, Dominic",Conservative,11_12,2011-11-21,86.4,office costs,Payment Telephone/Mobile,0000132511
16,"Grieve, Dominic",Conservative,11_12,2011-07-27,106,staffing,Public Tr UND Int/Volntr,107981
16,"Grieve, Dominic",Conservative,11_12,2012-03-26,336,office costs,Stationery Purchase,0000160936
16,"Grieve, Dominic",Conservative,11_12,2012-02-10,130,office costs,Const Office Hire of Premises,0000153585
