id,list_name,party,session,date,value,category,description,claim_number
379,"Hague, William",Conservative,10_11,2011-03-31,40,constituency rental,Const Office Hire of Premises,83518
379,"Hague, William",Conservative,10_11,2010-10-27,121.45,general admin,Stationery Purchase,58813
379,"Hague, William",Conservative,10_11,2011-03-31,963.74,constituency rental,Const Office Rent,83505
379,"Hague, William",Conservative,10_11,2010-07-19,223.24,general admin,Shredder Purchase,39611
379,"Hague, William",Conservative,10_11,2010-12-31,2408.75,general admin,Professional Services,61560
379,"Hague, William",Conservative,10_11,2011-03-31,89.43,general admin,Stationery Purchase,83517
379,"Hague, William",Conservative,10_11,2010-09-28,3.44,general admin,Stationery Purchase,41219
379,"Hague, William",Conservative,10_11,2011-03-31,31.99,general admin,Stationery Purchase,83516
379,"Hague, William",Conservative,10_11,2010-08-24,151.45,general admin,Stationery Purchase,41219
379,"Hague, William",Conservative,10_11,2010-05-12,11.51,general admin,Stationery Purchase,21454
379,"Hague, William",Conservative,10_11,2011-01-12,119.05,general admin,Stationery Purchase,61563
379,"Hague, William",Conservative,10_11,2010-10-11,129.07,general admin,Stationery Purchase,58811
379,"Hague, William",Conservative,10_11,2011-02-09,74.79,constituency rental,Const Office Tel. Usage/Rental,71327
379,"Hague, William",Conservative,10_11,2010-12-14,2534.4,constituency rental,Const Office Rent,70977
379,"Hague, William",Conservative,10_11,2010-08-06,134.89,general admin,Stationery Purchase,41219
379,"Hague, William",Conservative,10_11,2011-02-03,57.36,constituency rental,Const Office Tel. Usage/Rental,71328
379,"Hague, William",Conservative,10_11,2010-12-22,145.5,general admin,Television Licence Purchase,59960
379,"Hague, William",Conservative,10_11,2010-05-27,70.8,general admin,Stationery Purchase,21482
379,"Hague, William",Conservative,10_11,2011-01-26,169.32,general admin,Other,69506
379,"Hague, William",Conservative,10_11,2011-01-13,131.76,general admin,Other,69502
379,"Hague, William",Conservative,10_11,2010-12-14,210,constituency rental,Const Office Hire of Premises,70977
379,"Hague, William",Conservative,11_12,2011-05-08,127.29,general admin,Stationery Purchase,105413
379,"Hague, William",Conservative,11_12,2011-08-09,70.86,office costs,Const Office Tel. Usage/Rental,112445
379,"Hague, William",Conservative,11_12,2012-03-16,23.72,office costs,Const Office Tel. Usage/Rental,0000165637
379,"Hague, William",Conservative,11_12,2011-10-18,122.21,office costs,Stationery Purchase,0000125871
379,"Hague, William",Conservative,11_12,2011-08-03,57.15,office costs,Landline Hire,112235
379,"Hague, William",Conservative,11_12,2011-10-08,16.39,office costs,Stationery Purchase,132500
379,"Hague, William",Conservative,11_12,2011-12-22,6.6,travel,Public Tr UND MP Staff,0000145653
379,"Hague, William",Conservative,11_12,2011-07-01,963.74,constituency rental,Const Office Rent,104889
379,"Hague, William",Conservative,11_12,2012-03-30,48.35,travel,Public Tr RAIL MP Staff - SGL,0000166602
379,"Hague, William",Conservative,11_12,2011-09-28,143.64,office costs,Stationery Purchase,130266
379,"Hague, William",Conservative,11_12,2011-12-22,14,travel,Parking MP Staff,0000145653
379,"Hague, William",Conservative,11_12,2011-12-22,145.5,office costs,Television Licence Purchase,0000141336
379,"Hague, William",Conservative,11_12,2011-06-28,16.27,general admin,Stationery Purchase,106350
379,"Hague, William",Conservative,11_12,2012-02-05,59.54,office costs,Landline Hire,0000154021
379,"Hague, William",Conservative,11_12,2011-05-10,74.43,general admin,Landline Hire,100535
379,"Hague, William",Conservative,11_12,2012-02-17,222.47,office costs,Stationery Purchase,0000156018
379,"Hague, William",Conservative,11_12,2011-12-22,66,travel,Public Tr RAIL Other MP Staff,0000145653
379,"Hague, William",Conservative,11_12,2011-06-03,3960,office costs,Professional Services,Payment to Supplier
379,"Hague, William",Conservative,11_12,2011-12-09,963.74,office costs,Const Office Rent,0000138727
379,"Hague, William",Conservative,11_12,2011-11-15,14,travel,Parking MP Staff,0000132657
379,"Hague, William",Conservative,11_12,2011-11-15,6.6,travel,Public Tr UND MP Staff,0000132657
379,"Hague, William",Conservative,11_12,2011-08-14,235.8,office costs,Stationery Purchase,112518
379,"Hague, William",Conservative,11_12,2011-12-09,963.74,office costs,Const Office Rent,0000138730
379,"Hague, William",Conservative,11_12,2012-03-25,22.52,office costs,Stationery Purchase,0000172907
379,"Hague, William",Conservative,11_12,2011-12-09,24,office costs,Const Office Hire of Premises,0000138733
379,"Hague, William",Conservative,11_12,2011-08-09,636,office costs,Legal Expenses Insurance,Payment to Supplier
379,"Hague, William",Conservative,11_12,2011-09-23,158.26,office costs,Stationery Purchase,120939
379,"Hague, William",Conservative,11_12,2011-12-09,40,office costs,Const Office Hire of Premises,0000138732
379,"Hague, William",Conservative,11_12,2011-04-20,143.64,general admin,Stationery Purchase,104875
379,"Hague, William",Conservative,11_12,2011-05-04,57.18,general admin,Landline Hire,100539
379,"Hague, William",Conservative,11_12,2012-03-23,110.95,office costs,Stationery Purchase,0000165633
379,"Hague, William",Conservative,11_12,2011-07-01,40,office costs,Const Office Hire of Premises,107600
379,"Hague, William",Conservative,11_12,2012-03-23,124.03,office costs,Stationery Purchase,0000165635
379,"Hague, William",Conservative,11_12,2011-11-15,164,travel,Public Tr RAIL Other MP Staff,0000132657
379,"Hague, William",Conservative,11_12,2012-02-09,76.92,office costs,Const Office Tel. Usage/Rental,0000154020
379,"Hague, William",Conservative,11_12,2011-11-09,72.88,office costs,Const Office Tel. Usage/Rental,0000133800
379,"Hague, William",Conservative,11_12,2011-11-17,59.61,office costs,Landline Hire,0000133809
379,"Hague, William",Conservative,11_12,2011-08-23,4.97,office costs,Stationery Purchase,118286
379,"Hague, William",Conservative,12_13,2013-02-25,86.77,office costs,Stationery Purchase,Payment to Supplier
379,"Hague, William",Conservative,12_13,2012-06-08,7,travel,Public Tr UND MP Staff,0000184919
379,"Hague, William",Conservative,12_13,2012-05-01,112.5,travel,Public Tr RAIL Other MP Staff,0000172904
379,"Hague, William",Conservative,12_13,2012-06-25,19.88,office costs,Const Office Tel. Usage/Rental,0000184933
379,"Hague, William",Conservative,12_13,2012-05-11,7,travel,Public Tr UND MP Staff,0000179834
379,"Hague, William",Conservative,12_13,2012-05-13,13,travel,Public Tr RAIL Other MP Staff,0000179834
379,"Hague, William",Conservative,12_13,2013-02-27,21.31,office costs,Const Office Tel. Usage/Rental,0000245203
379,"Hague, William",Conservative,12_13,2013-02-25,79.65,office costs,Const Office Tel. Usage/Rental,0000248461
379,"Hague, William",Conservative,12_13,2012-05-21,19.85,office costs,Const Office Tel. Usage/Rental,0000175539
379,"Hague, William",Conservative,12_13,2012-12-14,54.3,travel,Public Tr RAIL Other MP Staff,0000229877
379,"Hague, William",Conservative,12_13,2012-11-13,14,travel,Parking MP Staff,0000221255
379,"Hague, William",Conservative,12_13,2012-10-24,24,office costs,Venue Hire Surgery/Meeting,0000215387
379,"Hague, William",Conservative,12_13,2012-11-23,19.85,office costs,Const Office Tel. Usage/Rental,0000222661
379,"Hague, William",Conservative,12_13,2012-06-28,963.74,office costs,Const Office Rent,0000185487
379,"Hague, William",Conservative,12_13,2013-02-27,86.77,office costs,Stationery Purchase,Payment to Supplier
379,"Hague, William",Conservative,12_13,2012-10-18,50.45,travel,Public Tr RAIL MP Staff - SGL,0000213561
379,"Hague, William",Conservative,12_13,2012-06-30,963.74,office costs,Const Office Rent,0000193933
379,"Hague, William",Conservative,12_13,2012-11-26,76.03,office costs,Const Office Tel. Usage/Rental,0000226642
379,"Hague, William",Conservative,12_13,2012-09-11,73.5,travel,Public Tr RAIL MP Staff - RTN,0000205881
379,"Hague, William",Conservative,12_13,2012-11-13,65,travel,Public Tr RAIL Other MP Staff,0000221255
379,"Hague, William",Conservative,12_13,2013-02-21,110.7,office costs,Stationery Purchase,Payment to Supplier
379,"Hague, William",Conservative,12_13,2012-07-05,39,travel,Public Tr RAIL MP Staff - SGL,0000191218
379,"Hague, William",Conservative,12_13,2012-06-28,90,office costs,Venue Hire Surgery/Meeting,0000185487
379,"Hague, William",Conservative,12_13,2012-10-06,21.08,office costs,Const Office Tel. Usage/Rental,0000212983
379,"Hague, William",Conservative,12_13,2012-12-20,37.35,travel,Public Tr RAIL Other MP Staff,0000230592
379,"Hague, William",Conservative,12_13,2012-06-28,40,office costs,Venue Hire Surgery/Meeting,0000185487
379,"Hague, William",Conservative,12_13,2012-05-17,110.7,office costs,Stationery Purchase,0000178121
379,"Hague, William",Conservative,12_13,2012-07-23,19.51,office costs,Const Office Tel. Usage/Rental,0000193668
379,"Hague, William",Conservative,12_13,2013-01-11,52.45,travel,Public Tr RAIL MP Staff - SGL,0000235854
379,"Hague, William",Conservative,12_13,2012-07-05,49.4,travel,Public Tr RAIL MP Staff - SGL,0000191218
379,"Hague, William",Conservative,12_13,2012-08-13,40,office costs,Venue Hire Surgery/Meeting,0000198896
