id,list_name,party,session,date,value,category,description,claim_number
1520,"Harper, Mark",Conservative,11_12,2011-08-11,8.1,travel,Own Car MP,124889
1520,"Harper, Mark",Conservative,11_12,2011-06-29,29.94,office costs,Telephone/Mobile Hire,100672
1520,"Harper, Mark",Conservative,12_13,2013-03-04,8.1,travel,Own Vehicle Car,0000265097
1520,"Harper, Mark",Conservative,12_13,2012-12-31,750,staffing,Professional Services (Staff.),0000238804
1520,"Harper, Mark",Conservative,12_13,2012-10-26,152,travel,Public Tr RAIL - RTN,0000227432
1520,"Harper, Mark",Conservative,12_13,2013-02-08,13.05,travel,Own Vehicle Car,0000251506
1520,"Harper, Mark",Conservative,12_13,2012-05-22,4.76,travel,Food & Drink MP Staff,0000182052
1520,"Harper, Mark",Conservative,12_13,2012-11-13,10.95,travel,Food & Drink MP Staff,0000222008
1520,"Harper, Mark",Conservative,12_13,2012-04-27,9.45,travel,Own Car MP,0000170130
1520,"Harper, Mark",Conservative,10_11,2010-06-19,4.8,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2011-02-06,180.5,staffing,Public Tr OTHER Int/Volntr,70092
1520,"Harper, Mark",Conservative,10_11,2010-11-26,26.4,travel,Own Car MP,55139
1520,"Harper, Mark",Conservative,10_11,2011-03-16,37.5,general admin,Other,70003
1520,"Harper, Mark",Conservative,10_11,2010-07-15,52.8,travel,Own Car MP,22349
1520,"Harper, Mark",Conservative,10_11,2010-09-11,2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2011-02-25,2.8,travel,Own Car MP,80518
1520,"Harper, Mark",Conservative,10_11,2011-03-11,6.4,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2010-12-15,82,travel,Public Tr RAIL - SGL,62149
1520,"Harper, Mark",Conservative,10_11,2010-11-16,17.63,constituency rental,Const Office Hire of Premises,30263
1520,"Harper, Mark",Conservative,10_11,2010-07-30,2.4,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-09-30,7.2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-10-15,10,travel,Own Car MP,46465
1520,"Harper, Mark",Conservative,10_11,2011-01-27,128.5,travel,Public Tr RAIL - RTN,74090
1520,"Harper, Mark",Conservative,10_11,2011-03-25,2,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2010-10-01,3.2,travel,Own Car MP,46465
1520,"Harper, Mark",Conservative,10_11,2010-11-11,7.2,travel,Own Car MP,55139
1520,"Harper, Mark",Conservative,10_11,2010-05-21,8.8,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2011-03-01,4.1,staffing,Food & Drink Intern/Volunteer,79644
1520,"Harper, Mark",Conservative,10_11,2011-03-27,70,staffing,Public Tr OTHER Int/Volntr,86051
1520,"Harper, Mark",Conservative,10_11,2011-03-16,112.6,constituency rental,Const Office Tel. Usage/Rental,69987
1520,"Harper, Mark",Conservative,10_11,2011-03-16,13.5,constituency rental,Const Office Tel. Usage/Rental,69987
1520,"Harper, Mark",Conservative,10_11,2010-05-28,2.4,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2010-11-10,3.25,staffing,Food & Drink Intern/Volunteer,56774
1520,"Harper, Mark",Conservative,10_11,2011-03-16,30,general admin,Other,79631
1520,"Harper, Mark",Conservative,10_11,2010-12-14,147.5,constituency rental,Const Office Electricity,56526
1520,"Harper, Mark",Conservative,10_11,2010-05-11,120.5,travel,Public Tr RAIL - RTN,5319
1520,"Harper, Mark",Conservative,10_11,2010-12-17,8,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2010-10-04,362.33,accommodation,Home Contents Insurance,46395
1520,"Harper, Mark",Conservative,10_11,2010-06-12,5.2,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2011-02-08,91.97,general admin,Payment Telephone/Mobile,86036
1520,"Harper, Mark",Conservative,10_11,2010-08-07,2,travel,Own Car MP,23626
1520,"Harper, Mark",Conservative,10_11,2010-07-20,98,travel,Public Tr RAIL - RTN,19485
1520,"Harper, Mark",Conservative,10_11,2010-07-06,158.63,general admin,Other,22655
1520,"Harper, Mark",Conservative,10_11,2010-10-25,7.2,travel,Own Car MP,46465
1520,"Harper, Mark",Conservative,10_11,2010-12-15,117,travel,Public Tr RAIL - RTN,62149
1520,"Harper, Mark",Conservative,10_11,2010-10-07,20,travel,Public Tr Underground MP,44473
1520,"Harper, Mark",Conservative,10_11,2010-06-18,2.4,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2010-12-07,3.5,staffing,Food & Drink Intern/Volunteer,56774
1520,"Harper, Mark",Conservative,10_11,2010-09-17,45.6,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-11-22,30,general admin,Professional Services,49848
1520,"Harper, Mark",Conservative,10_11,2010-09-24,1.2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-11-08,7.2,travel,Own Car MP,55139
1520,"Harper, Mark",Conservative,10_11,2010-09-27,8,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2011-01-24,128.5,travel,Public Tr RAIL - RTN,66784
1520,"Harper, Mark",Conservative,10_11,2010-05-20,7.2,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2010-11-22,9.62,constituency rental,Business Rates,51208
1520,"Harper, Mark",Conservative,10_11,2010-06-26,5.2,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2010-08-14,2,travel,Own Car MP,23626
1520,"Harper, Mark",Conservative,10_11,2010-08-10,25,travel,Public Tr RAIL - SGL,27295
1520,"Harper, Mark",Conservative,10_11,2010-10-29,18,travel,Own Car MP,46465
1520,"Harper, Mark",Conservative,10_11,2010-10-01,7.2,travel,Own Car MP,46465
1520,"Harper, Mark",Conservative,10_11,2010-11-22,2.83,general admin,Other,51207
1520,"Harper, Mark",Conservative,10_11,2010-12-10,2,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2011-01-06,10.4,travel,Own Car MP,70389
1520,"Harper, Mark",Conservative,10_11,2010-12-14,49.94,general admin,Other,56503
1520,"Harper, Mark",Conservative,10_11,2010-06-26,5.2,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2010-05-17,7.2,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2010-05-19,125.5,travel,Public Tr RAIL - RTN,5334
1520,"Harper, Mark",Conservative,10_11,2011-02-11,3.1,staffing,Food & Drink Intern/Volunteer,70092
1520,"Harper, Mark",Conservative,10_11,2010-06-11,4.4,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2010-07-30,2,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-09-24,4,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2011-01-12,128.5,travel,Public Tr RAIL - RTN,66784
1520,"Harper, Mark",Conservative,10_11,2011-03-07,7.2,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2010-11-17,56,travel,Public Tr RAIL - SGL,54688
1520,"Harper, Mark",Conservative,10_11,2010-08-10,92.68,general admin,Telephone/Mobile Hire,23651
1520,"Harper, Mark",Conservative,10_11,2010-11-04,7.2,travel,Own Car MP,55139
1520,"Harper, Mark",Conservative,10_11,2011-03-28,4.45,staffing,Food & Drink Intern/Volunteer,79644
1520,"Harper, Mark",Conservative,10_11,2010-09-10,7.6,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-09-24,4.8,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-11-19,6.8,travel,Own Car MP Staff,51214
1520,"Harper, Mark",Conservative,10_11,2010-05-09,7.2,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2010-12-14,30,general admin,Professional Services,56524
1520,"Harper, Mark",Conservative,10_11,2010-08-05,52.8,travel,Own Car MP,23626
1520,"Harper, Mark",Conservative,10_11,2010-08-03,68,travel,Public Tr RAIL - SGL,27295
1520,"Harper, Mark",Conservative,10_11,2010-07-23,7.2,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-07-14,8,travel,Public Tr RAIL - SGL,19485
1520,"Harper, Mark",Conservative,10_11,2010-12-10,2,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2010-11-11,3.3,staffing,Food & Drink Intern/Volunteer,56774
1520,"Harper, Mark",Conservative,10_11,2010-07-30,2.4,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2011-02-04,4.8,travel,Own Car MP,80518
1520,"Harper, Mark",Conservative,10_11,2010-06-01,6.06,constituency rental,Const Office Tel. Usage/Rental,23659
1520,"Harper, Mark",Conservative,10_11,2011-01-04,110.16,accommodation,Telephone Usage/Rental,70026
1520,"Harper, Mark",Conservative,10_11,2010-05-28,3.2,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2010-06-24,71.44,general admin,Other,22665
1520,"Harper, Mark",Conservative,10_11,2010-12-06,7.2,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2011-03-11,4,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2010-09-10,1.6,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-11-19,18.4,travel,Own Car MP Staff,51214
1520,"Harper, Mark",Conservative,10_11,2010-07-17,2.4,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-09-10,131,travel,Public Tr RAIL - RTN,37728
1520,"Harper, Mark",Conservative,10_11,2010-09-13,7.2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2010-06-19,2.8,travel,Own Car MP,13227
1520,"Harper, Mark",Conservative,10_11,2011-03-11,1.6,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2010-11-01,20,staffing,Public Tr OTHER Int/Volntr,56774
1520,"Harper, Mark",Conservative,10_11,2010-07-02,2.8,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-09-24,3.2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2011-02-25,2.8,travel,Own Car MP,80518
1520,"Harper, Mark",Conservative,10_11,2010-06-24,56.4,general admin,Other,22661
1520,"Harper, Mark",Conservative,10_11,2010-12-17,8,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2010-12-23,45.6,travel,Own Car MP,68670
1520,"Harper, Mark",Conservative,10_11,2010-07-09,2.4,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-07-09,8.8,travel,Own Car MP,21988
1520,"Harper, Mark",Conservative,10_11,2010-09-17,7.2,travel,Own Car MP,38610
1520,"Harper, Mark",Conservative,10_11,2011-02-11,7.2,travel,Own Car MP,80518
1520,"Harper, Mark",Conservative,10_11,2010-05-31,6,travel,Own Car MP,10484
1520,"Harper, Mark",Conservative,10_11,2011-02-16,103.5,travel,Public Tr RAIL - RTN,74090
1520,"Harper, Mark",Conservative,10_11,2010-10-26,103.5,travel,Public Tr RAIL - RTN,54688
1520,"Harper, Mark",Conservative,10_11,2011-03-25,3.6,travel,Own Car MP,83147
1520,"Harper, Mark",Conservative,10_11,2011-01-01,650,constituency rental,Const Office Rent,89771
1520,"Harper, Mark",Conservative,10_11,2011-03-16,121,travel,Public Tr RAIL - RTN,87230
1520,"Harper, Mark",Conservative,10_11,2010-08-06,2.8,travel,Own Car MP,23626
