id,list_name,party,session,date,value,category,description,claim_number
69,"Heald, Oliver",Conservative,12_13,2013-01-17,19.7,travel,Public Tr RAIL - SGL,0000240555
69,"Heald, Oliver",Conservative,12_13,2012-05-13,17.88,accommodation,Telephone Usage/Rental,0000173845
69,"Heald, Oliver",Conservative,12_13,2012-08-14,92.69,office costs,Const Office Tel. Usage/Rental,0000203436
69,"Heald, Oliver",Conservative,10_11,2011-03-08,90,miscellaneous expenses,Contingency,79788
69,"Heald, Oliver",Conservative,10_11,2010-09-09,17,staffing,Public Tr RAIL Other Int/Volnt,42309
69,"Heald, Oliver",Conservative,10_11,2011-02-01,90,miscellaneous expenses,Contingency,68523
69,"Heald, Oliver",Conservative,10_11,2011-03-25,47.6,travel,Own Car MP,83138
69,"Heald, Oliver",Conservative,10_11,2010-10-28,15,constituency rental,Const Office Hire of Premises,50702
69,"Heald, Oliver",Conservative,10_11,2010-10-21,12.5,travel,Public Tr RAIL - SGL,44537
69,"Heald, Oliver",Conservative,10_11,2010-07-17,28.8,travel,Own Car MP,15377
69,"Heald, Oliver",Conservative,10_11,2010-09-16,25,staffing,Public Tr RAIL Int/Volntr - RT,42315
69,"Heald, Oliver",Conservative,10_11,2011-01-28,84.86,general admin,Advertising,68530
69,"Heald, Oliver",Conservative,10_11,2010-07-16,1.6,travel,Own Car MP,15377
69,"Heald, Oliver",Conservative,10_11,2011-02-25,650,constituency rental,Const Office Rent,Payment to Supplier
69,"Heald, Oliver",Conservative,10_11,2010-09-12,266.13,general admin,Stationery Purchase,29575
69,"Heald, Oliver",Conservative,10_11,2011-02-15,15,travel,Food & Drink @ Parliament,72274
69,"Heald, Oliver",Conservative,10_11,2011-03-07,90,miscellaneous expenses,Contingency,79788
69,"Heald, Oliver",Conservative,10_11,2011-02-04,7.6,travel,Own Car MP,83138
69,"Heald, Oliver",Conservative,10_11,2011-01-24,16,travel,Public Tr RAIL - SGL,66851
69,"Heald, Oliver",Conservative,10_11,2010-07-23,8.8,travel,Own Car MP,19804
69,"Heald, Oliver",Conservative,10_11,2010-11-19,9.6,travel,Own Car MP,65116
69,"Heald, Oliver",Conservative,10_11,2011-03-04,84.86,general admin,Advertising,83149
69,"Heald, Oliver",Conservative,10_11,2010-10-12,11.2,staffing,Public Tr RAIL Other Int/Volnt,55392
69,"Heald, Oliver",Conservative,10_11,2010-10-07,79.9,general admin,Advertising,42805
69,"Heald, Oliver",Conservative,10_11,2010-07-29,189.18,general admin,Stationery Purchase,23141
69,"Heald, Oliver",Conservative,10_11,2010-11-10,1011.68,general admin,Office Furniture Purchase,50698
69,"Heald, Oliver",Conservative,10_11,2010-09-16,9.1,staffing,Public Tr RAIL Int/Volntr - RT,42300
69,"Heald, Oliver",Conservative,10_11,2010-09-16,17,staffing,Public Tr RAIL Other Int/Volnt,42309
69,"Heald, Oliver",Conservative,10_11,2010-11-17,141,general admin,Other,54366
69,"Heald, Oliver",Conservative,10_11,2010-06-10,9.6,travel,Own Car MP,4263
69,"Heald, Oliver",Conservative,10_11,2011-02-04,112.08,general admin,Stationery Purchase,68520
69,"Heald, Oliver",Conservative,10_11,2010-07-20,9.2,travel,Food & Drink @ Parliament,19751
69,"Heald, Oliver",Conservative,10_11,2010-11-26,17.6,travel,Own Car MP,65116
69,"Heald, Oliver",Conservative,10_11,2010-09-07,17,staffing,Public Tr RAIL Other Int/Volnt,42309
69,"Heald, Oliver",Conservative,10_11,2010-07-23,2,travel,Own Car MP,19804
69,"Heald, Oliver",Conservative,10_11,2011-01-27,13.5,travel,Public Tr RAIL - SGL,74158
69,"Heald, Oliver",Conservative,10_11,2010-08-10,12.8,travel,Own Car MP,40057
69,"Heald, Oliver",Conservative,10_11,2010-08-27,50,general admin,Venue Hire,29575
69,"Heald, Oliver",Conservative,10_11,2010-12-10,9.6,travel,Own Car MP,65116
69,"Heald, Oliver",Conservative,10_11,2010-06-24,6.8,travel,Own Car MP,15377
69,"Heald, Oliver",Conservative,10_11,2010-11-02,54.98,miscellaneous expenses,Contingency,46301
69,"Heald, Oliver",Conservative,10_11,2010-06-18,9.6,travel,Own Car MP,6165
69,"Heald, Oliver",Conservative,10_11,2010-11-16,15,travel,Food & Drink @ Parliament,50703
69,"Heald, Oliver",Conservative,10_11,2011-02-23,80.11,general admin,Payment Telephone/Mobile,72277
69,"Heald, Oliver",Conservative,10_11,2011-03-10,71.21,general admin,Payment Telephone/Mobile,78262
69,"Heald, Oliver",Conservative,10_11,2010-11-08,15,travel,Public Tr RAIL - SGL,54756
69,"Heald, Oliver",Conservative,10_11,2010-10-29,23.6,travel,Own Car MP,52676
69,"Heald, Oliver",Conservative,10_11,2010-07-02,1.6,travel,Own Car MP,15377
69,"Heald, Oliver",Conservative,10_11,2011-01-10,65.08,general admin,Payment Telephone/Mobile,62918
69,"Heald, Oliver",Conservative,10_11,2010-12-11,24.4,travel,Own Car MP,65116
69,"Heald, Oliver",Conservative,10_11,2011-03-12,70.37,general admin,Advertising,83149
69,"Heald, Oliver",Conservative,10_11,2010-08-17,9.6,travel,Own Car MP,40057
69,"Heald, Oliver",Conservative,10_11,2010-12-21,391.21,general admin,Landline Purchase,58989
