id,list_name,party,session,date,value,category,description,claim_number
255,"Heath, David",Liberal Democrat,11_12,2012-01-26,50.85,travel,Own Car MP,0000148021
255,"Heath, David",Liberal Democrat,12_13,2012-12-17,50.85,travel,Own Vehicle Car,0000250945
255,"Heath, David",Liberal Democrat,12_13,2013-03-01,19.49,office costs,Stationery Purchase,Payment to Supplier
255,"Heath, David",Liberal Democrat,12_13,2012-11-10,9.9,travel,Own Vehicle Car,0000227047
255,"Heath, David",Liberal Democrat,10_11,2011-02-14,45.2,travel,Own Car MP,72153
255,"Heath, David",Liberal Democrat,10_11,2010-11-08,8,travel,Congestion Zone/Toll MP,47530
255,"Heath, David",Liberal Democrat,10_11,2010-12-11,4.8,travel,Own Car MP,58938
255,"Heath, David",Liberal Democrat,10_11,2010-06-18,4.8,travel,Own Car MP,13658
255,"Heath, David",Liberal Democrat,10_11,2011-01-22,8,travel,Own Car MP,65878
255,"Heath, David",Liberal Democrat,10_11,2010-06-04,10.4,travel,Own Car MP,13658
255,"Heath, David",Liberal Democrat,10_11,2010-07-17,11.6,travel,Own Car MP,20987
255,"Heath, David",Liberal Democrat,10_11,2010-10-09,8.8,travel,Own Car MP,45881
255,"Heath, David",Liberal Democrat,10_11,2011-01-13,1430,accommodation,Accommodation Rent,Payment to Supplier
255,"Heath, David",Liberal Democrat,10_11,2010-11-11,1430,accommodation,Accommodation Rent,Payment to Supplier
255,"Heath, David",Liberal Democrat,10_11,2010-07-26,94,general admin,Advertising,21021
255,"Heath, David",Liberal Democrat,10_11,2011-02-17,9,travel,Congestion Zone/Toll MP,72170
255,"Heath, David",Liberal Democrat,10_11,2010-12-31,300.33,general admin,Other,64171
255,"Heath, David",Liberal Democrat,10_11,2010-07-22,45.2,travel,Own Car MP,20987
255,"Heath, David",Liberal Democrat,10_11,2010-09-17,8,travel,Own Car MP,36178
255,"Heath, David",Liberal Democrat,10_11,2010-07-05,45.2,travel,Own Car MP,13658
255,"Heath, David",Liberal Democrat,10_11,2011-01-31,45.2,travel,Own Car MP,65878
255,"Heath, David",Liberal Democrat,10_11,2010-08-27,13.6,travel,Own Car MP,26573
255,"Heath, David",Liberal Democrat,10_11,2011-01-26,570,constituency rental,Const Office Rent,Payment to Supplier
255,"Heath, David",Liberal Democrat,10_11,2010-12-13,45.2,travel,Own Car MP,58938
255,"Heath, David",Liberal Democrat,10_11,2011-01-15,8.8,travel,Own Car MP,65878
255,"Heath, David",Liberal Democrat,10_11,2011-03-12,17.93,general admin,Landline Hire,83693
255,"Heath, David",Liberal Democrat,10_11,2010-07-09,16.8,travel,Own Car MP,13658
255,"Heath, David",Liberal Democrat,10_11,2011-02-21,9.6,travel,Own Car MP,72153
255,"Heath, David",Liberal Democrat,10_11,2010-11-15,8,travel,Congestion Zone/Toll MP,52471
255,"Heath, David",Liberal Democrat,10_11,2010-10-15,4.8,travel,Own Car MP,45881
255,"Heath, David",Liberal Democrat,10_11,2011-01-28,9.6,travel,Own Car MP,65878
255,"Heath, David",Liberal Democrat,10_11,2010-06-18,20.8,travel,Own Car MP,13658
255,"Heath, David",Liberal Democrat,10_11,2011-02-25,570,constituency rental,Const Office Rent,Payment to Supplier
255,"Heath, David",Liberal Democrat,10_11,2010-05-16,11.32,general admin,Payment Telephone/Mobile,14502
255,"Heath, David",Liberal Democrat,10_11,2011-03-26,3,travel,Own Car MP,83756
255,"Heath, David",Liberal Democrat,10_11,2010-09-10,45.2,travel,Own Car MP,36178
255,"Heath, David",Liberal Democrat,10_11,2010-06-14,76.01,general admin,Landline Hire,14502
255,"Heath, David",Liberal Democrat,10_11,2011-01-10,45.2,travel,Own Car MP,65878
255,"Heath, David",Liberal Democrat,10_11,2011-02-11,9.6,travel,Own Car MP,72153
255,"Heath, David",Liberal Democrat,10_11,2011-03-25,3,travel,Own Car MP,83756
255,"Heath, David",Liberal Democrat,10_11,2011-03-03,45.2,travel,Own Car MP,83756
255,"Heath, David",Liberal Democrat,10_11,2010-12-09,77,travel,Public Tr RAIL MP Staff - SGL,62217
255,"Heath, David",Liberal Democrat,10_11,2011-03-16,567.6,general admin,Removal Costs,77766
