id,list_name,party,session,date,value,category,description,claim_number
520,"Hepburn, Stephen",Labour,12_13,2012-12-19,837,office costs,Const Office Rent,Payment to Supplier
520,"Hepburn, Stephen",Labour,12_13,2012-06-01,40.38,accommodation,Water,0000188477
520,"Hepburn, Stephen",Labour,10_11,2010-11-19,97.85,general admin,Telephone/Mobile Hire,52632
520,"Hepburn, Stephen",Labour,10_11,2011-01-10,255,travel,Public Tr RAIL - RTN,75627
520,"Hepburn, Stephen",Labour,10_11,2010-09-01,842.23,constituency rental,Const Office Rent,39255
520,"Hepburn, Stephen",Labour,10_11,2011-03-16,645.66,general admin,Stationery Purchase,83016
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,133.02,general admin,Telephone/Mobile Hire,21384
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,1404.15,accommodation,Service Charges,21363
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,46.15,accommodation,Water,21336
520,"Hepburn, Stephen",Labour,10_11,2010-09-27,151,accommodation,Council Tax,39246
520,"Hepburn, Stephen",Labour,10_11,2011-01-17,255,travel,Public Tr RAIL - RTN,75627
520,"Hepburn, Stephen",Labour,10_11,2011-01-05,13.91,accommodation,Home Contents Insurance,67320
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,21,accommodation,Electricity,21330
520,"Hepburn, Stephen",Labour,10_11,2011-03-18,52,accommodation,Television Installation/Rental,82996
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,35.5,general admin,Telephone/Mobile Hire,21384
520,"Hepburn, Stephen",Labour,10_11,2010-08-19,119.13,general admin,Payment Telephone/Mobile,29076
520,"Hepburn, Stephen",Labour,10_11,2010-07-08,845.38,constituency rental,Const Office Hire of Premises,14322
520,"Hepburn, Stephen",Labour,10_11,2011-03-14,255,travel,Public Tr RAIL - RTN,83024
520,"Hepburn, Stephen",Labour,10_11,2010-09-21,234,travel,Public Tr RAIL - RTN,37795
520,"Hepburn, Stephen",Labour,10_11,2010-08-25,151,accommodation,Council Tax,29066
520,"Hepburn, Stephen",Labour,10_11,2010-11-01,234,travel,Public Tr RAIL - RTN,54757
520,"Hepburn, Stephen",Labour,10_11,2011-02-21,76.22,general admin,Telephone/Mobile Hire,75571
520,"Hepburn, Stephen",Labour,10_11,2010-12-30,56.35,general admin,Payment Internet,61287
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,41.21,accommodation,Water,21336
520,"Hepburn, Stephen",Labour,10_11,2011-03-09,37,accommodation,Electricity,75565
520,"Hepburn, Stephen",Labour,10_11,2010-08-02,30.76,accommodation,Water,29049
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,121.77,accommodation,Council Tax,21340
520,"Hepburn, Stephen",Labour,10_11,2010-10-15,234,travel,Public Tr RAIL - RTN,44539
520,"Hepburn, Stephen",Labour,10_11,2010-12-14,234,travel,Public Tr RAIL - RTN,75642
520,"Hepburn, Stephen",Labour,10_11,2010-10-04,13.91,accommodation,Home Contents Insurance,45448
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,139.83,general admin,Stationery Purchase,21380
520,"Hepburn, Stephen",Labour,10_11,2010-11-17,234,travel,Public Tr RAIL - RTN,54757
520,"Hepburn, Stephen",Labour,10_11,2010-09-13,42.49,general admin,Telephone/Mobile Hire,39258
520,"Hepburn, Stephen",Labour,10_11,2010-12-20,51,accommodation,Television Installation/Rental,61244
520,"Hepburn, Stephen",Labour,10_11,2010-09-30,53.72,general admin,Payment Internet,39270
520,"Hepburn, Stephen",Labour,10_11,2010-10-18,234,travel,Public Tr RAIL - RTN,44539
520,"Hepburn, Stephen",Labour,10_11,2010-06-04,229,travel,Public Tr RAIL - RTN,3754
520,"Hepburn, Stephen",Labour,10_11,2010-10-01,30.76,accommodation,Water,45448
520,"Hepburn, Stephen",Labour,10_11,2011-02-01,9.28,general admin,Telephone/Mobile Hire,75571
520,"Hepburn, Stephen",Labour,10_11,2011-02-02,13.91,accommodation,Home Contents Insurance,75565
520,"Hepburn, Stephen",Labour,10_11,2010-09-16,53.07,accommodation,Telephone Usage/Rental,39273
520,"Hepburn, Stephen",Labour,10_11,2010-10-19,86.79,constituency rental,Const Office Tel. Usage/Rental,45458
520,"Hepburn, Stephen",Labour,10_11,2010-06-18,229,travel,Public Tr RAIL - RTN,11317
520,"Hepburn, Stephen",Labour,10_11,2010-06-30,53.72,general admin,Telephone/Mobile Hire,16499
520,"Hepburn, Stephen",Labour,10_11,2010-09-20,81.24,general admin,Telephone/Mobile Hire,39266
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,13.91,accommodation,Home Contents Insurance,21350
520,"Hepburn, Stephen",Labour,10_11,2010-11-11,36.2,general admin,Telephone/Mobile Hire,52632
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,60,accommodation,Electricity,21330
520,"Hepburn, Stephen",Labour,10_11,2010-12-09,37,accommodation,Electricity,61244
520,"Hepburn, Stephen",Labour,10_11,2010-12-20,234,travel,Public Tr RAIL - RTN,75642
520,"Hepburn, Stephen",Labour,10_11,2010-12-22,19.99,accommodation,Telephone Installation,61244
520,"Hepburn, Stephen",Labour,10_11,2011-03-30,56.88,general admin,Payment Telephone/Mobile,83016
520,"Hepburn, Stephen",Labour,10_11,2011-02-25,837,constituency rental,Const Office Rent,Payment to Supplier
520,"Hepburn, Stephen",Labour,10_11,2011-03-07,261.6,travel,Public Tr RAIL - RTN,82171
520,"Hepburn, Stephen",Labour,10_11,2011-02-28,255,travel,Public Tr RAIL - RTN,75627
520,"Hepburn, Stephen",Labour,10_11,2010-10-08,63.62,constituency rental,Const Office Tel. Usage/Rental,45458
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,35,general admin,Telephone/Mobile Hire,21384
520,"Hepburn, Stephen",Labour,10_11,2010-12-20,99.52,general admin,Telephone/Mobile Hire,61287
520,"Hepburn, Stephen",Labour,10_11,2010-05-18,266,travel,Public Tr RAIL - RTN,3754
520,"Hepburn, Stephen",Labour,10_11,2010-12-14,35,general admin,Telephone/Mobile Hire,61287
520,"Hepburn, Stephen",Labour,10_11,2011-02-09,35.74,general admin,Telephone/Mobile Hire,75571
520,"Hepburn, Stephen",Labour,10_11,2010-06-18,48.5,accommodation,Television Installation/Rental,25614
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,46.15,accommodation,Water,21336
520,"Hepburn, Stephen",Labour,10_11,2011-01-24,255,travel,Public Tr RAIL - RTN,75627
520,"Hepburn, Stephen",Labour,10_11,2010-10-13,120.76,constituency rental,Const Office Tel. Usage/Rental,45458
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,151,accommodation,Council Tax,21340
520,"Hepburn, Stephen",Labour,10_11,2010-12-15,234,travel,Public Tr RAIL - RTN,76297
520,"Hepburn, Stephen",Labour,10_11,2011-02-11,36.25,general admin,Telephone/Mobile Hire,75571
520,"Hepburn, Stephen",Labour,10_11,2010-06-16,1674,constituency rental,Const Office Hire of Premises,9166
520,"Hepburn, Stephen",Labour,10_11,2010-08-18,48.5,accommodation,Television Installation/Rental,29064
520,"Hepburn, Stephen",Labour,10_11,2011-01-18,52,accommodation,Telephone Usage/Rental,67320
520,"Hepburn, Stephen",Labour,10_11,2011-02-18,706.47,general admin,Photocopier Hire,75571
520,"Hepburn, Stephen",Labour,10_11,2010-07-23,229,travel,Public Tr RAIL - RTN,27349
520,"Hepburn, Stephen",Labour,10_11,2010-12-16,29.79,accommodation,Telephone Usage/Rental,61244
520,"Hepburn, Stephen",Labour,10_11,2010-07-16,229,travel,Public Tr RAIL - RTN,19551
520,"Hepburn, Stephen",Labour,10_11,2010-12-01,30.76,accommodation,Water,61244
520,"Hepburn, Stephen",Labour,10_11,2011-02-21,261.6,travel,Public Tr RAIL - RTN,74159
520,"Hepburn, Stephen",Labour,10_11,2010-10-01,145.5,accommodation,Television Licence,39249
520,"Hepburn, Stephen",Labour,10_11,2011-02-03,151,accommodation,Council Tax,52571
520,"Hepburn, Stephen",Labour,10_11,2010-05-27,71.45,general admin,Telephone/Mobile Hire,16512
520,"Hepburn, Stephen",Labour,10_11,2010-08-09,35,general admin,Telephone/Mobile Hire,29071
520,"Hepburn, Stephen",Labour,10_11,2010-05-18,48.5,accommodation,Television Installation/Rental,25614
520,"Hepburn, Stephen",Labour,10_11,2010-09-20,51,accommodation,Television Installation/Rental,39242
520,"Hepburn, Stephen",Labour,10_11,2011-03-02,14.72,accommodation,Home Contents Insurance,82996
520,"Hepburn, Stephen",Labour,10_11,2010-10-25,234,travel,Public Tr RAIL - RTN,54757
520,"Hepburn, Stephen",Labour,10_11,2010-12-29,151,accommodation,Council Tax,61244
520,"Hepburn, Stephen",Labour,10_11,2011-03-25,255,travel,Public Tr RAIL - RTN,91041
520,"Hepburn, Stephen",Labour,10_11,2011-03-09,1490.29,accommodation,Service Charges,75565
520,"Hepburn, Stephen",Labour,10_11,2010-11-04,94.59,general admin,Stationery Purchase,52632
520,"Hepburn, Stephen",Labour,10_11,2011-01-26,837,constituency rental,Const Office Rent,Payment to Supplier
520,"Hepburn, Stephen",Labour,10_11,2010-08-11,35.5,general admin,Telephone/Mobile Hire,29072
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,26.48,general admin,Telephone/Mobile Hire,21389
520,"Hepburn, Stephen",Labour,10_11,2010-07-18,48.5,accommodation,Television Installation/Rental,25614
520,"Hepburn, Stephen",Labour,10_11,2010-11-14,646.47,general admin,Photocopier Hire,52632
520,"Hepburn, Stephen",Labour,10_11,2010-12-02,13.91,accommodation,Home Contents Insurance,61244
520,"Hepburn, Stephen",Labour,10_11,2011-01-06,74.14,general admin,Telephone/Mobile Hire,67332
520,"Hepburn, Stephen",Labour,10_11,2010-11-09,35,general admin,Telephone/Mobile Hire,52632
520,"Hepburn, Stephen",Labour,10_11,2010-08-05,11.22,accommodation,Home Contents Insurance,21350
520,"Hepburn, Stephen",Labour,10_11,2011-03-14,35.74,general admin,Payment Telephone/Mobile,83016
520,"Hepburn, Stephen",Labour,10_11,2010-05-28,35.73,general admin,Telephone/Mobile Hire,16507
520,"Hepburn, Stephen",Labour,10_11,2011-03-09,37,accommodation,Electricity,82996
520,"Hepburn, Stephen",Labour,10_11,2011-03-14,261.6,travel,Public Tr RAIL - RTN,82171
520,"Hepburn, Stephen",Labour,10_11,2010-05-21,127.5,travel,Public Tr RAIL - SGL,4538
520,"Hepburn, Stephen",Labour,10_11,2011-01-19,80.56,general admin,Telephone/Mobile Hire,67332
520,"Hepburn, Stephen",Labour,10_11,2010-12-10,35,general admin,Telephone/Mobile Hire,61287
520,"Hepburn, Stephen",Labour,10_11,2010-10-19,51,accommodation,Television Installation/Rental,45448
520,"Hepburn, Stephen",Labour,10_11,2011-02-14,261.6,travel,Public Tr RAIL - RTN,74159
520,"Hepburn, Stephen",Labour,10_11,2010-08-10,112,travel,Own Car MP,22333
520,"Hepburn, Stephen",Labour,10_11,2011-02-28,261.6,travel,Public Tr RAIL - RTN,82171
520,"Hepburn, Stephen",Labour,10_11,2011-03-16,41.03,accommodation,Telephone Usage/Rental,89144
520,"Hepburn, Stephen",Labour,10_11,2010-08-17,92.87,general admin,Photocopier Hire,29078
520,"Hepburn, Stephen",Labour,10_11,2011-01-04,30.8,accommodation,Water,67320
520,"Hepburn, Stephen",Labour,10_11,2010-12-30,56.35,general admin,Payment Internet,61287
520,"Hepburn, Stephen",Labour,10_11,2011-02-14,255,travel,Public Tr RAIL - RTN,75627
520,"Hepburn, Stephen",Labour,10_11,2010-07-01,229,travel,Public Tr RAIL - RTN,19551
520,"Hepburn, Stephen",Labour,10_11,2011-02-03,30.76,accommodation,Water,52571
520,"Hepburn, Stephen",Labour,10_11,2011-02-22,58.67,general admin,Photocopier Hire,75571
